  epoch    IZY    IXZ_1    IZ_1Z_2     acc    avg_acc     err    avg_err    adv_acc    avg_adv_acc
-------  -----  -------  ---------  ------  ---------  ------  ---------  ---------  -------------
      1   3.08   259.88     135.29  0.9479     0.9488  0.0521     0.0512     0.0372         0.0382
      2   3.10   186.67     102.14  0.9552     0.9597  0.0448     0.0403     0.0502         0.0542
      3   3.15   168.12     108.06  0.9614     0.9629  0.0386     0.0371     0.0436         0.0482
      4   3.17   155.37      92.38  0.9689     0.9716  0.0311     0.0284     0.0529         0.0618
      5   3.21   129.81      89.22  0.9778     0.9780  0.0222     0.0220     0.0603         0.0792
      6   3.13   156.21      95.87  0.9617     0.9624  0.0383     0.0376     0.0510         0.0585
      7   3.19   131.32      80.67  0.9748     0.9765  0.0252     0.0235     0.0645         0.0805
      8   3.19   117.00      77.42  0.9759     0.9770  0.0241     0.0230     0.0647         0.0859
      9   3.21   105.15      79.55  0.9800     0.9808  0.0200     0.0192     0.0914         0.1221
     10   3.21   123.70      77.57  0.9786     0.9786  0.0214     0.0214     0.0726         0.0959
     11   3.21   121.34      78.02  0.9807     0.9812  0.0193     0.0188     0.0727         0.0891
     12   3.17   126.71      76.59  0.9735     0.9732  0.0265     0.0268     0.1074         0.1338
     13   3.18    92.17      68.38  0.9760     0.9773  0.0240     0.0227     0.1211         0.1601
     14   3.21    88.96      63.52  0.9818     0.9825  0.0182     0.0175     0.1616         0.2022
     15   3.18   111.66      71.61  0.9754     0.9757  0.0246     0.0243     0.1285         0.1539
     16   3.21    86.76      63.27  0.9814     0.9816  0.0186     0.0184     0.1663         0.2211
     17   3.22    94.84      60.93  0.9822     0.9826  0.0178     0.0174     0.1684         0.2014
     18   3.21    77.96      60.79  0.9811     0.9819  0.0189     0.0181     0.1560         0.1965
     19   3.20    84.14      62.06  0.9806     0.9819  0.0194     0.0181     0.1881         0.2251
     20   3.18    85.06      57.01  0.9776     0.9782  0.0224     0.0218     0.1964         0.2436
     21   3.19    73.42      56.52  0.9810     0.9811  0.0190     0.0189     0.2580         0.3189
     22   3.20    66.79      54.99  0.9813     0.9815  0.0187     0.0185     0.2791         0.3495
     23   3.20    71.16      52.40  0.9829     0.9821  0.0171     0.0179     0.2972         0.3456
     24   3.20    62.18      50.33  0.9820     0.9824  0.0180     0.0176     0.2828         0.3538
     25   3.20    77.72      54.60  0.9813     0.9819  0.0187     0.0181     0.2730         0.3246
     26   3.20    77.20      59.14  0.9808     0.9810  0.0192     0.0190     0.3020         0.3467
     27   3.22    63.00      48.43  0.9838     0.9837  0.0162     0.0163     0.3354         0.4006
     28   3.18    64.11      51.87  0.9798     0.9803  0.0202     0.0197     0.3300         0.4195
     29   3.19    65.65      49.54  0.9821     0.9822  0.0179     0.0178     0.3242         0.3839
     30   3.20    65.06      48.88  0.9822     0.9825  0.0178     0.0175     0.3378         0.4026
     31   3.19    60.15      47.89  0.9811     0.9815  0.0189     0.0185     0.3760         0.4451
     32   3.18    71.66      51.67  0.9798     0.9804  0.0202     0.0196     0.3587         0.4096
     33   3.21    60.61      48.08  0.9828     0.9844  0.0172     0.0156     0.3943         0.4658
     34   3.20    68.07      50.64  0.9825     0.9824  0.0175     0.0176     0.3613         0.4157
     35   3.16    49.72      44.67  0.9801     0.9808  0.0199     0.0192     0.4278         0.5159
     36   3.18    71.72      49.13  0.9804     0.9804  0.0196     0.0196     0.3113         0.3624
     37   3.16    56.24      47.39  0.9796     0.9800  0.0204     0.0200     0.3660         0.4588
     38   3.20    55.64      47.26  0.9835     0.9833  0.0165     0.0167     0.3490         0.4261
     39   3.19    47.56      42.36  0.9835     0.9841  0.0165     0.0159     0.4354         0.5151
     40   3.18    49.82      44.60  0.9821     0.9825  0.0179     0.0175     0.3758         0.4634
     41   3.20    54.16      44.10  0.9845     0.9846  0.0155     0.0154     0.4041         0.4689
     42   3.20    54.05      43.64  0.9844     0.9845  0.0156     0.0155     0.4518         0.5157
     43   3.18    49.13      43.20  0.9819     0.9822  0.0181     0.0178     0.4250         0.5153
     44   3.18    48.64      43.37  0.9815     0.9815  0.0185     0.0185     0.4541         0.5327
     45   3.19    71.65      52.49  0.9818     0.9817  0.0182     0.0183     0.4023         0.4297
     46   3.17    61.28      46.57  0.9819     0.9818  0.0181     0.0182     0.4540         0.5123
     47   3.19    54.78      44.99  0.9838     0.9843  0.0162     0.0157     0.5044         0.5566
     48   3.20    49.87      40.85  0.9849     0.9850  0.0151     0.0150     0.5074         0.5803
     49   3.20    39.91      39.60  0.9843     0.9838  0.0157     0.0162     0.5199         0.6042
     50   3.16    52.02      41.24  0.9802     0.9801  0.0198     0.0199     0.4591         0.5178
     51   3.20    40.78      38.41  0.9837     0.9839  0.0163     0.0161     0.4944         0.5938
     52   3.20    40.19      40.12  0.9849     0.9847  0.0151     0.0153     0.5286         0.6236
     53   3.12    57.09      47.51  0.9754     0.9752  0.0246     0.0248     0.4453         0.4835
     54   3.19    44.68      39.69  0.9839     0.9839  0.0161     0.0161     0.4613         0.5481
     55   3.20    41.33      38.18  0.9839     0.9841  0.0161     0.0159     0.5146         0.6070
     56   3.16    48.02      39.65  0.9810     0.9807  0.0190     0.0193     0.4017         0.4790
     57   3.18    38.98      37.21  0.9828     0.9836  0.0172     0.0164     0.4942         0.5923
     58   3.18    40.47      39.32  0.9829     0.9829  0.0171     0.0171     0.4939         0.5778
     59   3.20    38.24      37.01  0.9846     0.9851  0.0154     0.0149     0.5677         0.6495
     60   3.19    57.67      46.46  0.9843     0.9844  0.0157     0.0156     0.5597         0.6018
     61   3.19    40.00      37.17  0.9840     0.9845  0.0160     0.0155     0.5006         0.5963
     62   3.20    42.01      36.74  0.9851     0.9857  0.0149     0.0143     0.5143         0.5983
     63   3.17    38.03      37.91  0.9823     0.9816  0.0177     0.0184     0.4781         0.5723
     64   3.18    42.81      38.28  0.9838     0.9837  0.0162     0.0163     0.5047         0.5675
     65   3.19    40.32      35.79  0.9852     0.9855  0.0148     0.0145     0.4967         0.5901
     66   3.16    42.37      36.06  0.9825     0.9826  0.0175     0.0174     0.4680         0.5485
     67   3.18    41.73      35.93  0.9824     0.9831  0.0176     0.0169     0.4986         0.5809
     68   3.18    41.41      37.86  0.9840     0.9836  0.0160     0.0164     0.5593         0.6310
     69   3.19    40.81      36.99  0.9853     0.9844  0.0147     0.0156     0.5729         0.6533
     70   3.18    35.99      34.99  0.9841     0.9847  0.0159     0.0153     0.5787         0.6721
     71   3.18    36.29      34.91  0.9848     0.9845  0.0152     0.0155     0.5581         0.6402
     72   3.17    36.23      34.95  0.9850     0.9845  0.0150     0.0155     0.5611         0.6325
     73   3.19    33.89      33.81  0.9851     0.9847  0.0149     0.0153     0.5721         0.6549
     74   3.17    42.09      37.16  0.9836     0.9836  0.0164     0.0164     0.4796         0.5697
     75   3.18    43.20      36.35  0.9854     0.9852  0.0146     0.0148     0.5563         0.6124
     76   3.18    40.47      35.52  0.9864     0.9857  0.0136     0.0143     0.5153         0.5928
     77   3.18    32.94      33.96  0.9853     0.9863  0.0147     0.0137     0.5533         0.6407
     78   3.18    36.36      33.16  0.9843     0.9849  0.0157     0.0151     0.5028         0.5950
     79   3.17    35.62      33.79  0.9832     0.9838  0.0168     0.0162     0.5558         0.6434
     80   3.18    32.90      32.78  0.9852     0.9852  0.0148     0.0148     0.5572         0.6504
     81   3.17    34.32      32.75  0.9840     0.9831  0.0160     0.0169     0.5565         0.6385
     82   3.17    32.09      33.76  0.9838     0.9832  0.0162     0.0168     0.5269         0.6259
     83   3.18    35.88      34.54  0.9839     0.9844  0.0161     0.0156     0.5305         0.6067
     84   3.19    31.59      32.22  0.9857     0.9860  0.0143     0.0140     0.5644         0.6650
     85   3.19    34.36      33.11  0.9859     0.9856  0.0141     0.0144     0.5585         0.6338
     86   3.20    29.94      32.02  0.9861     0.9857  0.0139     0.0143     0.5640         0.6617
     87   3.17    35.22      32.49  0.9845     0.9843  0.0155     0.0157     0.5410         0.6092
     88   3.18    33.97      32.80  0.9845     0.9854  0.0155     0.0146     0.5540         0.6309
     89   3.19    32.96      31.44  0.9860     0.9862  0.0140     0.0138     0.5623         0.6595
     90   3.20    35.35      34.45  0.9867     0.9866  0.0133     0.0134     0.5855         0.6509
     91   3.17    31.17      32.02  0.9844     0.9848  0.0156     0.0152     0.5726         0.6530
     92   3.19    33.51      33.27  0.9851     0.9858  0.0149     0.0142     0.5178         0.5990
     93   3.14    31.85      31.35  0.9838     0.9839  0.0162     0.0161     0.5572         0.6502
     94   3.19    30.88      31.44  0.9857     0.9854  0.0143     0.0146     0.4995         0.5882
     95   3.19    30.20      30.96  0.9864     0.9867  0.0136     0.0133     0.5569         0.6489
     96   3.18    28.99      30.97  0.9859     0.9860  0.0141     0.0140     0.5738         0.6665
     97   3.20    31.16      31.84  0.9855     0.9861  0.0145     0.0139     0.5677         0.6333
     98   3.17    31.82      31.21  0.9843     0.9839  0.0157     0.0161     0.5510         0.6389
     99   3.18    28.59      30.20  0.9850     0.9852  0.0150     0.0148     0.5967         0.6800
    100   3.19    28.57      30.21  0.9854     0.9852  0.0146     0.0148     0.5973         0.6807
    101   3.18    28.62      30.78  0.9858     0.9855  0.0142     0.0145     0.6232         0.7018
    102   3.18    31.26      30.74  0.9844     0.9844  0.0156     0.0156     0.5851         0.6561
    103   3.18    28.51      29.36  0.9855     0.9859  0.0145     0.0141     0.5757         0.6625
    104   3.19    31.07      31.03  0.9857     0.9859  0.0143     0.0141     0.5882         0.6458
    105   3.19    27.65      29.58  0.9869     0.9868  0.0131     0.0132     0.6055         0.6923
    106   3.17    32.77      31.31  0.9848     0.9853  0.0152     0.0147     0.6037         0.6568
    107   3.19    28.56      29.69  0.9853     0.9862  0.0147     0.0138     0.6153         0.6919
    108   3.18    33.67      32.48  0.9854     0.9857  0.0146     0.0143     0.5933         0.6426
    109   3.19    28.59      29.90  0.9856     0.9859  0.0144     0.0141     0.6168         0.6884
    110   3.20    31.48      31.94  0.9871     0.9868  0.0129     0.0132     0.6260         0.6808
    111   3.18    29.23      29.96  0.9853     0.9853  0.0147     0.0147     0.5954         0.6550
    112   3.18    42.76      38.06  0.9857     0.9857  0.0143     0.0143     0.6085         0.6308
    113   3.17    33.16      31.60  0.9841     0.9849  0.0159     0.0151     0.5591         0.6196
    114   3.19    28.47      30.10  0.9865     0.9870  0.0135     0.0130     0.6141         0.6870
    115   3.18    26.56      29.13  0.9858     0.9862  0.0142     0.0138     0.6171         0.7073
    116   3.18    26.24      28.52  0.9858     0.9866  0.0142     0.0134     0.6160         0.6970
    117   3.18    26.33      28.79  0.9850     0.9857  0.0150     0.0143     0.6123         0.6959
    118   3.19    26.30      28.40  0.9855     0.9861  0.0145     0.0139     0.6118         0.6845
    119   3.19    26.69      28.19  0.9850     0.9854  0.0150     0.0146     0.6184         0.6897
    120   3.18    29.67      29.92  0.9846     0.9853  0.0154     0.0147     0.6054         0.6529
    121   3.18    25.48      28.48  0.9848     0.9853  0.0152     0.0147     0.6211         0.6775
    122   3.18    28.66      28.62  0.9837     0.9847  0.0163     0.0153     0.6120         0.6756
    123   3.19    26.14      27.89  0.9861     0.9862  0.0139     0.0138     0.6302         0.7057
    124   3.19    27.06      28.68  0.9855     0.9856  0.0145     0.0144     0.6241         0.6787
    125   3.19    26.67      28.15  0.9863     0.9869  0.0137     0.0131     0.6086         0.6730
    126   3.20    25.27      28.16  0.9873     0.9875  0.0127     0.0125     0.6357         0.7019
    127   3.19    25.71      28.16  0.9863     0.9861  0.0137     0.0139     0.6137         0.6713
    128   3.18    24.94      27.28  0.9845     0.9854  0.0155     0.0146     0.6265         0.6883
    129   3.19    26.05      28.17  0.9858     0.9856  0.0142     0.0144     0.6446         0.7075
    130   3.20    25.98      27.62  0.9859     0.9862  0.0141     0.0138     0.6381         0.6923
    131   3.18    25.34      27.52  0.9852     0.9859  0.0148     0.0141     0.6376         0.6904
    132   3.19    28.18      28.59  0.9849     0.9857  0.0151     0.0143     0.6269         0.6666
    133   3.17    25.12      27.20  0.9855     0.9863  0.0145     0.0137     0.6241         0.6843
    134   3.17    25.95      28.06  0.9854     0.9851  0.0146     0.0149     0.6614         0.7124
    135   3.18    24.76      27.37  0.9858     0.9862  0.0142     0.0138     0.6548         0.7206
    136   3.19    24.51      27.53  0.9852     0.9855  0.0148     0.0145     0.6532         0.7119
    137   3.18    26.34      28.12  0.9862     0.9864  0.0138     0.0136     0.6387         0.6821
    138   3.18    26.92      28.02  0.9857     0.9861  0.0143     0.0139     0.6300         0.6726
    139   3.19    24.91      27.25  0.9855     0.9852  0.0145     0.0148     0.6249         0.6869
    140   3.18    24.18      26.96  0.9849     0.9853  0.0151     0.0147     0.6366         0.6924
    141   3.17    25.76      27.95  0.9859     0.9856  0.0141     0.0144     0.6299         0.6925
    142   3.18    24.36      26.83  0.9856     0.9849  0.0144     0.0151     0.6425         0.6950
    143   3.18    24.91      27.34  0.9851     0.9857  0.0149     0.0143     0.6369         0.6820
    144   3.19    28.94      29.58  0.9866     0.9869  0.0134     0.0131     0.5998         0.6299
    145   3.18    24.23      26.85  0.9853     0.9852  0.0147     0.0148     0.6008         0.6470
    146   3.19    26.28      27.64  0.9870     0.9865  0.0130     0.0135     0.5935         0.6379
    147   3.18    24.66      26.87  0.9854     0.9862  0.0146     0.0138     0.6161         0.6733
    148   3.18    25.51      27.32  0.9857     0.9858  0.0143     0.0142     0.6236         0.6716
    149   3.19    24.52      26.60  0.9867     0.9860  0.0133     0.0140     0.6200         0.6666
    150   3.18    27.49      28.80  0.9858     0.9860  0.0142     0.0140     0.6208         0.6568
    151   3.20    23.78      26.72  0.9872     0.9863  0.0128     0.0137     0.6341         0.6824
    152   3.19    23.87      26.53  0.9857     0.9855  0.0143     0.0145     0.6399         0.6863
    153   3.19    24.32      26.75  0.9871     0.9866  0.0129     0.0134     0.6417         0.6861
    154   3.18    24.38      26.29  0.9862     0.9866  0.0138     0.0134     0.6411         0.6868
    155   3.19    26.25      27.33  0.9871     0.9870  0.0129     0.0130     0.6303         0.6686
    156   3.18    23.31      25.98  0.9861     0.9860  0.0139     0.0140     0.6378         0.6854
    157   3.18    24.56      26.77  0.9859     0.9862  0.0141     0.0138     0.6400         0.6775
    158   3.18    23.51      26.39  0.9858     0.9867  0.0142     0.0133     0.6351         0.6785
    159   3.19    23.41      26.25  0.9868     0.9868  0.0132     0.0132     0.6304         0.6742
    160   3.19    23.15      26.21  0.9876     0.9871  0.0124     0.0129     0.6434         0.6867
    161   3.19    24.84      26.95  0.9865     0.9873  0.0135     0.0127     0.6360         0.6697
    162   3.19    23.03      25.99  0.9870     0.9879  0.0130     0.0121     0.6358         0.6780
    163   3.20    25.62      27.48  0.9874     0.9876  0.0126     0.0124     0.6342         0.6650
    164   3.18    23.29      26.00  0.9854     0.9857  0.0146     0.0143     0.6168         0.6602
    165   3.18    24.23      26.48  0.9857     0.9865  0.0143     0.0135     0.6217         0.6534
    166   3.19    24.83      26.65  0.9868     0.9866  0.0132     0.0134     0.6060         0.6328
    167   3.20    27.90      28.43  0.9864     0.9867  0.0136     0.0133     0.5969         0.6203
    168   3.19    22.97      25.93  0.9863     0.9869  0.0137     0.0131     0.6169         0.6545
    169   3.18    24.12      26.06  0.9863     0.9859  0.0137     0.0141     0.5974         0.6377
    170   3.18    23.57      26.16  0.9865     0.9869  0.0135     0.0131     0.6037         0.6444
    171   3.19    24.41      26.51  0.9867     0.9871  0.0133     0.0129     0.6025         0.6414
    172   3.21    22.86      25.82  0.9875     0.9871  0.0125     0.0129     0.6297         0.6724
    173   3.18    25.28      26.93  0.9859     0.9861  0.0141     0.0139     0.6202         0.6526
    174   3.18    27.51      28.60  0.9859     0.9861  0.0141     0.0139     0.6220         0.6438
    175   3.19    23.55      26.03  0.9862     0.9872  0.0138     0.0128     0.6160         0.6532
    176   3.19    23.33      25.66  0.9863     0.9864  0.0137     0.0136     0.6186         0.6611
    177   3.19    23.21      25.63  0.9856     0.9865  0.0144     0.0135     0.6123         0.6531
    178   3.19    24.20      26.53  0.9858     0.9862  0.0142     0.0138     0.6026         0.6360
    179   3.19    22.96      25.63  0.9868     0.9863  0.0132     0.0137     0.6029         0.6388
    180   3.19    29.38      30.20  0.9867     0.9867  0.0133     0.0133     0.5986         0.6177
    181   3.19    23.28      25.56  0.9866     0.9869  0.0134     0.0131     0.6070         0.6464
    182   3.20    22.52      25.44  0.9872     0.9870  0.0128     0.0130     0.6230         0.6655
    183   3.19    23.32      25.99  0.9859     0.9863  0.0141     0.0137     0.6241         0.6699
    184   3.19    24.44      26.34  0.9867     0.9866  0.0133     0.0134     0.5982         0.6319
    185   3.20    24.16      26.15  0.9862     0.9874  0.0138     0.0126     0.6033         0.6307
    186   3.19    23.28      25.82  0.9868     0.9882  0.0132     0.0118     0.6133         0.6501
    187   3.20    24.52      26.08  0.9869     0.9869  0.0131     0.0131     0.5960         0.6344
    188   3.19    23.22      25.44  0.9859     0.9872  0.0141     0.0128     0.6122         0.6480
    189   3.19    23.12      25.45  0.9872     0.9872  0.0128     0.0128     0.5992         0.6379
    190   3.19    23.23      25.65  0.9862     0.9873  0.0138     0.0127     0.6095         0.6461
    191   3.18    23.93      26.23  0.9858     0.9869  0.0142     0.0131     0.6049         0.6386
    192   3.20    26.42      27.20  0.9865     0.9873  0.0135     0.0127     0.6021         0.6276
    193   3.18    23.03      25.49  0.9860     0.9868  0.0140     0.0132     0.6122         0.6541
    194   3.19    22.54      25.42  0.9857     0.9864  0.0143     0.0136     0.6208         0.6593
    195   3.18    22.74      25.45  0.9861     0.9863  0.0139     0.0137     0.6053         0.6464
    196   3.18    22.30      25.12  0.9859     0.9864  0.0141     0.0136     0.6300         0.6710
    197   3.20    23.04      25.56  0.9874     0.9880  0.0126     0.0120     0.6126         0.6528
    198   3.18    23.32      25.85  0.9865     0.9865  0.0135     0.0135     0.6429         0.6782
    199   3.19    22.58      25.28  0.9870     0.9876  0.0130     0.0124     0.6317         0.6693
    200   3.19    22.44      25.17  0.9874     0.9875  0.0126     0.0125     0.6335         0.6664
    201   3.20    23.96      25.79  0.9870     0.9877  0.0130     0.0123     0.6175         0.6523
    202   3.18    22.53      25.14  0.9860     0.9862  0.0140     0.0138     0.6286         0.6639
    203   3.19    22.99      25.25  0.9868     0.9873  0.0132     0.0127     0.6330         0.6708
    204   3.18    22.75      25.51  0.9861     0.9862  0.0139     0.0138     0.6207         0.6592
    205   3.19    22.75      25.57  0.9870     0.9868  0.0130     0.0132     0.6425         0.6786
    206   3.19    22.14      25.00  0.9861     0.9869  0.0139     0.0131     0.6407         0.6884
    207   3.19    24.00      25.80  0.9858     0.9868  0.0142     0.0132     0.6323         0.6613
    208   3.18    25.58      26.73  0.9859     0.9860  0.0141     0.0140     0.6317         0.6629
    209   3.18    22.87      25.28  0.9857     0.9870  0.0143     0.0130     0.6230         0.6580
    210   3.19    22.95      25.42  0.9862     0.9859  0.0138     0.0141     0.6315         0.6709
    211   3.18    22.04      24.79  0.9868     0.9866  0.0132     0.0134     0.6313         0.6728
    212   3.19    22.58      25.32  0.9857     0.9859  0.0143     0.0141     0.6287         0.6661
    213   3.19    22.08      24.87  0.9874     0.9866  0.0126     0.0134     0.6327         0.6736
    214   3.19    22.57      25.03  0.9861     0.9865  0.0139     0.0135     0.6366         0.6739
    215   3.19    22.61      25.33  0.9869     0.9863  0.0131     0.0137     0.6313         0.6668
    216   3.19    23.65      25.67  0.9861     0.9864  0.0139     0.0136     0.6204         0.6487
    217   3.19    22.24      25.03  0.9864     0.9869  0.0136     0.0131     0.6313         0.6710
    218   3.18    21.97      24.74  0.9868     0.9868  0.0132     0.0132     0.6338         0.6744
    219   3.19    22.13      24.85  0.9856     0.9867  0.0144     0.0133     0.6317         0.6762
    220   3.19    22.58      24.96  0.9867     0.9873  0.0133     0.0127     0.6224         0.6628
    221   3.18    22.81      25.08  0.9865     0.9867  0.0135     0.0133     0.6287         0.6653
    222   3.19    24.93      26.55  0.9863     0.9866  0.0137     0.0134     0.6220         0.6567
    223   3.18    22.45      25.07  0.9860     0.9863  0.0140     0.0137     0.6183         0.6594
    224   3.18    21.79      24.76  0.9861     0.9865  0.0139     0.0135     0.6322         0.6753
    225   3.18    21.88      24.87  0.9858     0.9864  0.0142     0.0136     0.6276         0.6724
    226   3.19    22.15      24.98  0.9868     0.9872  0.0132     0.0128     0.6181         0.6585
    227   3.18    23.15      25.54  0.9847     0.9861  0.0153     0.0139     0.6244         0.6570
    228   3.18    22.26      24.87  0.9857     0.9858  0.0143     0.0142     0.6360         0.6829
    229   3.19    22.50      25.07  0.9868     0.9865  0.0132     0.0135     0.6335         0.6733
    230   3.19    22.65      25.18  0.9868     0.9868  0.0132     0.0132     0.6270         0.6668
    231   3.19    21.92      24.92  0.9874     0.9877  0.0126     0.0123     0.6232         0.6682
    232   3.18    22.05      24.93  0.9857     0.9858  0.0143     0.0142     0.6241         0.6634
    233   3.18    21.66      24.58  0.9867     0.9870  0.0133     0.0130     0.6133         0.6622
    234   3.20    22.32      24.88  0.9871     0.9868  0.0129     0.0132     0.6281         0.6727
    235   3.18    22.40      25.05  0.9864     0.9867  0.0136     0.0133     0.6248         0.6669
    236   3.18    22.04      24.79  0.9860     0.9865  0.0140     0.0135     0.6216         0.6596
    237   3.18    23.29      25.60  0.9858     0.9866  0.0142     0.0134     0.6200         0.6497
    238   3.20    21.77      24.68  0.9870     0.9876  0.0130     0.0124     0.6172         0.6615
    239   3.18    21.80      24.81  0.9862     0.9872  0.0138     0.0128     0.6210         0.6647
    240   3.18    22.80      25.27  0.9855     0.9861  0.0145     0.0139     0.6213         0.6625
    241   3.19    22.09      24.84  0.9868     0.9864  0.0132     0.0136     0.6114         0.6591
    242   3.19    21.73      24.75  0.9871     0.9864  0.0129     0.0136     0.6245         0.6671
    243   3.19    22.49      25.03  0.9865     0.9875  0.0135     0.0125     0.6162         0.6596
    244   3.19    21.72      24.69  0.9860     0.9863  0.0140     0.0137     0.6173         0.6648
    245   3.18    21.99      24.82  0.9857     0.9863  0.0143     0.0137     0.6123         0.6543
    246   3.18    22.59      25.17  0.9867     0.9874  0.0133     0.0126     0.6202         0.6581
    247   3.18    21.57      24.42  0.9858     0.9866  0.0142     0.0134     0.6217         0.6724
    248   3.18    22.81      24.93  0.9859     0.9863  0.0141     0.0137     0.6090         0.6551
    249   3.18    22.20      24.72  0.9868     0.9875  0.0132     0.0125     0.6146         0.6551
    250   3.18    21.61      24.50  0.9859     0.9864  0.0141     0.0136     0.6217         0.6625
    251   3.18    21.64      24.65  0.9857     0.9867  0.0143     0.0133     0.6259         0.6764
    252   3.18    22.28      24.85  0.9850     0.9860  0.0150     0.0140     0.6187         0.6611
    253   3.19    22.28      24.90  0.9854     0.9856  0.0146     0.0144     0.6224         0.6613
    254   3.19    22.64      24.89  0.9861     0.9863  0.0139     0.0137     0.6147         0.6606
    255   3.18    21.79      24.56  0.9861     0.9866  0.0139     0.0134     0.6332         0.6785
    256   3.18    22.33      24.84  0.9860     0.9868  0.0140     0.0132     0.6198         0.6666
    257   3.19    21.86      24.36  0.9858     0.9864  0.0142     0.0136     0.6180         0.6627
    258   3.19    22.11      24.57  0.9867     0.9868  0.0133     0.0132     0.6132         0.6602
    259   3.18    21.74      24.44  0.9860     0.9868  0.0140     0.0132     0.6161         0.6661
    260   3.19    22.30      24.80  0.9871     0.9870  0.0129     0.0130     0.6212         0.6631
    261   3.19    23.45      25.25  0.9867     0.9868  0.0133     0.0132     0.6158         0.6542
    262   3.18    22.60      24.89  0.9862     0.9870  0.0138     0.0130     0.6230         0.6632
    263   3.18    21.79      24.54  0.9859     0.9867  0.0141     0.0133     0.6214         0.6665
    264   3.19    21.87      24.45  0.9863     0.9868  0.0137     0.0132     0.6237         0.6722
    265   3.18    22.41      24.74  0.9869     0.9871  0.0131     0.0129     0.6152         0.6597
    266   3.18    21.84      24.59  0.9861     0.9869  0.0139     0.0131     0.6217         0.6663
    267   3.19    22.06      24.64  0.9865     0.9863  0.0135     0.0137     0.6146         0.6559
    268   3.19    22.14      24.70  0.9859     0.9859  0.0141     0.0141     0.6135         0.6520
    269   3.18    21.99      24.56  0.9856     0.9858  0.0144     0.0142     0.6099         0.6533
    270   3.20    22.00      24.66  0.9866     0.9870  0.0134     0.0130     0.6119         0.6581
    271   3.18    22.50      24.83  0.9861     0.9873  0.0139     0.0127     0.6126         0.6516
    272   3.19    22.03      24.63  0.9864     0.9865  0.0136     0.0135     0.6131         0.6564
    273   3.19    21.91      24.47  0.9867     0.9869  0.0133     0.0131     0.6110         0.6580
    274   3.19    22.67      25.02  0.9870     0.9871  0.0130     0.0129     0.6092         0.6463
    275   3.19    21.87      24.47  0.9856     0.9863  0.0144     0.0137     0.6207         0.6666
    276   3.18    22.61      25.18  0.9861     0.9867  0.0139     0.0133     0.6243         0.6644
    277   3.19    21.68      24.38  0.9864     0.9859  0.0136     0.0141     0.6227         0.6675
