  epoch    IZY    IXZ_1    IZ_1Z_2     acc    avg_acc     err    avg_err    adv_acc    avg_adv_acc
-------  -----  -------  ---------  ------  ---------  ------  ---------  ---------  -------------
      1   3.11   351.11     246.73  0.9526     0.9531  0.0474     0.0469     0.0240         0.0235
      2   3.15   252.73     201.43  0.9617     0.9615  0.0383     0.0385     0.0267         0.0282
      3   3.20   216.96     175.14  0.9722     0.9735  0.0278     0.0265     0.0280         0.0296
      4   3.17   181.11     155.06  0.9667     0.9666  0.0333     0.0334     0.0379         0.0426
      5   3.19   182.27     147.81  0.9717     0.9723  0.0283     0.0277     0.0450         0.0561
      6   3.21   181.77     147.37  0.9758     0.9765  0.0242     0.0235     0.0379         0.0444
      7   3.22   171.03     138.68  0.9793     0.9795  0.0207     0.0205     0.0391         0.0474
      8   3.17   181.87     147.26  0.9707     0.9712  0.0293     0.0288     0.0508         0.0598
      9   3.20   153.44     129.23  0.9756     0.9754  0.0244     0.0246     0.0612         0.0734
     10   3.20   138.61     128.64  0.9761     0.9764  0.0239     0.0236     0.0570         0.0734
     11   3.22   192.85     149.19  0.9810     0.9808  0.0190     0.0192     0.0319         0.0348
     12   3.21   192.06     146.62  0.9802     0.9802  0.0198     0.0198     0.0262         0.0304
     13   3.22   120.78     108.38  0.9818     0.9820  0.0182     0.0180     0.0650         0.0826
     14   3.21   171.94     135.60  0.9788     0.9786  0.0212     0.0214     0.0405         0.0473
     15   3.22   138.15     113.28  0.9807     0.9806  0.0193     0.0194     0.0675         0.0896
     16   3.22   114.22      98.12  0.9814     0.9815  0.0186     0.0185     0.0797         0.1031
     17   3.22   110.26      99.31  0.9819     0.9819  0.0181     0.0181     0.0720         0.0962
     18   3.20   106.29     104.32  0.9817     0.9813  0.0183     0.0187     0.1025         0.1411
     19   3.21    95.46      96.50  0.9820     0.9821  0.0180     0.0179     0.1028         0.1365
     20   3.20    99.36      92.37  0.9815     0.9812  0.0185     0.0188     0.1097         0.1449
     21   3.20   116.30      97.70  0.9798     0.9803  0.0202     0.0197     0.0841         0.1030
     22   3.20    88.26      89.28  0.9815     0.9814  0.0185     0.0186     0.1197         0.1522
     23   3.21    90.74      85.20  0.9819     0.9821  0.0181     0.0179     0.1114         0.1426
     24   3.19    96.57      93.35  0.9790     0.9786  0.0210     0.0214     0.1355         0.1753
     25   3.18   100.68      88.18  0.9778     0.9782  0.0222     0.0218     0.1112         0.1388
     26   3.20    85.82      83.51  0.9819     0.9821  0.0181     0.0179     0.1435         0.1692
     27   3.19    82.60      81.30  0.9814     0.9813  0.0186     0.0187     0.1709         0.2060
     28   3.20    81.22      83.67  0.9819     0.9827  0.0181     0.0173     0.1665         0.2122
     29   3.19    91.75      87.32  0.9812     0.9813  0.0188     0.0187     0.1583         0.1887
     30   3.23    73.99      76.90  0.9848     0.9841  0.0152     0.0159     0.2003         0.2471
     31   3.20    80.48      79.20  0.9813     0.9814  0.0187     0.0186     0.1642         0.1997
     32   3.20    90.06      79.16  0.9821     0.9826  0.0179     0.0174     0.1610         0.1941
     33   3.19    68.09      72.64  0.9808     0.9805  0.0192     0.0195     0.2114         0.2519
     34   3.19    69.33      78.52  0.9817     0.9822  0.0183     0.0178     0.2087         0.2486
     35   3.20    86.19      84.71  0.9804     0.9810  0.0196     0.0190     0.1882         0.2305
     36   3.19    68.94      73.35  0.9821     0.9818  0.0179     0.0182     0.2461         0.2905
     37   3.19    74.92      75.44  0.9823     0.9821  0.0177     0.0179     0.2325         0.2865
     38   3.20    58.42      73.64  0.9831     0.9836  0.0169     0.0164     0.2527         0.3184
     39   3.19    70.39      75.11  0.9827     0.9831  0.0173     0.0169     0.2412         0.2816
     40   3.21    58.99      69.66  0.9837     0.9841  0.0163     0.0159     0.2448         0.2919
     41   3.20    62.52      70.66  0.9836     0.9837  0.0164     0.0163     0.2551         0.3000
     42   3.22    67.41      72.04  0.9846     0.9851  0.0154     0.0149     0.2470         0.2887
     43   3.20    77.33      72.20  0.9821     0.9825  0.0179     0.0175     0.2329         0.2646
     44   3.21    57.72      65.66  0.9840     0.9839  0.0160     0.0161     0.2730         0.3334
     45   3.22    58.83      65.79  0.9862     0.9858  0.0138     0.0142     0.2683         0.3178
     46   3.21    70.53      71.19  0.9835     0.9836  0.0165     0.0164     0.2865         0.3216
     47   3.21    60.13      66.98  0.9838     0.9838  0.0162     0.0162     0.2774         0.3463
     48   3.21    58.85      66.34  0.9845     0.9846  0.0155     0.0154     0.2807         0.3371
