  epoch    IZY    IXZ_1    IZ_1Z_2     acc    avg_acc     err    avg_err    adv_acc    avg_adv_acc
-------  -----  -------  ---------  ------  ---------  ------  ---------  ---------  -------------
      1   3.07   117.55      77.18  0.9467     0.9529  0.0533     0.0471     0.0331         0.0333
      2   3.03    68.03      57.83  0.9429     0.9571  0.0571     0.0429     0.0842         0.0936
      3   3.13    58.59      49.75  0.9625     0.9674  0.0375     0.0326     0.0695         0.0749
      4   3.14    59.05      47.58  0.9644     0.9696  0.0356     0.0304     0.0862         0.1009
      5   3.19    55.50      45.58  0.9755     0.9763  0.0245     0.0237     0.0883         0.0986
      6   3.16    46.11      40.50  0.9715     0.9743  0.0285     0.0257     0.1399         0.1592
      7   3.20    49.90      41.43  0.9770     0.9789  0.0230     0.0211     0.1536         0.1670
      8   3.19    47.61      42.58  0.9762     0.9783  0.0238     0.0217     0.1965         0.2099
      9   3.18    40.44      39.10  0.9759     0.9778  0.0241     0.0222     0.2580         0.2771
     10   3.19    34.32      34.31  0.9774     0.9799  0.0226     0.0201     0.2876         0.3275
     11   3.14    36.91      33.72  0.9712     0.9724  0.0288     0.0276     0.2834         0.3221
     12   3.17    33.84      32.70  0.9763     0.9773  0.0237     0.0227     0.3292         0.3764
     13   3.14    67.72      59.37  0.9722     0.9732  0.0278     0.0268     0.3163         0.3216
     14   3.15    29.67      34.97  0.9742     0.9813  0.0258     0.0187     0.4051         0.4938
     15   3.09    35.37      33.31  0.9675     0.9687  0.0325     0.0313     0.3824         0.4135
     16   3.19    37.83      34.10  0.9811     0.9815  0.0189     0.0185     0.4624         0.4847
     17   3.16    26.42      28.74  0.9781     0.9815  0.0219     0.0185     0.4785         0.5422
     18   3.18    33.70      34.33  0.9798     0.9802  0.0202     0.0198     0.5288         0.5532
     19   3.16    29.98      28.07  0.9775     0.9787  0.0225     0.0213     0.4548         0.4971
     20   3.16    26.42      27.28  0.9779     0.9801  0.0221     0.0199     0.5276         0.5673
     21   3.19    31.39      29.92  0.9807     0.9820  0.0193     0.0180     0.5614         0.5914
     22   3.17    23.95      25.45  0.9795     0.9824  0.0205     0.0176     0.5612         0.6132
     23   3.19    24.14      25.05  0.9834     0.9850  0.0166     0.0150     0.5654         0.6168
     24   3.18    23.39      25.26  0.9798     0.9843  0.0202     0.0157     0.5846         0.6610
     25   3.17    25.80      25.49  0.9816     0.9822  0.0184     0.0178     0.5683         0.6072
     26   3.12    23.04      24.41  0.9730     0.9797  0.0270     0.0203     0.5630         0.6341
     27   3.15    25.67      24.51  0.9786     0.9809  0.0214     0.0191     0.5708         0.6007
     28   3.16    23.61      23.36  0.9777     0.9805  0.0223     0.0195     0.5738         0.6124
     29   3.19    25.45      25.00  0.9830     0.9841  0.0170     0.0159     0.6117         0.6339
     30   3.18    22.69      23.53  0.9830     0.9841  0.0170     0.0159     0.6184         0.6488
     31   3.15    25.63      24.33  0.9791     0.9806  0.0209     0.0194     0.5579         0.5857
     32   3.16    23.15      22.46  0.9792     0.9821  0.0208     0.0179     0.5871         0.6260
     33   3.10    22.48      22.02  0.9740     0.9771  0.0260     0.0229     0.6175         0.6522
     34   3.15    21.54      21.35  0.9794     0.9817  0.0206     0.0183     0.6107         0.6473
     35   3.15    24.35      22.77  0.9798     0.9817  0.0202     0.0183     0.5613         0.5841
     36   3.17    20.11      21.21  0.9833     0.9849  0.0167     0.0151     0.6216         0.6689
     37   3.13    21.99      20.89  0.9775     0.9790  0.0225     0.0210     0.5497         0.5844
     38   3.16    21.55      20.64  0.9823     0.9841  0.0177     0.0159     0.6143         0.6427
     39   3.17    22.80      23.19  0.9826     0.9842  0.0174     0.0158     0.6330         0.6492
     40   3.13    18.86      19.49  0.9770     0.9818  0.0230     0.0182     0.5589         0.6033
     41   3.16    18.72      19.34  0.9828     0.9853  0.0172     0.0147     0.5735         0.6088
     42   3.16    19.73      19.36  0.9831     0.9838  0.0169     0.0162     0.5723         0.6015
     43   3.18    19.06      20.08  0.9827     0.9836  0.0173     0.0164     0.6197         0.6439
     44   3.17    17.76      19.31  0.9826     0.9849  0.0174     0.0151     0.6269         0.6603
     45   3.13    19.57      19.30  0.9791     0.9819  0.0209     0.0181     0.5293         0.5570
     46   3.14    20.59      21.65  0.9817     0.9817  0.0183     0.0183     0.5389         0.5539
     47   3.14    19.93      20.01  0.9806     0.9821  0.0194     0.0179     0.6242         0.6410
     48   3.14    20.46      20.87  0.9815     0.9820  0.0185     0.0180     0.5653         0.5844
     49   3.18    17.50      18.31  0.9829     0.9858  0.0171     0.0142     0.6536         0.6786
     50   3.12    18.95      19.16  0.9797     0.9804  0.0203     0.0196     0.5290         0.5443
     51   3.18    19.99      21.12  0.9858     0.9858  0.0142     0.0142     0.5624         0.5721
     52   3.15    17.47      18.56  0.9826     0.9838  0.0174     0.0162     0.5844         0.6010
     53   3.16    20.09      19.87  0.9842     0.9851  0.0158     0.0149     0.5840         0.5981
     54   3.16    20.01      20.73  0.9839     0.9844  0.0161     0.0156     0.5841         0.5913
     55   3.13    17.94      17.71  0.9781     0.9803  0.0219     0.0197     0.5279         0.5446
     56   3.17    17.08      18.08  0.9842     0.9845  0.0158     0.0155     0.5706         0.5913
     57   3.16    18.03      18.78  0.9833     0.9854  0.0167     0.0146     0.5061         0.5244
     58   3.14    17.67      18.67  0.9804     0.9815  0.0196     0.0185     0.5408         0.5545
     59   3.13    17.53      17.94  0.9819     0.9842  0.0181     0.0158     0.5122         0.5324
     60   3.17    16.00      17.40  0.9835     0.9855  0.0165     0.0145     0.5392         0.5548
     61   3.17    15.84      16.66  0.9825     0.9854  0.0175     0.0146     0.5059         0.5249
     62   3.13    16.03      16.35  0.9793     0.9813  0.0207     0.0187     0.4584         0.4760
     63   3.08    15.61      16.55  0.9756     0.9785  0.0244     0.0215     0.4837         0.5017
     64   3.14    16.81      16.66  0.9812     0.9822  0.0188     0.0178     0.5243         0.5434
     65   3.16    15.34      16.52  0.9843     0.9856  0.0157     0.0144     0.5363         0.5542
     66   3.17    15.07      16.39  0.9847     0.9863  0.0153     0.0137     0.5619         0.5751
     67   3.09    14.74      16.13  0.9769     0.9793  0.0231     0.0207     0.4739         0.4864
     68   3.16    18.58      18.89  0.9844     0.9848  0.0156     0.0152     0.4695         0.4759
     69   3.14    15.15      16.01  0.9827     0.9846  0.0173     0.0154     0.5452         0.5610
     70   3.15    14.51      15.71  0.9810     0.9852  0.0190     0.0148     0.5470         0.5678
     71   3.16    14.33      16.35  0.9847     0.9851  0.0153     0.0149     0.5029         0.5149
     72   3.14    15.01      16.29  0.9826     0.9837  0.0174     0.0163     0.5045         0.5143
     73   3.11    14.83      16.05  0.9784     0.9804  0.0216     0.0196     0.5081         0.5226
     74   3.15    14.26      15.66  0.9824     0.9844  0.0176     0.0156     0.5749         0.5871
     75   3.15    14.12      15.53  0.9827     0.9846  0.0173     0.0154     0.5463         0.5606
     76   3.16    13.96      15.89  0.9849     0.9862  0.0151     0.0138     0.5422         0.5542
     77   3.15    14.14      15.37  0.9814     0.9854  0.0186     0.0146     0.5184         0.5395
     78   3.13    14.65      15.78  0.9813     0.9826  0.0187     0.0174     0.5109         0.5244
     79   3.16    13.78      15.54  0.9841     0.9863  0.0159     0.0137     0.5471         0.5591
     80   3.17    13.94      15.28  0.9835     0.9868  0.0165     0.0132     0.5422         0.5577
     81   3.17    13.68      14.91  0.9848     0.9876  0.0152     0.0124     0.5193         0.5337
     82   3.14    14.60      16.36  0.9824     0.9843  0.0176     0.0157     0.4363         0.4466
     83   3.16    12.91      14.95  0.9839     0.9851  0.0161     0.0149     0.4446         0.4611
     84   3.14    13.94      15.31  0.9837     0.9851  0.0163     0.0149     0.4484         0.4589
     85   3.15    13.70      15.07  0.9833     0.9853  0.0167     0.0147     0.4551         0.4647
     86   3.16    13.50      15.13  0.9839     0.9849  0.0161     0.0151     0.4280         0.4377
     87   3.17    12.90      15.11  0.9855     0.9865  0.0145     0.0135     0.4491         0.4614
     88   3.16    13.17      15.00  0.9842     0.9859  0.0158     0.0141     0.4586         0.4685
     89   3.16    13.65      15.25  0.9849     0.9873  0.0151     0.0127     0.4240         0.4318
     90   3.17    13.53      14.80  0.9855     0.9865  0.0145     0.0135     0.4332         0.4430
     91   3.17    13.09      14.91  0.9856     0.9873  0.0144     0.0127     0.4298         0.4397
     92   3.16    12.68      14.62  0.9828     0.9848  0.0172     0.0152     0.5112         0.5238
     93   3.14    12.72      14.42  0.9822     0.9847  0.0178     0.0153     0.4999         0.5111
     94   3.17    13.00      14.71  0.9861     0.9871  0.0139     0.0129     0.4805         0.4902
     95   3.16    12.40      14.45  0.9834     0.9857  0.0166     0.0143     0.4710         0.4838
     96   3.17    12.99      14.87  0.9850     0.9877  0.0150     0.0123     0.4283         0.4366
     97   3.17    12.07      14.65  0.9863     0.9867  0.0137     0.0133     0.4564         0.4659
     98   3.15    13.35      14.84  0.9834     0.9853  0.0166     0.0147     0.4492         0.4566
     99   3.15    12.28      14.11  0.9837     0.9861  0.0163     0.0139     0.5477         0.5587
    100   3.16    14.98      16.38  0.9853     0.9864  0.0147     0.0136     0.4474         0.4541
    101   3.15    12.25      14.14  0.9853     0.9868  0.0147     0.0132     0.4787         0.4904
    102   3.17    13.91      15.97  0.9864     0.9871  0.0136     0.0129     0.4104         0.4156
    103   3.16    13.06      14.88  0.9850     0.9858  0.0150     0.0142     0.4283         0.4371
    104   3.16    12.67      14.26  0.9845     0.9864  0.0155     0.0136     0.4413         0.4480
    105   3.16    12.90      14.79  0.9851     0.9870  0.0149     0.0130     0.4675         0.4773
    106   3.16    11.79      14.29  0.9855     0.9875  0.0145     0.0125     0.4686         0.4736
    107   3.17    12.08      14.26  0.9848     0.9873  0.0152     0.0127     0.4198         0.4279
    108   3.17    12.06      13.89  0.9856     0.9879  0.0144     0.0121     0.4363         0.4440
    109   3.17    12.33      14.33  0.9853     0.9874  0.0147     0.0126     0.4161         0.4211
    110   3.18    12.83      15.18  0.9862     0.9876  0.0138     0.0124     0.4416         0.4462
    111   3.14    11.96      14.30  0.9832     0.9852  0.0168     0.0148     0.4382         0.4468
    112   3.13    12.53      14.93  0.9832     0.9849  0.0168     0.0151     0.4102         0.4155
    113   3.13    11.94      13.98  0.9819     0.9845  0.0181     0.0155     0.4493         0.4589
    114   3.14    12.46      14.02  0.9832     0.9850  0.0168     0.0150     0.4086         0.4178
    115   3.15    11.59      13.88  0.9842     0.9863  0.0158     0.0137     0.4737         0.4811
    116   3.15    11.41      13.95  0.9839     0.9870  0.0161     0.0130     0.4707         0.4791
    117   3.17    12.16      14.36  0.9863     0.9874  0.0137     0.0126     0.4220         0.4273
    118   3.16    11.76      14.10  0.9845     0.9870  0.0155     0.0130     0.4397         0.4479
    119   3.15    11.80      13.98  0.9835     0.9852  0.0165     0.0148     0.4677         0.4757
    120   3.14    12.13      14.07  0.9841     0.9844  0.0159     0.0156     0.4381         0.4452
    121   3.16    12.74      14.71  0.9859     0.9868  0.0141     0.0132     0.4225         0.4279
    122   3.16    11.42      13.80  0.9858     0.9868  0.0142     0.0132     0.4161         0.4240
    123   3.16    11.49      13.65  0.9832     0.9870  0.0168     0.0130     0.4659         0.4735
    124   3.14    11.88      14.04  0.9835     0.9855  0.0165     0.0145     0.4236         0.4315
    125   3.15    11.46      13.66  0.9842     0.9867  0.0158     0.0133     0.4526         0.4599
    126   3.16    11.51      13.59  0.9850     0.9875  0.0150     0.0125     0.4537         0.4618
    127   3.17    12.32      14.49  0.9850     0.9866  0.0150     0.0134     0.3830         0.3868
    128   3.17    11.79      14.16  0.9854     0.9868  0.0146     0.0132     0.4322         0.4419
    129   3.17    11.40      13.91  0.9854     0.9863  0.0146     0.0137     0.4484         0.4569
    130   3.16    11.45      13.83  0.9847     0.9869  0.0153     0.0131     0.4320         0.4405
    131   3.16    11.67      14.23  0.9842     0.9861  0.0158     0.0139     0.4551         0.4625
    132   3.16    11.64      13.93  0.9854     0.9868  0.0146     0.0132     0.4402         0.4488
    133   3.16    11.19      13.83  0.9850     0.9857  0.0150     0.0143     0.4415         0.4457
    134   3.16    11.05      13.52  0.9841     0.9866  0.0159     0.0134     0.4377         0.4480
    135   3.16    11.83      13.93  0.9842     0.9858  0.0158     0.0142     0.3967         0.4051
    136   3.15    11.11      13.54  0.9844     0.9872  0.0156     0.0128     0.4680         0.4763
    137   3.15    11.73      13.63  0.9833     0.9858  0.0167     0.0142     0.4359         0.4425
    138   3.16    11.35      13.64  0.9854     0.9873  0.0146     0.0127     0.4361         0.4408
    139   3.16    11.01      13.82  0.9844     0.9858  0.0156     0.0142     0.4851         0.4928
    140   3.16    11.95      13.80  0.9855     0.9863  0.0145     0.0137     0.4248         0.4324
    141   3.16    11.20      13.61  0.9857     0.9866  0.0143     0.0134     0.4378         0.4463
    142   3.17    11.46      13.90  0.9852     0.9867  0.0148     0.0133     0.4136         0.4220
    143   3.16    11.82      13.85  0.9843     0.9865  0.0157     0.0135     0.3735         0.3806
    144   3.15    12.23      14.31  0.9847     0.9854  0.0153     0.0146     0.3864         0.3944
    145   3.14    11.23      13.73  0.9837     0.9863  0.0163     0.0137     0.4265         0.4350
    146   3.16    11.51      13.78  0.9855     0.9865  0.0145     0.0135     0.4221         0.4287
    147   3.16    11.20      13.59  0.9849     0.9862  0.0151     0.0138     0.4160         0.4258
    148   3.15    10.90      13.32  0.9845     0.9864  0.0155     0.0136     0.4424         0.4534
    149   3.15    11.60      13.77  0.9843     0.9856  0.0157     0.0144     0.4134         0.4233
    150   3.14    10.88      13.50  0.9829     0.9857  0.0171     0.0143     0.4111         0.4189
    151   3.15    11.28      13.67  0.9840     0.9859  0.0160     0.0141     0.3892         0.3948
    152   3.16    10.77      13.34  0.9830     0.9863  0.0170     0.0137     0.3943         0.4023
    153   3.16    11.13      13.60  0.9847     0.9866  0.0153     0.0134     0.3645         0.3720
    154   3.15    11.66      13.68  0.9842     0.9857  0.0158     0.0143     0.3642         0.3721
    155   3.15    10.72      13.29  0.9853     0.9871  0.0147     0.0129     0.4119         0.4204
    156   3.16    10.93      13.37  0.9846     0.9865  0.0154     0.0135     0.4101         0.4197
    157   3.16    10.83      13.31  0.9842     0.9864  0.0158     0.0136     0.4388         0.4495
    158   3.16    10.67      13.38  0.9844     0.9864  0.0156     0.0136     0.3993         0.4082
    159   3.15    11.15      13.76  0.9848     0.9860  0.0152     0.0140     0.3944         0.4009
    160   3.15    10.63      13.46  0.9840     0.9863  0.0160     0.0137     0.3906         0.3997
    161   3.14    11.27      13.63  0.9837     0.9853  0.0163     0.0147     0.3869         0.3949
    162   3.13    10.70      13.20  0.9836     0.9858  0.0164     0.0142     0.4193         0.4252
    163   3.16    11.01      13.25  0.9851     0.9853  0.0149     0.0147     0.4124         0.4240
    164   3.15    10.74      13.59  0.9855     0.9868  0.0145     0.0132     0.4181         0.4287
    165   3.15    10.70      13.29  0.9858     0.9875  0.0142     0.0125     0.4379         0.4489
    166   3.15    10.79      13.54  0.9848     0.9870  0.0152     0.0130     0.4298         0.4354
    167   3.16    10.86      13.39  0.9845     0.9863  0.0155     0.0137     0.4344         0.4439
    168   3.16    10.90      13.35  0.9848     0.9867  0.0152     0.0133     0.3840         0.3902
    169   3.16    10.64      13.17  0.9844     0.9860  0.0156     0.0140     0.3987         0.4078
    170   3.15    10.83      13.39  0.9840     0.9866  0.0160     0.0134     0.3983         0.4076
    171   3.16    10.69      13.21  0.9844     0.9867  0.0156     0.0133     0.4120         0.4221
    172   3.16    10.81      13.42  0.9846     0.9868  0.0154     0.0132     0.4029         0.4100
    173   3.16    10.74      13.52  0.9849     0.9872  0.0151     0.0128     0.3924         0.4011
    174   3.16    10.55      13.51  0.9859     0.9868  0.0141     0.0132     0.3933         0.4028
    175   3.15    10.81      13.62  0.9842     0.9860  0.0158     0.0140     0.3642         0.3736
    176   3.15    10.48      13.35  0.9837     0.9853  0.0163     0.0147     0.3861         0.3953
    177   3.14    10.40      13.25  0.9828     0.9853  0.0172     0.0147     0.4137         0.4232
    178   3.16    10.75      13.39  0.9856     0.9865  0.0144     0.0135     0.3770         0.3874
