t,IZY,IXZ_1,IZ_1Z_2,acc,avg_acc,err,avg_err,adv_acc,avg_adv_acc
1,3.040111780166626,113.78433227539062,108.90169525146484,0.9412000179290771,0.9438999891281128,0.05879998207092285,0.05610001087188721,0.04050000011920929,0.04190000146627426
2,3.0923376083374023,80.89158630371094,90.09765625,0.9535999894142151,0.955299973487854,0.04640001058578491,0.044700026512145996,0.07050000131130219,0.0778999999165535
3,3.168071746826172,62.202877044677734,78.22634887695312,0.968999981880188,0.9718000292778015,0.03100001811981201,0.028199970722198486,0.07209999859333038,0.08780000358819962
4,3.1602723598480225,58.20433044433594,73.89132690429688,0.9681000113487244,0.9702000021934509,0.031899988651275635,0.029799997806549072,0.07519999891519547,0.09210000187158585
5,3.1873984336853027,82.50519561767578,87.48106384277344,0.9728999733924866,0.973800003528595,0.027100026607513428,0.02619999647140503,0.04969999939203262,0.054999999701976776
6,3.170586109161377,54.05305862426758,66.62945556640625,0.9706000089645386,0.972100019454956,0.029399991035461426,0.027899980545043945,0.08190000057220459,0.10300000011920929
7,3.2139322757720947,52.768150329589844,65.2950439453125,0.9799000024795532,0.9796000123023987,0.020099997520446777,0.02039998769760132,0.09520000219345093,0.11980000138282776
8,3.205734968185425,55.470245361328125,67.32106018066406,0.9785000085830688,0.9787999987602234,0.021499991416931152,0.02120000123977661,0.10379999876022339,0.12620000541210175
9,3.204453706741333,51.134342193603516,62.02570343017578,0.9789999723434448,0.979200005531311,0.021000027656555176,0.020799994468688965,0.12720000743865967,0.15639999508857727
10,3.2083895206451416,45.68442153930664,58.6950798034668,0.9800000190734863,0.9810000061988831,0.019999980926513672,0.018999993801116943,0.16500000655651093,0.19050000607967377
11,3.1896088123321533,61.884010314941406,69.05299377441406,0.9782000184059143,0.9775000214576721,0.021799981594085693,0.02249997854232788,0.15620000660419464,0.1664000004529953
12,3.2017993927001953,36.24885940551758,52.86053466796875,0.9799000024795532,0.9811999797821045,0.020099997520446777,0.018800020217895508,0.2175000011920929,0.2761000096797943
13,3.189950942993164,59.17081069946289,66.98788452148438,0.9781000018119812,0.9786999821662903,0.0218999981880188,0.021300017833709717,0.15680000185966492,0.17139999568462372
14,3.2010154724121094,34.15091323852539,49.7899169921875,0.9804999828338623,0.9814000129699707,0.019500017166137695,0.018599987030029297,0.25220000743865967,0.3061000108718872
15,3.1819119453430176,35.52430725097656,48.92168045043945,0.9775999784469604,0.9789000153541565,0.02240002155303955,0.021099984645843506,0.2939000129699707,0.35530000925064087
16,3.190880060195923,36.82752990722656,49.565948486328125,0.980400025844574,0.98089998960495,0.019599974155426025,0.01910001039505005,0.32850000262260437,0.37610000371932983
17,3.2096128463745117,29.80466651916504,45.37318801879883,0.9829000234603882,0.9836999773979187,0.017099976539611816,0.0163000226020813,0.3828999996185303,0.45500001311302185
18,3.199601173400879,33.886009216308594,45.906314849853516,0.9810000061988831,0.9819999933242798,0.018999993801116943,0.018000006675720215,0.3560999929904938,0.4311000108718872
