  epoch    IZY    IXZ_1    IZ_1Z_2     acc    avg_acc     err    avg_err    adv_acc    avg_adv_acc
-------  -----  -------  ---------  ------  ---------  ------  ---------  ---------  -------------
      1   3.04   113.78     108.90  0.9412     0.9439  0.0588     0.0561     0.0405         0.0419
      2   3.09    80.89      90.10  0.9536     0.9553  0.0464     0.0447     0.0705         0.0779
      3   3.17    62.20      78.23  0.9690     0.9718  0.0310     0.0282     0.0721         0.0878
      4   3.16    58.20      73.89  0.9681     0.9702  0.0319     0.0298     0.0752         0.0921
      5   3.19    82.51      87.48  0.9729     0.9738  0.0271     0.0262     0.0497         0.0550
      6   3.17    54.05      66.63  0.9706     0.9721  0.0294     0.0279     0.0819         0.1030
      7   3.21    52.77      65.30  0.9799     0.9796  0.0201     0.0204     0.0952         0.1198
      8   3.21    55.47      67.32  0.9785     0.9788  0.0215     0.0212     0.1038         0.1262
      9   3.20    51.13      62.03  0.9790     0.9792  0.0210     0.0208     0.1272         0.1564
     10   3.21    45.68      58.70  0.9800     0.9810  0.0200     0.0190     0.1650         0.1905
     11   3.19    61.88      69.05  0.9782     0.9775  0.0218     0.0225     0.1562         0.1664
     12   3.20    36.25      52.86  0.9799     0.9812  0.0201     0.0188     0.2175         0.2761
     13   3.19    59.17      66.99  0.9781     0.9787  0.0219     0.0213     0.1568         0.1714
     14   3.20    34.15      49.79  0.9805     0.9814  0.0195     0.0186     0.2522         0.3061
     15   3.18    35.52      48.92  0.9776     0.9789  0.0224     0.0211     0.2939         0.3553
     16   3.19    36.83      49.57  0.9804     0.9809  0.0196     0.0191     0.3285         0.3761
     17   3.21    29.80      45.37  0.9829     0.9837  0.0171     0.0163     0.3829         0.4550
     18   3.20    33.89      45.91  0.9810     0.9820  0.0190     0.0180     0.3561         0.4311
     19   3.20    40.60      51.03  0.9803     0.9807  0.0197     0.0193     0.4134         0.4590
     20   3.20    32.00      46.70  0.9812     0.9824  0.0188     0.0176     0.4430         0.5251
     21   3.18    32.33      47.07  0.9777     0.9793  0.0223     0.0207     0.4115         0.5073
     22   3.20    27.72      41.88  0.9828     0.9830  0.0172     0.0170     0.4569         0.5630
     23   3.18    33.26      43.48  0.9794     0.9791  0.0206     0.0209     0.4710         0.5433
     24   3.17    29.27      42.11  0.9792     0.9802  0.0208     0.0198     0.4820         0.5585
     25   3.19    26.69      40.71  0.9822     0.9823  0.0178     0.0177     0.5208         0.6109
     26   3.20    32.11      42.13  0.9825     0.9834  0.0175     0.0166     0.5066         0.5716
     27   3.14    26.15      40.39  0.9780     0.9785  0.0220     0.0215     0.4944         0.5863
     28   3.19    28.76      40.49  0.9827     0.9825  0.0173     0.0175     0.5331         0.6019
     29   3.19    29.61      41.55  0.9835     0.9833  0.0165     0.0167     0.5596         0.6160
     30   3.18    26.72      37.69  0.9815     0.9828  0.0185     0.0172     0.5458         0.6263
     31   3.18    25.94      37.32  0.9828     0.9833  0.0172     0.0167     0.5411         0.6182
     32   3.19    25.47      38.07  0.9837     0.9845  0.0163     0.0155     0.6372         0.7016
     33   3.16    26.40      37.37  0.9801     0.9816  0.0199     0.0184     0.5488         0.6401
     34   3.16    26.34      36.42  0.9796     0.9805  0.0204     0.0195     0.5318         0.6141
     35   3.18    23.43      35.74  0.9840     0.9847  0.0160     0.0153     0.5703         0.6616
     36   3.16    24.60      35.61  0.9811     0.9823  0.0189     0.0177     0.5426         0.6518
     37   3.19    23.68      34.59  0.9839     0.9843  0.0161     0.0157     0.6066         0.6803
     38   3.19    29.64      37.48  0.9839     0.9846  0.0161     0.0154     0.5942         0.6479
     39   3.19    23.21      33.64  0.9834     0.9839  0.0166     0.0161     0.5844         0.6560
     40   3.18    22.62      33.11  0.9825     0.9835  0.0175     0.0165     0.5670         0.6494
