t,IZY,IXZ_1,IZ_1Z_2,acc,avg_acc,err,avg_err,adv_acc,avg_adv_acc
1,2.381354808807373,53.861488342285156,37.334693908691406,0.8052999973297119,0.8859000205993652,0.19470000267028809,0.11409997940063477,0.13130000233650208,0.13109999895095825
2,2.733567953109741,37.8349609375,31.14997100830078,0.8920000195503235,0.941100001335144,0.10799998044967651,0.05889999866485596,0.09080000221729279,0.09480000287294388
3,2.937044620513916,32.339271545410156,34.97431182861328,0.9376999735832214,0.9510999917984009,0.062300026416778564,0.04890000820159912,0.05920000001788139,0.06030000001192093
4,2.983823537826538,27.47760581970215,35.12706756591797,0.948199987411499,0.9591000080108643,0.05180001258850098,0.04089999198913574,0.04619999974966049,0.04619999974966049
5,2.908932685852051,18.5057430267334,23.153076171875,0.9315000176429749,0.9621999859809875,0.06849998235702515,0.03780001401901245,0.07850000262260437,0.08219999819993973
6,2.988675117492676,20.00860595703125,25.08885955810547,0.9467999935150146,0.9652000069618225,0.05320000648498535,0.03479999303817749,0.0640999972820282,0.06449999660253525
7,2.8601222038269043,16.608535766601562,22.57883644104004,0.9153000116348267,0.9634000062942505,0.08469998836517334,0.03659999370574951,0.11230000108480453,0.12210000306367874
8,2.97334623336792,16.972169876098633,20.5150089263916,0.9448999762535095,0.9653000235557556,0.05510002374649048,0.034699976444244385,0.09520000219345093,0.1014999970793724
9,2.9275214672088623,15.987689971923828,19.290973663330078,0.9337999820709229,0.968999981880188,0.06620001792907715,0.03100001811981201,0.13169999420642853,0.14869999885559082
10,3.0026063919067383,17.729562759399414,20.369091033935547,0.9495000243186951,0.9664000272750854,0.05049997568130493,0.03359997272491455,0.12240000069141388,0.13500000536441803
11,3.0295796394348145,16.65333366394043,20.331249237060547,0.9545000195503235,0.9750999808311462,0.045499980449676514,0.02490001916885376,0.14069999754428864,0.1534000039100647
12,3.0740232467651367,18.861717224121094,23.31488800048828,0.9642999768257141,0.9764999747276306,0.03570002317428589,0.023500025272369385,0.14589999616146088,0.15569999814033508
13,3.05582857131958,16.44072151184082,17.708887100219727,0.9569000005722046,0.9768000245094299,0.04309999942779541,0.02319997549057007,0.18809999525547028,0.20260000228881836
