  epoch    IZY    IXZ_1    IZ_1Z_2     acc    avg_acc     err    avg_err    adv_acc    avg_adv_acc
-------  -----  -------  ---------  ------  ---------  ------  ---------  ---------  -------------
      1   2.38    53.86      37.33  0.8053     0.8859  0.1947     0.1141     0.1313         0.1311
      2   2.73    37.83      31.15  0.8920     0.9411  0.1080     0.0589     0.0908         0.0948
      3   2.94    32.34      34.97  0.9377     0.9511  0.0623     0.0489     0.0592         0.0603
      4   2.98    27.48      35.13  0.9482     0.9591  0.0518     0.0409     0.0462         0.0462
      5   2.91    18.51      23.15  0.9315     0.9622  0.0685     0.0378     0.0785         0.0822
      6   2.99    20.01      25.09  0.9468     0.9652  0.0532     0.0348     0.0641         0.0645
      7   2.86    16.61      22.58  0.9153     0.9634  0.0847     0.0366     0.1123         0.1221
      8   2.97    16.97      20.52  0.9449     0.9653  0.0551     0.0347     0.0952         0.1015
      9   2.93    15.99      19.29  0.9338     0.9690  0.0662     0.0310     0.1317         0.1487
     10   3.00    17.73      20.37  0.9495     0.9664  0.0505     0.0336     0.1224         0.1350
     11   3.03    16.65      20.33  0.9545     0.9751  0.0455     0.0249     0.1407         0.1534
     12   3.07    18.86      23.31  0.9643     0.9765  0.0357     0.0235     0.1459         0.1557
     13   3.06    16.44      17.71  0.9569     0.9768  0.0431     0.0232     0.1881         0.2026
     14   3.07    17.04      19.16  0.9637     0.9761  0.0363     0.0239     0.2220         0.2364
     15   2.89    13.29      15.77  0.9215     0.9719  0.0785     0.0281     0.2542         0.2950
     16   2.98    14.07      14.92  0.9432     0.9756  0.0568     0.0244     0.2980         0.3251
     17   3.02    13.52      14.36  0.9488     0.9796  0.0512     0.0204     0.2818         0.3102
     18   2.91    13.20      15.03  0.9258     0.9728  0.0742     0.0272     0.3453         0.3882
     19   3.03    13.41      14.26  0.9542     0.9795  0.0458     0.0205     0.3400         0.3685
     20   3.05    14.48      15.30  0.9591     0.9796  0.0409     0.0204     0.3033         0.3235
     21   3.06    14.67      15.11  0.9604     0.9773  0.0396     0.0227     0.3901         0.4088
     22   3.01    13.22      13.30  0.9499     0.9806  0.0501     0.0194     0.3868         0.4162
     23   3.03    13.38      13.43  0.9591     0.9797  0.0409     0.0203     0.4231         0.4469
     24   3.06    13.63      13.91  0.9603     0.9804  0.0397     0.0196     0.4584         0.4827
