  epoch    IZY    IXZ_1    IZ_1Z_2     acc    avg_acc     err    avg_err    adv_acc    avg_adv_acc
-------  -----  -------  ---------  ------  ---------  ------  ---------  ---------  -------------
      1   2.81    50.27      63.89  0.8990     0.9173  0.1010     0.0827     0.0673         0.0669
      2   2.82    27.39      57.96  0.8997     0.9410  0.1003     0.0590     0.1189         0.1277
      3   3.12    45.92      69.39  0.9612     0.9626  0.0388     0.0374     0.0364         0.0367
      4   3.02    19.79      36.57  0.9457     0.9647  0.0543     0.0353     0.1043         0.1129
      5   3.10    21.06      35.25  0.9622     0.9707  0.0378     0.0293     0.1115         0.1205
      6   3.12    20.69      34.05  0.9647     0.9728  0.0353     0.0272     0.1306         0.1371
      7   3.13    19.49      34.19  0.9688     0.9752  0.0312     0.0248     0.1317         0.1389
      8   3.10    17.60      28.87  0.9609     0.9714  0.0391     0.0286     0.2021         0.2190
      9   3.12    17.98      29.44  0.9683     0.9751  0.0317     0.0249     0.2218         0.2384
     10   3.10    17.02      27.18  0.9652     0.9765  0.0348     0.0235     0.2952         0.3119
     11   3.15    19.41      29.99  0.9734     0.9771  0.0266     0.0229     0.2890         0.2947
     12   3.13    17.95      28.30  0.9699     0.9758  0.0301     0.0242     0.3363         0.3502
     13   3.21    60.12      89.24  0.9815     0.9816  0.0185     0.0184     0.3186         0.3204
     14   3.13    17.96      27.50  0.9723     0.9774  0.0277     0.0226     0.4011         0.4137
     15   3.14    16.49      23.73  0.9732     0.9787  0.0268     0.0213     0.4329         0.4598
     16   3.14    23.45      35.34  0.9759     0.9783  0.0241     0.0217     0.4215         0.4260
     17   3.14    16.93      25.91  0.9741     0.9787  0.0259     0.0213     0.4576         0.4733
     18   3.12    15.28      22.08  0.9704     0.9796  0.0296     0.0204     0.5022         0.5279
     19   3.11    14.70      21.83  0.9716     0.9780  0.0284     0.0220     0.4976         0.5234
     20   3.17    21.36      32.05  0.9791     0.9814  0.0209     0.0186     0.4611         0.4670
     21   3.11    14.21      20.66  0.9699     0.9787  0.0301     0.0213     0.5186         0.5524
     22   3.14    16.41      22.38  0.9775     0.9810  0.0225     0.0190     0.5638         0.5823
     23   3.13    15.43      24.10  0.9760     0.9808  0.0240     0.0192     0.5595         0.5742
     24   3.09    14.27      19.86  0.9687     0.9764  0.0313     0.0236     0.5061         0.5319
     25   3.09    13.01      18.78  0.9678     0.9799  0.0322     0.0201     0.5317         0.5711
     26   3.14    15.17      21.36  0.9777     0.9822  0.0223     0.0178     0.5052         0.5236
     27   3.12    15.16      19.87  0.9751     0.9798  0.0249     0.0202     0.5007         0.5203
     28   3.09    14.15      19.95  0.9687     0.9817  0.0313     0.0183     0.5474         0.5888
     29   3.14    13.28      18.74  0.9763     0.9821  0.0237     0.0179     0.5060         0.5300
     30   3.11    12.76      17.73  0.9714     0.9803  0.0286     0.0197     0.5540         0.5849
     31   3.09    12.02      16.80  0.9700     0.9799  0.0300     0.0201     0.5759         0.6191
     32   3.11    15.38      21.83  0.9734     0.9771  0.0266     0.0229     0.4438         0.4543
     33   3.13    12.36      17.45  0.9780     0.9820  0.0220     0.0180     0.5151         0.5420
     34   3.14    14.70      21.06  0.9772     0.9799  0.0228     0.0201     0.4247         0.4392
     35   3.07    11.96      16.26  0.9675     0.9797  0.0325     0.0203     0.4657         0.5001
     36   3.15    13.75      19.24  0.9816     0.9836  0.0184     0.0164     0.4458         0.4592
     37   3.15    13.37      18.71  0.9785     0.9813  0.0215     0.0187     0.5052         0.5226
     38   3.09    12.14      15.94  0.9695     0.9815  0.0305     0.0185     0.5487         0.5845
