t,IZY,IXZ_1,IZ_1Z_2,acc,avg_acc,err,avg_err,adv_acc,avg_adv_acc
1,0.2003765106201172,18.988971710205078,39.18572235107422,0.26010000705718994,0.37689998745918274,0.7398999929428101,0.6231000125408173,0.20069999992847443,0.2442999929189682
2,0.3003723621368408,6.1336140632629395,22.42168426513672,0.28870001435279846,0.41999998688697815,0.7112999856472015,0.5800000131130219,0.20409999787807465,0.24879999458789825
3,1.0056869983673096,7.064017295837402,21.69061851501465,0.4456000030040741,0.5720000267028809,0.5543999969959259,0.42799997329711914,0.1898999959230423,0.2117999941110611
4,1.5894668102264404,15.124420166015625,42.744483947753906,0.6050000190734863,0.6650999784469604,0.39499998092651367,0.33490002155303955,0.11879999935626984,0.11949999630451202
5,1.6654900312423706,11.038866996765137,30.17367172241211,0.6176999807357788,0.7006999850273132,0.3823000192642212,0.29930001497268677,0.1290999948978424,0.12870000302791595
6,1.6618646383285522,7.982731819152832,20.55426025390625,0.6072999835014343,0.7060999870300293,0.3927000164985657,0.2939000129699707,0.13760000467300415,0.13779999315738678
7,1.507594108581543,5.55729341506958,14.971311569213867,0.5622000098228455,0.7153000235557556,0.43779999017715454,0.2846999764442444,0.1965000033378601,0.20520000159740448
8,1.8202333450317383,6.703792572021484,14.751998901367188,0.6466000080108643,0.7716000080108643,0.35339999198913574,0.22839999198913574,0.16269999742507935,0.1657000035047531
9,1.9452543258666992,6.84726619720459,14.896235466003418,0.6819999814033508,0.7950000166893005,0.31800001859664917,0.20499998331069946,0.15240000188350677,0.15610000491142273
10,1.8952025175094604,6.460351943969727,13.277959823608398,0.6697999835014343,0.8064000010490417,0.3302000164985657,0.19359999895095825,0.1826000064611435,0.18520000576972961
11,2.2791881561279297,11.397980690002441,25.269790649414062,0.7846999764442444,0.8551999926567078,0.21530002355575562,0.14480000734329224,0.1039000004529953,0.10450000315904617
12,2.1324477195739746,6.8331122398376465,13.377281188964844,0.7391999959945679,0.8511999845504761,0.26080000400543213,0.14880001544952393,0.16380000114440918,0.16590000689029694
13,2.2628941535949707,8.158767700195312,16.206809997558594,0.7753999829292297,0.8726999759674072,0.22460001707077026,0.12730002403259277,0.1362999975681305,0.13660000264644623
14,2.195694923400879,6.637004375457764,12.229788780212402,0.754800021648407,0.8773000240325928,0.24519997835159302,0.12269997596740723,0.16599999368190765,0.1688999980688095
15,2.2931442260742188,7.210292339324951,12.657706260681152,0.7775999903678894,0.8822000026702881,0.2224000096321106,0.11779999732971191,0.15139999985694885,0.15150000154972076
16,2.373008966445923,7.865603923797607,14.076360702514648,0.7983999848365784,0.8973000049591064,0.20160001516342163,0.10269999504089355,0.1477999985218048,0.149399995803833
17,2.2560415267944336,6.754822254180908,11.198486328125,0.7638999819755554,0.8738999962806702,0.23610001802444458,0.12610000371932983,0.17900000512599945,0.18219999969005585
18,2.34252667427063,6.794065475463867,11.3943510055542,0.7901999950408936,0.904699981212616,0.20980000495910645,0.09530001878738403,0.17000000178813934,0.17509999871253967
19,2.364285469055176,6.844352722167969,11.17172908782959,0.796500027179718,0.9061999917030334,0.20349997282028198,0.09380000829696655,0.1712999939918518,0.1712000072002411
20,2.5372748374938965,7.986807823181152,13.39706039428711,0.847000002861023,0.9246000051498413,0.15299999713897705,0.07539999485015869,0.1340000033378601,0.13860000669956207
21,2.575592041015625,7.985385417938232,12.962432861328125,0.8497999906539917,0.9277999997138977,0.1502000093460083,0.0722000002861023,0.14339999854564667,0.1469999998807907
22,2.3681585788726807,6.822494983673096,10.538963317871094,0.7922000288963318,0.9235000014305115,0.2077999711036682,0.07649999856948853,0.20149999856948853,0.21529999375343323
23,2.497451066970825,6.977726936340332,10.66515827178955,0.8269000053405762,0.928600013256073,0.17309999465942383,0.071399986743927,0.18330000340938568,0.19130000472068787
24,2.3087635040283203,6.735517978668213,10.226561546325684,0.781499981880188,0.9168999791145325,0.218500018119812,0.08310002088546753,0.22200000286102295,0.23309999704360962
25,2.4906582832336426,6.788600921630859,9.7230224609375,0.8213000297546387,0.9283999800682068,0.17869997024536133,0.07160001993179321,0.1949000060558319,0.20489999651908875
26,2.5940356254577637,7.371854782104492,11.099674224853516,0.8532000184059143,0.9343000054359436,0.1467999815940857,0.0656999945640564,0.20270000398159027,0.21400000154972076
27,2.4550225734710693,6.632287979125977,9.306158065795898,0.817799985408783,0.9322999715805054,0.18220001459121704,0.06770002841949463,0.22849999368190765,0.24959999322891235
28,2.3923325538635254,6.645090579986572,9.282159805297852,0.8065999746322632,0.9218000173568726,0.19340002536773682,0.07819998264312744,0.2531000077724457,0.27230000495910645
29,2.6345555782318115,7.3969197273254395,10.398999214172363,0.862500011920929,0.9415000081062317,0.13749998807907104,0.05849999189376831,0.20810000598430634,0.22179999947547913
30,2.4704856872558594,6.754282474517822,9.38034725189209,0.8230000138282776,0.9375,0.1769999861717224,0.0625,0.25839999318122864,0.28949999809265137
31,2.507227897644043,6.701251029968262,8.848356246948242,0.8335999846458435,0.9350000023841858,0.1664000153541565,0.06499999761581421,0.2770000100135803,0.3012999892234802
32,2.595028877258301,6.7803826332092285,8.830336570739746,0.849399983882904,0.9496999979019165,0.15060001611709595,0.050300002098083496,0.2547000050544739,0.2728999853134155
33,2.5704281330108643,6.429284572601318,8.650215148925781,0.843500018119812,0.9453999996185303,0.156499981880188,0.05460000038146973,0.26409998536109924,0.2865000069141388
34,2.7687292098999023,8.15938663482666,11.337352752685547,0.8981000185012817,0.9603000283241272,0.10189998149871826,0.0396999716758728,0.2476000040769577,0.26249998807907104
35,2.6638879776000977,6.764899253845215,9.09956169128418,0.8698999881744385,0.9491999745368958,0.13010001182556152,0.05080002546310425,0.27730000019073486,0.30410000681877136
36,2.591782331466675,6.262475490570068,8.17090129852295,0.8474000096321106,0.9490000009536743,0.1525999903678894,0.050999999046325684,0.3027999997138977,0.3325999975204468
37,2.7147376537323,7.162490367889404,9.582361221313477,0.8804000020027161,0.9567999839782715,0.11959999799728394,0.043200016021728516,0.2793000042438507,0.296999990940094
38,2.6768670082092285,6.697167873382568,8.393047332763672,0.8738999962806702,0.9596999883651733,0.12610000371932983,0.04030001163482666,0.3513999879360199,0.3855000138282776
39,2.716916561126709,6.610032558441162,8.74924373626709,0.879800021648407,0.955299973487854,0.12019997835159302,0.044700026512145996,0.3158000111579895,0.3434000015258789
40,2.6256165504455566,6.241514205932617,7.988925933837891,0.8582000136375427,0.9488000273704529,0.14179998636245728,0.05119997262954712,0.34929999709129333,0.3828999996185303
41,2.589122772216797,5.944002151489258,7.616705894470215,0.8533999919891357,0.9495000243186951,0.14660000801086426,0.05049997568130493,0.36469998955726624,0.4016999900341034
42,2.6492886543273926,6.138976097106934,7.663500785827637,0.8634999990463257,0.957099974155426,0.13650000095367432,0.042900025844573975,0.3828999996185303,0.42340001463890076
43,2.7254061698913574,6.380914211273193,8.225139617919922,0.8787000179290771,0.9598000049591064,0.12129998207092285,0.040199995040893555,0.3560999929904938,0.38580000400543213
44,2.6568751335144043,6.133272647857666,7.63394021987915,0.8707000017166138,0.9555000066757202,0.12929999828338623,0.044499993324279785,0.39739999175071716,0.4372999966144562
45,2.75887131690979,6.634028434753418,8.585437774658203,0.8920999765396118,0.9639999866485596,0.10790002346038818,0.03600001335144043,0.38499999046325684,0.4147999882698059
46,2.7696752548217773,6.716986656188965,8.657169342041016,0.8967000246047974,0.9639999866485596,0.10329997539520264,0.03600001335144043,0.3968000113964081,0.43160000443458557
47,2.8139595985412598,6.344475746154785,8.248863220214844,0.9025999903678894,0.96670001745224,0.0974000096321106,0.03329998254776001,0.4000999927520752,0.43529999256134033
48,2.7328457832336426,6.089655876159668,7.545919895172119,0.8827000260353088,0.9664000272750854,0.11729997396469116,0.03359997272491455,0.41339999437332153,0.4611999988555908
49,2.838988780975342,6.582230567932129,8.580202102661133,0.9114000201225281,0.970300018787384,0.08859997987747192,0.029699981212615967,0.3905999958515167,0.4228000044822693
50,2.811887264251709,6.0993146896362305,7.831913471221924,0.9018999934196472,0.9724000096321106,0.09810000658035278,0.027599990367889404,0.41110000014305115,0.44780001044273376
51,2.7636420726776123,5.917356967926025,7.741910457611084,0.8991000056266785,0.96670001745224,0.10089999437332153,0.03329998254776001,0.3440000116825104,0.37610000371932983
52,2.7007110118865967,5.724180221557617,7.072944641113281,0.8754000067710876,0.9675999879837036,0.12459999322891235,0.03240001201629639,0.35749998688697815,0.3928999900817871
