  epoch    IZY    IXZ_1    IZ_1Z_2     acc    avg_acc     err    avg_err    adv_acc    avg_adv_acc
-------  -----  -------  ---------  ------  ---------  ------  ---------  ---------  -------------
      1   0.20    18.99      39.19  0.2601     0.3769  0.7399     0.6231     0.2007         0.2443
      2   0.30     6.13      22.42  0.2887     0.4200  0.7113     0.5800     0.2041         0.2488
      3   1.01     7.06      21.69  0.4456     0.5720  0.5544     0.4280     0.1899         0.2118
      4   1.59    15.12      42.74  0.6050     0.6651  0.3950     0.3349     0.1188         0.1195
      5   1.67    11.04      30.17  0.6177     0.7007  0.3823     0.2993     0.1291         0.1287
      6   1.66     7.98      20.55  0.6073     0.7061  0.3927     0.2939     0.1376         0.1378
      7   1.51     5.56      14.97  0.5622     0.7153  0.4378     0.2847     0.1965         0.2052
      8   1.82     6.70      14.75  0.6466     0.7716  0.3534     0.2284     0.1627         0.1657
      9   1.95     6.85      14.90  0.6820     0.7950  0.3180     0.2050     0.1524         0.1561
     10   1.90     6.46      13.28  0.6698     0.8064  0.3302     0.1936     0.1826         0.1852
     11   2.28    11.40      25.27  0.7847     0.8552  0.2153     0.1448     0.1039         0.1045
     12   2.13     6.83      13.38  0.7392     0.8512  0.2608     0.1488     0.1638         0.1659
     13   2.26     8.16      16.21  0.7754     0.8727  0.2246     0.1273     0.1363         0.1366
     14   2.20     6.64      12.23  0.7548     0.8773  0.2452     0.1227     0.1660         0.1689
     15   2.29     7.21      12.66  0.7776     0.8822  0.2224     0.1178     0.1514         0.1515
     16   2.37     7.87      14.08  0.7984     0.8973  0.2016     0.1027     0.1478         0.1494
     17   2.26     6.75      11.20  0.7639     0.8739  0.2361     0.1261     0.1790         0.1822
     18   2.34     6.79      11.39  0.7902     0.9047  0.2098     0.0953     0.1700         0.1751
     19   2.36     6.84      11.17  0.7965     0.9062  0.2035     0.0938     0.1713         0.1712
     20   2.54     7.99      13.40  0.8470     0.9246  0.1530     0.0754     0.1340         0.1386
     21   2.58     7.99      12.96  0.8498     0.9278  0.1502     0.0722     0.1434         0.1470
     22   2.37     6.82      10.54  0.7922     0.9235  0.2078     0.0765     0.2015         0.2153
     23   2.50     6.98      10.67  0.8269     0.9286  0.1731     0.0714     0.1833         0.1913
     24   2.31     6.74      10.23  0.7815     0.9169  0.2185     0.0831     0.2220         0.2331
     25   2.49     6.79       9.72  0.8213     0.9284  0.1787     0.0716     0.1949         0.2049
     26   2.59     7.37      11.10  0.8532     0.9343  0.1468     0.0657     0.2027         0.2140
     27   2.46     6.63       9.31  0.8178     0.9323  0.1822     0.0677     0.2285         0.2496
     28   2.39     6.65       9.28  0.8066     0.9218  0.1934     0.0782     0.2531         0.2723
     29   2.63     7.40      10.40  0.8625     0.9415  0.1375     0.0585     0.2081         0.2218
     30   2.47     6.75       9.38  0.8230     0.9375  0.1770     0.0625     0.2584         0.2895
     31   2.51     6.70       8.85  0.8336     0.9350  0.1664     0.0650     0.2770         0.3013
     32   2.60     6.78       8.83  0.8494     0.9497  0.1506     0.0503     0.2547         0.2729
     33   2.57     6.43       8.65  0.8435     0.9454  0.1565     0.0546     0.2641         0.2865
     34   2.77     8.16      11.34  0.8981     0.9603  0.1019     0.0397     0.2476         0.2625
     35   2.66     6.76       9.10  0.8699     0.9492  0.1301     0.0508     0.2773         0.3041
     36   2.59     6.26       8.17  0.8474     0.9490  0.1526     0.0510     0.3028         0.3326
     37   2.71     7.16       9.58  0.8804     0.9568  0.1196     0.0432     0.2793         0.2970
     38   2.68     6.70       8.39  0.8739     0.9597  0.1261     0.0403     0.3514         0.3855
     39   2.72     6.61       8.75  0.8798     0.9553  0.1202     0.0447     0.3158         0.3434
     40   2.63     6.24       7.99  0.8582     0.9488  0.1418     0.0512     0.3493         0.3829
     41   2.59     5.94       7.62  0.8534     0.9495  0.1466     0.0505     0.3647         0.4017
     42   2.65     6.14       7.66  0.8635     0.9571  0.1365     0.0429     0.3829         0.4234
     43   2.73     6.38       8.23  0.8787     0.9598  0.1213     0.0402     0.3561         0.3858
     44   2.66     6.13       7.63  0.8707     0.9555  0.1293     0.0445     0.3974         0.4373
     45   2.76     6.63       8.59  0.8921     0.9640  0.1079     0.0360     0.3850         0.4148
     46   2.77     6.72       8.66  0.8967     0.9640  0.1033     0.0360     0.3968         0.4316
     47   2.81     6.34       8.25  0.9026     0.9667  0.0974     0.0333     0.4001         0.4353
     48   2.73     6.09       7.55  0.8827     0.9664  0.1173     0.0336     0.4134         0.4612
     49   2.84     6.58       8.58  0.9114     0.9703  0.0886     0.0297     0.3906         0.4228
     50   2.81     6.10       7.83  0.9019     0.9724  0.0981     0.0276     0.4111         0.4478
     51   2.76     5.92       7.74  0.8991     0.9667  0.1009     0.0333     0.3440         0.3761
     52   2.70     5.72       7.07  0.8754     0.9676  0.1246     0.0324     0.3575         0.3929
     53   2.81     5.89       7.39  0.8995     0.9728  0.1005     0.0272     0.3446         0.3776
     54   2.74     5.84       7.15  0.8849     0.9641  0.1151     0.0359     0.3768         0.4138
     55   2.70     5.50       6.88  0.8777     0.9681  0.1223     0.0319     0.3746         0.4103
     56   2.82     5.67       7.48  0.9076     0.9745  0.0924     0.0255     0.3193         0.3500
     57   2.80     5.57       7.02  0.8968     0.9745  0.1032     0.0255     0.4034         0.4468
     58   2.78     5.58       6.88  0.8992     0.9733  0.1008     0.0267     0.3700         0.4014
     59   2.84     5.52       7.19  0.9089     0.9733  0.0911     0.0267     0.3798         0.4126
     60   2.79     5.34       6.90  0.8994     0.9707  0.1006     0.0293     0.3792         0.4136
     61   2.85     5.36       7.00  0.9136     0.9755  0.0864     0.0245     0.3516         0.3819
     62   2.77     5.22       6.67  0.8964     0.9722  0.1036     0.0278     0.3829         0.4165
     63   2.75     5.23       6.60  0.8918     0.9700  0.1082     0.0300     0.3859         0.4308
     64   2.81     5.08       6.51  0.8978     0.9748  0.1022     0.0252     0.4066         0.4485
     65   2.82     5.10       6.70  0.9040     0.9776  0.0960     0.0224     0.3780         0.4155
     66   2.80     5.13       6.73  0.9024     0.9735  0.0976     0.0265     0.4209         0.4625
     67   2.90     5.37       7.13  0.9219     0.9772  0.0781     0.0228     0.3951         0.4273
     68   2.86     5.00       6.68  0.9143     0.9761  0.0857     0.0239     0.3646         0.3954
     69   2.82     5.16       6.61  0.9054     0.9766  0.0946     0.0234     0.3819         0.4224
     70   2.89     5.50       7.27  0.9277     0.9754  0.0723     0.0246     0.3737         0.3988
     71   2.87     5.03       6.62  0.9155     0.9791  0.0845     0.0209     0.3762         0.4062
     72   2.88     5.15       6.92  0.9237     0.9769  0.0763     0.0231     0.3999         0.4319
     73   2.82     4.83       6.26  0.9061     0.9765  0.0939     0.0235     0.3777         0.4139
     74   2.82     4.81       6.32  0.9053     0.9777  0.0947     0.0223     0.4199         0.4556
     75   2.80     4.74       6.17  0.9009     0.9762  0.0991     0.0238     0.3998         0.4334
     76   2.88     4.98       6.59  0.9166     0.9770  0.0834     0.0230     0.4181         0.4512
     77   2.84     4.70       6.31  0.9080     0.9799  0.0920     0.0201     0.3741         0.4160
     78   2.85     4.80       6.35  0.9129     0.9767  0.0871     0.0233     0.3952         0.4282
     79   2.88     4.90       6.57  0.9237     0.9780  0.0763     0.0220     0.3821         0.4116
     80   2.84     4.66       6.23  0.9109     0.9798  0.0891     0.0202     0.3822         0.4198
     81   2.85     4.79       6.37  0.9127     0.9760  0.0873     0.0240     0.3995         0.4360
     82   2.85     4.81       6.38  0.9120     0.9763  0.0880     0.0237     0.4520         0.4894
     83   2.89     4.74       6.53  0.9225     0.9776  0.0775     0.0224     0.4352         0.4703
     84   2.89     4.82       6.39  0.9235     0.9810  0.0765     0.0190     0.4655         0.5087
     85   2.92     4.86       6.54  0.9289     0.9789  0.0711     0.0211     0.4411         0.4735
     86   2.92     4.78       6.29  0.9256     0.9793  0.0744     0.0207     0.4531         0.4935
     87   2.87     4.68       6.08  0.9187     0.9790  0.0813     0.0210     0.4432         0.4885
     88   2.90     4.73       6.42  0.9276     0.9791  0.0724     0.0209     0.4262         0.4656
     89   2.93     5.01       6.64  0.9311     0.9804  0.0689     0.0196     0.4225         0.4549
