  epoch    IZY    IXZ_1    IZ_1Z_2     acc    avg_acc     err    avg_err    adv_acc    avg_adv_acc
-------  -----  -------  ---------  ------  ---------  ------  ---------  ---------  -------------
      1  -0.81    13.99      28.34  0.1021     0.1019  0.8979     0.8981     0.0995         0.1027
      2  -0.43     3.28      23.40  0.0993     0.1003  0.9007     0.8997     0.1036         0.1019
      3  -0.29     3.08      20.80  0.1017     0.1027  0.8983     0.8973     0.1074         0.1107
      4  -0.56     1.88      18.97  0.1011     0.1051  0.8989     0.8949     0.1064         0.1097
      5  -0.22     1.17      11.60  0.0952     0.1001  0.9048     0.8999     0.1023         0.1020
      6  -0.18     0.57       9.19  0.0976     0.1034  0.9024     0.8966     0.1107         0.1029
      7  -0.07     3.20      18.26  0.0999     0.1023  0.9001     0.8977     0.1089         0.1081
      8  -0.07     2.23      12.89  0.0947     0.1086  0.9053     0.8914     0.1045         0.1093
      9  -0.07     0.49       7.07  0.1015     0.1040  0.8985     0.8960     0.1055         0.1099
     10  -0.05     0.49       6.67  0.1044     0.1019  0.8956     0.8981     0.1078         0.1119
     11  -0.05     1.76      12.22  0.1014     0.1059  0.8986     0.8941     0.1071         0.1152
     12  -0.03     0.98       8.64  0.1029     0.1054  0.8971     0.8946     0.1037         0.1093
     13  -0.02     0.57       5.83  0.1050     0.1066  0.8950     0.8934     0.1096         0.1082
     14  -0.02     1.75      11.50  0.1009     0.1089  0.8991     0.8911     0.1057         0.1105
     15  -0.00     0.58       5.42  0.1068     0.1145  0.8932     0.8855     0.1036         0.1131
     16  -0.01     0.57       5.87  0.0997     0.1106  0.9003     0.8894     0.1074         0.1137
     17  -0.00     1.73       9.08  0.1083     0.1135  0.8917     0.8865     0.1153         0.1138
     18  -0.00     1.21       8.34  0.1064     0.1110  0.8936     0.8890     0.1083         0.1135
     19  -0.00     0.25       3.92  0.1027     0.1129  0.8973     0.8871     0.1122         0.1131
     20  -0.00     0.39       4.38  0.1043     0.1132  0.8957     0.8868     0.1128         0.1140
     21  -0.00     0.33       3.93  0.1076     0.1133  0.8924     0.8867     0.1103         0.1132
     22   0.00     0.52       4.32  0.1092     0.1133  0.8908     0.8867     0.1124         0.1138
     23  -0.00     0.49       3.84  0.1076     0.1132  0.8924     0.8868     0.1114         0.1138
     24   0.00     0.83       4.98  0.1085     0.1134  0.8915     0.8866     0.1095         0.1139
     25   0.00     0.48       3.69  0.1108     0.1134  0.8892     0.8866     0.1128         0.1137
     26   0.00     0.48       3.96  0.1091     0.1136  0.8909     0.8864     0.1131         0.1138
