t,IZY,IXZ_1,IZ_1Z_2,acc,avg_acc,err,avg_err,adv_acc,avg_adv_acc
1,3.14306378364563,679.4899291992188,349.3836669921875,0.9614999890327454,0.9617999792098999,0.03850001096725464,0.0382000207901001,0.01810000091791153,0.018200000748038292
2,3.142656087875366,551.091064453125,277.4759521484375,0.9603000283241272,0.9605000019073486,0.0396999716758728,0.03949999809265137,0.02019999921321869,0.02019999921321869
3,3.2077605724334717,496.1026916503906,233.830810546875,0.9760000109672546,0.9767000079154968,0.02399998903274536,0.023299992084503174,0.014800000004470348,0.014999999664723873
4,3.1901302337646484,421.1747131347656,211.4295654296875,0.9708999991416931,0.9708999991416931,0.029100000858306885,0.029100000858306885,0.019899999722838402,0.020400000736117363
5,3.2052392959594727,443.9909973144531,222.2036590576172,0.9732000231742859,0.9740999937057495,0.02679997682571411,0.02590000629425049,0.019999999552965164,0.019999999552965164
6,3.2096846103668213,364.7559814453125,186.45111083984375,0.9761999845504761,0.9768000245094299,0.023800015449523926,0.02319997549057007,0.026000000536441803,0.027899999171495438
7,3.196449041366577,334.95361328125,179.98043823242188,0.9753000140190125,0.9757999777793884,0.02469998598098755,0.024200022220611572,0.039500001817941666,0.042500000447034836
8,3.216175079345703,296.1285705566406,169.3207550048828,0.9787999987602234,0.9781000018119812,0.02120000123977661,0.0218999981880188,0.0478999987244606,0.055799998342990875
9,3.2099950313568115,331.1803283691406,175.74356079101562,0.977400004863739,0.9772999882698059,0.022599995136260986,0.022700011730194092,0.04019999876618385,0.04390000179409981
10,3.181342601776123,299.913330078125,163.49317932128906,0.9728999733924866,0.9740999937057495,0.027100026607513428,0.02590000629425049,0.05490000173449516,0.06080000102519989
11,3.1868503093719482,235.73294067382812,150.11843872070312,0.9779999852180481,0.978600025177002,0.022000014781951904,0.021399974822998047,0.07989999651908875,0.09749999642372131
12,3.216912031173706,265.4401550292969,150.39642333984375,0.9814000129699707,0.9814000129699707,0.018599987030029297,0.018599987030029297,0.07810000330209732,0.09669999778270721
13,3.189016819000244,281.873779296875,157.07342529296875,0.9763000011444092,0.9760000109672546,0.02369999885559082,0.02399998903274536,0.05079999938607216,0.06120000034570694
14,3.2241322994232178,250.5369873046875,141.20399475097656,0.9829999804496765,0.9825000166893005,0.017000019550323486,0.017499983310699463,0.06319999694824219,0.07519999891519547
15,3.219125747680664,229.21270751953125,144.23199462890625,0.9815000295639038,0.9812999963760376,0.01849997043609619,0.018700003623962402,0.09179999679327011,0.1137000024318695
16,3.2103123664855957,223.3910369873047,140.41412353515625,0.9810000061988831,0.9810000061988831,0.018999993801116943,0.018999993801116943,0.06340000033378601,0.08190000057220459
17,3.2231078147888184,204.3051300048828,128.12796020507812,0.982699990272522,0.9829000234603882,0.017300009727478027,0.017099976539611816,0.0771000012755394,0.09809999912977219
18,3.200131893157959,235.82467651367188,135.45318603515625,0.9790999889373779,0.9787999987602234,0.02090001106262207,0.02120000123977661,0.08079999685287476,0.09390000253915787
19,3.227093458175659,195.2100830078125,124.16405487060547,0.984499990940094,0.9847000241279602,0.015500009059906006,0.015299975872039795,0.09210000187158585,0.1120000034570694
20,3.1936635971069336,212.84963989257812,126.02320861816406,0.9782000184059143,0.9783999919891357,0.021799981594085693,0.021600008010864258,0.06390000134706497,0.07760000228881836
21,3.2150566577911377,209.67245483398438,123.51858520507812,0.982699990272522,0.983299970626831,0.017300009727478027,0.016700029373168945,0.07609999924898148,0.09099999815225601
22,3.1920833587646484,198.18040466308594,127.74983978271484,0.9800999760627747,0.980400025844574,0.019900023937225342,0.019599974155426025,0.09459999948740005,0.11559999734163284
23,3.2133517265319824,181.0024871826172,117.1773910522461,0.9814000129699707,0.9822999835014343,0.018599987030029297,0.017700016498565674,0.10300000011920929,0.12939999997615814
24,3.2008423805236816,214.83860778808594,122.18183898925781,0.9785000085830688,0.9785000085830688,0.021499991416931152,0.021499991416931152,0.05460000038146973,0.06350000202655792
25,3.1991305351257324,176.8606719970703,109.74559020996094,0.9812999963760376,0.9815000295639038,0.018700003623962402,0.01849997043609619,0.08129999786615372,0.09889999777078629
26,3.2081644535064697,174.1629638671875,108.05179595947266,0.9818999767303467,0.9822999835014343,0.01810002326965332,0.017700016498565674,0.09969999641180038,0.1242000013589859
27,3.2092347145080566,167.10719299316406,108.76997375488281,0.982699990272522,0.9828000068664551,0.017300009727478027,0.017199993133544922,0.11699999868869781,0.14650000631809235
28,3.212184190750122,157.00515747070312,105.70499420166016,0.9832000136375427,0.9836000204086304,0.016799986362457275,0.01639997959136963,0.11569999903440475,0.14249999821186066
29,3.2109830379486084,156.14089965820312,102.379638671875,0.9829000234603882,0.9829000234603882,0.017099976539611816,0.017099976539611816,0.10679999738931656,0.12880000472068787
30,3.210920810699463,162.54495239257812,101.12840270996094,0.9824000000953674,0.982699990272522,0.01759999990463257,0.017300009727478027,0.1143999993801117,0.13259999454021454
31,3.1852071285247803,159.53207397460938,105.90689849853516,0.98089998960495,0.98089998960495,0.01910001039505005,0.01910001039505005,0.14319999516010284,0.17229999601840973
32,3.2055540084838867,171.55262756347656,97.57252502441406,0.9825999736785889,0.9825999736785889,0.017400026321411133,0.017400026321411133,0.12039999663829803,0.14159999787807465
33,3.222402572631836,135.93240356445312,93.36022186279297,0.9855999946594238,0.9861000180244446,0.014400005340576172,0.01389998197555542,0.14380000531673431,0.16899999976158142
34,3.222932815551758,157.335205078125,93.1425552368164,0.9851999878883362,0.9851999878883362,0.014800012111663818,0.014800012111663818,0.11620000004768372,0.1379999965429306
35,3.221539258956909,130.39401245117188,88.79747772216797,0.9853000044822693,0.9851999878883362,0.014699995517730713,0.014800012111663818,0.14259999990463257,0.1695999950170517
36,3.223888635635376,122.26776123046875,86.30645751953125,0.98580002784729,0.98580002784729,0.014199972152709961,0.014199972152709961,0.1770000010728836,0.20990000665187836
37,3.199080467224121,157.01620483398438,95.20779418945312,0.9800999760627747,0.9800000190734863,0.019900023937225342,0.019999980926513672,0.11299999803304672,0.13529999554157257
38,3.215697765350342,144.88302612304688,90.98584747314453,0.9843999743461609,0.9837999939918518,0.015600025653839111,0.016200006008148193,0.12970000505447388,0.15800000727176666
39,3.2138805389404297,147.31320190429688,86.47059631347656,0.9842000007629395,0.9836999773979187,0.015799999237060547,0.0163000226020813,0.13079999387264252,0.15109999477863312
40,3.1949920654296875,236.42445373535156,126.26925659179688,0.9793000221252441,0.9787999987602234,0.02069997787475586,0.02120000123977661,0.08760000020265579,0.09459999948740005
41,3.215125322341919,129.78858947753906,86.30413818359375,0.9847000241279602,0.9847999811172485,0.015299975872039795,0.015200018882751465,0.18019999563694,0.20819999277591705
42,3.215104341506958,123.43963623046875,88.46343231201172,0.9848999977111816,0.9847999811172485,0.01510000228881836,0.015200018882751465,0.18230000138282776,0.21799999475479126
43,3.1759238243103027,166.8501739501953,96.41976928710938,0.9793999791145325,0.9796000123023987,0.02060002088546753,0.02039998769760132,0.10509999841451645,0.11469999700784683
44,3.2118380069732666,146.80857849121094,86.69071960449219,0.9830999970436096,0.9836000204086304,0.01690000295639038,0.01639997959136963,0.16130000352859497,0.1808999925851822
45,3.2174856662750244,126.00204467773438,80.69942474365234,0.9853000044822693,0.9857000112533569,0.014699995517730713,0.014299988746643066,0.19259999692440033,0.21819999814033508
46,3.2189674377441406,109.8354721069336,75.51801300048828,0.9854000210762024,0.9850999712944031,0.014599978923797607,0.014900028705596924,0.20630000531673431,0.2345999926328659
47,3.177333354949951,159.88804626464844,103.96415710449219,0.9782000184059143,0.9782000184059143,0.021799981594085693,0.021799981594085693,0.15160000324249268,0.16850000619888306
48,3.190089702606201,133.62530517578125,86.60076904296875,0.9814000129699707,0.9815000295639038,0.018599987030029297,0.01849997043609619,0.1890999972820282,0.21279999613761902
49,3.2191789150238037,107.09942626953125,75.69120788574219,0.9850000143051147,0.9854000210762024,0.014999985694885254,0.014599978923797607,0.2379000037908554,0.26820001006126404
50,3.2114617824554443,153.95159912109375,84.00050354003906,0.9836000204086304,0.983299970626831,0.01639997959136963,0.016700029373168945,0.15469999611377716,0.1678999960422516
51,3.1882917881011963,138.30650329589844,84.35934448242188,0.9811000227928162,0.9818999767303467,0.018899977207183838,0.01810002326965332,0.16339999437332153,0.18369999527931213
52,3.22080135345459,105.49613189697266,76.07406616210938,0.986299991607666,0.986299991607666,0.013700008392333984,0.013700008392333984,0.218299999833107,0.24459999799728394
53,3.21823787689209,101.37787628173828,73.99588012695312,0.9861999750137329,0.9864000082015991,0.01380002498626709,0.013599991798400879,0.2345999926328659,0.258899986743927
54,3.199152946472168,132.57167053222656,82.50453186035156,0.9840999841690063,0.9842000007629395,0.015900015830993652,0.015799999237060547,0.20020000636577606,0.22439999878406525
55,3.201667308807373,143.9622802734375,83.09286499023438,0.9833999872207642,0.9836999773979187,0.01660001277923584,0.0163000226020813,0.16179999709129333,0.18060000240802765
56,3.2139644622802734,111.8860855102539,76.59132385253906,0.9854000210762024,0.9851999878883362,0.014599978923797607,0.014800012111663818,0.2379000037908554,0.2669999897480011
57,3.2177326679229736,106.42264556884766,72.26399230957031,0.9860000014305115,0.9858999848365784,0.013999998569488525,0.01410001516342163,0.25099998712539673,0.27900001406669617
58,3.1865451335906982,134.93106079101562,74.464111328125,0.9819999933242798,0.9822999835014343,0.018000006675720215,0.017700016498565674,0.18799999356269836,0.20669999718666077
59,3.215898275375366,110.86660766601562,72.0966796875,0.9853000044822693,0.9854000210762024,0.014699995517730713,0.014599978923797607,0.24330000579357147,0.27149999141693115
