  epoch    IZY    IXZ_1    IZ_1Z_2     acc    avg_acc     err    avg_err    adv_acc    avg_adv_acc
-------  -----  -------  ---------  ------  ---------  ------  ---------  ---------  -------------
      1   3.14   679.49     349.38  0.9615     0.9618  0.0385     0.0382     0.0181         0.0182
      2   3.14   551.09     277.48  0.9603     0.9605  0.0397     0.0395     0.0202         0.0202
      3   3.21   496.10     233.83  0.9760     0.9767  0.0240     0.0233     0.0148         0.0150
      4   3.19   421.17     211.43  0.9709     0.9709  0.0291     0.0291     0.0199         0.0204
      5   3.21   443.99     222.20  0.9732     0.9741  0.0268     0.0259     0.0200         0.0200
      6   3.21   364.76     186.45  0.9762     0.9768  0.0238     0.0232     0.0260         0.0279
      7   3.20   334.95     179.98  0.9753     0.9758  0.0247     0.0242     0.0395         0.0425
      8   3.22   296.13     169.32  0.9788     0.9781  0.0212     0.0219     0.0479         0.0558
      9   3.21   331.18     175.74  0.9774     0.9773  0.0226     0.0227     0.0402         0.0439
     10   3.18   299.91     163.49  0.9729     0.9741  0.0271     0.0259     0.0549         0.0608
     11   3.19   235.73     150.12  0.9780     0.9786  0.0220     0.0214     0.0799         0.0975
     12   3.22   265.44     150.40  0.9814     0.9814  0.0186     0.0186     0.0781         0.0967
     13   3.19   281.87     157.07  0.9763     0.9760  0.0237     0.0240     0.0508         0.0612
     14   3.22   250.54     141.20  0.9830     0.9825  0.0170     0.0175     0.0632         0.0752
     15   3.22   229.21     144.23  0.9815     0.9813  0.0185     0.0187     0.0918         0.1137
     16   3.21   223.39     140.41  0.9810     0.9810  0.0190     0.0190     0.0634         0.0819
     17   3.22   204.31     128.13  0.9827     0.9829  0.0173     0.0171     0.0771         0.0981
     18   3.20   235.82     135.45  0.9791     0.9788  0.0209     0.0212     0.0808         0.0939
     19   3.23   195.21     124.16  0.9845     0.9847  0.0155     0.0153     0.0921         0.1120
     20   3.19   212.85     126.02  0.9782     0.9784  0.0218     0.0216     0.0639         0.0776
     21   3.22   209.67     123.52  0.9827     0.9833  0.0173     0.0167     0.0761         0.0910
     22   3.19   198.18     127.75  0.9801     0.9804  0.0199     0.0196     0.0946         0.1156
     23   3.21   181.00     117.18  0.9814     0.9823  0.0186     0.0177     0.1030         0.1294
