  epoch    IZY    IXZ_1    IZ_1Z_2     acc    avg_acc     err    avg_err    adv_acc    avg_adv_acc
-------  -----  -------  ---------  ------  ---------  ------  ---------  ---------  -------------
      1   3.11  1115.57     592.11  0.9543     0.9543  0.0457     0.0457     0.0208         0.0207
      2   3.19  1019.33     538.71  0.9714     0.9712  0.0286     0.0288     0.0153         0.0153
      3   3.18   940.33     495.19  0.9689     0.9690  0.0311     0.0310     0.0195         0.0194
      4   3.20   905.15     456.37  0.9716     0.9716  0.0284     0.0284     0.0201         0.0203
      5   3.22   853.03     426.96  0.9795     0.9790  0.0205     0.0210     0.0208         0.0208
      6   3.21   837.76     407.07  0.9756     0.9751  0.0244     0.0249     0.0292         0.0289
      7   3.20   799.12     390.93  0.9745     0.9744  0.0255     0.0256     0.0453         0.0454
      8   3.19   778.64     381.33  0.9763     0.9759  0.0237     0.0241     0.0468         0.0467
      9   3.20   746.37     366.17  0.9782     0.9787  0.0218     0.0213     0.0708         0.0702
     10   3.22   730.80     357.72  0.9797     0.9803  0.0203     0.0197     0.0899         0.0905
     11   3.21   710.52     344.58  0.9792     0.9790  0.0208     0.0210     0.0776         0.0771
     12   3.21   685.52     336.60  0.9799     0.9797  0.0201     0.0203     0.0931         0.0941
     13   3.21   649.39     330.41  0.9800     0.9805  0.0200     0.0195     0.1385         0.1398
     14   3.15   652.36     319.61  0.9693     0.9697  0.0307     0.0303     0.0945         0.0943
     15   3.22   598.14     308.06  0.9834     0.9835  0.0166     0.0165     0.1696         0.1702
     16   3.18   592.54     303.05  0.9764     0.9765  0.0236     0.0235     0.1772         0.1788
     17   3.20   578.63     294.47  0.9815     0.9809  0.0185     0.0191     0.1525         0.1541
     18   3.22   554.22     281.57  0.9819     0.9820  0.0181     0.0180     0.1798         0.1826
     19   3.20   518.67     280.97  0.9789     0.9789  0.0211     0.0211     0.2039         0.2063
     20   3.18   531.78     282.43  0.9781     0.9783  0.0219     0.0217     0.2123         0.2133
     21   3.22   503.00     273.94  0.9824     0.9823  0.0176     0.0177     0.1875         0.1920
     22   3.18   457.92     264.62  0.9778     0.9781  0.0222     0.0219     0.1810         0.1854
     23   3.23   483.85     258.55  0.9827     0.9833  0.0173     0.0167     0.1739         0.1779
     24   3.20   444.62     250.00  0.9804     0.9804  0.0196     0.0196     0.1963         0.2054
     25   3.23   433.82     247.50  0.9851     0.9850  0.0149     0.0150     0.2419         0.2530
     26   3.21   417.16     251.49  0.9828     0.9827  0.0172     0.0173     0.3008         0.3130
     27   3.22   482.32     244.84  0.9810     0.9811  0.0190     0.0189     0.1358         0.1399
     28   3.20   398.10     250.53  0.9815     0.9816  0.0185     0.0184     0.3068         0.3205
     29   3.22   411.39     236.59  0.9844     0.9842  0.0156     0.0158     0.2844         0.2931
     30   3.21   411.95     235.06  0.9825     0.9831  0.0175     0.0169     0.2486         0.2563
