  epoch    IZY    IXZ_1    IZ_1Z_2     acc    avg_acc     err    avg_err    adv_acc    avg_adv_acc
-------  -----  -------  ---------  ------  ---------  ------  ---------  ---------  -------------
      1   3.14  1310.65     652.61  0.9593     0.9593  0.0407     0.0407     0.0208         0.0208
      2   3.18  1244.17     635.50  0.9699     0.9700  0.0301     0.0300     0.0167         0.0167
      3   3.17  1233.58     645.32  0.9683     0.9684  0.0317     0.0316     0.0167         0.0166
      4   3.22  1215.35     643.50  0.9783     0.9783  0.0217     0.0217     0.0128         0.0128
      5   3.19  1189.14     627.95  0.9727     0.9728  0.0273     0.0272     0.0341         0.0341
      6   3.22  1168.97     614.42  0.9786     0.9786  0.0214     0.0214     0.0155         0.0155
      7   3.20  1163.58     624.77  0.9743     0.9745  0.0257     0.0255     0.0337         0.0333
      8   3.21  1142.24     616.21  0.9781     0.9781  0.0219     0.0219     0.0422         0.0424
      9   3.21  1129.02     602.13  0.9772     0.9773  0.0228     0.0227     0.0535         0.0531
     10   3.22  1122.65     585.56  0.9802     0.9799  0.0198     0.0201     0.0402         0.0400
     11   3.20  1109.65     580.06  0.9771     0.9770  0.0229     0.0230     0.0819         0.0820
     12   3.18  1102.18     592.31  0.9770     0.9769  0.0230     0.0231     0.0985         0.0985
     13   3.20  1089.06     556.95  0.9777     0.9778  0.0223     0.0222     0.0776         0.0778
     14   3.21  1074.34     567.09  0.9828     0.9832  0.0172     0.0168     0.0996         0.0996
     15   3.20  1061.86     554.91  0.9783     0.9781  0.0217     0.0219     0.1131         0.1129
     16   3.23  1047.44     535.74  0.9821     0.9822  0.0179     0.0178     0.0614         0.0605
     17   3.21  1039.99     533.11  0.9814     0.9815  0.0186     0.0185     0.1112         0.1121
     18   3.23  1029.25     526.09  0.9840     0.9843  0.0160     0.0157     0.0904         0.0902
     19   3.20  1021.06     526.90  0.9781     0.9782  0.0219     0.0218     0.1175         0.1175
     20   3.21  1006.87     513.67  0.9814     0.9814  0.0186     0.0186     0.1742         0.1752
     21   3.22   992.31     515.58  0.9842     0.9841  0.0158     0.0159     0.1807         0.1806
     22   3.22   985.24     491.71  0.9827     0.9827  0.0173     0.0173     0.1611         0.1609
     23   3.21   975.64     485.53  0.9820     0.9821  0.0180     0.0179     0.1630         0.1635
     24   3.17   961.78     481.55  0.9771     0.9772  0.0229     0.0228     0.1687         0.1688
     25   3.18   957.26     467.98  0.9774     0.9776  0.0226     0.0224     0.1606         0.1606
     26   3.21   933.22     473.92  0.9836     0.9836  0.0164     0.0164     0.2349         0.2357
     27   3.21   938.78     449.99  0.9816     0.9816  0.0184     0.0184     0.1652         0.1653
     28   3.18   921.39     451.74  0.9791     0.9790  0.0209     0.0210     0.2038         0.2040
     29   3.20   910.92     453.17  0.9813     0.9814  0.0187     0.0186     0.2360         0.2355
     30   3.20   894.75     455.81  0.9832     0.9832  0.0168     0.0168     0.3111         0.3117
     31   3.20   895.16     445.70  0.9806     0.9807  0.0194     0.0193     0.2754         0.2760
     32   3.20   881.58     443.92  0.9821     0.9820  0.0179     0.0180     0.2859         0.2867
     33   3.22   874.24     438.75  0.9854     0.9855  0.0146     0.0145     0.2716         0.2724
     34   3.21   843.33     445.89  0.9862     0.9860  0.0138     0.0140     0.3575         0.3584
     35   3.21   816.81     444.66  0.9863     0.9863  0.0137     0.0137     0.3803         0.3804
     36   3.21   784.01     432.78  0.9866     0.9866  0.0134     0.0134     0.3821         0.3818
     37   3.21   742.75     415.46  0.9869     0.9866  0.0131     0.0134     0.3952         0.3953
     38   3.21   688.40     392.38  0.9867     0.9867  0.0133     0.0133     0.4038         0.4035
     39   3.21   611.62     366.93  0.9871     0.9872  0.0129     0.0128     0.4111         0.4129
     40   3.21   476.45     339.33  0.9866     0.9864  0.0134     0.0136     0.4255         0.4289
     41   3.21   348.63     310.49  0.9869     0.9870  0.0131     0.0130     0.4361         0.4522
     42   3.21   276.08     283.59  0.9864     0.9865  0.0136     0.0135     0.4305         0.4630
     43   3.19   414.59     289.12  0.9780     0.9779  0.0220     0.0221     0.1172         0.1193
     44   3.20   358.88     271.50  0.9819     0.9822  0.0181     0.0178     0.2523         0.2641
     45   3.19   364.09     277.00  0.9811     0.9812  0.0189     0.0188     0.2880         0.3002
     46   3.22   370.84     274.77  0.9855     0.9855  0.0145     0.0145     0.2764         0.2876
     47   3.21   366.18     275.85  0.9844     0.9848  0.0156     0.0152     0.2997         0.3102
     48   3.18   390.35     286.54  0.9815     0.9813  0.0185     0.0187     0.2717         0.2798
     49   3.19   392.61     291.29  0.9825     0.9827  0.0175     0.0173     0.2791         0.2852
     50   3.20   377.56     281.40  0.9836     0.9834  0.0164     0.0166     0.3176         0.3231
     51   3.19   356.49     297.94  0.9848     0.9846  0.0152     0.0154     0.4194         0.4345
     52   3.19   410.23     292.58  0.9800     0.9801  0.0200     0.0199     0.2293         0.2320
     53   3.21   375.81     290.60  0.9848     0.9849  0.0152     0.0151     0.3461         0.3528
     54   3.22   349.89     297.81  0.9862     0.9863  0.0138     0.0137     0.4173         0.4295
     55   3.22   337.92     300.45  0.9865     0.9866  0.0135     0.0134     0.4445         0.4567
     56   3.22   328.19     298.42  0.9869     0.9869  0.0131     0.0131     0.4601         0.4734
     57   3.21   319.51     293.04  0.9865     0.9865  0.0135     0.0135     0.4631         0.4765
     58   3.21   370.72     272.71  0.9844     0.9843  0.0156     0.0157     0.2774         0.2837
     59   3.21   361.62     276.33  0.9846     0.9846  0.0154     0.0154     0.3154         0.3227
     60   3.21   337.50     285.11  0.9859     0.9858  0.0141     0.0142     0.4082         0.4177
     61   3.19   380.34     284.22  0.9809     0.9809  0.0191     0.0191     0.3224         0.3319
     62   3.20   380.46     279.05  0.9818     0.9820  0.0182     0.0180     0.3170         0.3218
     63   3.20   362.53     280.62  0.9825     0.9822  0.0175     0.0178     0.3894         0.3978
     64   3.20   355.78     286.55  0.9835     0.9838  0.0165     0.0162     0.3992         0.4086
     65   3.18   375.77     277.56  0.9798     0.9800  0.0202     0.0200     0.3558         0.3647
     66   3.21   357.80     281.78  0.9847     0.9848  0.0153     0.0152     0.4261         0.4373
     67   3.21   341.67     290.94  0.9850     0.9850  0.0150     0.0150     0.4867         0.5013
     68   3.21   333.22     287.72  0.9857     0.9859  0.0143     0.0141     0.4841         0.4980
     69   3.21   325.24     282.30  0.9853     0.9853  0.0147     0.0147     0.4896         0.5035
     70   3.21   315.88     275.08  0.9858     0.9856  0.0142     0.0144     0.4946         0.5102
     71   3.21   305.37     265.93  0.9859     0.9856  0.0141     0.0144     0.4932         0.5097
