  epoch    IZY    IXZ_1    IZ_1Z_2     acc    avg_acc     err    avg_err    adv_acc    avg_adv_acc
-------  -----  -------  ---------  ------  ---------  ------  ---------  ---------  -------------
      1   3.15  1358.47     694.61  0.9628     0.9626  0.0372     0.0374     0.0186         0.0186
      2   3.18  1323.26     697.44  0.9664     0.9660  0.0336     0.0340     0.0174         0.0174
      3   3.18  1290.81     703.08  0.9659     0.9660  0.0341     0.0340     0.0203         0.0203
      4   3.20  1287.13     711.80  0.9740     0.9741  0.0260     0.0259     0.0159         0.0159
      5   3.21  1283.58     725.88  0.9769     0.9766  0.0231     0.0234     0.0190         0.0189
      6   3.21  1273.84     737.67  0.9765     0.9766  0.0235     0.0234     0.0245         0.0247
      7   3.21  1267.63     728.80  0.9776     0.9775  0.0224     0.0225     0.0357         0.0354
      8   3.23  1271.25     740.36  0.9810     0.9810  0.0190     0.0190     0.0398         0.0397
      9   3.23  1277.86     769.13  0.9817     0.9815  0.0183     0.0185     0.0412         0.0410
     10   3.22  1251.42     737.22  0.9784     0.9784  0.0216     0.0216     0.0439         0.0440
     11   3.20  1247.20     736.94  0.9787     0.9788  0.0213     0.0212     0.0395         0.0396
     12   3.21  1244.95     748.54  0.9790     0.9789  0.0210     0.0211     0.1123         0.1130
     13   3.19  1243.79     749.63  0.9756     0.9755  0.0244     0.0245     0.1375         0.1375
     14   3.17  1233.63     736.38  0.9735     0.9735  0.0265     0.0265     0.0862         0.0857
     15   3.21  1234.62     740.95  0.9805     0.9804  0.0195     0.0196     0.0813         0.0811
     16   3.22  1231.61     739.50  0.9814     0.9814  0.0186     0.0186     0.1891         0.1892
     17   3.23  1227.89     731.86  0.9826     0.9824  0.0174     0.0176     0.0976         0.0979
     18   3.22  1218.66     709.61  0.9816     0.9816  0.0184     0.0184     0.1136         0.1136
     19   3.21  1222.23     720.25  0.9816     0.9815  0.0184     0.0185     0.1164         0.1162
     20   3.21  1233.75     754.65  0.9814     0.9815  0.0186     0.0185     0.1708         0.1710
     21   3.23  1215.99     722.06  0.9849     0.9849  0.0151     0.0151     0.1314         0.1316
     22   3.20  1217.69     719.47  0.9804     0.9804  0.0196     0.0196     0.1234         0.1237
     23   3.20  1227.38     753.43  0.9811     0.9812  0.0189     0.0188     0.1635         0.1637
     24   3.21  1214.44     710.68  0.9829     0.9827  0.0171     0.0173     0.1429         0.1427
     25   3.17  1222.06     736.89  0.9767     0.9767  0.0233     0.0233     0.1809         0.1805
     26   3.19  1216.71     729.80  0.9803     0.9802  0.0197     0.0198     0.1193         0.1199
     27   3.22  1223.07     740.01  0.9844     0.9844  0.0156     0.0156     0.1696         0.1692
     28   3.19  1204.16     696.43  0.9789     0.9789  0.0211     0.0211     0.1507         0.1506
     29   3.20  1215.80     730.39  0.9809     0.9810  0.0191     0.0190     0.2300         0.2306
     30   3.20  1206.30     711.61  0.9814     0.9813  0.0186     0.0187     0.1951         0.1953
     31   3.21  1205.88     711.51  0.9831     0.9831  0.0169     0.0169     0.2671         0.2669
     32   3.22  1200.01     691.28  0.9843     0.9841  0.0157     0.0159     0.1765         0.1761
     33   3.22  1202.55     710.30  0.9847     0.9847  0.0153     0.0153     0.2398         0.2401
     34   3.23  1192.95     690.35  0.9850     0.9851  0.0150     0.0149     0.1551         0.1547
     35   3.22  1202.24     733.26  0.9864     0.9864  0.0136     0.0136     0.1784         0.1784
     36   3.23  1205.21     753.42  0.9865     0.9865  0.0135     0.0135     0.2070         0.2070
     37   3.22  1202.46     757.88  0.9868     0.9868  0.0132     0.0132     0.2169         0.2175
     38   3.22  1195.96     754.56  0.9868     0.9867  0.0132     0.0133     0.2224         0.2226
     39   3.22  1185.65     743.85  0.9867     0.9870  0.0133     0.0130     0.2202         0.2203
     40   3.22  1170.34     723.96  0.9870     0.9870  0.0130     0.0130     0.2218         0.2219
     41   3.21  1148.81     693.69  0.9869     0.9870  0.0131     0.0130     0.2252         0.2250
     42   3.21  1118.59     651.86  0.9871     0.9872  0.0129     0.0128     0.2338         0.2336
