  epoch    IZY    IXZ_1    IZ_1Z_2     acc    avg_acc     err    avg_err    adv_acc    avg_adv_acc
-------  -----  -------  ---------  ------  ---------  ------  ---------  ---------  -------------
      1   3.11  1294.98     658.03  0.9556     0.9555  0.0444     0.0445     0.0195         0.0195
      2   3.14  1280.13     676.54  0.9591     0.9591  0.0409     0.0409     0.0251         0.0251
      3   3.15  1272.34     671.52  0.9637     0.9632  0.0363     0.0368     0.0154         0.0153
      4   3.21  1260.23     678.54  0.9766     0.9764  0.0234     0.0236     0.0170         0.0170
      5   3.21  1247.30     679.99  0.9755     0.9755  0.0245     0.0245     0.0170         0.0170
      6   3.22  1251.12     696.72  0.9766     0.9766  0.0234     0.0234     0.0307         0.0308
      7   3.21  1260.82     720.41  0.9775     0.9775  0.0225     0.0225     0.0390         0.0389
      8   3.22  1247.28     703.08  0.9783     0.9783  0.0217     0.0217     0.0250         0.0252
      9   3.20  1256.17     729.61  0.9773     0.9772  0.0227     0.0228     0.0550         0.0548
     10   3.19  1252.07     729.04  0.9769     0.9769  0.0231     0.0231     0.0714         0.0712
     11   3.19  1257.06     736.16  0.9764     0.9764  0.0236     0.0236     0.0577         0.0576
     12   3.18  1240.51     713.63  0.9720     0.9720  0.0280     0.0280     0.0408         0.0407
     13   3.20  1255.22     754.95  0.9803     0.9803  0.0197     0.0197     0.0939         0.0940
     14   3.18  1250.08     748.42  0.9768     0.9770  0.0232     0.0230     0.0589         0.0589
     15   3.20  1249.46     753.12  0.9809     0.9808  0.0191     0.0192     0.0808         0.0810
     16   3.21  1238.81     745.33  0.9813     0.9813  0.0187     0.0187     0.0672         0.0673
     17   3.21  1245.24     754.58  0.9812     0.9811  0.0188     0.0189     0.0966         0.0966
     18   3.21  1235.04     734.89  0.9799     0.9799  0.0201     0.0201     0.0914         0.0916
     19   3.22  1244.52     748.77  0.9827     0.9828  0.0173     0.0172     0.0746         0.0742
     20   3.22  1239.92     750.82  0.9830     0.9831  0.0170     0.0169     0.1197         0.1196
     21   3.19  1242.46     742.87  0.9794     0.9793  0.0206     0.0207     0.1439         0.1438
     22   3.19  1244.89     759.73  0.9790     0.9790  0.0210     0.0210     0.1455         0.1450
     23   3.22  1239.31     746.85  0.9848     0.9847  0.0152     0.0153     0.0772         0.0772
     24   3.21  1241.90     746.70  0.9820     0.9820  0.0180     0.0180     0.0611         0.0611
     25   3.21  1253.88     778.47  0.9843     0.9843  0.0157     0.0157     0.1011         0.1014
     26   3.21  1242.27     736.65  0.9814     0.9814  0.0186     0.0186     0.0799         0.0796
     27   3.21  1256.22     782.88  0.9825     0.9826  0.0175     0.0174     0.1246         0.1245
     28   3.21  1250.42     766.67  0.9838     0.9838  0.0162     0.0162     0.1465         0.1462
     29   3.17  1253.77     771.01  0.9773     0.9773  0.0227     0.0227     0.1889         0.1886
     30   3.14  1248.57     746.30  0.9716     0.9718  0.0284     0.0282     0.1645         0.1646
     31   3.21  1261.89     780.42  0.9845     0.9845  0.0155     0.0155     0.1537         0.1540
     32   3.19  1274.16     827.60  0.9834     0.9832  0.0166     0.0168     0.1944         0.1946
     33   3.21  1258.55     774.38  0.9839     0.9841  0.0161     0.0159     0.1710         0.1712
     34   3.20  1243.59     737.55  0.9799     0.9798  0.0201     0.0202     0.1095         0.1095
     35   3.20  1258.42     779.95  0.9836     0.9836  0.0164     0.0164     0.1392         0.1392
     36   3.18  1269.54     794.91  0.9820     0.9821  0.0180     0.0179     0.2474         0.2473
     37   3.21  1270.77     813.26  0.9853     0.9853  0.0147     0.0147     0.1901         0.1900
     38   3.21  1266.52     803.62  0.9835     0.9835  0.0165     0.0165     0.1884         0.1883
     39   3.21  1267.08     779.43  0.9840     0.9840  0.0160     0.0160     0.1809         0.1810
     40   3.18  1265.61     787.93  0.9801     0.9801  0.0199     0.0199     0.1982         0.1982
     41   3.18  1270.74     803.69  0.9812     0.9812  0.0188     0.0188     0.1955         0.1951
     42   3.22  1272.91     802.41  0.9848     0.9848  0.0152     0.0152     0.2009         0.2008
     43   3.20  1276.84     804.63  0.9826     0.9826  0.0174     0.0174     0.2690         0.2693
     44   3.22  1288.92     846.64  0.9872     0.9872  0.0128     0.0128     0.2908         0.2908
     45   3.22  1294.10     867.67  0.9876     0.9876  0.0124     0.0124     0.2881         0.2886
     46   3.22  1299.15     885.02  0.9877     0.9877  0.0123     0.0123     0.2964         0.2968
     47   3.21  1302.80     899.32  0.9878     0.9878  0.0122     0.0122     0.2943         0.2943
     48   3.21  1305.58     912.25  0.9878     0.9878  0.0122     0.0122     0.2872         0.2872
