  epoch    IZY    IXZ_1    IZ_1Z_2     acc    avg_acc     err    avg_err    adv_acc    avg_adv_acc
-------  -----  -------  ---------  ------  ---------  ------  ---------  ---------  -------------
      1   3.14   821.52     515.89  0.9616     0.9613  0.0384     0.0387     0.0204         0.0203
      2   3.17   697.98     440.80  0.9656     0.9659  0.0344     0.0341     0.0193         0.0193
      3   3.19   610.13     388.27  0.9710     0.9710  0.0290     0.0290     0.0162         0.0162
      4   3.19   602.00     364.02  0.9711     0.9713  0.0289     0.0287     0.0207         0.0209
      5   3.19   521.86     322.77  0.9707     0.9709  0.0293     0.0291     0.0373         0.0375
      6   3.21   497.57     312.29  0.9778     0.9779  0.0222     0.0221     0.0272         0.0273
      7   3.15   455.71     298.72  0.9662     0.9665  0.0338     0.0335     0.0596         0.0608
      8   3.20   424.26     288.65  0.9765     0.9767  0.0235     0.0233     0.0568         0.0582
      9   3.20   405.71     275.07  0.9778     0.9779  0.0222     0.0221     0.0816         0.0830
     10   3.20   384.26     270.67  0.9787     0.9782  0.0213     0.0218     0.0788         0.0819
     11   3.21   363.76     253.23  0.9813     0.9813  0.0187     0.0187     0.0711         0.0744
     12   3.22   339.70     251.50  0.9792     0.9795  0.0208     0.0205     0.1171         0.1238
     13   3.20   299.35     241.94  0.9800     0.9799  0.0200     0.0201     0.1228         0.1382
     14   3.21   324.31     243.68  0.9798     0.9804  0.0202     0.0196     0.1215         0.1332
     15   3.21   292.62     239.20  0.9802     0.9805  0.0198     0.0195     0.1265         0.1446
     16   3.21   328.35     234.51  0.9803     0.9804  0.0197     0.0196     0.1355         0.1465
     17   3.22   281.52     224.64  0.9805     0.9812  0.0195     0.0188     0.1310         0.1476
     18   3.22   278.61     224.43  0.9816     0.9816  0.0184     0.0184     0.1243         0.1398
     19   3.20   350.71     237.02  0.9810     0.9808  0.0190     0.0192     0.0918         0.0980
     20   3.20   346.80     236.16  0.9783     0.9780  0.0217     0.0220     0.0812         0.0861
     21   3.22   261.44     212.52  0.9816     0.9817  0.0184     0.0183     0.1353         0.1532
     22   3.20   249.08     213.99  0.9794     0.9794  0.0206     0.0206     0.1491         0.1777
     23   3.18   228.08     214.04  0.9768     0.9770  0.0232     0.0230     0.1713         0.1984
     24   3.22   219.31     199.76  0.9829     0.9828  0.0171     0.0172     0.1996         0.2285
     25   3.21   244.46     199.12  0.9811     0.9811  0.0189     0.0189     0.1281         0.1447
     26   3.21   286.97     209.03  0.9801     0.9801  0.0199     0.0199     0.1351         0.1506
     27   3.21   235.15     194.45  0.9831     0.9825  0.0169     0.0175     0.1928         0.2159
     28   3.21   226.88     189.61  0.9828     0.9823  0.0172     0.0177     0.1589         0.1833
