  epoch    IZY    IXZ_1    IZ_1Z_2     acc    avg_acc     err    avg_err    adv_acc    avg_adv_acc
-------  -----  -------  ---------  ------  ---------  ------  ---------  ---------  -------------
      1   3.05  1191.62     662.27  0.9413     0.9412  0.0587     0.0588     0.0300         0.0300
      2   3.17  1092.24     634.04  0.9655     0.9653  0.0345     0.0347     0.0172         0.0172
      3   3.20  1044.94     631.42  0.9724     0.9722  0.0276     0.0278     0.0167         0.0167
      4   3.21  1006.53     605.94  0.9748     0.9746  0.0252     0.0254     0.0163         0.0163
      5   3.20   970.91     597.47  0.9765     0.9766  0.0235     0.0234     0.0217         0.0216
      6   3.20   954.66     564.83  0.9720     0.9720  0.0280     0.0280     0.0224         0.0224
      7   3.19   917.56     567.60  0.9754     0.9756  0.0246     0.0244     0.0431         0.0433
      8   3.23   904.38     544.15  0.9805     0.9804  0.0195     0.0196     0.0507         0.0507
      9   3.23   874.17     538.79  0.9813     0.9813  0.0187     0.0187     0.0951         0.0953
     10   3.19   856.52     524.11  0.9771     0.9771  0.0229     0.0229     0.1009         0.1017
     11   3.21   842.83     506.41  0.9805     0.9804  0.0195     0.0196     0.0940         0.0937
     12   3.20   827.31     493.12  0.9776     0.9779  0.0224     0.0221     0.1059         0.1064
     13   3.21   808.92     482.08  0.9800     0.9800  0.0200     0.0200     0.1216         0.1223
     14   3.21   789.04     475.71  0.9803     0.9804  0.0197     0.0196     0.1138         0.1142
     15   3.21   764.29     466.27  0.9808     0.9805  0.0192     0.0195     0.1630         0.1630
     16   3.21   752.90     453.09  0.9806     0.9807  0.0194     0.0193     0.1427         0.1430
     17   3.21   723.37     444.88  0.9822     0.9823  0.0178     0.0177     0.1864         0.1861
     18   3.22   707.67     426.66  0.9815     0.9813  0.0185     0.0187     0.1431         0.1435
     19   3.21   687.72     428.38  0.9833     0.9832  0.0167     0.0168     0.1946         0.1947
     20   3.18   657.89     436.99  0.9790     0.9792  0.0210     0.0208     0.2160         0.2176
     21   3.22   647.15     410.03  0.9829     0.9827  0.0171     0.0173     0.2091         0.2091
     22   3.21   632.73     394.50  0.9826     0.9825  0.0174     0.0175     0.2216         0.2214
     23   3.21   613.31     386.26  0.9826     0.9830  0.0174     0.0170     0.2203         0.2211
     24   3.22   600.13     381.81  0.9835     0.9835  0.0165     0.0165     0.2302         0.2311
     25   3.21   593.54     379.05  0.9825     0.9825  0.0175     0.0175     0.2239         0.2223
     26   3.22   549.10     379.58  0.9849     0.9850  0.0151     0.0150     0.2543         0.2543
     27   3.21   597.96     360.01  0.9806     0.9804  0.0194     0.0196     0.1906         0.1899
     28   3.19   544.72     370.18  0.9810     0.9811  0.0190     0.0189     0.2714         0.2716
     29   3.22   533.74     374.05  0.9841     0.9842  0.0159     0.0158     0.2885         0.2893
     30   3.21   538.44     352.79  0.9836     0.9836  0.0164     0.0164     0.2779         0.2780
     31   3.21   498.52     364.06  0.9850     0.9849  0.0150     0.0151     0.3038         0.3053
     32   3.22   491.07     351.38  0.9840     0.9844  0.0160     0.0156     0.3104         0.3152
     33   3.18   489.68     352.96  0.9802     0.9804  0.0198     0.0196     0.2741         0.2760
     34   3.19   471.59     337.71  0.9822     0.9821  0.0178     0.0179     0.2923         0.2936
     35   3.21   465.40     330.99  0.9845     0.9844  0.0155     0.0156     0.2946         0.2978
     36   3.21   456.71     328.00  0.9837     0.9844  0.0163     0.0156     0.3195         0.3234
     37   3.20   423.71     335.50  0.9859     0.9861  0.0141     0.0139     0.3415         0.3453
