  epoch    IZY    IXZ_1    IZ_1Z_2     acc    avg_acc     err    avg_err    adv_acc    avg_adv_acc
-------  -----  -------  ---------  ------  ---------  ------  ---------  ---------  -------------
      1   3.13  1310.88     670.38  0.9591     0.9596  0.0409     0.0404     0.0222         0.0223
      2   3.16  1280.71     670.76  0.9643     0.9646  0.0357     0.0354     0.0210         0.0210
      3   3.19  1251.94     678.50  0.9701     0.9705  0.0299     0.0295     0.0187         0.0186
      4   3.18  1228.71     686.56  0.9686     0.9688  0.0314     0.0312     0.0201         0.0201
      5   3.22  1220.39     682.41  0.9786     0.9785  0.0214     0.0215     0.0166         0.0166
      6   3.20  1211.19     694.65  0.9737     0.9735  0.0263     0.0265     0.0314         0.0312
      7   3.19  1199.18     685.13  0.9727     0.9727  0.0273     0.0273     0.0435         0.0434
      8   3.17  1199.78     709.65  0.9708     0.9707  0.0292     0.0293     0.0534         0.0534
      9   3.21  1188.85     711.30  0.9804     0.9804  0.0196     0.0196     0.0617         0.0621
     10   3.22  1168.44     674.99  0.9811     0.9811  0.0189     0.0189     0.0575         0.0572
     11   3.18  1170.80     699.31  0.9751     0.9753  0.0249     0.0247     0.0677         0.0683
     12   3.20  1165.50     696.36  0.9778     0.9779  0.0222     0.0221     0.0700         0.0700
     13   3.20  1158.24     697.27  0.9810     0.9810  0.0190     0.0190     0.1027         0.1031
     14   3.22  1150.81     689.36  0.9828     0.9828  0.0172     0.0172     0.0778         0.0779
     15   3.09  1143.23     683.70  0.9621     0.9620  0.0379     0.0380     0.0696         0.0695
     16   3.21  1135.25     693.85  0.9809     0.9810  0.0191     0.0190     0.1171         0.1163
     17   3.12  1128.90     682.39  0.9670     0.9671  0.0330     0.0329     0.0999         0.1002
     18   3.21  1119.59     693.91  0.9827     0.9828  0.0173     0.0172     0.1007         0.1010
     19   3.20  1111.26     686.03  0.9802     0.9803  0.0198     0.0197     0.1232         0.1232
     20   3.21  1101.14     683.90  0.9832     0.9830  0.0168     0.0170     0.1226         0.1234
     21   3.20  1095.08     662.01  0.9824     0.9824  0.0176     0.0176     0.1235         0.1239
     22   3.22  1088.87     666.44  0.9846     0.9846  0.0154     0.0154     0.1375         0.1363
     23   3.19  1071.98     631.98  0.9804     0.9803  0.0196     0.0197     0.1137         0.1139
     24   3.22  1063.12     636.56  0.9828     0.9829  0.0172     0.0171     0.1544         0.1535
     25   3.21  1052.25     668.37  0.9837     0.9837  0.0163     0.0163     0.1682         0.1680
     26   3.19  1046.38     618.82  0.9811     0.9812  0.0189     0.0188     0.1132         0.1131
     27   3.19  1037.82     656.00  0.9821     0.9822  0.0179     0.0178     0.1419         0.1419
     28   3.22  1030.57     625.13  0.9838     0.9838  0.0162     0.0162     0.1055         0.1054
     29   3.20  1020.86     636.48  0.9835     0.9835  0.0165     0.0165     0.1620         0.1620
     30   3.18  1015.63     604.44  0.9797     0.9798  0.0203     0.0202     0.1817         0.1822
     31   3.21  1011.38     607.24  0.9834     0.9834  0.0166     0.0166     0.1406         0.1408
     32   3.20  1002.36     610.18  0.9836     0.9834  0.0164     0.0166     0.1525         0.1521
     33   3.22   996.32     604.57  0.9848     0.9850  0.0152     0.0150     0.1520         0.1514
     34   3.22   984.88     610.34  0.9847     0.9847  0.0153     0.0153     0.1981         0.1979
     35   3.22   974.82     602.22  0.9854     0.9853  0.0146     0.0147     0.2087         0.2095
     36   3.20   967.89     596.66  0.9830     0.9831  0.0170     0.0169     0.1598         0.1602
     37   3.20   961.14     597.38  0.9837     0.9837  0.0163     0.0163     0.1834         0.1838
     38   3.20   958.67     573.84  0.9821     0.9821  0.0179     0.0179     0.1881         0.1883
     39   3.21   945.75     579.96  0.9848     0.9848  0.0152     0.0152     0.2124         0.2126
     40   3.20   937.43     579.80  0.9825     0.9825  0.0175     0.0175     0.2560         0.2563
     41   3.19   937.37     575.50  0.9813     0.9813  0.0187     0.0187     0.2172         0.2166
     42   3.21   927.56     566.29  0.9835     0.9835  0.0165     0.0165     0.1905         0.1906
     43   3.21   925.04     558.61  0.9840     0.9839  0.0160     0.0161     0.2344         0.2347
     44   3.20   907.48     577.94  0.9846     0.9847  0.0154     0.0153     0.2264         0.2269
     45   3.19   892.04     590.83  0.9850     0.9848  0.0150     0.0152     0.2486         0.2481
     46   3.20   872.80     588.23  0.9860     0.9860  0.0140     0.0140     0.2623         0.2626
     47   3.20   848.60     579.85  0.9862     0.9862  0.0138     0.0138     0.2622         0.2618
     48   3.19   816.12     564.14  0.9864     0.9864  0.0136     0.0136     0.2612         0.2608
     49   3.19   773.31     542.62  0.9865     0.9865  0.0135     0.0135     0.2668         0.2668
     50   3.19   714.33     514.84  0.9865     0.9866  0.0135     0.0134     0.2801         0.2804
     51   3.19   630.87     474.07  0.9863     0.9863  0.0137     0.0137     0.3211         0.3219
     52   3.19   520.39     441.16  0.9862     0.9861  0.0138     0.0139     0.3636         0.3644
     53   3.19   412.94     415.34  0.9862     0.9862  0.0138     0.0138     0.3854         0.3907
     54   3.19   329.39     382.28  0.9864     0.9863  0.0136     0.0137     0.3988         0.4082
     55   3.20   276.24     349.87  0.9861     0.9861  0.0139     0.0139     0.4194         0.4345
     56   3.21   375.24     331.92  0.9847     0.9847  0.0153     0.0153     0.2653         0.2712
     57   3.21   373.60     331.92  0.9858     0.9858  0.0142     0.0142     0.2887         0.2945
     58   3.21   380.04     336.87  0.9850     0.9851  0.0150     0.0149     0.2926         0.2992
     59   3.19   391.34     339.17  0.9827     0.9824  0.0173     0.0176     0.3027         0.3072
     60   3.21   388.49     334.67  0.9847     0.9847  0.0153     0.0153     0.2813         0.2860
     61   3.20   377.50     355.72  0.9844     0.9843  0.0156     0.0157     0.3363         0.3441
     62   3.21   381.12     344.61  0.9857     0.9858  0.0143     0.0142     0.3403         0.3448
     63   3.20   374.49     347.11  0.9851     0.9854  0.0149     0.0146     0.3400         0.3481
