  epoch    IZY    IXZ_1    IZ_1Z_2     acc    avg_acc     err    avg_err    adv_acc    avg_adv_acc
-------  -----  -------  ---------  ------  ---------  ------  ---------  ---------  -------------
      1   3.13  1318.60     663.33  0.9587     0.9585  0.0413     0.0415     0.0210         0.0209
      2   3.18  1299.64     670.34  0.9672     0.9671  0.0328     0.0329     0.0182         0.0183
      3   3.18  1272.37     670.00  0.9698     0.9697  0.0302     0.0303     0.0166         0.0166
      4   3.19  1274.19     688.32  0.9720     0.9721  0.0280     0.0279     0.0192         0.0191
      5   3.21  1269.26     714.57  0.9763     0.9762  0.0237     0.0238     0.0225         0.0223
      6   3.19  1241.74     692.78  0.9715     0.9714  0.0285     0.0286     0.0214         0.0215
      7   3.22  1248.04     707.27  0.9789     0.9788  0.0211     0.0212     0.0331         0.0332
      8   3.21  1245.80     725.49  0.9796     0.9797  0.0204     0.0203     0.0310         0.0306
      9   3.19  1226.47     696.70  0.9725     0.9723  0.0275     0.0277     0.0312         0.0313
     10   3.22  1233.27     725.02  0.9816     0.9815  0.0184     0.0185     0.0586         0.0588
     11   3.21  1230.15     730.75  0.9783     0.9783  0.0217     0.0217     0.0853         0.0845
     12   3.22  1226.89     734.48  0.9818     0.9818  0.0182     0.0182     0.0929         0.0929
     13   3.19  1211.96     711.13  0.9769     0.9766  0.0231     0.0234     0.0744         0.0742
     14   3.19  1218.41     738.76  0.9790     0.9789  0.0210     0.0211     0.1372         0.1374
     15   3.21  1216.20     735.16  0.9805     0.9804  0.0195     0.0196     0.0913         0.0912
     16   3.19  1223.87     761.17  0.9763     0.9764  0.0237     0.0236     0.1236         0.1234
     17   3.22  1219.10     755.21  0.9830     0.9830  0.0170     0.0170     0.1270         0.1265
     18   3.17  1215.51     731.59  0.9739     0.9740  0.0261     0.0260     0.1079         0.1078
     19   3.20  1224.28     756.38  0.9800     0.9800  0.0200     0.0200     0.1406         0.1409
     20   3.19  1219.79     737.92  0.9793     0.9794  0.0207     0.0206     0.0941         0.0946
     21   3.18  1226.04     755.48  0.9792     0.9792  0.0208     0.0208     0.1826         0.1823
     22   3.18  1229.89     772.87  0.9793     0.9792  0.0207     0.0208     0.1397         0.1401
     23   3.22  1219.06     736.45  0.9837     0.9836  0.0163     0.0164     0.1074         0.1075
     24   3.22  1221.62     747.79  0.9830     0.9829  0.0170     0.0171     0.1381         0.1384
     25   3.21  1214.38     710.68  0.9791     0.9791  0.0209     0.0209     0.1198         0.1199
     26   3.23  1223.70     745.87  0.9857     0.9857  0.0143     0.0143     0.1774         0.1772
     27   3.19  1242.57     807.68  0.9825     0.9826  0.0175     0.0174     0.2102         0.2093
     28   3.19  1237.50     794.07  0.9825     0.9826  0.0175     0.0174     0.1453         0.1447
     29   3.23  1228.36     758.80  0.9855     0.9856  0.0145     0.0144     0.1841         0.1841
     30   3.18  1232.22     775.79  0.9808     0.9808  0.0192     0.0192     0.1939         0.1934
     31   3.22  1228.03     758.20  0.9851     0.9852  0.0149     0.0148     0.2174         0.2176
     32   3.21  1218.54     721.62  0.9823     0.9823  0.0177     0.0177     0.1527         0.1528
     33   3.22  1236.38     774.60  0.9842     0.9841  0.0158     0.0159     0.2215         0.2214
     34   3.22  1235.87     773.67  0.9862     0.9862  0.0138     0.0138     0.2318         0.2323
     35   3.19  1241.25     782.21  0.9814     0.9812  0.0186     0.0188     0.2120         0.2113
     36   3.20  1232.84     769.59  0.9821     0.9821  0.0179     0.0179     0.2674         0.2675
     37   3.22  1238.63     794.18  0.9852     0.9853  0.0148     0.0147     0.2189         0.2188
     38   3.20  1233.20     772.52  0.9839     0.9839  0.0161     0.0161     0.2159         0.2164
     39   3.22  1227.07     755.56  0.9848     0.9849  0.0152     0.0151     0.2558         0.2557
     40   3.22  1234.92     793.38  0.9861     0.9859  0.0139     0.0141     0.2584         0.2583
     41   3.22  1223.38     756.91  0.9860     0.9860  0.0140     0.0140     0.2318         0.2320
     42   3.21  1228.95     769.51  0.9843     0.9841  0.0157     0.0159     0.2345         0.2342
     43   3.21  1230.52     789.47  0.9859     0.9859  0.0141     0.0141     0.2619         0.2619
     44   3.19  1229.64     786.54  0.9823     0.9825  0.0177     0.0175     0.2603         0.2608
     45   3.22  1235.46     795.95  0.9861     0.9860  0.0139     0.0140     0.2741         0.2743
     46   3.22  1220.85     755.87  0.9855     0.9853  0.0145     0.0147     0.2667         0.2662
     47   3.18  1224.01     781.78  0.9820     0.9821  0.0180     0.0179     0.3176         0.3174
     48   3.19  1235.01     818.28  0.9834     0.9834  0.0166     0.0166     0.3350         0.3345
     49   3.21  1227.36     797.86  0.9866     0.9866  0.0134     0.0134     0.3442         0.3446
     50   3.21  1233.01     831.05  0.9862     0.9862  0.0138     0.0138     0.3711         0.3707
     51   3.21  1233.86     847.32  0.9861     0.9862  0.0139     0.0138     0.3800         0.3794
     52   3.20  1231.93     858.09  0.9864     0.9863  0.0136     0.0137     0.3793         0.3793
     53   3.20  1227.16     864.42  0.9862     0.9862  0.0138     0.0138     0.3749         0.3747
     54   3.20  1219.00     866.35  0.9862     0.9862  0.0138     0.0138     0.3730         0.3730
     55   3.19  1206.78     862.68  0.9862     0.9862  0.0138     0.0138     0.3739         0.3745
     56   3.19  1189.08     852.33  0.9862     0.9862  0.0138     0.0138     0.3640         0.3642
     57   3.19  1165.04     833.67  0.9862     0.9862  0.0138     0.0138     0.3639         0.3639
     58   3.19  1132.32     804.34  0.9862     0.9862  0.0138     0.0138     0.3643         0.3639
     59   3.19  1090.11     763.47  0.9862     0.9862  0.0138     0.0138     0.3611         0.3618
     60   3.19  1035.32     711.41  0.9863     0.9863  0.0137     0.0137     0.3587         0.3593
     61   3.18   967.50     655.31  0.9862     0.9862  0.0138     0.0138     0.3706         0.3714
     62   3.18   882.42     603.94  0.9862     0.9862  0.0138     0.0138     0.3894         0.3898
     63   3.18   780.38     561.50  0.9864     0.9864  0.0136     0.0136     0.4100         0.4103
     64   3.18   655.71     529.54  0.9863     0.9863  0.0137     0.0137     0.4235         0.4240
     65   3.18   512.21     504.50  0.9863     0.9865  0.0137     0.0135     0.4491         0.4507
     66   3.18   385.93     472.56  0.9868     0.9869  0.0132     0.0131     0.4629         0.4664
     67   3.16   529.17     370.02  0.9757     0.9759  0.0243     0.0241     0.1549         0.1545
     68   3.20   450.56     370.42  0.9847     0.9846  0.0153     0.0154     0.3536         0.3551
     69   3.20   437.31     382.44  0.9855     0.9854  0.0145     0.0146     0.3617         0.3636
     70   3.21   439.16     381.98  0.9857     0.9857  0.0143     0.0143     0.3776         0.3799
     71   3.20   428.18     390.00  0.9858     0.9858  0.0142     0.0142     0.3931         0.3954
     72   3.20   421.79     396.84  0.9856     0.9856  0.0144     0.0144     0.4098         0.4121
     73   3.20   416.16     405.60  0.9859     0.9859  0.0141     0.0141     0.4214         0.4209
     74   3.20   410.43     413.67  0.9861     0.9860  0.0139     0.0140     0.4306         0.4335
     75   3.19   405.04     421.86  0.9860     0.9859  0.0140     0.0141     0.4334         0.4360
     76   3.19   399.07     432.96  0.9860     0.9861  0.0140     0.0139     0.4431         0.4473
     77   3.19   392.81     443.17  0.9862     0.9860  0.0138     0.0140     0.4460         0.4511
     78   3.19   385.93     454.05  0.9864     0.9864  0.0136     0.0136     0.4557         0.4610
     79   3.18   379.23     461.53  0.9860     0.9860  0.0140     0.0140     0.4591         0.4660
     80   3.18   372.45     462.63  0.9860     0.9862  0.0140     0.0138     0.4676         0.4735
     81   3.20   500.79     365.28  0.9841     0.9840  0.0159     0.0160     0.2298         0.2303
     82   3.21   464.06     373.52  0.9852     0.9853  0.0148     0.0147     0.3018         0.3023
     83   3.21   450.56     379.01  0.9869     0.9867  0.0131     0.0133     0.3204         0.3206
     84   3.21   442.96     385.05  0.9872     0.9872  0.0128     0.0128     0.3300         0.3299
     85   3.21   436.49     392.02  0.9874     0.9874  0.0126     0.0126     0.3437         0.3444
     86   3.20   430.68     399.19  0.9872     0.9872  0.0128     0.0128     0.3564         0.3571
     87   3.20   425.21     406.73  0.9872     0.9873  0.0128     0.0127     0.3750         0.3752
     88   3.20   419.83     414.77  0.9878     0.9877  0.0122     0.0123     0.3837         0.3836
     89   3.19   414.70     424.13  0.9875     0.9875  0.0125     0.0125     0.3941         0.3942
     90   3.19   409.11     433.18  0.9870     0.9870  0.0130     0.0130     0.4046         0.4060
     91   3.19   402.84     440.48  0.9874     0.9875  0.0126     0.0125     0.4117         0.4134
     92   3.19   395.79     446.48  0.9873     0.9873  0.0127     0.0127     0.4206         0.4226
     93   3.19   387.67     447.83  0.9871     0.9872  0.0129     0.0128     0.4251         0.4275
     94   3.19   378.92     446.72  0.9875     0.9874  0.0125     0.0126     0.4260         0.4279
     95   3.18   369.80     439.63  0.9877     0.9877  0.0123     0.0123     0.4202         0.4242
     96   3.18   359.83     430.06  0.9875     0.9874  0.0125     0.0126     0.4219         0.4232
     97   3.18   347.35     418.69  0.9878     0.9878  0.0122     0.0122     0.4269         0.4276
     98   3.18   332.79     406.49  0.9872     0.9872  0.0128     0.0128     0.4173         0.4213
     99   3.18   319.91     393.89  0.9875     0.9875  0.0125     0.0125     0.4215         0.4252
    100   3.19   305.63     380.18  0.9875     0.9875  0.0125     0.0125     0.4313         0.4322
    101   3.18   416.38     341.53  0.9842     0.9841  0.0158     0.0159     0.3055         0.3058
    102   3.18   399.02     340.10  0.9859     0.9860  0.0141     0.0140     0.3499         0.3516
    103   3.18   392.21     342.19  0.9851     0.9852  0.0149     0.0148     0.3645         0.3661
    104   3.18   389.18     348.27  0.9861     0.9860  0.0139     0.0140     0.3718         0.3722
    105   3.19   384.20     349.50  0.9861     0.9862  0.0139     0.0138     0.3792         0.3795
    106   3.18   380.38     352.64  0.9861     0.9862  0.0139     0.0138     0.3894         0.3899
    107   3.18   376.31     356.05  0.9863     0.9863  0.0137     0.0137     0.3909         0.3911
    108   3.18   372.04     359.76  0.9862     0.9862  0.0138     0.0138     0.4001         0.4023
    109   3.18   367.57     363.05  0.9863     0.9863  0.0137     0.0137     0.4174         0.4200
    110   3.18   362.81     368.68  0.9863     0.9864  0.0137     0.0136     0.4241         0.4251
    111   3.18   358.39     373.99  0.9866     0.9865  0.0134     0.0135     0.4340         0.4345
    112   3.18   353.28     378.35  0.9867     0.9869  0.0133     0.0131     0.4398         0.4442
    113   3.17   348.52     383.65  0.9866     0.9863  0.0134     0.0137     0.4491         0.4520
    114   3.17   343.23     385.71  0.9868     0.9867  0.0132     0.0133     0.4513         0.4556
    115   3.17   339.02     386.55  0.9866     0.9864  0.0134     0.0136     0.4510         0.4546
    116   3.17   332.93     386.35  0.9867     0.9867  0.0133     0.0133     0.4647         0.4662
    117   3.17   327.38     383.48  0.9864     0.9863  0.0136     0.0137     0.4698         0.4719
    118   3.17   319.78     379.50  0.9865     0.9864  0.0135     0.0136     0.4615         0.4641
    119   3.17   311.20     372.72  0.9867     0.9867  0.0133     0.0133     0.4602         0.4624
    120   3.18   301.36     361.94  0.9865     0.9865  0.0135     0.0135     0.4511         0.4557
    121   3.17   289.39     352.45  0.9872     0.9870  0.0128     0.0130     0.4623         0.4650
    122   3.17   277.95     340.93  0.9869     0.9869  0.0131     0.0131     0.4615         0.4673
    123   3.16   334.96     304.67  0.9822     0.9822  0.0178     0.0178     0.3074         0.3080
    124   3.18   326.88     309.12  0.9847     0.9849  0.0153     0.0151     0.3273         0.3278
    125   3.20   326.90     311.75  0.9874     0.9874  0.0126     0.0126     0.3441         0.3455
    126   3.20   323.90     312.77  0.9869     0.9869  0.0131     0.0131     0.3637         0.3655
    127   3.20   321.05     314.32  0.9872     0.9872  0.0128     0.0128     0.3692         0.3718
    128   3.20   317.92     315.38  0.9870     0.9870  0.0130     0.0130     0.3766         0.3796
    129   3.19   314.80     317.41  0.9866     0.9869  0.0134     0.0131     0.3924         0.3931
    130   3.19   311.47     320.04  0.9873     0.9871  0.0127     0.0129     0.3980         0.4011
    131   3.19   307.98     323.01  0.9870     0.9871  0.0130     0.0129     0.4147         0.4163
    132   3.19   304.11     326.36  0.9875     0.9874  0.0125     0.0126     0.4211         0.4259
    133   3.19   300.50     328.73  0.9874     0.9876  0.0126     0.0124     0.4323         0.4371
    134   3.19   296.63     331.56  0.9874     0.9876  0.0126     0.0124     0.4444         0.4494
    135   3.19   292.81     332.65  0.9875     0.9876  0.0125     0.0124     0.4436         0.4489
    136   3.19   289.27     333.46  0.9873     0.9875  0.0127     0.0125     0.4515         0.4589
    137   3.19   285.56     332.96  0.9880     0.9878  0.0120     0.0122     0.4493         0.4549
    138   3.19   281.22     330.14  0.9876     0.9878  0.0124     0.0122     0.4517         0.4578
    139   3.19   276.21     328.29  0.9876     0.9875  0.0124     0.0125     0.4596         0.4690
    140   3.19   270.05     322.62  0.9873     0.9875  0.0127     0.0125     0.4591         0.4675
    141   3.19   263.99     317.33  0.9879     0.9879  0.0121     0.0121     0.4640         0.4720
    142   3.19   258.90     311.71  0.9873     0.9875  0.0127     0.0125     0.4604         0.4657
    143   3.18   293.63     304.19  0.9860     0.9861  0.0140     0.0139     0.4105         0.4141
    144   3.19   295.80     301.95  0.9865     0.9865  0.0135     0.0135     0.4195         0.4261
    145   3.19   293.65     304.30  0.9870     0.9871  0.0130     0.0129     0.4356         0.4424
    146   3.19   292.95     306.10  0.9872     0.9872  0.0128     0.0128     0.4320         0.4362
    147   3.19   292.09     306.99  0.9870     0.9870  0.0130     0.0130     0.4427         0.4493
    148   3.19   291.06     308.32  0.9873     0.9874  0.0127     0.0126     0.4461         0.4527
    149   3.19   289.91     311.02  0.9869     0.9871  0.0131     0.0129     0.4503         0.4566
    150   3.19   288.55     312.58  0.9871     0.9871  0.0129     0.0129     0.4579         0.4625
    151   3.19   287.76     314.26  0.9875     0.9874  0.0125     0.0126     0.4632         0.4695
    152   3.19   285.95     316.43  0.9875     0.9872  0.0125     0.0128     0.4668         0.4745
    153   3.19   284.08     317.58  0.9870     0.9870  0.0130     0.0130     0.4679         0.4777
    154   3.19   282.08     317.80  0.9876     0.9876  0.0124     0.0124     0.4685         0.4765
    155   3.19   279.57     318.75  0.9873     0.9874  0.0127     0.0126     0.4725         0.4792
    156   3.19   276.85     317.57  0.9874     0.9872  0.0126     0.0128     0.4794         0.4864
    157   3.18   274.47     314.99  0.9875     0.9876  0.0125     0.0124     0.4706         0.4769
    158   3.19   271.03     313.70  0.9873     0.9872  0.0127     0.0128     0.4731         0.4788
    159   3.19   269.26     310.31  0.9874     0.9876  0.0126     0.0124     0.4737         0.4836
    160   3.19   263.48     306.11  0.9876     0.9877  0.0124     0.0123     0.4794         0.4898
    161   3.19   257.06     301.80  0.9879     0.9877  0.0121     0.0123     0.4686         0.4801
    162   3.19   249.34     295.83  0.9875     0.9874  0.0125     0.0126     0.4802         0.4921
    163   3.19   241.92     289.63  0.9877     0.9877  0.0123     0.0123     0.4814         0.4931
    164   3.19   232.68     281.40  0.9872     0.9873  0.0128     0.0127     0.4797         0.4952
    165   3.19   241.96     267.92  0.9872     0.9872  0.0128     0.0128     0.4318         0.4400
    166   3.17   230.09     286.74  0.9875     0.9874  0.0125     0.0126     0.5050         0.5194
    167   3.18   235.00     273.90  0.9872     0.9872  0.0128     0.0128     0.4841         0.5010
    168   3.19   231.93     272.87  0.9871     0.9873  0.0129     0.0127     0.4896         0.5074
    169   3.19   229.06     270.30  0.9877     0.9875  0.0123     0.0125     0.4847         0.5058
    170   3.19   225.58     264.92  0.9880     0.9879  0.0120     0.0121     0.4770         0.4956
    171   3.19   220.39     263.39  0.9874     0.9874  0.0126     0.0126     0.4864         0.5058
    172   3.19   214.79     259.78  0.9874     0.9875  0.0126     0.0125     0.4809         0.5028
    173   3.19   210.41     257.94  0.9874     0.9874  0.0126     0.0126     0.4888         0.5090
    174   3.19   207.14     252.48  0.9875     0.9874  0.0125     0.0126     0.4796         0.5038
    175   3.19   205.99     247.31  0.9873     0.9875  0.0127     0.0125     0.4773         0.4941
    176   3.19   199.67     245.60  0.9873     0.9874  0.0127     0.0126     0.4835         0.5070
    177   3.19   195.50     244.15  0.9878     0.9877  0.0122     0.0123     0.4843         0.5129
    178   3.20   196.95     237.58  0.9880     0.9881  0.0120     0.0119     0.4692         0.4924
    179   3.20   188.64     237.55  0.9880     0.9879  0.0120     0.0121     0.4873         0.5163
    180   3.20   187.22     235.47  0.9876     0.9876  0.0124     0.0124     0.4847         0.5163
    181   3.20   183.25     233.17  0.9882     0.9880  0.0118     0.0120     0.4828         0.5147
