  epoch    IZY    IXZ_1    IZ_1Z_2     acc    avg_acc     err    avg_err    adv_acc    avg_adv_acc
-------  -----  -------  ---------  ------  ---------  ------  ---------  ---------  -------------
      1   3.10  1326.27     670.44  0.9495     0.9491  0.0505     0.0509     0.0242         0.0242
      2   3.17  1314.98     683.55  0.9664     0.9664  0.0336     0.0336     0.0166         0.0166
      3   3.17  1294.40     688.37  0.9652     0.9650  0.0348     0.0350     0.0223         0.0223
      4   3.17  1288.08     696.51  0.9675     0.9675  0.0325     0.0325     0.0213         0.0215
      5   3.17  1288.78     713.50  0.9658     0.9657  0.0342     0.0343     0.0257         0.0256
      6   3.22  1285.73     732.60  0.9779     0.9780  0.0221     0.0220     0.0311         0.0312
      7   3.14  1281.48     749.86  0.9664     0.9665  0.0336     0.0335     0.0472         0.0472
      8   3.18  1266.37     720.22  0.9721     0.9721  0.0279     0.0279     0.0443         0.0444
      9   3.20  1281.87     745.78  0.9788     0.9787  0.0212     0.0213     0.0642         0.0640
     10   3.21  1269.15     751.96  0.9774     0.9774  0.0226     0.0226     0.0756         0.0758
     11   3.22  1258.23     741.35  0.9807     0.9807  0.0193     0.0193     0.0772         0.0773
     12   3.23  1263.17     743.19  0.9815     0.9817  0.0185     0.0183     0.0833         0.0830
     13   3.22  1260.87     758.03  0.9816     0.9815  0.0184     0.0185     0.1167         0.1163
     14   3.22  1262.07     760.17  0.9830     0.9830  0.0170     0.0170     0.1071         0.1068
     15   3.21  1258.98     748.70  0.9798     0.9799  0.0202     0.0201     0.0923         0.0924
     16   3.22  1246.79     732.72  0.9820     0.9820  0.0180     0.0180     0.0932         0.0933
     17   3.18  1266.60     795.13  0.9801     0.9800  0.0199     0.0200     0.1543         0.1539
     18   3.16  1254.83     748.85  0.9733     0.9733  0.0267     0.0267     0.1643         0.1643
     19   3.20  1269.04     780.92  0.9811     0.9809  0.0189     0.0191     0.2000         0.2005
     20   3.21  1265.40     777.77  0.9815     0.9812  0.0185     0.0188     0.1884         0.1882
     21   3.19  1266.74     789.02  0.9788     0.9790  0.0212     0.0210     0.1859         0.1864
     22   3.19  1263.99     782.92  0.9780     0.9780  0.0220     0.0220     0.1512         0.1513
     23   3.20  1277.50     809.62  0.9833     0.9833  0.0167     0.0167     0.2039         0.2042
     24   3.21  1260.42     765.46  0.9818     0.9819  0.0182     0.0181     0.1812         0.1814
     25   3.21  1266.67     777.92  0.9828     0.9828  0.0172     0.0172     0.2118         0.2121
     26   3.18  1271.99     790.66  0.9799     0.9801  0.0201     0.0199     0.2248         0.2253
     27   3.19  1270.59     796.48  0.9813     0.9812  0.0187     0.0188     0.1968         0.1968
     28   3.19  1261.12     755.03  0.9795     0.9794  0.0205     0.0206     0.1654         0.1653
     29   3.18  1271.38     791.62  0.9805     0.9805  0.0195     0.0195     0.2134         0.2135
     30   3.15  1279.88     819.86  0.9799     0.9799  0.0201     0.0201     0.2232         0.2239
     31   3.22  1265.28     777.93  0.9839     0.9839  0.0161     0.0161     0.2145         0.2147
     32   3.21  1290.38     842.02  0.9859     0.9861  0.0141     0.0139     0.2489         0.2495
     33   3.21  1298.94     881.66  0.9868     0.9868  0.0132     0.0132     0.2276         0.2276
     34   3.21  1307.83     909.63  0.9875     0.9875  0.0125     0.0125     0.2544         0.2549
     35   3.21  1312.81     928.32  0.9874     0.9873  0.0126     0.0127     0.2603         0.2605
     36   3.20  1317.73     947.28  0.9874     0.9875  0.0126     0.0125     0.2633         0.2632
     37   3.20  1321.86     964.74  0.9873     0.9873  0.0127     0.0127     0.2623         0.2627
     38   3.20  1325.67     982.20  0.9874     0.9876  0.0126     0.0124     0.2642         0.2634
     39   3.19  1328.45     997.99  0.9875     0.9875  0.0125     0.0125     0.2618         0.2617
     40   3.19  1330.69    1013.63  0.9875     0.9876  0.0125     0.0124     0.2670         0.2671
     41   3.19  1331.92    1027.98  0.9875     0.9876  0.0125     0.0124     0.2654         0.2651
     42   3.18  1331.86    1040.81  0.9876     0.9876  0.0124     0.0124     0.2637         0.2629
