t,IZY,IXZ_1,IZ_1Z_2,IZ_2Z_3,acc,avg_acc,err,avg_err,adv_acc,avg_adv_acc
1,3.062289237976074,396.1475524902344,210.65853881835938,109.7291488647461,0.9431999921798706,0.9495999813079834,0.056800007820129395,0.0504000186920166,0.05180000141263008,0.05400000140070915
2,3.1306254863739014,365.7344970703125,222.86331176757812,112.4337387084961,0.9591000080108643,0.9585000276565552,0.04089999198913574,0.041499972343444824,0.030799999833106995,0.03150000050663948
3,3.1353440284729004,303.65606689453125,160.22825622558594,89.17155456542969,0.9593999981880188,0.9635999798774719,0.0406000018119812,0.036400020122528076,0.061500001698732376,0.06840000301599503
4,3.1765036582946777,342.77178955078125,216.61093139648438,107.11570739746094,0.9695000052452087,0.9714999794960022,0.03049999475479126,0.028500020503997803,0.03009999915957451,0.032999999821186066
5,3.1814703941345215,288.3858337402344,141.30628967285156,79.85887908935547,0.9696000218391418,0.9713000059127808,0.030399978160858154,0.02869999408721924,0.0575999990105629,0.06729999929666519
6,3.197120428085327,250.95062255859375,142.40196228027344,76.32080078125,0.9736999869346619,0.9749000072479248,0.026300013065338135,0.025099992752075195,0.05009999871253967,0.06159999966621399
7,3.1880505084991455,264.677001953125,135.13279724121094,71.04411315917969,0.9732999801635742,0.9753000140190125,0.02670001983642578,0.02469998598098755,0.0658000037074089,0.0843999981880188
8,3.1626803874969482,230.94912719726562,118.10552978515625,74.73185729980469,0.9677000045776367,0.9715999960899353,0.03229999542236328,0.028400003910064697,0.07540000230073929,0.09539999812841415
9,3.208209276199341,234.94442749023438,141.00726318359375,73.14630889892578,0.9771000146865845,0.9772999882698059,0.022899985313415527,0.022700011730194092,0.065700002014637,0.07989999651908875
10,3.1980857849121094,212.06689453125,118.86880493164062,68.94732666015625,0.9772999882698059,0.9782000184059143,0.022700011730194092,0.021799981594085693,0.07069999724626541,0.08489999920129776
11,3.133028984069824,205.47720336914062,110.91885375976562,68.40068054199219,0.963699996471405,0.965399980545044,0.03630000352859497,0.034600019454956055,0.08879999816417694,0.10670000314712524
12,3.200984001159668,219.4154052734375,111.5290298461914,64.5389175415039,0.9783999919891357,0.9782999753952026,0.021600008010864258,0.021700024604797363,0.0877000018954277,0.10920000076293945
13,3.17769455909729,172.4327850341797,101.80027770996094,64.58160400390625,0.9749000072479248,0.9771999716758728,0.025099992752075195,0.022800028324127197,0.11420000344514847,0.14589999616146088
14,3.148135185241699,216.64642333984375,134.82293701171875,77.5701675415039,0.9690999984741211,0.9696000218391418,0.030900001525878906,0.030399978160858154,0.07509999722242355,0.08410000056028366
15,3.1719119548797607,191.06800842285156,110.8672103881836,60.72447967529297,0.972599983215332,0.9739000201225281,0.02740001678466797,0.026099979877471924,0.11240000277757645,0.13930000364780426
16,3.185845375061035,199.41070556640625,118.94669342041016,60.768394470214844,0.9768999814987183,0.9771000146865845,0.02310001850128174,0.022899985313415527,0.1348000019788742,0.16030000150203705
17,3.2131283283233643,174.34445190429688,96.51860046386719,56.20210266113281,0.9803000092506409,0.9815999865531921,0.01969999074935913,0.01840001344680786,0.12919999659061432,0.15880000591278076
18,3.193735361099243,195.63072204589844,111.61295318603516,56.264381408691406,0.9782999753952026,0.9782999753952026,0.021700024604797363,0.021700024604797363,0.11500000208616257,0.13220000267028809
19,3.2112669944763184,174.9654083251953,96.94452667236328,52.38948440551758,0.9818000197410583,0.9828000068664551,0.01819998025894165,0.017199993133544922,0.15410000085830688,0.1834000051021576
20,3.194965124130249,175.46353149414062,96.52877044677734,49.962188720703125,0.9785000085830688,0.9797000288963318,0.021499991416931152,0.020299971103668213,0.15620000660419464,0.19040000438690186
