  epoch    IZY    IXZ_1    IZ_1Z_2    IZ_2Z_3     acc    avg_acc     err    avg_err    adv_acc    avg_adv_acc
-------  -----  -------  ---------  ---------  ------  ---------  ------  ---------  ---------  -------------
      1   3.06   396.15     210.66     109.73  0.9432     0.9496  0.0568     0.0504     0.0518         0.0540
      2   3.13   365.73     222.86     112.43  0.9591     0.9585  0.0409     0.0415     0.0308         0.0315
      3   3.14   303.66     160.23      89.17  0.9594     0.9636  0.0406     0.0364     0.0615         0.0684
      4   3.18   342.77     216.61     107.12  0.9695     0.9715  0.0305     0.0285     0.0301         0.0330
      5   3.18   288.39     141.31      79.86  0.9696     0.9713  0.0304     0.0287     0.0576         0.0673
      6   3.20   250.95     142.40      76.32  0.9737     0.9749  0.0263     0.0251     0.0501         0.0616
      7   3.19   264.68     135.13      71.04  0.9733     0.9753  0.0267     0.0247     0.0658         0.0844
      8   3.16   230.95     118.11      74.73  0.9677     0.9716  0.0323     0.0284     0.0754         0.0954
      9   3.21   234.94     141.01      73.15  0.9771     0.9773  0.0229     0.0227     0.0657         0.0799
     10   3.20   212.07     118.87      68.95  0.9773     0.9782  0.0227     0.0218     0.0707         0.0849
     11   3.13   205.48     110.92      68.40  0.9637     0.9654  0.0363     0.0346     0.0888         0.1067
     12   3.20   219.42     111.53      64.54  0.9784     0.9783  0.0216     0.0217     0.0877         0.1092
     13   3.18   172.43     101.80      64.58  0.9749     0.9772  0.0251     0.0228     0.1142         0.1459
     14   3.15   216.65     134.82      77.57  0.9691     0.9696  0.0309     0.0304     0.0751         0.0841
     15   3.17   191.07     110.87      60.72  0.9726     0.9739  0.0274     0.0261     0.1124         0.1393
     16   3.19   199.41     118.95      60.77  0.9769     0.9771  0.0231     0.0229     0.1348         0.1603
     17   3.21   174.34      96.52      56.20  0.9803     0.9816  0.0197     0.0184     0.1292         0.1588
     18   3.19   195.63     111.61      56.26  0.9783     0.9783  0.0217     0.0217     0.1150         0.1322
     19   3.21   174.97      96.94      52.39  0.9818     0.9828  0.0182     0.0172     0.1541         0.1834
     20   3.19   175.46      96.53      49.96  0.9785     0.9797  0.0215     0.0203     0.1562         0.1904
     21   3.18   158.15      87.74      52.67  0.9747     0.9770  0.0253     0.0230     0.1450         0.1806
     22   3.21   152.85      88.41      51.51  0.9802     0.9812  0.0198     0.0188     0.1898         0.2292
     23   3.16   184.02     122.48      56.13  0.9730     0.9734  0.0270     0.0266     0.1377         0.1531
     24   3.20   145.85      83.90      49.19  0.9808     0.9822  0.0192     0.0178     0.1668         0.2050
     25   3.19   180.76      93.20      47.04  0.9792     0.9800  0.0208     0.0200     0.1676         0.1949
     26   3.19   143.55      80.43      47.85  0.9793     0.9805  0.0207     0.0195     0.1796         0.2183
     27   3.18   157.52      89.93      46.12  0.9765     0.9776  0.0235     0.0224     0.1811         0.2115
     28   3.18   166.17      93.39      46.92  0.9800     0.9795  0.0200     0.0205     0.1889         0.2117
     29   3.20   147.31      80.22      44.74  0.9811     0.9818  0.0189     0.0182     0.2355         0.2743
     30   3.20   125.12      75.60      44.30  0.9817     0.9817  0.0183     0.0183     0.2221         0.2641
     31   3.21   145.79      90.78      44.71  0.9824     0.9833  0.0176     0.0167     0.1923         0.2156
     32   3.19   139.18      79.81      45.21  0.9800     0.9805  0.0200     0.0195     0.2444         0.2754
     33   3.19   130.19      74.31      42.15  0.9815     0.9818  0.0185     0.0182     0.2548         0.2998
     34   3.18   128.69      80.28      40.57  0.9798     0.9802  0.0202     0.0198     0.2324         0.2684
     35   3.20   116.84      72.77      41.48  0.9828     0.9830  0.0172     0.0170     0.2263         0.2726
     36   3.19   124.20      73.29      42.02  0.9806     0.9818  0.0194     0.0182     0.2169         0.2544
