t,IZY,IXZ_1,IZ_1Z_2,IZ_2Z_3,acc,avg_acc,err,avg_err,adv_acc,avg_adv_acc
1,3.108492136001587,507.38189697265625,388.96099853515625,269.7596740722656,0.9527000188827515,0.9538999795913696,0.047299981117248535,0.04610002040863037,0.0272000003606081,0.027300000190734863
2,3.135274887084961,419.2753601074219,310.64892578125,212.23110961914062,0.9595000147819519,0.9609000086784363,0.040499985218048096,0.03909999132156372,0.02889999933540821,0.02889999933540821
3,3.1638081073760986,390.6569519042969,294.2007751464844,200.92422485351562,0.9661999940872192,0.9670000076293945,0.03380000591278076,0.03299999237060547,0.029899999499320984,0.03099999949336052
4,3.1957433223724365,341.37811279296875,256.48974609375,187.59506225585938,0.9735000133514404,0.973800003528595,0.02649998664855957,0.02619999647140503,0.033900000154972076,0.03689999878406525
5,3.2076261043548584,324.9357604980469,226.6511993408203,167.30850219726562,0.9740999937057495,0.9746999740600586,0.02590000629425049,0.025300025939941406,0.034699998795986176,0.04019999876618385
6,3.1391143798828125,297.72967529296875,234.45779418945312,172.66622924804688,0.9610000252723694,0.9610999822616577,0.038999974727630615,0.038900017738342285,0.0414000004529953,0.0478999987244606
7,3.2059671878814697,304.1591491699219,215.6272430419922,155.67250061035156,0.975600004196167,0.9761000275611877,0.024399995803833008,0.023899972438812256,0.03819999843835831,0.04190000146627426
8,3.208580493927002,318.66802978515625,225.3031005859375,157.64266967773438,0.9758999943733215,0.9763000011444092,0.024100005626678467,0.02369999885559082,0.03009999915957451,0.03480000048875809
9,3.208331823348999,254.16012573242188,197.42446899414062,148.07754516601562,0.9772999882698059,0.9779000282287598,0.022700011730194092,0.022099971771240234,0.050599999725818634,0.0617000013589859
10,3.1896631717681885,245.82220458984375,195.63235473632812,147.75711059570312,0.9757000207901001,0.9768000245094299,0.024299979209899902,0.02319997549057007,0.05169999971985817,0.06840000301599503
11,3.202484607696533,271.5182189941406,205.24008178710938,146.11045837402344,0.9779999852180481,0.9776999950408936,0.022000014781951904,0.022300004959106445,0.03909999877214432,0.04520000144839287
12,3.1741929054260254,269.7089538574219,214.76272583007812,151.22845458984375,0.9710000157356262,0.9710000157356262,0.02899998426437378,0.02899998426437378,0.045099999755620956,0.05490000173449516
