  epoch    IZY    IXZ_1    IZ_1Z_2    IZ_2Z_3     acc    avg_acc     err    avg_err    adv_acc    avg_adv_acc
-------  -----  -------  ---------  ---------  ------  ---------  ------  ---------  ---------  -------------
      1   3.11   507.38     388.96     269.76  0.9527     0.9539  0.0473     0.0461     0.0272         0.0273
      2   3.14   419.28     310.65     212.23  0.9595     0.9609  0.0405     0.0391     0.0289         0.0289
      3   3.16   390.66     294.20     200.92  0.9662     0.9670  0.0338     0.0330     0.0299         0.0310
      4   3.20   341.38     256.49     187.60  0.9735     0.9738  0.0265     0.0262     0.0339         0.0369
      5   3.21   324.94     226.65     167.31  0.9741     0.9747  0.0259     0.0253     0.0347         0.0402
      6   3.14   297.73     234.46     172.67  0.9610     0.9611  0.0390     0.0389     0.0414         0.0479
      7   3.21   304.16     215.63     155.67  0.9756     0.9761  0.0244     0.0239     0.0382         0.0419
      8   3.21   318.67     225.30     157.64  0.9759     0.9763  0.0241     0.0237     0.0301         0.0348
      9   3.21   254.16     197.42     148.08  0.9773     0.9779  0.0227     0.0221     0.0506         0.0617
     10   3.19   245.82     195.63     147.76  0.9757     0.9768  0.0243     0.0232     0.0517         0.0684
     11   3.20   271.52     205.24     146.11  0.9780     0.9777  0.0220     0.0223     0.0391         0.0452
     12   3.17   269.71     214.76     151.23  0.9710     0.9710  0.0290     0.0290     0.0451         0.0549
     13   3.22   235.42     186.55     139.45  0.9796     0.9802  0.0204     0.0198     0.0509         0.0641
     14   3.21   221.45     172.77     130.43  0.9807     0.9814  0.0193     0.0186     0.0529         0.0682
     15   3.21   216.81     169.03     121.94  0.9804     0.9803  0.0196     0.0197     0.0618         0.0762
     16   3.17   257.66     181.32     136.16  0.9732     0.9730  0.0268     0.0270     0.0567         0.0675
     17   3.21   231.98     182.08     124.12  0.9813     0.9814  0.0187     0.0186     0.0454         0.0533
     18   3.22   223.00     170.67     124.43  0.9813     0.9813  0.0187     0.0187     0.0608         0.0748
     19   3.20   213.89     162.46     120.22  0.9796     0.9792  0.0204     0.0208     0.0657         0.0806
     20   3.22   230.04     175.54     115.23  0.9807     0.9805  0.0193     0.0195     0.0600         0.0716
     21   3.22   220.50     162.33     115.55  0.9811     0.9806  0.0189     0.0194     0.0549         0.0702
     22   3.21   208.90     164.40     111.87  0.9812     0.9813  0.0188     0.0187     0.0582         0.0709
     23   3.22   165.50     136.70     105.65  0.9836     0.9840  0.0164     0.0160     0.0775         0.0974
     24   3.19   175.73     155.98     117.80  0.9781     0.9778  0.0219     0.0222     0.0717         0.0924
     25   3.21   174.10     140.99     104.22  0.9818     0.9822  0.0182     0.0178     0.0691         0.0858
     26   3.20   185.61     150.11     107.08  0.9792     0.9796  0.0208     0.0204     0.0871         0.1069
     27   3.18   218.29     160.55     104.34  0.9804     0.9799  0.0196     0.0201     0.0742         0.0896
     28   3.17   175.13     141.93     102.60  0.9765     0.9769  0.0235     0.0231     0.0818         0.0951
     29   3.21   184.00     144.55     104.00  0.9816     0.9818  0.0184     0.0182     0.0867         0.1034
     30   3.20   169.60     135.70     100.22  0.9802     0.9803  0.0198     0.0197     0.0693         0.0858
     31   3.21   180.99     140.81      99.42  0.9824     0.9832  0.0176     0.0168     0.0831         0.0949
     32   3.19   158.15     132.80      98.51  0.9782     0.9789  0.0218     0.0211     0.0966         0.1204
     33   3.16   147.86     127.02      97.41  0.9763     0.9762  0.0237     0.0238     0.0978         0.1164
     34   3.21   155.29     128.01      91.76  0.9825     0.9823  0.0175     0.0177     0.1027         0.1263
     35   3.21   166.32     123.87      88.56  0.9815     0.9808  0.0185     0.0192     0.1100         0.1338
     36   3.20   158.73     122.54      87.44  0.9807     0.9806  0.0193     0.0194     0.1102         0.1278
     37   3.19   158.91     125.36      87.24  0.9807     0.9801  0.0193     0.0199     0.1043         0.1221
     38   3.18   171.58     139.46      90.77  0.9775     0.9777  0.0225     0.0223     0.1250         0.1386
     39   3.18   135.67     115.99      92.95  0.9797     0.9797  0.0203     0.0203     0.1218         0.1439
     40   3.20   183.32     129.38      84.95  0.9810     0.9812  0.0190     0.0188     0.1083         0.1203
     41   3.21   144.78     114.64      83.79  0.9828     0.9833  0.0172     0.0167     0.1208         0.1392
     42   3.20   136.22     116.06      85.08  0.9820     0.9816  0.0180     0.0184     0.1289         0.1518
     43   3.20   146.78     113.94      84.36  0.9819     0.9820  0.0181     0.0180     0.1366         0.1625
     44   3.18   131.52     109.54      83.13  0.9789     0.9795  0.0211     0.0205     0.1411         0.1611
     45   3.19   163.80     130.46      84.11  0.9812     0.9817  0.0188     0.0183     0.1010         0.1130
     46   3.21   140.76     120.68      81.15  0.9836     0.9835  0.0164     0.0165     0.1211         0.1386
     47   3.21   129.29     109.93      82.71  0.9825     0.9828  0.0175     0.0172     0.1428         0.1650
     48   3.20   131.69     107.82      81.68  0.9832     0.9830  0.0168     0.0170     0.1340         0.1557
     49   3.19   170.72     123.19      83.66  0.9783     0.9785  0.0217     0.0215     0.1289         0.1452
     50   3.21   126.61     107.27      80.50  0.9832     0.9828  0.0168     0.0172     0.1510         0.1664
     51   3.21   126.84     107.93      79.30  0.9839     0.9840  0.0161     0.0160     0.1469         0.1687
     52   3.18   123.95     106.80      80.83  0.9802     0.9808  0.0198     0.0192     0.1360         0.1591
     53   3.18   161.84     109.84      77.28  0.9801     0.9800  0.0199     0.0200     0.1266         0.1420
     54   3.20   122.95     113.13      79.85  0.9833     0.9835  0.0167     0.0165     0.1354         0.1543
     55   3.20   114.10     100.71      78.30  0.9826     0.9824  0.0174     0.0176     0.1505         0.1727
     56   3.20   122.54     100.04      73.20  0.9823     0.9828  0.0177     0.0172     0.1420         0.1652
     57   3.21   115.88     101.37      74.31  0.9839     0.9840  0.0161     0.0160     0.1624         0.1860
     58   3.20   116.21      98.53      76.55  0.9830     0.9835  0.0170     0.0165     0.1686         0.1929
     59   3.20   113.31      98.39      74.86  0.9839     0.9836  0.0161     0.0164     0.1677         0.1916
     60   3.20   118.06      99.05      73.47  0.9827     0.9825  0.0173     0.0175     0.1598         0.1859
     61   3.18   120.17     105.40      73.64  0.9816     0.9820  0.0184     0.0180     0.1434         0.1659
     62   3.21   122.16     107.29      74.15  0.9844     0.9843  0.0156     0.0157     0.1579         0.1728
     63   3.20   104.18      97.19      73.57  0.9825     0.9820  0.0175     0.0180     0.1630         0.1899
     64   3.20   118.76      97.33      71.63  0.9825     0.9821  0.0175     0.0179     0.1690         0.1931
