t,IZY,IXZ_1,IZ_1Z_2,IZ_2Z_3,acc,avg_acc,err,avg_err,adv_acc,avg_adv_acc
1,2.882572650909424,167.38006591796875,136.27267456054688,67.15866088867188,0.9074000120162964,0.9229000210762024,0.09259998798370361,0.07709997892379761,0.07010000199079514,0.07000000029802322
2,2.998436212539673,132.71726989746094,110.22727966308594,56.3642463684082,0.9352999925613403,0.9470000267028809,0.06470000743865967,0.05299997329711914,0.07660000026226044,0.07909999787807465
3,3.04903507232666,121.01091766357422,103.03704833984375,51.7574462890625,0.9448999762535095,0.9527999758720398,0.05510002374649048,0.047200024127960205,0.061500001698732376,0.06279999762773514
4,3.0223758220672607,105.97725677490234,88.54336547851562,45.577327728271484,0.9395999908447266,0.9541000127792358,0.06040000915527344,0.04589998722076416,0.0738999992609024,0.0763000026345253
5,3.060511827468872,101.48514556884766,84.44943237304688,44.054107666015625,0.9503999948501587,0.9581999778747559,0.04960000514984131,0.04180002212524414,0.06889999657869339,0.07169999927282333
6,3.0736169815063477,91.92839813232422,78.80398559570312,41.80712127685547,0.9549000263214111,0.9639999866485596,0.04509997367858887,0.03600001335144043,0.0982000008225441,0.10989999771118164
7,3.074565887451172,83.52362823486328,70.20484924316406,39.52705383300781,0.9535999894142151,0.9660000205039978,0.04640001058578491,0.0339999794960022,0.09650000184774399,0.10869999974966049
8,3.047245502471924,79.08172607421875,65.35324096679688,37.76903533935547,0.9484000205993652,0.9642000198364258,0.051599979400634766,0.03579998016357422,0.11999999731779099,0.1348000019788742
9,3.0229156017303467,70.77848815917969,61.271568298339844,36.67134094238281,0.9460999965667725,0.9646000266075134,0.05390000343322754,0.03539997339248657,0.13830000162124634,0.1581999957561493
10,3.0935347080230713,70.50442504882812,60.057403564453125,32.93627166748047,0.9585000276565552,0.9675999879837036,0.041499972343444824,0.03240001201629639,0.13850000500679016,0.15199999511241913
11,3.1272244453430176,72.72967529296875,64.51587677001953,32.80628204345703,0.9660999774932861,0.9699000120162964,0.03390002250671387,0.030099987983703613,0.1080000028014183,0.11699999868869781
12,3.1443710327148438,76.16275787353516,69.9053726196289,32.23382568359375,0.9700000286102295,0.9722999930381775,0.029999971389770508,0.02770000696182251,0.12210000306367874,0.1289999932050705
13,3.1510326862335205,70.14330291748047,61.238975524902344,28.058631896972656,0.9714999794960022,0.9764999747276306,0.028500020503997803,0.023500025272369385,0.16009999811649323,0.17159999907016754
14,3.101442575454712,69.08341979980469,56.661319732666016,27.64900779724121,0.9645000100135803,0.9692999720573425,0.03549998998641968,0.03070002794265747,0.13660000264644623,0.14509999752044678
15,3.016752004623413,60.144161224365234,50.66920471191406,27.996746063232422,0.9502999782562256,0.9663000106811523,0.049700021743774414,0.033699989318847656,0.20100000500679016,0.23250000178813934
16,3.1233105659484863,60.83366394042969,48.684791564941406,24.51317024230957,0.9664999842643738,0.9726999998092651,0.03350001573562622,0.027300000190734863,0.20190000534057617,0.2150000035762787
17,3.0717623233795166,54.196807861328125,44.905250549316406,24.614227294921875,0.9574000239372253,0.9681000113487244,0.04259997606277466,0.031899988651275635,0.2345000058412552,0.2590000033378601
18,3.1245298385620117,61.43163299560547,45.96809387207031,23.897781372070312,0.96670001745224,0.9728000164031982,0.03329998254776001,0.027199983596801758,0.22679999470710754,0.23549999296665192
19,3.117657423019409,57.89683532714844,46.276580810546875,22.308029174804688,0.9693999886512756,0.9745000004768372,0.030600011348724365,0.025499999523162842,0.2321999967098236,0.24779999256134033
20,3.0963051319122314,51.99681854248047,40.17033767700195,20.566009521484375,0.9645000100135803,0.9726999998092651,0.03549998998641968,0.027300000190734863,0.2329999953508377,0.24789999425411224
21,3.1107287406921387,50.826629638671875,41.19181823730469,19.987770080566406,0.9685999751091003,0.975600004196167,0.03140002489089966,0.024399995803833008,0.23720000684261322,0.2531000077724457
22,3.1663668155670166,62.25486755371094,52.635704040527344,23.372844696044922,0.9779999852180481,0.9801999926567078,0.022000014781951904,0.019800007343292236,0.23759999871253967,0.24310000240802765
23,3.1277015209198,52.645084381103516,37.577720642089844,20.26258087158203,0.9728999733924866,0.9779000282287598,0.027100026607513428,0.022099971771240234,0.29159998893737793,0.3077999949455261
24,3.129836320877075,49.63954162597656,35.991188049316406,19.558868408203125,0.972100019454956,0.9779999852180481,0.027899980545043945,0.022000014781951904,0.26910001039505005,0.28299999237060547
25,3.067598819732666,50.04338073730469,35.64687728881836,18.587453842163086,0.9624000191688538,0.9699000120162964,0.03759998083114624,0.030099987983703613,0.25859999656677246,0.26989999413490295
26,3.1393654346466064,51.4895133972168,36.30479049682617,19.13275909423828,0.9750999808311462,0.9778000116348267,0.02490001916885376,0.02219998836517334,0.2533999979496002,0.2574999928474426
27,3.108605146408081,46.733123779296875,34.15171432495117,17.529281616210938,0.9714999794960022,0.9761999845504761,0.028500020503997803,0.023800015449523926,0.2768999934196472,0.28780001401901245
28,3.1179919242858887,45.4644775390625,35.62541961669922,17.567617416381836,0.9726999998092651,0.9765999913215637,0.027300000190734863,0.02340000867843628,0.2354000061750412,0.24279999732971191
29,3.127755641937256,44.91160202026367,33.76980209350586,18.71087074279785,0.9743000268936157,0.9768999814987183,0.025699973106384277,0.02310001850128174,0.21789999306201935,0.2248000055551529
30,3.12634539604187,52.36651611328125,34.91862106323242,18.347888946533203,0.9742000102996826,0.9771999716758728,0.025799989700317383,0.022800028324127197,0.257999986410141,0.26420000195503235
31,3.0948636531829834,44.47468948364258,32.74269104003906,16.754596710205078,0.9686999917030334,0.9718999862670898,0.03130000829696655,0.028100013732910156,0.21780000627040863,0.22540000081062317
32,3.10170316696167,48.61418533325195,32.48595428466797,16.87834930419922,0.9708999991416931,0.9743000268936157,0.029100000858306885,0.025699973106384277,0.23989999294281006,0.24950000643730164
33,3.1088693141937256,47.4781608581543,32.444000244140625,16.467914581298828,0.9751999974250793,0.9771000146865845,0.024800002574920654,0.022899985313415527,0.2313999980688095,0.23739999532699585
34,3.099607467651367,46.15538787841797,30.841453552246094,16.04684066772461,0.9704999923706055,0.9753000140190125,0.02950000762939453,0.02469998598098755,0.23080000281333923,0.24070000648498535
