  epoch    IZY    IXZ_1    IZ_1Z_2    IZ_2Z_3     acc    avg_acc     err    avg_err    adv_acc    avg_adv_acc
-------  -----  -------  ---------  ---------  ------  ---------  ------  ---------  ---------  -------------
      1   2.88   167.38     136.27      67.16  0.9074     0.9229  0.0926     0.0771     0.0701         0.0700
      2   3.00   132.72     110.23      56.36  0.9353     0.9470  0.0647     0.0530     0.0766         0.0791
      3   3.05   121.01     103.04      51.76  0.9449     0.9528  0.0551     0.0472     0.0615         0.0628
      4   3.02   105.98      88.54      45.58  0.9396     0.9541  0.0604     0.0459     0.0739         0.0763
      5   3.06   101.49      84.45      44.05  0.9504     0.9582  0.0496     0.0418     0.0689         0.0717
      6   3.07    91.93      78.80      41.81  0.9549     0.9640  0.0451     0.0360     0.0982         0.1099
      7   3.07    83.52      70.20      39.53  0.9536     0.9660  0.0464     0.0340     0.0965         0.1087
      8   3.05    79.08      65.35      37.77  0.9484     0.9642  0.0516     0.0358     0.1200         0.1348
      9   3.02    70.78      61.27      36.67  0.9461     0.9646  0.0539     0.0354     0.1383         0.1582
     10   3.09    70.50      60.06      32.94  0.9585     0.9676  0.0415     0.0324     0.1385         0.1520
     11   3.13    72.73      64.52      32.81  0.9661     0.9699  0.0339     0.0301     0.1080         0.1170
     12   3.14    76.16      69.91      32.23  0.9700     0.9723  0.0300     0.0277     0.1221         0.1290
     13   3.15    70.14      61.24      28.06  0.9715     0.9765  0.0285     0.0235     0.1601         0.1716
     14   3.10    69.08      56.66      27.65  0.9645     0.9693  0.0355     0.0307     0.1366         0.1451
     15   3.02    60.14      50.67      28.00  0.9503     0.9663  0.0497     0.0337     0.2010         0.2325
     16   3.12    60.83      48.68      24.51  0.9665     0.9727  0.0335     0.0273     0.2019         0.2150
     17   3.07    54.20      44.91      24.61  0.9574     0.9681  0.0426     0.0319     0.2345         0.2590
     18   3.12    61.43      45.97      23.90  0.9667     0.9728  0.0333     0.0272     0.2268         0.2355
     19   3.12    57.90      46.28      22.31  0.9694     0.9745  0.0306     0.0255     0.2322         0.2478
     20   3.10    52.00      40.17      20.57  0.9645     0.9727  0.0355     0.0273     0.2330         0.2479
     21   3.11    50.83      41.19      19.99  0.9686     0.9756  0.0314     0.0244     0.2372         0.2531
     22   3.17    62.25      52.64      23.37  0.9780     0.9802  0.0220     0.0198     0.2376         0.2431
     23   3.13    52.65      37.58      20.26  0.9729     0.9779  0.0271     0.0221     0.2916         0.3078
     24   3.13    49.64      35.99      19.56  0.9721     0.9780  0.0279     0.0220     0.2691         0.2830
     25   3.07    50.04      35.65      18.59  0.9624     0.9699  0.0376     0.0301     0.2586         0.2699
     26   3.14    51.49      36.30      19.13  0.9751     0.9778  0.0249     0.0222     0.2534         0.2575
     27   3.11    46.73      34.15      17.53  0.9715     0.9762  0.0285     0.0238     0.2769         0.2878
     28   3.12    45.46      35.63      17.57  0.9727     0.9766  0.0273     0.0234     0.2354         0.2428
     29   3.13    44.91      33.77      18.71  0.9743     0.9769  0.0257     0.0231     0.2179         0.2248
     30   3.13    52.37      34.92      18.35  0.9742     0.9772  0.0258     0.0228     0.2580         0.2642
     31   3.09    44.47      32.74      16.75  0.9687     0.9719  0.0313     0.0281     0.2178         0.2254
     32   3.10    48.61      32.49      16.88  0.9709     0.9743  0.0291     0.0257     0.2399         0.2495
     33   3.11    47.48      32.44      16.47  0.9752     0.9771  0.0248     0.0229     0.2314         0.2374
     34   3.10    46.16      30.84      16.05  0.9705     0.9753  0.0295     0.0247     0.2308         0.2407
     35   3.10    45.72      29.42      16.57  0.9725     0.9768  0.0275     0.0232     0.2722         0.2820
     36   3.08    44.87      29.61      15.95  0.9698     0.9757  0.0302     0.0243     0.2481         0.2571
     37   3.12    42.94      31.29      15.42  0.9760     0.9791  0.0240     0.0209     0.2192         0.2238
     38   3.11    44.68      29.08      15.81  0.9749     0.9783  0.0251     0.0217     0.2341         0.2396
     39   3.11    42.04      29.03      15.48  0.9762     0.9785  0.0238     0.0215     0.2197         0.2271
     40   3.08    41.52      27.26      15.00  0.9687     0.9738  0.0313     0.0262     0.2271         0.2365
     41   3.12    45.10      28.70      14.37  0.9740     0.9794  0.0260     0.0206     0.1823         0.1896
     42   3.12    41.16      28.19      15.10  0.9757     0.9794  0.0243     0.0206     0.1712         0.1773
     43   3.10    43.43      29.23      15.04  0.9754     0.9782  0.0246     0.0218     0.1754         0.1805
     44   3.09    41.61      26.81      15.13  0.9723     0.9759  0.0277     0.0241     0.1772         0.1833
     45   3.12    43.68      27.63      14.87  0.9763     0.9786  0.0237     0.0214     0.1810         0.1857
     46   3.06    40.76      25.15      14.37  0.9692     0.9749  0.0308     0.0251     0.2024         0.2128
     47   3.11    39.62      25.23      14.09  0.9753     0.9795  0.0247     0.0205     0.1795         0.1870
     48   3.10    39.50      25.61      14.24  0.9740     0.9791  0.0260     0.0209     0.1719         0.1817
     49   3.07    41.02      24.83      14.30  0.9719     0.9754  0.0281     0.0246     0.2027         0.2129
     50   3.11    36.51      24.64      14.09  0.9750     0.9796  0.0250     0.0204     0.1765         0.1794
     51   3.07    38.85      23.38      14.88  0.9717     0.9753  0.0283     0.0247     0.1607         0.1651
     52   3.06    38.24      24.24      14.23  0.9695     0.9744  0.0305     0.0256     0.1655         0.1710
     53   3.07    36.91      23.53      13.76  0.9729     0.9757  0.0271     0.0243     0.1661         0.1694
     54   3.06    38.74      23.68      14.44  0.9706     0.9749  0.0294     0.0251     0.1643         0.1710
     55   3.08    38.44      23.42      13.49  0.9722     0.9773  0.0278     0.0227     0.1426         0.1469
     56   3.10    37.72      23.62      14.05  0.9750     0.9784  0.0250     0.0216     0.1248         0.1269
     57   3.09    37.99      22.35      13.52  0.9738     0.9773  0.0262     0.0227     0.1698         0.1750
     58   3.10    35.77      23.42      13.64  0.9761     0.9777  0.0239     0.0223     0.1277         0.1291
     59   3.11    35.56      22.47      13.61  0.9767     0.9800  0.0233     0.0200     0.1350         0.1383
     60   3.09    36.08      21.89      13.29  0.9737     0.9783  0.0263     0.0217     0.1418         0.1452
     61   3.11    37.79      22.59      13.84  0.9764     0.9797  0.0236     0.0203     0.1332         0.1363
