  epoch    IZY    IXZ_1    IZ_1Z_2    IZ_2Z_3     acc    avg_acc     err    avg_err    adv_acc    avg_adv_acc
-------  -----  -------  ---------  ---------  ------  ---------  ------  ---------  ---------  -------------
      1   2.96   150.39     157.01     123.25  0.9231     0.9338  0.0769     0.0662     0.0692         0.0714
      2   3.08   123.61     145.66     118.81  0.9477     0.9525  0.0523     0.0475     0.0587         0.0633
      3   3.07   116.62     138.00     114.98  0.9449     0.9487  0.0551     0.0513     0.0706         0.0764
      4   3.11    97.87     112.99     101.11  0.9579     0.9606  0.0421     0.0394     0.0805         0.0936
      5   3.15    95.44     105.17      89.55  0.9654     0.9695  0.0346     0.0305     0.0708         0.0830
      6   3.17   107.35     120.57      92.46  0.9697     0.9702  0.0303     0.0298     0.0507         0.0567
      7   3.14    87.67     100.63      85.56  0.9648     0.9672  0.0352     0.0328     0.0782         0.0908
      8   3.14    80.58      96.34      77.83  0.9636     0.9650  0.0364     0.0350     0.0646         0.0784
      9   3.16    75.99      90.11      76.95  0.9658     0.9699  0.0342     0.0301     0.0794         0.0957
     10   3.14    75.71      90.05      74.75  0.9649     0.9669  0.0351     0.0331     0.0765         0.0918
     11   3.15    79.80      94.47      74.48  0.9664     0.9670  0.0336     0.0330     0.0761         0.0907
     12   3.18    73.98      85.72      67.40  0.9748     0.9760  0.0252     0.0240     0.0843         0.0964
     13   3.15    74.80      85.90      65.71  0.9703     0.9708  0.0297     0.0292     0.0817         0.0945
     14   3.14    75.29      83.85      70.50  0.9692     0.9691  0.0308     0.0309     0.1002         0.1167
     15   3.16    67.64      82.16      62.82  0.9696     0.9716  0.0304     0.0284     0.0850         0.0941
     16   3.18    63.58      75.03      59.67  0.9733     0.9744  0.0267     0.0256     0.0959         0.1121
     17   3.16    66.68      73.42      64.93  0.9717     0.9731  0.0283     0.0269     0.1251         0.1503
     18   3.18    62.27      74.16      57.96  0.9760     0.9769  0.0240     0.0231     0.1083         0.1238
     19   3.20    66.04      75.02      55.90  0.9801     0.9812  0.0199     0.0188     0.1057         0.1190
     20   3.18    71.91      82.42      59.48  0.9762     0.9770  0.0238     0.0230     0.1141         0.1297
     21   3.19    55.74      64.44      54.47  0.9780     0.9792  0.0220     0.0208     0.1416         0.1597
     22   3.16    61.78      67.07      54.08  0.9750     0.9756  0.0250     0.0244     0.1426         0.1665
     23   3.19    53.63      63.46      52.22  0.9772     0.9787  0.0228     0.0213     0.1449         0.1672
     24   3.19    52.37      61.80      53.79  0.9779     0.9795  0.0221     0.0205     0.1651         0.1980
     25   3.19    57.53      68.88      51.24  0.9788     0.9789  0.0212     0.0211     0.1433         0.1634
     26   3.18    52.41      59.44      49.25  0.9762     0.9781  0.0238     0.0219     0.1639         0.1903
     27   3.17    57.63      68.50      48.64  0.9783     0.9785  0.0217     0.0215     0.1929         0.2148
     28   3.18    50.50      60.18      49.16  0.9777     0.9784  0.0223     0.0216     0.1652         0.1840
     29   3.17    51.92      57.18      47.27  0.9777     0.9792  0.0223     0.0208     0.1908         0.2187
     30   3.16    53.02      61.38      45.85  0.9766     0.9765  0.0234     0.0235     0.1911         0.2115
     31   3.17    45.11      52.26      47.31  0.9770     0.9783  0.0230     0.0217     0.2257         0.2632
     32   3.18    47.91      56.06      43.59  0.9787     0.9790  0.0213     0.0210     0.2198         0.2423
     33   3.19    61.59      64.45      47.07  0.9805     0.9811  0.0195     0.0189     0.2153         0.2409
     34   3.19    47.62      53.65      44.34  0.9814     0.9824  0.0186     0.0176     0.2213         0.2496
     35   3.19    44.43      49.95      42.44  0.9794     0.9808  0.0206     0.0192     0.2585         0.2874
     36   3.20    53.12      65.68      46.57  0.9817     0.9825  0.0183     0.0175     0.2256         0.2381
     37   3.17    47.47      51.16      42.48  0.9790     0.9793  0.0210     0.0207     0.2739         0.2938
     38   3.14    40.43      49.34      42.70  0.9767     0.9767  0.0233     0.0233     0.2552         0.2750
     39   3.17    45.00      48.66      40.52  0.9779     0.9785  0.0221     0.0215     0.2652         0.2917
     40   3.16    46.81      52.72      39.99  0.9781     0.9787  0.0219     0.0213     0.2565         0.2804
     41   3.17    41.21      44.25      40.04  0.9792     0.9799  0.0208     0.0201     0.3319         0.3668
     42   3.14    41.93      46.86      38.79  0.9758     0.9757  0.0242     0.0243     0.2779         0.3008
     43   3.17    38.82      42.58      38.32  0.9797     0.9811  0.0203     0.0189     0.3222         0.3619
     44   3.18    46.25      48.52      37.79  0.9804     0.9811  0.0196     0.0189     0.3232         0.3452
     45   3.15    38.84      43.06      37.43  0.9761     0.9782  0.0239     0.0218     0.3149         0.3429
     46   3.16    43.25      44.94      37.66  0.9791     0.9804  0.0209     0.0196     0.3263         0.3527
     47   3.18    39.96      42.84      36.08  0.9825     0.9831  0.0175     0.0169     0.3180         0.3470
     48   3.19    43.65      48.22      36.69  0.9821     0.9825  0.0179     0.0175     0.2894         0.3037
     49   3.19    40.80      39.93      35.07  0.9839     0.9839  0.0161     0.0161     0.3256         0.3507
     50   3.16    38.09      38.34      35.59  0.9813     0.9826  0.0187     0.0174     0.3532         0.3850
     51   3.17    37.30      39.53      35.26  0.9804     0.9819  0.0196     0.0181     0.3078         0.3333
     52   3.15    38.45      39.28      34.79  0.9788     0.9796  0.0212     0.0204     0.3047         0.3301
     53   3.16    36.23      37.87      34.94  0.9794     0.9799  0.0206     0.0201     0.3372         0.3662
     54   3.16    42.01      43.08      34.18  0.9807     0.9810  0.0193     0.0190     0.3321         0.3504
     55   3.16    41.59      44.97      34.20  0.9791     0.9803  0.0209     0.0197     0.3025         0.3162
     56   3.17    33.98      37.12      33.75  0.9810     0.9818  0.0190     0.0182     0.3341         0.3586
     57   3.17    37.11      36.24      33.35  0.9820     0.9830  0.0180     0.0170     0.3552         0.3810
     58   3.15    38.63      37.18      32.45  0.9796     0.9809  0.0204     0.0191     0.3341         0.3631
     59   3.16    34.75      35.96      32.95  0.9789     0.9800  0.0211     0.0200     0.3495         0.3704
     60   3.14    37.04      36.81      32.47  0.9781     0.9795  0.0219     0.0205     0.3523         0.3801
     61   3.15    33.49      35.37      32.03  0.9792     0.9806  0.0208     0.0194     0.3374         0.3562
     62   3.17    38.08      42.28      31.30  0.9810     0.9817  0.0190     0.0183     0.3431         0.3528
     63   3.14    35.46      34.81      31.53  0.9789     0.9796  0.0211     0.0204     0.3190         0.3367
     64   3.16    34.15      34.31      30.46  0.9809     0.9814  0.0191     0.0186     0.3267         0.3494
     65   3.17    33.75      34.40      32.01  0.9834     0.9843  0.0166     0.0157     0.3549         0.3733
     66   3.15    35.73      33.31      30.38  0.9791     0.9799  0.0209     0.0201     0.3602         0.3785
     67   3.18    31.84      32.90      30.13  0.9829     0.9840  0.0171     0.0160     0.3470         0.3680
     68   3.16    32.61      35.54      29.41  0.9813     0.9815  0.0187     0.0185     0.3266         0.3389
     69   3.16    32.37      31.55      30.06  0.9813     0.9828  0.0187     0.0172     0.3705         0.3859
     70   3.16    32.11      31.51      29.97  0.9832     0.9839  0.0168     0.0161     0.3309         0.3507
     71   3.16    33.61      32.45      28.75  0.9799     0.9808  0.0201     0.0192     0.3355         0.3520
     72   3.16    31.45      31.82      28.91  0.9815     0.9820  0.0185     0.0180     0.3389         0.3531
     73   3.16    32.52      31.29      28.98  0.9806     0.9817  0.0194     0.0183     0.3546         0.3701
     74   3.16    30.90      30.31      29.73  0.9817     0.9831  0.0183     0.0169     0.3487         0.3673
     75   3.17    29.87      31.57      28.86  0.9823     0.9825  0.0177     0.0175     0.3164         0.3239
     76   3.16    30.71      30.67      28.51  0.9823     0.9821  0.0177     0.0179     0.3369         0.3470
     77   3.13    30.35      31.40      28.61  0.9796     0.9813  0.0204     0.0187     0.3127         0.3275
     78   3.15    29.56      30.72      28.88  0.9802     0.9812  0.0198     0.0188     0.3190         0.3318
     79   3.15    32.64      32.74      28.38  0.9809     0.9816  0.0191     0.0184     0.3149         0.3262
     80   3.17    30.39      29.71      28.19  0.9813     0.9838  0.0187     0.0162     0.3264         0.3389
     81   3.16    30.07      30.61      27.57  0.9817     0.9831  0.0183     0.0169     0.3101         0.3211
     82   3.15    29.62      30.02      27.58  0.9813     0.9822  0.0187     0.0178     0.3168         0.3299
     83   3.15    29.68      29.74      27.79  0.9826     0.9833  0.0174     0.0167     0.3255         0.3384
     84   3.16    29.15      29.05      27.42  0.9810     0.9823  0.0190     0.0177     0.3152         0.3252
     85   3.16    29.35      30.60      27.13  0.9807     0.9815  0.0193     0.0185     0.2808         0.2914
     86   3.15    28.29      28.58      27.12  0.9804     0.9827  0.0196     0.0173     0.3060         0.3178
     87   3.15    30.91      29.71      26.87  0.9811     0.9826  0.0189     0.0174     0.3056         0.3158
     88   3.12    29.93      29.41      26.74  0.9797     0.9810  0.0203     0.0190     0.3063         0.3178
     89   3.17    29.44      30.02      26.10  0.9838     0.9845  0.0162     0.0155     0.3058         0.3144
     90   3.14    27.24      27.57      26.37  0.9807     0.9818  0.0193     0.0182     0.3058         0.3170
     91   3.16    27.96      28.68      26.18  0.9821     0.9818  0.0179     0.0182     0.2986         0.3105
     92   3.15    30.25      28.28      25.96  0.9815     0.9821  0.0185     0.0179     0.3196         0.3279
     93   3.15    29.06      28.98      26.01  0.9822     0.9824  0.0178     0.0176     0.2871         0.2918
     94   3.16    28.05      27.75      25.18  0.9808     0.9818  0.0192     0.0182     0.2920         0.3031
     95   3.14    27.69      27.49      25.46  0.9813     0.9820  0.0187     0.0180     0.2992         0.3133
     96   3.16    28.18      27.01      25.72  0.9835     0.9839  0.0165     0.0161     0.3152         0.3219
     97   3.15    29.60      28.25      25.21  0.9834     0.9834  0.0166     0.0166     0.2930         0.2997
     98   3.15    29.56      30.33      24.59  0.9818     0.9829  0.0182     0.0171     0.2869         0.2915
     99   3.18    28.08      28.38      25.18  0.9832     0.9842  0.0168     0.0158     0.2862         0.2933
    100   3.16    26.38      27.80      25.02  0.9806     0.9820  0.0194     0.0180     0.2904         0.2967
    101   3.15    27.87      28.50      24.40  0.9816     0.9817  0.0184     0.0183     0.2802         0.2888
    102   3.17    27.34      27.13      24.83  0.9821     0.9831  0.0179     0.0169     0.3052         0.3135
    103   3.15    27.77      26.07      25.09  0.9806     0.9818  0.0194     0.0182     0.3052         0.3152
    104   3.14    27.48      26.39      25.01  0.9801     0.9814  0.0199     0.0186     0.2933         0.3040
    105   3.18    27.17      26.02      24.57  0.9834     0.9846  0.0166     0.0154     0.2956         0.3059
    106   3.15    26.76      25.89      24.87  0.9821     0.9823  0.0179     0.0177     0.3087         0.3162
    107   3.17    27.63      28.17      24.16  0.9838     0.9843  0.0162     0.0157     0.2932         0.2966
    108   3.15    26.12      25.75      24.81  0.9819     0.9828  0.0181     0.0172     0.2971         0.3033
    109   3.17    26.15      25.47      24.75  0.9839     0.9854  0.0161     0.0146     0.3126         0.3212
    110   3.16    24.79      25.51      24.72  0.9834     0.9835  0.0166     0.0165     0.2943         0.3015
    111   3.17    26.51      25.37      24.59  0.9830     0.9841  0.0170     0.0159     0.2995         0.3049
    112   3.16    25.02      25.73      24.05  0.9820     0.9831  0.0180     0.0169     0.2699         0.2754
    113   3.16    26.01      26.60      24.13  0.9835     0.9837  0.0165     0.0163     0.2721         0.2762
    114   3.16    24.62      25.77      24.13  0.9830     0.9835  0.0170     0.0165     0.2541         0.2596
    115   3.15    25.45      26.68      23.55  0.9822     0.9839  0.0178     0.0161     0.2707         0.2773
    116   3.14    25.95      25.95      24.18  0.9812     0.9817  0.0188     0.0183     0.2750         0.2828
    117   3.15    26.88      28.81      22.99  0.9842     0.9841  0.0158     0.0159     0.2514         0.2542
    118   3.14    26.65      28.02      23.51  0.9820     0.9825  0.0180     0.0175     0.2436         0.2453
    119   3.18    24.95      24.98      23.63  0.9842     0.9851  0.0158     0.0149     0.2832         0.2881
    120   3.15    24.24      26.00      23.36  0.9814     0.9823  0.0186     0.0177     0.2567         0.2606
    121   3.17    25.54      26.33      23.47  0.9837     0.9837  0.0163     0.0163     0.2504         0.2546
    122   3.15    26.51      25.43      23.54  0.9824     0.9834  0.0176     0.0166     0.2732         0.2811
    123   3.14    24.93      24.95      23.68  0.9817     0.9822  0.0183     0.0178     0.2788         0.2844
    124   3.15    23.88      25.68      22.96  0.9821     0.9826  0.0179     0.0174     0.2328         0.2365
    125   3.15    26.99      27.89      22.66  0.9830     0.9834  0.0170     0.0166     0.2261         0.2280
    126   3.15    24.11      24.76      23.79  0.9812     0.9826  0.0188     0.0174     0.2455         0.2505
    127   3.17    24.32      24.46      23.13  0.9836     0.9845  0.0164     0.0155     0.2519         0.2566
    128   3.15    25.31      24.98      23.47  0.9831     0.9840  0.0169     0.0160     0.2403         0.2430
    129   3.15    24.97      24.31      22.92  0.9833     0.9841  0.0167     0.0159     0.2726         0.2794
    130   3.16    23.50      25.19      23.02  0.9836     0.9837  0.0164     0.0163     0.2275         0.2301
    131   3.16    24.35      25.05      22.72  0.9832     0.9838  0.0168     0.0162     0.2325         0.2369
    132   3.16    24.70      25.26      22.77  0.9834     0.9839  0.0166     0.0161     0.2354         0.2369
    133   3.16    25.15      25.33      22.40  0.9824     0.9833  0.0176     0.0167     0.2286         0.2298
    134   3.16    23.21      24.48      23.13  0.9834     0.9842  0.0166     0.0158     0.2284         0.2300
    135   3.14    26.95      27.60      22.69  0.9818     0.9823  0.0182     0.0177     0.1987         0.2013
    136   3.16    26.78      28.88      22.37  0.9835     0.9839  0.0165     0.0161     0.2046         0.2049
    137   3.16    23.18      24.02      22.72  0.9833     0.9833  0.0167     0.0167     0.2353         0.2374
    138   3.16    25.76      25.77      22.17  0.9836     0.9848  0.0164     0.0152     0.2238         0.2249
    139   3.15    22.50      23.74      22.83  0.9835     0.9842  0.0165     0.0158     0.2369         0.2396
    140   3.15    22.40      23.69      22.99  0.9820     0.9833  0.0180     0.0167     0.2225         0.2231
    141   3.15    22.67      23.53      22.48  0.9827     0.9837  0.0173     0.0163     0.2323         0.2372
    142   3.15    23.31      23.98      22.66  0.9820     0.9826  0.0180     0.0174     0.2225         0.2278
    143   3.15    22.92      23.71      22.43  0.9823     0.9833  0.0177     0.0167     0.2210         0.2249
    144   3.14    24.11      24.58      22.39  0.9820     0.9831  0.0180     0.0169     0.2067         0.2088
    145   3.16    22.99      23.78      22.49  0.9831     0.9843  0.0169     0.0157     0.2186         0.2214
    146   3.16    24.71      24.08      22.45  0.9831     0.9843  0.0169     0.0157     0.2267         0.2282
