  epoch    IZY    IXZ_1    IZ_1Z_2    IZ_2Z_3     acc    avg_acc     err    avg_err    adv_acc    avg_adv_acc
-------  -----  -------  ---------  ---------  ------  ---------  ------  ---------  ---------  -------------
      1  -0.07   111.78      84.11      31.87  0.2396     0.3377  0.7604     0.6623     0.1646         0.1848
      2   0.81    60.76      77.74      29.72  0.4091     0.5522  0.5909     0.4478     0.1820         0.2011
      3   0.43    50.93      73.88      62.84  0.3871     0.5333  0.6129     0.4667     0.2226         0.2498
      4   1.35    39.72      60.77      26.10  0.5324     0.6564  0.4676     0.3436     0.1835         0.1868
      5   1.62    42.10      58.18      22.24  0.5978     0.7028  0.4022     0.2972     0.1660         0.1665
      6   1.80    37.25      54.62      20.36  0.6419     0.7426  0.3581     0.2574     0.1443         0.1443
      7   2.16    42.52      68.88      25.14  0.7443     0.8157  0.2557     0.1843     0.0920         0.0921
      8   1.96    30.19      46.77      17.52  0.6918     0.7860  0.3082     0.2140     0.1508         0.1477
      9   1.92    27.41      42.20      15.39  0.6803     0.7854  0.3197     0.2146     0.1633         0.1635
     10   2.00    27.13      41.11      13.82  0.6969     0.8060  0.3031     0.1940     0.1627         0.1589
     11   2.01    26.92      39.46      14.71  0.7025     0.8157  0.2975     0.1843     0.1667         0.1652
     12   2.11    24.68      37.01      13.04  0.7334     0.8285  0.2666     0.1715     0.1581         0.1543
     13   2.22    25.37      36.09      12.03  0.7525     0.8510  0.2475     0.1490     0.1427         0.1408
     14   2.34    24.07      35.13      11.68  0.7918     0.8785  0.2082     0.1215     0.1312         0.1265
     15   2.35    24.09      34.04      11.31  0.7900     0.8774  0.2100     0.1226     0.1210         0.1151
     16   2.31    23.22      31.80      11.26  0.7808     0.8768  0.2192     0.1232     0.1385         0.1332
     17   2.35    22.07      30.12      10.79  0.7886     0.8832  0.2114     0.1168     0.1426         0.1388
     18   2.50    23.36      30.14      10.60  0.8282     0.9046  0.1718     0.0954     0.1063         0.1021
     19   2.41    21.52      27.72       9.69  0.8066     0.8994  0.1934     0.1006     0.1418         0.1372
     20   2.31    22.07      29.56      10.75  0.7840     0.8935  0.2160     0.1065     0.1480         0.1453
     21   2.58    21.83      26.85       9.71  0.8485     0.9264  0.1515     0.0736     0.0968         0.0939
     22   2.53    19.96      25.32       9.25  0.8369     0.9138  0.1631     0.0862     0.1189         0.1144
     23   2.76    22.47      30.12      11.30  0.8990     0.9436  0.1010     0.0564     0.0744         0.0725
     24   2.67    20.03      24.13       9.44  0.8733     0.9391  0.1267     0.0609     0.1005         0.0974
     25   2.72    20.49      26.05       9.17  0.8875     0.9429  0.1125     0.0571     0.0956         0.0928
     26   2.62    18.77      22.94       8.95  0.8592     0.9360  0.1408     0.0640     0.1161         0.1143
     27   2.64    18.26      22.12       8.89  0.8661     0.9341  0.1339     0.0659     0.1105         0.1098
     28   2.67    18.29      21.36       8.29  0.8746     0.9482  0.1254     0.0518     0.1110         0.1104
     29   2.75    19.98      23.07       8.51  0.8954     0.9522  0.1046     0.0478     0.0944         0.0930
     30   2.65    16.93      21.01       8.33  0.8700     0.9439  0.1300     0.0561     0.1249         0.1241
     31   2.78    17.84      19.95       8.46  0.8913     0.9522  0.1087     0.0478     0.0824         0.0809
     32   2.81    17.65      20.94       8.57  0.9066     0.9549  0.0934     0.0451     0.0900         0.0873
     33   2.81    16.76      20.56       8.49  0.9063     0.9560  0.0937     0.0440     0.0879         0.0863
     34   2.65    15.01      19.23       7.88  0.8665     0.9417  0.1335     0.0583     0.1315         0.1294
     35   2.77    16.14      17.89       8.01  0.8971     0.9538  0.1029     0.0462     0.1030         0.1027
     36   2.79    15.42      17.80       7.73  0.9014     0.9568  0.0986     0.0432     0.0993         0.0991
     37   2.82    15.22      17.11       8.00  0.9031     0.9595  0.0969     0.0405     0.0927         0.0866
     38   2.77    15.40      17.11       7.85  0.8996     0.9499  0.1004     0.0501     0.1018         0.0959
     39   2.82    15.31      16.80       7.78  0.9070     0.9599  0.0930     0.0401     0.1011         0.1005
     40   2.80    14.63      16.66       7.54  0.9035     0.9569  0.0965     0.0431     0.1124         0.1115
     41   2.85    15.14      15.87       7.82  0.9164     0.9639  0.0836     0.0361     0.1119         0.1141
     42   2.85    14.15      15.74       7.79  0.9144     0.9625  0.0856     0.0375     0.0975         0.0952
     43   2.87    14.00      15.20       7.86  0.9148     0.9627  0.0852     0.0373     0.1011         0.1018
     44   2.80    13.94      15.75       7.35  0.9073     0.9588  0.0927     0.0412     0.1228         0.1219
     45   2.82    13.33      14.96       7.36  0.9049     0.9631  0.0951     0.0369     0.1131         0.1121
     46   2.90    14.36      15.45       7.52  0.9251     0.9704  0.0749     0.0296     0.1063         0.1086
     47   2.89    13.05      15.02       7.45  0.9259     0.9681  0.0741     0.0319     0.1007         0.1011
     48   2.89    13.55      14.62       7.47  0.9214     0.9674  0.0786     0.0326     0.1118         0.1097
     49   2.84    13.33      13.97       7.27  0.9149     0.9630  0.0851     0.0370     0.1239         0.1274
     50   2.82    12.77      14.67       7.30  0.9045     0.9629  0.0955     0.0371     0.1283         0.1339
     51   2.90    12.38      13.60       7.25  0.9268     0.9687  0.0732     0.0313     0.1221         0.1219
     52   2.87    11.92      13.41       7.29  0.9158     0.9667  0.0842     0.0333     0.1261         0.1301
     53   2.92    12.54      13.93       7.40  0.9318     0.9672  0.0682     0.0328     0.1109         0.1131
     54   2.88    11.75      13.14       7.10  0.9182     0.9671  0.0818     0.0329     0.1146         0.1127
     55   2.90    11.46      12.77       7.14  0.9248     0.9675  0.0752     0.0325     0.1182         0.1235
     56   2.91    12.05      12.48       7.11  0.9258     0.9692  0.0742     0.0308     0.1176         0.1213
     57   2.84    11.12      12.41       7.03  0.9104     0.9663  0.0896     0.0337     0.1172         0.1175
     58   2.84    10.84      12.03       6.81  0.9112     0.9657  0.0888     0.0343     0.1256         0.1297
     59   2.92    11.32      11.98       7.11  0.9303     0.9710  0.0697     0.0290     0.1119         0.1135
     60   2.92    11.89      11.98       6.99  0.9302     0.9716  0.0698     0.0284     0.1313         0.1328
     61   2.91    11.28      11.55       7.08  0.9305     0.9702  0.0695     0.0298     0.1352         0.1375
     62   2.90    10.92      11.37       7.07  0.9310     0.9717  0.0690     0.0283     0.1181         0.1222
     63   2.93    11.43      11.60       7.06  0.9326     0.9724  0.0674     0.0276     0.1291         0.1316
     64   2.92    10.83      11.51       6.92  0.9308     0.9723  0.0692     0.0277     0.1238         0.1267
     65   2.90    10.58      10.94       6.78  0.9260     0.9701  0.0740     0.0299     0.1331         0.1386
     66   2.94    11.04      11.46       6.87  0.9337     0.9739  0.0663     0.0261     0.1339         0.1387
     67   2.93    10.87      10.84       6.78  0.9299     0.9733  0.0701     0.0267     0.1366         0.1393
     68   2.91    10.03      10.44       6.74  0.9254     0.9713  0.0746     0.0287     0.1362         0.1394
     69   2.89     9.94      10.30       6.60  0.9251     0.9712  0.0749     0.0288     0.1576         0.1620
     70   2.88    10.60      10.43       6.80  0.9265     0.9670  0.0735     0.0330     0.1562         0.1619
     71   2.90     9.74       9.99       6.60  0.9269     0.9713  0.0731     0.0287     0.1424         0.1482
     72   2.93    10.20      10.29       6.77  0.9343     0.9715  0.0657     0.0285     0.1313         0.1348
     73   2.90     9.84       9.39       6.64  0.9267     0.9730  0.0733     0.0270     0.1449         0.1496
