  epoch    IZY    IXZ_1    IZ_1Z_2    IZ_2Z_3     acc    avg_acc     err    avg_err    adv_acc    avg_adv_acc
-------  -----  -------  ---------  ---------  ------  ---------  ------  ---------  ---------  -------------
      1   2.44    52.59      98.52      73.06  0.8067     0.8466  0.1933     0.1534     0.1393         0.1448
      2   2.60    41.94      80.50      69.06  0.8465     0.8822  0.1535     0.1178     0.1305         0.1356
      3   2.78    42.95      75.48      63.59  0.8865     0.9074  0.1135     0.0926     0.1136         0.1165
      4   2.79    36.26      64.26      56.49  0.8971     0.9227  0.1029     0.0773     0.1045         0.1089
      5   2.85    34.85      59.90      52.90  0.9065     0.9267  0.0935     0.0733     0.1049         0.1109
      6   2.91    34.19      56.20      50.69  0.9175     0.9403  0.0825     0.0597     0.0839         0.0865
      7   2.94    34.94      54.13      48.45  0.9263     0.9405  0.0737     0.0595     0.0837         0.0862
      8   2.99    30.17      50.52      43.35  0.9380     0.9493  0.0620     0.0507     0.0717         0.0732
      9   2.96    28.31      45.93      40.10  0.9337     0.9480  0.0663     0.0520     0.0729         0.0749
     10   2.92    27.42      44.95      37.35  0.9245     0.9428  0.0755     0.0572     0.0973         0.1003
     11   3.04    27.92      48.58      35.49  0.9481     0.9577  0.0519     0.0423     0.0622         0.0621
     12   3.05    29.42      53.73      37.47  0.9499     0.9590  0.0501     0.0410     0.0529         0.0537
     13   2.96    26.94      40.58      31.47  0.9320     0.9515  0.0680     0.0485     0.1050         0.1111
     14   2.96    26.10      40.96      29.28  0.9360     0.9464  0.0640     0.0536     0.0882         0.0915
     15   3.02    26.18      40.60      27.52  0.9488     0.9583  0.0512     0.0417     0.0866         0.0887
     16   2.99    22.41      36.16      24.64  0.9425     0.9577  0.0575     0.0423     0.0943         0.0978
     17   3.01    22.67      35.06      25.12  0.9466     0.9592  0.0534     0.0408     0.0974         0.0997
     18   3.06    24.28      37.40      24.92  0.9582     0.9657  0.0418     0.0343     0.1039         0.1054
