  epoch    IZY    IXZ_1    IZ_1Z_2    IZ_2Z_3     acc    avg_acc     err    avg_err    adv_acc    avg_adv_acc
-------  -----  -------  ---------  ---------  ------  ---------  ------  ---------  ---------  -------------
      1  -5.98   359.42     747.39     622.59  0.1009     0.1007  0.8991     0.8993     0.1066         0.1075
      2  -0.36    14.59      69.88      42.02  0.1033     0.1139  0.8967     0.8861     0.1165         0.1263
      3  -0.53    10.72      58.90      28.84  0.1046     0.1128  0.8954     0.8872     0.1093         0.1125
      4  -0.24    10.02      52.42      32.39  0.1024     0.1098  0.8976     0.8902     0.1075         0.1106
      5  -0.28     6.40      38.07      24.02  0.0964     0.1019  0.9036     0.8981     0.1033         0.1082
      6  -0.31     5.79      36.33      22.18  0.1053     0.1022  0.8947     0.8978     0.1056         0.1061
      7  -0.16     5.12      33.02      14.83  0.0970     0.1035  0.9030     0.8965     0.1002         0.1094
      8  -0.10     5.20      30.07      13.21  0.1012     0.1057  0.8988     0.8943     0.1050         0.1059
      9  -0.08     4.35      26.95      10.20  0.1003     0.1046  0.8997     0.8954     0.1052         0.1050
     10  -0.06     3.77      24.85       8.18  0.1027     0.1026  0.8973     0.8974     0.1078         0.1132
     11  -0.05     3.31      22.78       7.40  0.1058     0.1077  0.8942     0.8923     0.1109         0.1052
     12  -0.03     3.81      23.71       6.67  0.0976     0.1054  0.9024     0.8946     0.1095         0.1089
     13  -0.03     3.05      22.09       7.37  0.1017     0.1088  0.8983     0.8912     0.1058         0.1101
     14  -0.01     3.33      23.77       6.15  0.1112     0.1088  0.8888     0.8912     0.1094         0.1158
     15  -0.01     2.85      19.17       6.28  0.1038     0.1078  0.8962     0.8922     0.1082         0.1119
     16  -0.01     4.67      21.57       6.75  0.1064     0.1150  0.8936     0.8850     0.1111         0.1133
     17  -0.00     3.03      20.50       4.83  0.1029     0.1118  0.8971     0.8882     0.1067         0.1148
     18  -0.00     3.02      18.31       5.78  0.1052     0.1143  0.8948     0.8857     0.1086         0.1131
     19  -0.00     2.84      19.58       5.38  0.1056     0.1134  0.8944     0.8866     0.1049         0.1143
     20  -0.00     1.85      14.37       3.80  0.1044     0.1141  0.8956     0.8859     0.1061         0.1137
     21  -0.00     1.67      13.42       3.69  0.1110     0.1136  0.8890     0.8864     0.1123         0.1140
     22   0.00     1.57      12.77       3.05  0.1101     0.1132  0.8899     0.8868     0.1132         0.1133
     23   0.00     1.53      11.80       3.49  0.1061     0.1135  0.8939     0.8865     0.1149         0.1136
     24  -0.00     1.46      11.38       3.47  0.1117     0.1136  0.8883     0.8864     0.1093         0.1134
     25   0.00     2.48      15.95       2.99  0.1173     0.1134  0.8827     0.8866     0.1144         0.1137
     26   0.00     1.29       9.77       3.02  0.1111     0.1134  0.8889     0.8866     0.1123         0.1137
     27   0.00     1.54      10.36       3.05  0.1087     0.1133  0.8913     0.8867     0.1118         0.1136
     28   0.00     1.33       9.38       2.66  0.1127     0.1135  0.8873     0.8865     0.1138         0.1137
     29   0.00     1.23       8.32       2.47  0.1109     0.1136  0.8891     0.8864     0.1144         0.1135
     30   0.00     1.43       8.51       2.57  0.1118     0.1135  0.8882     0.8865     0.1126         0.1136
     31   0.00     1.02       6.39       2.03  0.1121     0.1135  0.8879     0.8865     0.1136         0.1135
     32   0.00     1.29       6.47       1.62  0.1136     0.1135  0.8864     0.8865     0.1116         0.1135
     33   0.00     1.08       5.52       1.55  0.1133     0.1135  0.8867     0.8865     0.1144         0.1135
     34   0.00     0.92       4.26       1.08  0.1137     0.1135  0.8863     0.8865     0.1122         0.1135
     35   0.00     0.87       4.05       0.92  0.1093     0.1135  0.8907     0.8865     0.1114         0.1135
     36   0.00     1.25       5.69       1.02  0.1130     0.1135  0.8870     0.8865     0.1135         0.1135
     37   0.00     0.98       4.40       0.78  0.1147     0.1135  0.8853     0.8865     0.1107         0.1135
     38   0.00     1.10       5.03       0.53  0.1101     0.1135  0.8899     0.8865     0.1078         0.1135
     39   0.00     0.97       4.51       0.62  0.1130     0.1135  0.8870     0.8865     0.1125         0.1135
     40   0.00     0.75       3.63       0.45  0.1135     0.1135  0.8865     0.8865     0.1143         0.1135
     41   0.00     0.78       3.81       0.47  0.1137     0.1135  0.8863     0.8865     0.1095         0.1135
     42   0.00     0.77       3.81       0.43  0.1131     0.1135  0.8869     0.8865     0.1139         0.1135
     43   0.00     0.84       3.77       0.29  0.1134     0.1135  0.8866     0.8865     0.1121         0.1135
     44   0.00     0.96       4.62       0.38  0.1116     0.1135  0.8884     0.8865     0.1103         0.1135
     45   0.00     0.63       3.02       0.26  0.1123     0.1135  0.8877     0.8865     0.1112         0.1135
     46   0.00     0.58       2.90       0.23  0.1120     0.1135  0.8880     0.8865     0.1134         0.1135
     47   0.00     0.67       3.26       0.21  0.1117     0.1135  0.8883     0.8865     0.1133         0.1135
     48   0.00     0.75       3.44       0.20  0.1104     0.1135  0.8896     0.8865     0.1123         0.1135
     49   0.00     0.55       2.79       0.18  0.1131     0.1135  0.8869     0.8865     0.1146         0.1135
     50   0.00     0.50       2.57       0.16  0.1100     0.1135  0.8900     0.8865     0.1131         0.1135
     51   0.00     0.59       3.05       0.16  0.1124     0.1135  0.8876     0.8865     0.1135         0.1135
     52   0.00     0.48       2.62       0.12  0.1119     0.1135  0.8881     0.8865     0.1146         0.1135
     53   0.00     0.43       2.48       0.11  0.1135     0.1135  0.8865     0.8865     0.1123         0.1135
     54   0.00     0.49       2.48       0.10  0.1122     0.1135  0.8878     0.8865     0.1134         0.1135
     55   0.00     0.47       2.34       0.10  0.1113     0.1135  0.8887     0.8865     0.1128         0.1135
     56   0.00     0.60       2.83       0.08  0.1141     0.1135  0.8859     0.8865     0.1116         0.1135
     57   0.00     0.40       2.24       0.08  0.1135     0.1135  0.8865     0.8865     0.1153         0.1135
     58   0.00     0.50       2.59       0.07  0.1139     0.1135  0.8861     0.8865     0.1139         0.1135
     59   0.00     0.38       2.10       0.07  0.1145     0.1135  0.8855     0.8865     0.1144         0.1135
     60   0.00     0.35       2.06       0.07  0.1123     0.1135  0.8877     0.8865     0.1130         0.1135
     61   0.00     0.36       2.03       0.06  0.1132     0.1135  0.8868     0.8865     0.1138         0.1135
     62   0.00     0.33       1.94       0.05  0.1126     0.1135  0.8874     0.8865     0.1140         0.1135
     63   0.00     0.33       1.93       0.04  0.1124     0.1135  0.8876     0.8865     0.1134         0.1135
     64   0.00     0.29       1.84       0.04  0.1130     0.1135  0.8870     0.8865     0.1127         0.1135
     65   0.00     0.33       1.89       0.03  0.1129     0.1135  0.8871     0.8865     0.1136         0.1135
     66   0.00     0.28       1.74       0.03  0.1134     0.1135  0.8866     0.8865     0.1128         0.1135
     67   0.00     0.33       1.87       0.04  0.1120     0.1135  0.8880     0.8865     0.1136         0.1135
     68   0.00     0.27       1.69       0.03  0.1145     0.1135  0.8855     0.8865     0.1112         0.1135
     69   0.00     0.28       1.72       0.03  0.1133     0.1135  0.8867     0.8865     0.1130         0.1135
     70   0.00     0.26       1.58       0.03  0.1125     0.1135  0.8875     0.8865     0.1117         0.1135
     71   0.00     0.25       1.56       0.02  0.1119     0.1135  0.8881     0.8865     0.1141         0.1135
     72   0.00     0.24       1.53       0.02  0.1123     0.1135  0.8877     0.8865     0.1136         0.1135
     73   0.00     0.24       1.48       0.02  0.1133     0.1135  0.8867     0.8865     0.1137         0.1135
     74   0.00     0.23       1.49       0.02  0.1130     0.1135  0.8870     0.8865     0.1133         0.1135
     75   0.00     0.29       1.62       0.02  0.1137     0.1135  0.8863     0.8865     0.1128         0.1135
     76   0.00     0.21       1.43       0.02  0.1142     0.1135  0.8858     0.8865     0.1137         0.1135
     77   0.00     0.31       1.52       0.02  0.1125     0.1135  0.8875     0.8865     0.1132         0.1135
     78   0.00     0.22       1.33       0.01  0.1139     0.1135  0.8861     0.8865     0.1128         0.1135
     79   0.00     0.33       1.73       0.01  0.1135     0.1135  0.8865     0.8865     0.1119         0.1135
     80   0.00     0.32       1.58       0.01  0.1145     0.1135  0.8855     0.8865     0.1121         0.1135
     81   0.00     0.27       1.40       0.01  0.1133     0.1135  0.8867     0.8865     0.1140         0.1135
     82   0.00     0.21       1.24       0.01  0.1144     0.1135  0.8856     0.8865     0.1126         0.1135
     83   0.00     0.19       1.25       0.01  0.1137     0.1135  0.8863     0.8865     0.1123         0.1135
     84   0.00     0.26       1.31       0.01  0.1121     0.1135  0.8879     0.8865     0.1136         0.1135
     85   0.00     0.18       1.14       0.01  0.1134     0.1135  0.8866     0.8865     0.1123         0.1135
     86   0.00     0.16       1.11       0.01  0.1138     0.1135  0.8862     0.8865     0.1124         0.1135
     87   0.00     0.16       1.06       0.01  0.1114     0.1135  0.8886     0.8865     0.1141         0.1135
     88   0.00     0.20       1.16       0.01  0.1116     0.1135  0.8884     0.8865     0.1134         0.1135
     89   0.00     0.19       1.12       0.01  0.1130     0.1135  0.8870     0.8865     0.1142         0.1135
     90   0.00     0.15       0.99       0.00  0.1133     0.1135  0.8867     0.8865     0.1140         0.1135
     91   0.00     0.21       1.10       0.01  0.1128     0.1135  0.8872     0.8865     0.1129         0.1135
     92   0.00     0.15       0.97       0.00  0.1125     0.1135  0.8875     0.8865     0.1121         0.1135
     93   0.00     0.28       1.16       0.00  0.1144     0.1135  0.8856     0.8865     0.1139         0.1135
     94   0.00     0.13       0.92       0.00  0.1131     0.1135  0.8869     0.8865     0.1133         0.1135
     95   0.00     0.22       1.11       0.00  0.1140     0.1135  0.8860     0.8865     0.1131         0.1135
     96   0.00     0.13       0.87       0.00  0.1134     0.1135  0.8866     0.8865     0.1133         0.1135
     97   0.00     0.11       0.83       0.00  0.1131     0.1135  0.8869     0.8865     0.1132         0.1135
     98   0.00     0.12       0.82       0.00  0.1137     0.1135  0.8863     0.8865     0.1132         0.1135
     99   0.00     0.14       0.82       0.00  0.1134     0.1135  0.8866     0.8865     0.1127         0.1135
    100   0.00     0.13       0.81       0.00  0.1143     0.1135  0.8857     0.8865     0.1130         0.1135
    101   0.00     0.13       0.84       0.00  0.1134     0.1135  0.8866     0.8865     0.1127         0.1135
    102   0.00     0.10       0.77       0.00  0.1132     0.1135  0.8868     0.8865     0.1146         0.1135
    103   0.00     0.13       0.81       0.00  0.1135     0.1135  0.8865     0.8865     0.1128         0.1135
    104   0.00     0.14       0.78       0.00  0.1138     0.1135  0.8862     0.8865     0.1126         0.1135
    105   0.00     0.14       0.80       0.00  0.1133     0.1135  0.8867     0.8865     0.1135         0.1135
    106   0.00     0.12       0.72       0.00  0.1124     0.1135  0.8876     0.8865     0.1134         0.1135
    107   0.00     0.14       0.71       0.00  0.1135     0.1135  0.8865     0.8865     0.1135         0.1135
    108   0.00     0.13       0.73       0.00  0.1138     0.1135  0.8862     0.8865     0.1140         0.1135
    109   0.00     0.10       0.63       0.00  0.1128     0.1135  0.8872     0.8865     0.1133         0.1135
    110   0.00     0.10       0.69       0.00  0.1133     0.1135  0.8867     0.8865     0.1125         0.1135
    111   0.00     0.09       0.61       0.00  0.1131     0.1135  0.8869     0.8865     0.1135         0.1135
    112   0.00     0.08       0.59       0.00  0.1140     0.1135  0.8860     0.8865     0.1130         0.1135
    113   0.00     0.08       0.59       0.00  0.1136     0.1135  0.8864     0.8865     0.1125         0.1135
    114   0.00     0.08       0.57       0.00  0.1133     0.1135  0.8867     0.8865     0.1131         0.1135
    115   0.00     0.09       0.56       0.00  0.1140     0.1135  0.8860     0.8865     0.1140         0.1135
    116   0.00     0.09       0.58       0.00  0.1125     0.1135  0.8875     0.8865     0.1135         0.1135
    117   0.00     0.08       0.53       0.00  0.1132     0.1135  0.8868     0.8865     0.1130         0.1135
    118   0.00     0.08       0.53       0.00  0.1134     0.1135  0.8866     0.8865     0.1135         0.1135
    119   0.00     0.07       0.51       0.00  0.1136     0.1135  0.8864     0.8865     0.1132         0.1135
