  epoch    IZY    IXZ_1    IZ_1Z_2    IZ_2Z_3     acc    avg_acc     err    avg_err    adv_acc    avg_adv_acc
-------  -----  -------  ---------  ---------  ------  ---------  ------  ---------  ---------  -------------
      1  -0.95    18.48      69.73      38.55  0.1018     0.0991  0.8982     0.9009     0.1092         0.1078
      2  -0.45    12.69      62.47      38.02  0.1041     0.0998  0.8959     0.9002     0.1027         0.1023
      3  -0.21    14.59      71.15      44.81  0.1015     0.1032  0.8985     0.8968     0.1061         0.1020
      4  -0.53     6.96      45.39      32.25  0.1021     0.0958  0.8979     0.9042     0.0990         0.1013
      5  -0.39     6.04      37.87      25.86  0.0973     0.1032  0.9027     0.8968     0.0982         0.1079
      6  -0.22     5.95      33.93      17.48  0.0957     0.1110  0.9043     0.8890     0.1074         0.1112
      7  -0.21     4.86      30.66      17.35  0.0948     0.1041  0.9052     0.8959     0.1056         0.1038
      8  -0.09     5.09      29.16      12.12  0.0993     0.1058  0.9007     0.8942     0.1073         0.1085
      9  -0.08     3.86      24.78       9.47  0.0996     0.1046  0.9004     0.8954     0.1011         0.1053
     10  -0.07     3.90      25.37       9.58  0.1037     0.1086  0.8963     0.8914     0.1078         0.1077
     11  -0.05     3.34      21.09       6.48  0.0980     0.1111  0.9020     0.8889     0.1095         0.1093
     12  -0.02     6.63      34.41       8.20  0.1073     0.1108  0.8927     0.8892     0.1079         0.1140
     13  -0.02     2.81      18.09       5.90  0.1017     0.1080  0.8983     0.8920     0.1096         0.1124
     14  -0.01     3.55      21.48       4.86  0.1062     0.1083  0.8938     0.8917     0.1094         0.1133
     15  -0.01     2.66      17.22       3.94  0.1047     0.1106  0.8953     0.8894     0.1135         0.1121
     16  -0.01     2.43      16.17       4.66  0.1081     0.1113  0.8919     0.8887     0.1067         0.1133
     17  -0.00     2.50      15.83       4.18  0.1030     0.1143  0.8970     0.8857     0.1073         0.1136
     18  -0.01     2.54      17.12       4.57  0.1098     0.1143  0.8902     0.8857     0.1081         0.1128
     19  -0.00     2.12      15.10       2.93  0.1034     0.1138  0.8966     0.8862     0.1124         0.1134
     20  -0.00     2.05      13.82       3.68  0.1084     0.1126  0.8916     0.8874     0.1132         0.1138
     21  -0.00     1.78      12.28       3.29  0.1072     0.1139  0.8928     0.8861     0.1107         0.1126
     22   0.00     1.73      11.41       2.57  0.1083     0.1138  0.8917     0.8862     0.1112         0.1135
     23   0.00     2.48      14.95       2.53  0.1118     0.1137  0.8882     0.8863     0.1101         0.1137
