  epoch    IZY    IXZ_1    IZ_1Z_2    IZ_2Z_3     acc    avg_acc     err    avg_err    adv_acc    avg_adv_acc
-------  -----  -------  ---------  ---------  ------  ---------  ------  ---------  ---------  -------------
      1   3.11  1108.01     557.18     299.57  0.9546     0.9544  0.0454     0.0456     0.0239         0.0240
      2   3.14   977.69     451.12     224.24  0.9574     0.9590  0.0426     0.0410     0.0264         0.0267
      3   3.18   896.69     417.05     206.09  0.9684     0.9694  0.0316     0.0306     0.0211         0.0218
      4   3.17   861.30     357.04     181.73  0.9696     0.9703  0.0304     0.0297     0.0249         0.0245
      5   3.20   789.10     317.64     172.76  0.9741     0.9739  0.0259     0.0261     0.0268         0.0282
      6   3.20   742.58     316.05     161.59  0.9750     0.9752  0.0250     0.0248     0.0284         0.0285
      7   3.21   733.68     282.53     149.56  0.9767     0.9775  0.0233     0.0225     0.0367         0.0430
      8   3.22   655.06     262.53     142.16  0.9792     0.9799  0.0208     0.0201     0.0404         0.0454
      9   3.22   699.86     289.22     148.62  0.9785     0.9783  0.0215     0.0217     0.0308         0.0372
     10   3.21   669.80     260.48     140.12  0.9779     0.9776  0.0221     0.0224     0.0505         0.0585
     11   3.13   594.98     237.45     133.74  0.9663     0.9674  0.0337     0.0326     0.0495         0.0575
     12   3.20   614.42     258.17     136.33  0.9773     0.9788  0.0227     0.0212     0.0400         0.0470
     13   3.22   625.61     260.48     136.10  0.9805     0.9808  0.0195     0.0192     0.0302         0.0345
     14   3.20   608.28     247.00     126.96  0.9769     0.9772  0.0231     0.0228     0.0426         0.0538
     15   3.19   589.01     273.21     136.62  0.9761     0.9762  0.0239     0.0238     0.0367         0.0429
     16   3.21   570.45     248.81     119.37  0.9800     0.9804  0.0200     0.0196     0.0477         0.0553
     17   3.19   523.17     222.04     117.86  0.9761     0.9764  0.0239     0.0236     0.0533         0.0647
     18   3.19   514.40     225.86     120.29  0.9771     0.9772  0.0229     0.0228     0.0708         0.0806
     19   3.20   478.34     197.94     113.38  0.9788     0.9791  0.0212     0.0209     0.0706         0.0913
     20   3.21   502.06     221.25     116.79  0.9788     0.9786  0.0212     0.0214     0.0387         0.0453
     21   3.19   496.58     200.83     107.10  0.9774     0.9777  0.0226     0.0223     0.0690         0.0839
     22   3.22   449.74     210.16     109.47  0.9810     0.9817  0.0190     0.0183     0.0562         0.0655
     23   3.20   402.75     199.85     110.91  0.9807     0.9808  0.0193     0.0192     0.0692         0.0823
     24   3.21   418.41     182.94     103.49  0.9830     0.9836  0.0170     0.0164     0.0786         0.1001
     25   3.22   401.85     188.00     103.72  0.9824     0.9824  0.0176     0.0176     0.0805         0.0970
     26   3.21   404.68     172.72      97.92  0.9815     0.9814  0.0185     0.0186     0.0838         0.0998
     27   3.22   381.44     175.98      96.44  0.9835     0.9833  0.0165     0.0167     0.0848         0.1045
     28   3.21   429.38     184.73      96.58  0.9830     0.9830  0.0170     0.0170     0.0693         0.0847
     29   3.20   343.83     167.64      98.25  0.9790     0.9803  0.0210     0.0197     0.0813         0.1016
     30   3.22   335.46     161.11      95.40  0.9823     0.9831  0.0177     0.0169     0.0871         0.1061
     31   3.20   398.82     167.71      90.94  0.9800     0.9815  0.0200     0.0185     0.0841         0.0987
     32   3.22   383.31     176.37      92.11  0.9838     0.9843  0.0162     0.0157     0.0726         0.0826
     33   3.20   332.49     165.05      89.59  0.9829     0.9829  0.0171     0.0171     0.1045         0.1187
     34   3.20   390.32     177.18      90.40  0.9814     0.9819  0.0186     0.0181     0.1039         0.1157
     35   3.21   338.48     167.91      87.94  0.9816     0.9819  0.0184     0.0181     0.1008         0.1155
     36   3.20   387.47     160.90      83.57  0.9819     0.9817  0.0181     0.0183     0.0973         0.1047
