t,IZY,IXZ_1,IZ_1Z_2,IZ_2Z_3,acc,avg_acc,err,avg_err,adv_acc,avg_adv_acc
1,3.0890345573425293,1967.2586669921875,1020.531982421875,532.5357666015625,0.9480999708175659,0.9474999904632568,0.05190002918243408,0.052500009536743164,0.027400000020861626,0.0272000003606081
2,3.167839765548706,1820.1923828125,898.3351440429688,465.1977844238281,0.9646999835968018,0.9646999835968018,0.03530001640319824,0.03530001640319824,0.01759999990463257,0.01759999990463257
3,3.1621477603912354,1742.7979736328125,815.6932373046875,419.2598571777344,0.9652000069618225,0.9648000001907349,0.03479999303817749,0.03519999980926514,0.020800000056624413,0.02070000022649765
4,3.182718276977539,1708.295654296875,780.3280029296875,394.4276123046875,0.9707000255584717,0.9707000255584717,0.02929997444152832,0.02929997444152832,0.015399999916553497,0.015300000086426735
5,3.2089285850524902,1695.681884765625,736.5897216796875,360.2530517578125,0.9758999943733215,0.9761000275611877,0.024100005626678467,0.023899972438812256,0.019600000232458115,0.01940000057220459
6,3.2248332500457764,1641.78857421875,707.6678466796875,348.95513916015625,0.979200005531311,0.9789999723434448,0.020799994468688965,0.021000027656555176,0.022600000724196434,0.02239999920129776
7,3.2065365314483643,1621.66796875,668.8914794921875,329.67529296875,0.9764000177383423,0.9771000146865845,0.023599982261657715,0.022899985313415527,0.030400000512599945,0.030300000682473183
8,3.2248899936676025,1606.721923828125,648.1585083007812,322.2335510253906,0.9794999957084656,0.9793999791145325,0.020500004291534424,0.02060002088546753,0.054999999701976776,0.05510000139474869
9,3.177652359008789,1580.7823486328125,643.9893188476562,316.7883605957031,0.9714000225067139,0.9714999794960022,0.028599977493286133,0.028500020503997803,0.05770000070333481,0.05790000036358833
10,3.1962382793426514,1539.34521484375,622.683837890625,310.41778564453125,0.9753999710083008,0.9753000140190125,0.02460002899169922,0.02469998598098755,0.07580000162124634,0.0771000012755394
11,3.1929986476898193,1484.533447265625,570.1240844726562,290.2015686035156,0.9767000079154968,0.9763000011444092,0.023299992084503174,0.02369999885559082,0.07620000094175339,0.07680000364780426
12,3.2043421268463135,1484.950439453125,557.7503662109375,284.9238586425781,0.9793999791145325,0.9801999926567078,0.02060002088546753,0.019800007343292236,0.09589999914169312,0.09870000183582306
13,3.141134738922119,1450.4984130859375,541.7962036132812,278.890380859375,0.968999981880188,0.9690999984741211,0.03100001811981201,0.030900001525878906,0.09210000187158585,0.09480000287294388
14,3.210108757019043,1435.00732421875,521.5326538085938,267.281494140625,0.9801999926567078,0.9804999828338623,0.019800007343292236,0.019500017166137695,0.10320000350475311,0.10350000113248825
15,3.1789333820343018,1395.72802734375,495.78173828125,265.9661865234375,0.9768999814987183,0.9769999980926514,0.02310001850128174,0.023000001907348633,0.125900000333786,0.12999999523162842
16,3.201756238937378,1374.642578125,481.6955871582031,260.48614501953125,0.9797000288963318,0.9797000288963318,0.020299971103668213,0.020299971103668213,0.12290000170469284,0.12549999356269836
17,3.2107017040252686,1376.086669921875,498.7422180175781,261.3948974609375,0.9797999858856201,0.9803000092506409,0.020200014114379883,0.01969999074935913,0.1185000017285347,0.1200999990105629
18,3.220418691635132,1343.0380859375,451.3917236328125,242.68275451660156,0.9829999804496765,0.9835000038146973,0.017000019550323486,0.016499996185302734,0.14890000224113464,0.15360000729560852
19,3.2061455249786377,1310.5875244140625,451.6042785644531,249.20877075195312,0.9794999957084656,0.9794999957084656,0.020500004291534424,0.020500004291534424,0.1274999976158142,0.13379999995231628
20,3.2026708126068115,1296.596435546875,456.71490478515625,245.90853881835938,0.9805999994277954,0.9801999926567078,0.01940000057220459,0.019800007343292236,0.14569999277591705,0.15129999816417694
21,3.2104084491729736,1280.7154541015625,449.7422790527344,239.1983642578125,0.9803000092506409,0.9811000227928162,0.01969999074935913,0.018899977207183838,0.179299995303154,0.18610000610351562
22,3.2077012062072754,1234.8521728515625,414.5845642089844,235.44961547851562,0.9811999797821045,0.9811999797821045,0.018800020217895508,0.018800020217895508,0.2029999941587448,0.21439999341964722
23,3.212545156478882,1240.043701171875,412.1658935546875,224.92822265625,0.982200026512146,0.9824000000953674,0.017799973487854004,0.01759999990463257,0.16009999811649323,0.1687999963760376
24,3.2112720012664795,1157.707275390625,385.5895080566406,224.09457397460938,0.9821000099182129,0.9822999835014343,0.01789999008178711,0.017700016498565674,0.20180000364780426,0.2206999957561493
