  epoch    IZY    IXZ_1    IZ_1Z_2    IZ_2Z_3     acc    avg_acc     err    avg_err    adv_acc    avg_adv_acc
-------  -----  -------  ---------  ---------  ------  ---------  ------  ---------  ---------  -------------
      1   3.09  1967.26    1020.53     532.54  0.9481     0.9475  0.0519     0.0525     0.0274         0.0272
      2   3.17  1820.19     898.34     465.20  0.9647     0.9647  0.0353     0.0353     0.0176         0.0176
      3   3.16  1742.80     815.69     419.26  0.9652     0.9648  0.0348     0.0352     0.0208         0.0207
      4   3.18  1708.30     780.33     394.43  0.9707     0.9707  0.0293     0.0293     0.0154         0.0153
      5   3.21  1695.68     736.59     360.25  0.9759     0.9761  0.0241     0.0239     0.0196         0.0194
      6   3.22  1641.79     707.67     348.96  0.9792     0.9790  0.0208     0.0210     0.0226         0.0224
      7   3.21  1621.67     668.89     329.68  0.9764     0.9771  0.0236     0.0229     0.0304         0.0303
      8   3.22  1606.72     648.16     322.23  0.9795     0.9794  0.0205     0.0206     0.0550         0.0551
      9   3.18  1580.78     643.99     316.79  0.9714     0.9715  0.0286     0.0285     0.0577         0.0579
     10   3.20  1539.35     622.68     310.42  0.9754     0.9753  0.0246     0.0247     0.0758         0.0771
     11   3.19  1484.53     570.12     290.20  0.9767     0.9763  0.0233     0.0237     0.0762         0.0768
     12   3.20  1484.95     557.75     284.92  0.9794     0.9802  0.0206     0.0198     0.0959         0.0987
     13   3.14  1450.50     541.80     278.89  0.9690     0.9691  0.0310     0.0309     0.0921         0.0948
     14   3.21  1435.01     521.53     267.28  0.9802     0.9805  0.0198     0.0195     0.1032         0.1035
     15   3.18  1395.73     495.78     265.97  0.9769     0.9770  0.0231     0.0230     0.1259         0.1300
     16   3.20  1374.64     481.70     260.49  0.9797     0.9797  0.0203     0.0203     0.1229         0.1255
     17   3.21  1376.09     498.74     261.39  0.9798     0.9803  0.0202     0.0197     0.1185         0.1201
     18   3.22  1343.04     451.39     242.68  0.9830     0.9835  0.0170     0.0165     0.1489         0.1536
     19   3.21  1310.59     451.60     249.21  0.9795     0.9795  0.0205     0.0205     0.1275         0.1338
     20   3.20  1296.60     456.71     245.91  0.9806     0.9802  0.0194     0.0198     0.1457         0.1513
     21   3.21  1280.72     449.74     239.20  0.9803     0.9811  0.0197     0.0189     0.1793         0.1861
     22   3.21  1234.85     414.58     235.45  0.9812     0.9812  0.0188     0.0188     0.2030         0.2144
     23   3.21  1240.04     412.17     224.93  0.9822     0.9824  0.0178     0.0176     0.1601         0.1688
     24   3.21  1157.71     385.59     224.09  0.9821     0.9823  0.0179     0.0177     0.2018         0.2207
     25   3.19  1124.09     371.86     218.11  0.9785     0.9785  0.0215     0.0215     0.1829         0.1985
     26   3.21  1124.96     372.27     210.19  0.9826     0.9827  0.0174     0.0173     0.1912         0.2071
     27   3.21  1142.22     376.89     213.69  0.9830     0.9828  0.0170     0.0172     0.1717         0.1875
     28   3.21  1131.74     375.03     211.06  0.9820     0.9822  0.0180     0.0178     0.1640         0.1744
     29   3.20  1046.55     359.00     207.46  0.9819     0.9820  0.0181     0.0180     0.1921         0.2103
     30   3.21  1029.63     328.04     204.53  0.9826     0.9825  0.0174     0.0175     0.2266         0.2506
     31   3.19   965.31     333.60     224.40  0.9803     0.9803  0.0197     0.0197     0.2490         0.2843
     32   3.21  1022.34     351.05     193.87  0.9824     0.9818  0.0176     0.0182     0.1693         0.1885
     33   3.22  1046.54     360.48     196.08  0.9826     0.9829  0.0174     0.0171     0.1323         0.1471
     34   3.22   930.68     305.41     191.92  0.9840     0.9839  0.0160     0.0161     0.1973         0.2285
     35   3.21   945.10     307.05     193.16  0.9821     0.9818  0.0179     0.0182     0.2059         0.2308
     36   3.20   941.65     302.47     197.23  0.9827     0.9827  0.0173     0.0173     0.2796         0.3149
     37   3.19   956.59     339.63     189.58  0.9812     0.9810  0.0188     0.0190     0.1506         0.1651
     38   3.21   904.33     296.63     188.58  0.9842     0.9843  0.0158     0.0157     0.2361         0.2696
     39   3.22   873.24     299.26     187.74  0.9846     0.9846  0.0154     0.0154     0.2547         0.2885
     40   3.19   876.23     304.99     181.84  0.9792     0.9796  0.0208     0.0204     0.1928         0.2185
     41   3.21   927.25     309.70     174.41  0.9818     0.9820  0.0182     0.0180     0.1893         0.2119
     42   3.23   820.72     273.04     173.99  0.9853     0.9850  0.0147     0.0150     0.2278         0.2683
     43   3.22   724.79     256.63     173.52  0.9851     0.9853  0.0149     0.0147     0.2164         0.2596
     44   3.21   845.52     326.54     185.30  0.9825     0.9828  0.0175     0.0172     0.1752         0.1935
     45   3.22   742.03     266.18     177.90  0.9851     0.9851  0.0149     0.0149     0.2680         0.3111
     46   3.21   800.32     290.64     171.02  0.9849     0.9846  0.0151     0.0154     0.2226         0.2492
     47   3.19   788.70     274.96     170.60  0.9804     0.9809  0.0196     0.0191     0.2377         0.2736
     48   3.23   738.13     262.69     162.02  0.9851     0.9851  0.0149     0.0149     0.2083         0.2473
     49   3.21   752.02     315.58     176.79  0.9802     0.9803  0.0198     0.0197     0.1116         0.1262
     50   3.21   713.69     271.15     166.72  0.9850     0.9852  0.0150     0.0148     0.2567         0.2955
     51   3.20   721.35     267.41     164.07  0.9843     0.9844  0.0157     0.0156     0.2285         0.2698
     52   3.19   744.84     267.91     167.29  0.9810     0.9815  0.0190     0.0185     0.2050         0.2403
     53   3.21   726.99     250.88     157.40  0.9843     0.9842  0.0157     0.0158     0.2329         0.2725
     54   3.22   655.45     239.74     158.99  0.9861     0.9861  0.0139     0.0139     0.2359         0.2822
     55   3.21   643.53     240.28     151.58  0.9847     0.9846  0.0153     0.0154     0.1907         0.2258
