t,IZY,IXZ_1,IZ_1Z_2,IZ_2Z_3,acc,avg_acc,err,avg_err,adv_acc,avg_adv_acc
1,3.1331498622894287,2384.735595703125,1272.7188720703125,653.9161376953125,0.9596999883651733,0.9599000215530396,0.04030001163482666,0.04009997844696045,0.0203000009059906,0.0203000009059906
2,3.155306577682495,2332.38232421875,1222.7708740234375,646.7296752929688,0.9625999927520752,0.9625999927520752,0.037400007247924805,0.037400007247924805,0.015699999406933784,0.015699999406933784
3,3.203618288040161,2292.896240234375,1174.46142578125,629.6287841796875,0.9731000065803528,0.9729999899864197,0.026899993419647217,0.027000010013580322,0.0142000000923872,0.014299999922513962
4,3.1956772804260254,2276.292724609375,1143.4306640625,614.1416015625,0.9710000157356262,0.9710000157356262,0.02899998426437378,0.02899998426437378,0.018799999728798866,0.018799999728798866
5,3.2241365909576416,2256.820068359375,1122.5133056640625,611.9678955078125,0.9790999889373779,0.9789999723434448,0.02090001106262207,0.021000027656555176,0.018400000408291817,0.01850000023841858
6,3.1886072158813477,2245.97412109375,1103.844970703125,595.7410888671875,0.9742000102996826,0.9743000268936157,0.025799989700317383,0.025699973106384277,0.021199999377131462,0.021199999377131462
7,3.1871044635772705,2234.259765625,1081.935302734375,565.4724731445312,0.9690999984741211,0.9692000150680542,0.030900001525878906,0.0307999849319458,0.024000000208616257,0.024000000208616257
8,3.193902015686035,2221.673828125,1067.945068359375,560.4996948242188,0.9740999937057495,0.9742000102996826,0.02590000629425049,0.025799989700317383,0.04410000145435333,0.044199999421834946
9,3.1946423053741455,2215.760009765625,1051.1583251953125,554.5270385742188,0.9757000207901001,0.9754999876022339,0.024299979209899902,0.024500012397766113,0.0649000033736229,0.06449999660253525
10,3.2151520252227783,2198.0068359375,1037.4393310546875,537.8203125,0.9783999919891357,0.9783999919891357,0.021600008010864258,0.021600008010864258,0.03830000013113022,0.03790000081062317
11,3.218163013458252,2189.95849609375,1018.7994384765625,526.2409057617188,0.9789999723434448,0.9789000153541565,0.021000027656555176,0.021099984645843506,0.04830000177025795,0.048700001090765
12,3.1677541732788086,2175.593994140625,1000.0548095703125,523.1387939453125,0.9735000133514404,0.9733999967575073,0.02649998664855957,0.026600003242492676,0.05700000002980232,0.05689999833703041
13,3.2155654430389404,2167.6640625,980.517333984375,510.8797912597656,0.9810000061988831,0.98089998960495,0.018999993801116943,0.01910001039505005,0.0649000033736229,0.06430000066757202
14,3.201937198638916,2153.9404296875,969.3594970703125,501.4520263671875,0.9769999980926514,0.9769999980926514,0.023000001907348633,0.023000001907348633,0.07509999722242355,0.0746999979019165
15,3.215911865234375,2143.0146484375,959.7003784179688,493.06097412109375,0.9804999828338623,0.9804999828338623,0.019500017166137695,0.019500017166137695,0.08160000294446945,0.08229999989271164
16,3.225057601928711,2144.974853515625,946.1129150390625,479.4598693847656,0.9819999933242798,0.9821000099182129,0.018000006675720215,0.01789999008178711,0.0763000026345253,0.07519999891519547
17,3.201979398727417,2127.3818359375,927.2091064453125,479.89013671875,0.9782999753952026,0.9783999919891357,0.021700024604797363,0.021600008010864258,0.10199999809265137,0.10329999774694443
18,3.2105934619903564,2121.7568359375,908.5478515625,478.2569580078125,0.9818000197410583,0.9818999767303467,0.01819998025894165,0.01810002326965332,0.10480000078678131,0.10509999841451645
19,3.1997170448303223,2107.275390625,901.6729736328125,467.070556640625,0.9790999889373779,0.9789999723434448,0.02090001106262207,0.021000027656555176,0.11240000277757645,0.1111999973654747
