  epoch    IZY    IXZ_1    IZ_1Z_2    IZ_2Z_3     acc    avg_acc     err    avg_err    adv_acc    avg_adv_acc
-------  -----  -------  ---------  ---------  ------  ---------  ------  ---------  ---------  -------------
      1   3.13  2384.74    1272.72     653.92  0.9597     0.9599  0.0403     0.0401     0.0203         0.0203
      2   3.16  2332.38    1222.77     646.73  0.9626     0.9626  0.0374     0.0374     0.0157         0.0157
      3   3.20  2292.90    1174.46     629.63  0.9731     0.9730  0.0269     0.0270     0.0142         0.0143
      4   3.20  2276.29    1143.43     614.14  0.9710     0.9710  0.0290     0.0290     0.0188         0.0188
      5   3.22  2256.82    1122.51     611.97  0.9791     0.9790  0.0209     0.0210     0.0184         0.0185
      6   3.19  2245.97    1103.84     595.74  0.9742     0.9743  0.0258     0.0257     0.0212         0.0212
      7   3.19  2234.26    1081.94     565.47  0.9691     0.9692  0.0309     0.0308     0.0240         0.0240
      8   3.19  2221.67    1067.95     560.50  0.9741     0.9742  0.0259     0.0258     0.0441         0.0442
      9   3.19  2215.76    1051.16     554.53  0.9757     0.9755  0.0243     0.0245     0.0649         0.0645
     10   3.22  2198.01    1037.44     537.82  0.9784     0.9784  0.0216     0.0216     0.0383         0.0379
     11   3.22  2189.96    1018.80     526.24  0.9790     0.9789  0.0210     0.0211     0.0483         0.0487
     12   3.17  2175.59    1000.05     523.14  0.9735     0.9734  0.0265     0.0266     0.0570         0.0569
     13   3.22  2167.66     980.52     510.88  0.9810     0.9809  0.0190     0.0191     0.0649         0.0643
     14   3.20  2153.94     969.36     501.45  0.9770     0.9770  0.0230     0.0230     0.0751         0.0747
     15   3.22  2143.01     959.70     493.06  0.9805     0.9805  0.0195     0.0195     0.0816         0.0823
     16   3.23  2144.97     946.11     479.46  0.9820     0.9821  0.0180     0.0179     0.0763         0.0752
     17   3.20  2127.38     927.21     479.89  0.9783     0.9784  0.0217     0.0216     0.1020         0.1033
     18   3.21  2121.76     908.55     478.26  0.9818     0.9819  0.0182     0.0181     0.1048         0.1051
     19   3.20  2107.28     901.67     467.07  0.9791     0.9790  0.0209     0.0210     0.1124         0.1112
     20   3.18  2099.31     883.87     464.91  0.9787     0.9790  0.0213     0.0210     0.1337         0.1341
     21   3.20  2087.56     879.08     454.21  0.9815     0.9816  0.0185     0.0184     0.1323         0.1321
     22   3.20  2073.62     857.33     445.17  0.9817     0.9815  0.0183     0.0185     0.1490         0.1489
     23   3.21  2063.05     841.34     436.66  0.9847     0.9845  0.0153     0.0155     0.1892         0.1889
     24   3.22  2057.38     832.51     421.81  0.9836     0.9836  0.0164     0.0164     0.1484         0.1474
     25   3.21  2050.63     820.03     419.02  0.9829     0.9827  0.0171     0.0173     0.1674         0.1666
     26   3.19  2034.01     812.31     418.96  0.9802     0.9801  0.0198     0.0199     0.1651         0.1657
     27   3.19  2027.21     800.15     402.14  0.9811     0.9807  0.0189     0.0193     0.1502         0.1515
     28   3.15  2015.27     775.22     400.46  0.9761     0.9762  0.0239     0.0238     0.1910         0.1906
     29   3.21  2006.69     774.63     396.96  0.9831     0.9831  0.0169     0.0169     0.2120         0.2123
     30   3.21  1994.41     753.83     393.66  0.9848     0.9848  0.0152     0.0152     0.2456         0.2455
     31   3.20  1994.04     753.65     383.41  0.9831     0.9831  0.0169     0.0169     0.2028         0.2037
     32   3.21  1989.14     751.88     372.31  0.9817     0.9819  0.0183     0.0181     0.1977         0.1981
     33   3.23  1971.46     731.19     372.65  0.9847     0.9847  0.0153     0.0153     0.2257         0.2259
     34   3.20  1966.10     728.18     370.39  0.9796     0.9796  0.0204     0.0204     0.1986         0.1999
     35   3.18  1952.04     706.98     371.93  0.9812     0.9815  0.0188     0.0185     0.2516         0.2520
     36   3.21  1943.95     699.79     365.56  0.9830     0.9830  0.0170     0.0170     0.2500         0.2508
     37   3.19  1921.05     692.23     364.80  0.9806     0.9807  0.0194     0.0193     0.2603         0.2615
     38   3.21  1932.99     686.86     363.59  0.9844     0.9839  0.0156     0.0161     0.2837         0.2842
     39   3.18  1911.80     674.49     356.59  0.9792     0.9792  0.0208     0.0208     0.2575         0.2589
     40   3.20  1892.95     664.67     360.38  0.9835     0.9835  0.0165     0.0165     0.2691         0.2707
     41   3.21  1880.96     634.09     364.86  0.9844     0.9846  0.0156     0.0154     0.3327         0.3362
     42   3.21  1856.84     611.83     365.51  0.9861     0.9858  0.0139     0.0142     0.3468         0.3494
     43   3.17  1859.50     656.96     328.84  0.9769     0.9767  0.0231     0.0233     0.1890         0.1898
     44   3.19  1845.00     619.05     339.37  0.9822     0.9824  0.0178     0.0176     0.2604         0.2619
     45   3.21  1851.38     619.63     332.57  0.9831     0.9831  0.0169     0.0169     0.3140         0.3163
     46   3.21  1823.04     593.38     346.97  0.9849     0.9849  0.0151     0.0151     0.3538         0.3556
     47   3.21  1798.74     569.40     345.40  0.9859     0.9857  0.0141     0.0143     0.3779         0.3773
     48   3.21  1768.93     544.71     332.34  0.9862     0.9864  0.0138     0.0136     0.3784         0.3791
     49   3.21  1726.70     513.98     318.64  0.9863     0.9867  0.0137     0.0133     0.3818         0.3858
     50   3.21  1641.41     468.19     306.13  0.9862     0.9858  0.0138     0.0142     0.3872         0.3914
     51   3.21  1468.27     416.41     291.03  0.9854     0.9853  0.0146     0.0147     0.3930         0.3995
     52   3.21  1581.67     469.41     275.73  0.9840     0.9844  0.0160     0.0156     0.2602         0.2652
     53   3.21  1557.56     450.12     288.55  0.9850     0.9850  0.0150     0.0150     0.3398         0.3460
     54   3.20  1566.35     459.02     288.99  0.9832     0.9831  0.0168     0.0169     0.3359         0.3396
     55   3.21  1542.88     439.51     299.71  0.9850     0.9853  0.0150     0.0147     0.3812         0.3892
     56   3.21  1518.17     427.58     297.98  0.9846     0.9845  0.0154     0.0155     0.4046         0.4122
     57   3.21  1486.86     414.39     288.74  0.9849     0.9851  0.0151     0.0149     0.4101         0.4190
     58   3.21  1420.14     394.74     278.88  0.9847     0.9849  0.0153     0.0151     0.3968         0.4101
     59   3.20  1336.74     374.80     268.29  0.9847     0.9846  0.0153     0.0154     0.4154         0.4234
     60   3.21  1456.39     422.60     267.35  0.9845     0.9846  0.0155     0.0154     0.3141         0.3220
     61   3.20  1457.56     414.76     273.05  0.9838     0.9841  0.0162     0.0159     0.3612         0.3710
     62   3.20  1465.63     427.46     267.58  0.9823     0.9822  0.0177     0.0178     0.3124         0.3232
     63   3.20  1446.10     419.34     273.56  0.9839     0.9842  0.0161     0.0158     0.3594         0.3686
     64   3.22  1444.61     428.05     269.90  0.9859     0.9858  0.0141     0.0142     0.3050         0.3149
     65   3.21  1413.64     410.75     274.97  0.9852     0.9852  0.0148     0.0148     0.3669         0.3816
     66   3.22  1440.67     430.70     261.62  0.9867     0.9867  0.0133     0.0133     0.3027         0.3101
     67   3.21  1414.57     413.86     270.46  0.9857     0.9859  0.0143     0.0141     0.3841         0.3968
     68   3.21  1388.87     401.32     269.41  0.9863     0.9861  0.0137     0.0139     0.4088         0.4198
     69   3.21  1352.06     390.36     264.03  0.9858     0.9864  0.0142     0.0136     0.4131         0.4275
     70   3.21  1225.42     369.14     261.11  0.9858     0.9859  0.0142     0.0141     0.4203         0.4345
     71   3.21  1086.03     361.29     251.80  0.9854     0.9853  0.0146     0.0147     0.3902         0.4031
     72   3.21   903.82     338.95     248.55  0.9856     0.9856  0.0144     0.0144     0.4092         0.4235
     73   3.21  1203.38     400.52     240.97  0.9841     0.9841  0.0159     0.0159     0.2796         0.2847
     74   3.21  1202.68     390.79     238.33  0.9845     0.9846  0.0155     0.0154     0.3254         0.3342
     75   3.21  1202.27     378.37     244.59  0.9854     0.9855  0.0146     0.0145     0.3763         0.3857
     76   3.21  1202.56     371.95     248.28  0.9852     0.9850  0.0148     0.0150     0.3883         0.3972
     77   3.21  1180.39     369.17     247.20  0.9853     0.9854  0.0147     0.0146     0.4120         0.4212
     78   3.21  1145.53     359.31     243.06  0.9857     0.9858  0.0143     0.0142     0.4198         0.4343
     79   3.21  1099.66     349.20     237.09  0.9859     0.9859  0.0141     0.0141     0.4063         0.4197
     80   3.21  1032.86     336.08     231.52  0.9859     0.9860  0.0141     0.0140     0.4162         0.4311
     81   3.21   865.07     316.84     225.25  0.9855     0.9856  0.0145     0.0144     0.4005         0.4164
     82   3.19  1097.75     371.60     223.16  0.9820     0.9820  0.0180     0.0180     0.2243         0.2303
     83   3.22  1091.09     357.94     224.23  0.9860     0.9862  0.0140     0.0138     0.3187         0.3307
     84   3.21  1054.59     346.80     230.92  0.9864     0.9865  0.0136     0.0135     0.3689         0.3811
     85   3.21  1020.84     337.60     229.64  0.9864     0.9864  0.0136     0.0136     0.3928         0.4080
     86   3.21   976.83     328.71     224.99  0.9863     0.9863  0.0137     0.0137     0.3849         0.3990
     87   3.21   913.70     317.69     220.49  0.9866     0.9866  0.0134     0.0134     0.3881         0.4078
     88   3.21   829.66     307.01     214.90  0.9862     0.9857  0.0138     0.0143     0.3883         0.4086
     89   3.21  1016.34     363.46     213.60  0.9825     0.9825  0.0175     0.0175     0.2779         0.2903
     90   3.22  1047.81     348.73     208.04  0.9859     0.9858  0.0141     0.0142     0.3318         0.3455
     91   3.22  1015.15     333.77     210.87  0.9860     0.9861  0.0140     0.0139     0.3882         0.4061
     92   3.21   981.71     324.58     212.46  0.9856     0.9857  0.0144     0.0143     0.4072         0.4303
