t,IZY,IXZ_1,IZ_1Z_2,IZ_2Z_3,acc,avg_acc,err,avg_err,adv_acc,avg_adv_acc
1,3.0870254039764404,2476.68505859375,1334.6885986328125,680.8110961914062,0.949999988079071,0.9502999782562256,0.050000011920928955,0.049700021743774414,0.020899999886751175,0.020899999886751175
2,3.1313304901123047,2423.6455078125,1305.87451171875,694.9140014648438,0.9609000086784363,0.9609000086784363,0.03909999132156372,0.03909999132156372,0.01810000091791153,0.01810000091791153
3,3.179309606552124,2414.223388671875,1272.183349609375,684.4816284179688,0.9689000248908997,0.9689000248908997,0.031099975109100342,0.031099975109100342,0.016599999740719795,0.016599999740719795
4,3.207926034927368,2407.716552734375,1266.7586669921875,694.7759399414062,0.9747999906539917,0.9747999906539917,0.0252000093460083,0.0252000093460083,0.012299999594688416,0.012299999594688416
5,3.2182631492614746,2397.99169921875,1266.9801025390625,708.7967529296875,0.9768999814987183,0.9772999882698059,0.02310001850128174,0.022700011730194092,0.01549999974668026,0.015599999576807022
6,3.188775062561035,2385.700927734375,1264.0064697265625,713.779052734375,0.9718999862670898,0.9718999862670898,0.028100013732910156,0.028100013732910156,0.025699999183416367,0.02590000070631504
7,3.2009923458099365,2384.435302734375,1242.07763671875,692.53759765625,0.973800003528595,0.9739000201225281,0.02619999647140503,0.026099979877471924,0.031199999153614044,0.031199999153614044
8,3.2095694541931152,2389.5302734375,1252.0892333984375,722.0460815429688,0.9800000190734863,0.9799000024795532,0.019999980926513672,0.020099997520446777,0.052799999713897705,0.05299999937415123
9,3.225395441055298,2384.58984375,1248.392822265625,717.210205078125,0.9824000000953674,0.9822999835014343,0.01759999990463257,0.017700016498565674,0.03889999911189079,0.03920000046491623
10,3.203582286834717,2389.927978515625,1247.0848388671875,727.3917846679688,0.9787999987602234,0.9787999987602234,0.02120000123977661,0.02120000123977661,0.046799998730421066,0.04699999839067459
11,3.2169032096862793,2377.58251953125,1234.7572021484375,726.756591796875,0.9817000031471252,0.9818000197410583,0.018299996852874756,0.01819998025894165,0.1054999977350235,0.1054999977350235
12,3.2001068592071533,2377.465087890625,1226.791259765625,708.8219604492188,0.9771000146865845,0.9771000146865845,0.022899985313415527,0.022899985313415527,0.09269999712705612,0.0925000011920929
13,3.2017433643341064,2380.380126953125,1227.980224609375,721.131591796875,0.9793999791145325,0.9794999957084656,0.02060002088546753,0.020500004291534424,0.1014999970793724,0.10159999877214432
14,3.2337779998779297,2374.949951171875,1222.8663330078125,712.2266235351562,0.9835000038146973,0.9835000038146973,0.016499996185302734,0.016499996185302734,0.09459999948740005,0.09470000118017197
15,3.1869561672210693,2380.3759765625,1224.3955078125,722.584228515625,0.9760000109672546,0.9758999943733215,0.02399998903274536,0.024100005626678467,0.0868000015616417,0.08709999918937683
16,3.1829028129577637,2381.66796875,1223.3343505859375,713.3233032226562,0.9761999845504761,0.9760000109672546,0.023800015449523926,0.02399998903274536,0.11999999731779099,0.11969999969005585
17,3.186771869659424,2384.584716796875,1232.8814697265625,734.0341186523438,0.9789999723434448,0.9789999723434448,0.021000027656555176,0.021000027656555176,0.17309999465942383,0.1738000065088272
18,3.206087827682495,2385.23193359375,1211.13134765625,693.8126220703125,0.9796000123023987,0.9796000123023987,0.02039998769760132,0.02039998769760132,0.1225999966263771,0.12240000069141388
19,3.1999895572662354,2383.455078125,1212.5555419921875,694.2344360351562,0.9797000288963318,0.9797000288963318,0.020299971103668213,0.020299971103668213,0.12860000133514404,0.12880000472068787
