  epoch    IZY    IXZ_1    IZ_1Z_2    IZ_2Z_3     acc    avg_acc     err    avg_err    adv_acc    avg_adv_acc
-------  -----  -------  ---------  ---------  ------  ---------  ------  ---------  ---------  -------------
      1   3.09  2476.69    1334.69     680.81  0.9500     0.9503  0.0500     0.0497     0.0209         0.0209
      2   3.13  2423.65    1305.87     694.91  0.9609     0.9609  0.0391     0.0391     0.0181         0.0181
      3   3.18  2414.22    1272.18     684.48  0.9689     0.9689  0.0311     0.0311     0.0166         0.0166
      4   3.21  2407.72    1266.76     694.78  0.9748     0.9748  0.0252     0.0252     0.0123         0.0123
      5   3.22  2397.99    1266.98     708.80  0.9769     0.9773  0.0231     0.0227     0.0155         0.0156
      6   3.19  2385.70    1264.01     713.78  0.9719     0.9719  0.0281     0.0281     0.0257         0.0259
      7   3.20  2384.44    1242.08     692.54  0.9738     0.9739  0.0262     0.0261     0.0312         0.0312
      8   3.21  2389.53    1252.09     722.05  0.9800     0.9799  0.0200     0.0201     0.0528         0.0530
      9   3.23  2384.59    1248.39     717.21  0.9824     0.9823  0.0176     0.0177     0.0389         0.0392
     10   3.20  2389.93    1247.08     727.39  0.9788     0.9788  0.0212     0.0212     0.0468         0.0470
     11   3.22  2377.58    1234.76     726.76  0.9817     0.9818  0.0183     0.0182     0.1055         0.1055
     12   3.20  2377.47    1226.79     708.82  0.9771     0.9771  0.0229     0.0229     0.0927         0.0925
     13   3.20  2380.38    1227.98     721.13  0.9794     0.9795  0.0206     0.0205     0.1015         0.1016
     14   3.23  2374.95    1222.87     712.23  0.9835     0.9835  0.0165     0.0165     0.0946         0.0947
     15   3.19  2380.38    1224.40     722.58  0.9760     0.9759  0.0240     0.0241     0.0868         0.0871
     16   3.18  2381.67    1223.33     713.32  0.9762     0.9760  0.0238     0.0240     0.1200         0.1197
     17   3.19  2384.58    1232.88     734.03  0.9790     0.9790  0.0210     0.0210     0.1731         0.1738
     18   3.21  2385.23    1211.13     693.81  0.9796     0.9796  0.0204     0.0204     0.1226         0.1224
     19   3.20  2383.46    1212.56     694.23  0.9797     0.9797  0.0203     0.0203     0.1286         0.1288
     20   3.19  2383.57    1208.43     690.50  0.9800     0.9801  0.0200     0.0199     0.1270         0.1271
     21   3.21  2381.29    1204.44     690.90  0.9810     0.9812  0.0190     0.0188     0.1964         0.1963
     22   3.20  2388.44    1198.32     679.41  0.9810     0.9810  0.0190     0.0190     0.1887         0.1891
     23   3.16  2388.70    1206.22     711.81  0.9762     0.9762  0.0238     0.0238     0.2247         0.2243
     24   3.18  2379.69    1191.29     684.76  0.9791     0.9792  0.0209     0.0208     0.1410         0.1411
     25   3.19  2380.58    1194.21     695.82  0.9811     0.9810  0.0189     0.0190     0.2428         0.2428
     26   3.21  2375.22    1184.25     680.39  0.9837     0.9837  0.0163     0.0163     0.2372         0.2374
     27   3.18  2374.61    1188.96     701.72  0.9817     0.9817  0.0183     0.0183     0.2423         0.2428
     28   3.20  2372.52    1184.70     700.57  0.9830     0.9831  0.0170     0.0169     0.2651         0.2645
     29   3.19  2374.12    1179.90     682.45  0.9833     0.9833  0.0167     0.0167     0.2662         0.2662
     30   3.21  2374.06    1183.00     708.95  0.9836     0.9836  0.0164     0.0164     0.2659         0.2665
     31   3.19  2371.25    1174.30     694.40  0.9820     0.9818  0.0180     0.0182     0.2808         0.2806
     32   3.21  2368.30    1163.46     654.93  0.9836     0.9837  0.0164     0.0163     0.2078         0.2079
