  epoch    IZY    IXZ_1    IZ_1Z_2    IZ_2Z_3     acc    avg_acc     err    avg_err    adv_acc    avg_adv_acc
-------  -----  -------  ---------  ---------  ------  ---------  ------  ---------  ---------  -------------
      1   3.09  2474.22    1370.61     718.62  0.9483     0.9483  0.0517     0.0517     0.0237         0.0237
      2   3.17  2428.37    1336.38     712.87  0.9669     0.9668  0.0331     0.0332     0.0194         0.0193
      3   3.14  2417.15    1311.97     716.36  0.9617     0.9616  0.0383     0.0384     0.0247         0.0247
      4   3.19  2409.43    1315.84     729.76  0.9705     0.9704  0.0295     0.0296     0.0227         0.0227
      5   3.19  2396.24    1301.08     728.43  0.9719     0.9719  0.0281     0.0281     0.0184         0.0184
      6   3.19  2395.88    1303.85     739.91  0.9736     0.9736  0.0264     0.0264     0.0251         0.0251
      7   3.19  2392.97    1289.68     727.16  0.9738     0.9738  0.0262     0.0262     0.0234         0.0235
      8   3.19  2395.84    1313.60     768.75  0.9745     0.9744  0.0255     0.0256     0.0435         0.0438
      9   3.16  2395.85    1304.15     768.36  0.9685     0.9686  0.0315     0.0314     0.0648         0.0646
     10   3.20  2390.49    1293.57     768.25  0.9765     0.9765  0.0235     0.0235     0.0666         0.0666
     11   3.17  2403.48    1293.06     776.19  0.9711     0.9711  0.0289     0.0289     0.0738         0.0737
     12   3.20  2407.99    1291.17     778.90  0.9781     0.9782  0.0219     0.0218     0.0718         0.0719
     13   3.20  2410.65    1283.00     783.54  0.9779     0.9780  0.0221     0.0220     0.0950         0.0952
     14   3.22  2408.86    1284.85     785.65  0.9823     0.9822  0.0177     0.0178     0.0713         0.0712
     15   3.20  2415.41    1285.79     796.11  0.9800     0.9800  0.0200     0.0200     0.0793         0.0792
     16   3.21  2413.23    1281.86     785.36  0.9815     0.9815  0.0185     0.0185     0.0889         0.0886
     17   3.19  2412.50    1286.53     785.70  0.9776     0.9776  0.0224     0.0224     0.0990         0.0985
     18   3.22  2408.99    1286.24     806.34  0.9835     0.9836  0.0165     0.0164     0.0959         0.0957
     19   3.20  2410.86    1277.52     783.05  0.9805     0.9804  0.0195     0.0196     0.1063         0.1067
     20   3.16  2414.59    1287.75     812.34  0.9778     0.9777  0.0222     0.0223     0.1056         0.1056
     21   3.16  2416.64    1289.43     802.58  0.9741     0.9740  0.0259     0.0260     0.0928         0.0929
     22   3.18  2414.15    1287.53     803.52  0.9753     0.9753  0.0247     0.0247     0.1335         0.1335
     23   3.20  2419.71    1285.96     804.66  0.9819     0.9819  0.0181     0.0181     0.1264         0.1267
     24   3.18  2418.97    1278.50     806.48  0.9789     0.9789  0.0211     0.0211     0.1161         0.1159
     25   3.21  2410.87    1287.94     844.56  0.9845     0.9845  0.0155     0.0155     0.1466         0.1462
     26   3.20  2417.20    1282.15     793.73  0.9811     0.9812  0.0189     0.0188     0.1364         0.1365
     27   3.21  2421.31    1282.29     805.09  0.9834     0.9834  0.0166     0.0166     0.1514         0.1512
     28   3.19  2423.09    1291.16     828.76  0.9813     0.9812  0.0187     0.0188     0.1733         0.1727
     29   3.18  2430.08    1304.81     878.02  0.9814     0.9814  0.0186     0.0186     0.1859         0.1856
     30   3.21  2424.85    1286.74     812.78  0.9853     0.9853  0.0147     0.0147     0.1725         0.1720
     31   3.20  2422.20    1291.32     819.31  0.9833     0.9834  0.0167     0.0166     0.2038         0.2035
     32   3.19  2428.23    1294.39     808.77  0.9827     0.9825  0.0173     0.0175     0.1841         0.1843
     33   3.19  2434.95    1305.77     851.01  0.9832     0.9833  0.0168     0.0167     0.2156         0.2158
     34   3.18  2433.52    1291.72     800.67  0.9797     0.9797  0.0203     0.0203     0.1294         0.1294
     35   3.17  2442.99    1309.47     859.85  0.9823     0.9823  0.0177     0.0177     0.1539         0.1540
     36   3.20  2443.72    1313.75     863.88  0.9848     0.9848  0.0152     0.0152     0.2133         0.2143
     37   3.20  2444.05    1316.37     885.31  0.9857     0.9857  0.0143     0.0143     0.2183         0.2185
     38   3.19  2443.33    1297.05     822.38  0.9823     0.9822  0.0177     0.0178     0.1814         0.1813
     39   3.20  2448.76    1307.94     857.89  0.9852     0.9852  0.0148     0.0148     0.2058         0.2052
     40   3.21  2442.67    1294.89     803.65  0.9836     0.9836  0.0164     0.0164     0.2140         0.2135
     41   3.19  2441.66    1295.70     820.62  0.9841     0.9841  0.0159     0.0159     0.2326         0.2327
     42   3.20  2446.75    1316.10     874.44  0.9850     0.9850  0.0150     0.0150     0.2271         0.2271
     43   3.21  2446.82    1297.86     826.36  0.9841     0.9842  0.0159     0.0158     0.1814         0.1814
     44   3.14  2450.59    1298.25     839.48  0.9779     0.9779  0.0221     0.0221     0.2467         0.2469
     45   3.20  2453.44    1328.20     889.20  0.9859     0.9860  0.0141     0.0140     0.2474         0.2480
