t,IZY,IXZ_1,IZ_1Z_2,IZ_2Z_3,acc,avg_acc,err,avg_err,adv_acc,avg_adv_acc
1,3.0588274002075195,1409.251220703125,839.8990478515625,516.9608764648438,0.9399999976158142,0.9404000043869019,0.06000000238418579,0.059599995613098145,0.028300000354647636,0.02810000069439411
2,3.183835506439209,1278.613525390625,722.4453125,441.7376708984375,0.9702000021934509,0.9700999855995178,0.029799997806549072,0.029900014400482178,0.01549999974668026,0.01549999974668026
3,3.201183319091797,1155.689453125,634.9382934570312,393.24835205078125,0.9736999869346619,0.9740999937057495,0.026300013065338135,0.02590000629425049,0.016599999740719795,0.016499999910593033
4,3.1958084106445312,1063.824462890625,572.4251708984375,355.32330322265625,0.9728999733924866,0.9728999733924866,0.027100026607513428,0.027100026607513428,0.020400000736117363,0.020400000736117363
5,3.183264970779419,1043.202392578125,547.222412109375,335.9013671875,0.9693999886512756,0.9693999886512756,0.030600011348724365,0.030600011348724365,0.02329999953508377,0.023499999195337296
6,3.1807680130004883,1002.3878784179688,503.65338134765625,328.3001708984375,0.9718000292778015,0.9718999862670898,0.028199970722198486,0.028100013732910156,0.028300000354647636,0.02889999933540821
7,3.212644338607788,927.347900390625,461.67425537109375,318.0440979003906,0.9781000018119812,0.9779999852180481,0.0218999981880188,0.022000014781951904,0.052400000393390656,0.05350000038743019
8,3.19756817817688,913.9232788085938,449.20672607421875,306.4022216796875,0.974399983882904,0.9751999974250793,0.025600016117095947,0.024800002574920654,0.05860000103712082,0.061799999326467514
9,3.1983578205108643,947.131103515625,459.3620910644531,296.1170654296875,0.9750999808311462,0.9753000140190125,0.02490001916885376,0.02469998598098755,0.051899999380111694,0.055399999022483826
10,3.1661887168884277,819.0299072265625,416.7372131347656,286.5061340332031,0.9697999954223633,0.9700000286102295,0.03020000457763672,0.029999971389770508,0.0763000026345253,0.08229999989271164
11,3.2190213203430176,819.3277587890625,411.6241760253906,276.48492431640625,0.9811000227928162,0.98089998960495,0.018899977207183838,0.01910001039505005,0.07800000160932541,0.08070000261068344
12,3.218158006668091,827.3325805664062,395.4102478027344,272.9707336425781,0.9815000295639038,0.9815000295639038,0.01849997043609619,0.01849997043609619,0.11209999769926071,0.12039999663829803
13,3.2114675045013428,744.1710205078125,355.2001647949219,271.3428955078125,0.9807999730110168,0.98089998960495,0.019200026988983154,0.01910001039505005,0.12939999997615814,0.14239999651908875
14,3.2284059524536133,765.7214965820312,377.7259521484375,257.1228942871094,0.9839000105857849,0.984000027179718,0.016099989414215088,0.015999972820281982,0.10760000348091125,0.11429999768733978
15,3.197310209274292,816.4650268554688,408.91619873046875,259.52813720703125,0.9771999716758728,0.9771999716758728,0.022800028324127197,0.022800028324127197,0.10949999839067459,0.11420000344514847
16,3.2086195945739746,708.338623046875,359.5018310546875,246.85643005371094,0.9800999760627747,0.9801999926567078,0.019900023937225342,0.019800007343292236,0.09960000216960907,0.11060000211000443
17,3.216120481491089,635.15869140625,349.1043701171875,247.431884765625,0.9818000197410583,0.9821000099182129,0.01819998025894165,0.01789999008178711,0.13279999792575836,0.14560000598430634
18,3.2318203449249268,668.755615234375,350.5899963378906,238.4037628173828,0.9837999939918518,0.9843999743461609,0.016200006008148193,0.015600025653839111,0.1404999941587448,0.15039999783039093
19,3.1870100498199463,681.0490112304688,366.17901611328125,245.2117462158203,0.9771999716758728,0.977400004863739,0.022800028324127197,0.022599995136260986,0.15139999985694885,0.1565999984741211
20,3.213200807571411,569.9968872070312,322.29925537109375,236.99586486816406,0.98089998960495,0.9811999797821045,0.01910001039505005,0.018800020217895508,0.13289999961853027,0.14839999377727509
21,3.2277889251708984,584.1221313476562,312.99176025390625,231.30615234375,0.9847999811172485,0.9847999811172485,0.015200018882751465,0.015200018882751465,0.14720000326633453,0.16660000383853912
22,3.220031976699829,560.9874877929688,304.6128234863281,228.417236328125,0.982200026512146,0.982200026512146,0.017799973487854004,0.017799973487854004,0.14990000426769257,0.1688999980688095
23,3.1988067626953125,556.2916870117188,300.226318359375,225.7497100830078,0.9807999730110168,0.9805999994277954,0.019200026988983154,0.01940000057220459,0.1867000013589859,0.21610000729560852
24,3.219956398010254,602.91015625,318.373779296875,220.1272430419922,0.9825000166893005,0.9824000000953674,0.017499983310699463,0.01759999990463257,0.16859999299049377,0.18440000712871552
25,3.213085174560547,617.4078369140625,329.4400634765625,223.90603637695312,0.9824000000953674,0.9822999835014343,0.01759999990463257,0.017700016498565674,0.1468999981880188,0.16220000386238098
26,3.2144362926483154,536.0006103515625,292.9855041503906,212.028076171875,0.983299970626831,0.9836000204086304,0.016700029373168945,0.01639997959136963,0.17440000176429749,0.195700004696846
27,3.212759017944336,533.05224609375,283.0857238769531,210.0076446533203,0.9830999970436096,0.9829000234603882,0.01690000295639038,0.017099976539611816,0.15549999475479126,0.18080000579357147
28,3.214456081390381,495.211181640625,299.3031005859375,209.46644592285156,0.9824000000953674,0.982699990272522,0.01759999990463257,0.017300009727478027,0.1737000048160553,0.19789999723434448
29,3.224301338195801,463.87506103515625,279.5386657714844,206.72064208984375,0.9840999841690063,0.9837999939918518,0.015900015830993652,0.016200006008148193,0.1615999937057495,0.18379999697208405
30,3.202946424484253,427.0954284667969,284.4084167480469,214.77511596679688,0.982200026512146,0.9818999767303467,0.017799973487854004,0.01810002326965332,0.18870000541210175,0.22370000183582306
31,3.208622694015503,506.1052551269531,293.3114013671875,201.65074157714844,0.982200026512146,0.9819999933242798,0.017799973487854004,0.018000006675720215,0.14239999651908875,0.16210000216960907
32,3.2057058811187744,462.24029541015625,289.6069030761719,216.58969116210938,0.9818000197410583,0.9818000197410583,0.01819998025894165,0.01819998025894165,0.16009999811649323,0.18809999525547028
33,3.176539897918701,506.156982421875,286.854248046875,204.05043029785156,0.9787999987602234,0.9789999723434448,0.02120000123977661,0.021000027656555176,0.20080000162124634,0.22540000081062317
