  epoch    IZY    IXZ_1    IZ_1Z_2    IZ_2Z_3     acc    avg_acc     err    avg_err    adv_acc    avg_adv_acc
-------  -----  -------  ---------  ---------  ------  ---------  ------  ---------  ---------  -------------
      1   3.06  1409.25     839.90     516.96  0.9400     0.9404  0.0600     0.0596     0.0283         0.0281
      2   3.18  1278.61     722.45     441.74  0.9702     0.9701  0.0298     0.0299     0.0155         0.0155
      3   3.20  1155.69     634.94     393.25  0.9737     0.9741  0.0263     0.0259     0.0166         0.0165
      4   3.20  1063.82     572.43     355.32  0.9729     0.9729  0.0271     0.0271     0.0204         0.0204
      5   3.18  1043.20     547.22     335.90  0.9694     0.9694  0.0306     0.0306     0.0233         0.0235
      6   3.18  1002.39     503.65     328.30  0.9718     0.9719  0.0282     0.0281     0.0283         0.0289
      7   3.21   927.35     461.67     318.04  0.9781     0.9780  0.0219     0.0220     0.0524         0.0535
      8   3.20   913.92     449.21     306.40  0.9744     0.9752  0.0256     0.0248     0.0586         0.0618
      9   3.20   947.13     459.36     296.12  0.9751     0.9753  0.0249     0.0247     0.0519         0.0554
     10   3.17   819.03     416.74     286.51  0.9698     0.9700  0.0302     0.0300     0.0763         0.0823
     11   3.22   819.33     411.62     276.48  0.9811     0.9809  0.0189     0.0191     0.0780         0.0807
     12   3.22   827.33     395.41     272.97  0.9815     0.9815  0.0185     0.0185     0.1121         0.1204
     13   3.21   744.17     355.20     271.34  0.9808     0.9809  0.0192     0.0191     0.1294         0.1424
     14   3.23   765.72     377.73     257.12  0.9839     0.9840  0.0161     0.0160     0.1076         0.1143
     15   3.20   816.47     408.92     259.53  0.9772     0.9772  0.0228     0.0228     0.1095         0.1142
     16   3.21   708.34     359.50     246.86  0.9801     0.9802  0.0199     0.0198     0.0996         0.1106
     17   3.22   635.16     349.10     247.43  0.9818     0.9821  0.0182     0.0179     0.1328         0.1456
     18   3.23   668.76     350.59     238.40  0.9838     0.9844  0.0162     0.0156     0.1405         0.1504
     19   3.19   681.05     366.18     245.21  0.9772     0.9774  0.0228     0.0226     0.1514         0.1566
     20   3.21   570.00     322.30     237.00  0.9809     0.9812  0.0191     0.0188     0.1329         0.1484
