t,IZY,IXZ_1,IZ_1Z_2,IZ_2Z_3,acc,avg_acc,err,avg_err,adv_acc,avg_adv_acc
1,3.1175594329833984,2174.049072265625,1214.714111328125,654.0718994140625,0.9555000066757202,0.955299973487854,0.044499993324279785,0.044700026512145996,0.024299999698996544,0.024299999698996544
2,3.188448190689087,2056.416015625,1129.06689453125,636.9620361328125,0.9702000021934509,0.9702000021934509,0.029799997806549072,0.029799997806549072,0.014700000174343586,0.014700000174343586
3,3.2134594917297363,1983.73486328125,1068.7802734375,606.545166015625,0.9758999943733215,0.9757000207901001,0.024100005626678467,0.024299979209899902,0.013799999840557575,0.013899999670684338
4,3.208535671234131,1940.8250732421875,1021.8090209960938,591.1385498046875,0.9765999913215637,0.9768999814987183,0.02340000867843628,0.02310001850128174,0.019999999552965164,0.019999999552965164
5,3.195439100265503,1891.2996826171875,988.9016723632812,577.3592529296875,0.9718000292778015,0.9714999794960022,0.028199970722198486,0.028500020503997803,0.021400000900030136,0.0215000007301569
6,3.2308530807495117,1871.81298828125,950.5299072265625,561.9744262695312,0.9811000227928162,0.9807999730110168,0.018899977207183838,0.019200026988983154,0.025699999183416367,0.025800000876188278
7,3.1093688011169434,1848.6336669921875,922.233642578125,546.72607421875,0.9573000073432922,0.957099974155426,0.042699992656707764,0.042900025844573975,0.050599999725818634,0.050700001418590546
8,3.1897530555725098,1842.341552734375,898.803466796875,538.724365234375,0.9753000140190125,0.9753000140190125,0.02469998598098755,0.02469998598098755,0.07660000026226044,0.07649999856948853
9,3.2289927005767822,1798.716064453125,872.7294921875,521.20458984375,0.9815000295639038,0.9815999865531921,0.01849997043609619,0.01840001344680786,0.034699998795986176,0.03449999913573265
10,3.2105841636657715,1784.5830078125,857.266845703125,509.4464111328125,0.9789999723434448,0.9789999723434448,0.021000027656555176,0.021000027656555176,0.04490000009536743,0.045099999755620956
11,3.214118480682373,1761.082763671875,824.3636474609375,505.0293884277344,0.9800000190734863,0.9800999760627747,0.019999980926513672,0.019900023937225342,0.09380000084638596,0.09369999915361404
12,3.2065513134002686,1751.761474609375,812.3345336914062,488.0133056640625,0.9797999858856201,0.9800999760627747,0.020200014114379883,0.019900023937225342,0.06939999759197235,0.07050000131130219
13,3.226015329360962,1732.2059326171875,798.0004272460938,481.9984130859375,0.9830999970436096,0.9832000136375427,0.01690000295639038,0.016799986362457275,0.09080000221729279,0.09019999951124191
