  epoch    IZY    IXZ_1    IZ_1Z_2    IZ_2Z_3     acc    avg_acc     err    avg_err    adv_acc    avg_adv_acc
-------  -----  -------  ---------  ---------  ------  ---------  ------  ---------  ---------  -------------
      1   3.12  2174.05    1214.71     654.07  0.9555     0.9553  0.0445     0.0447     0.0243         0.0243
      2   3.19  2056.42    1129.07     636.96  0.9702     0.9702  0.0298     0.0298     0.0147         0.0147
      3   3.21  1983.73    1068.78     606.55  0.9759     0.9757  0.0241     0.0243     0.0138         0.0139
      4   3.21  1940.83    1021.81     591.14  0.9766     0.9769  0.0234     0.0231     0.0200         0.0200
      5   3.20  1891.30     988.90     577.36  0.9718     0.9715  0.0282     0.0285     0.0214         0.0215
      6   3.23  1871.81     950.53     561.97  0.9811     0.9808  0.0189     0.0192     0.0257         0.0258
      7   3.11  1848.63     922.23     546.73  0.9573     0.9571  0.0427     0.0429     0.0506         0.0507
      8   3.19  1842.34     898.80     538.72  0.9753     0.9753  0.0247     0.0247     0.0766         0.0765
      9   3.23  1798.72     872.73     521.20  0.9815     0.9816  0.0185     0.0184     0.0347         0.0345
     10   3.21  1784.58     857.27     509.45  0.9790     0.9790  0.0210     0.0210     0.0449         0.0451
     11   3.21  1761.08     824.36     505.03  0.9800     0.9801  0.0200     0.0199     0.0938         0.0937
     12   3.21  1751.76     812.33     488.01  0.9798     0.9801  0.0202     0.0199     0.0694         0.0705
     13   3.23  1732.21     798.00     482.00  0.9831     0.9832  0.0169     0.0168     0.0908         0.0902
     14   3.20  1718.45     789.08     478.84  0.9790     0.9789  0.0210     0.0211     0.0911         0.0909
     15   3.20  1687.80     773.11     470.35  0.9777     0.9775  0.0223     0.0225     0.1024         0.1036
     16   3.18  1738.18     800.55     463.07  0.9733     0.9738  0.0267     0.0262     0.0799         0.0790
     17   3.21  1633.18     735.79     459.19  0.9815     0.9817  0.0185     0.0183     0.1395         0.1398
     18   3.17  1632.20     721.01     449.92  0.9755     0.9756  0.0245     0.0244     0.1510         0.1512
     19   3.21  1599.54     701.76     441.61  0.9831     0.9830  0.0169     0.0170     0.1597         0.1608
     20   3.22  1568.17     681.80     438.35  0.9841     0.9842  0.0159     0.0158     0.1828         0.1842
     21   3.18  1558.93     671.62     444.02  0.9781     0.9780  0.0219     0.0220     0.2002         0.2011
     22   3.20  1530.53     660.46     458.38  0.9818     0.9816  0.0182     0.0184     0.1832         0.1839
     23   3.21  1509.56     638.24     428.62  0.9827     0.9829  0.0173     0.0171     0.2027         0.2021
     24   3.23  1494.45     626.65     419.35  0.9854     0.9856  0.0146     0.0144     0.2015         0.2022
     25   3.20  1463.48     603.55     434.58  0.9834     0.9833  0.0166     0.0167     0.2382         0.2388
     26   3.21  1480.42     617.35     413.15  0.9820     0.9819  0.0180     0.0181     0.2264         0.2280
     27   3.21  1454.33     594.91     408.79  0.9821     0.9820  0.0179     0.0180     0.2703         0.2727
     28   3.20  1420.51     572.28     406.78  0.9822     0.9822  0.0178     0.0178     0.2155         0.2151
     29   3.19  1380.08     551.06     409.25  0.9810     0.9810  0.0190     0.0190     0.2604         0.2647
     30   3.21  1384.45     548.49     395.52  0.9844     0.9843  0.0156     0.0157     0.2270         0.2277
     31   3.23  1379.65     537.92     385.62  0.9863     0.9862  0.0137     0.0138     0.2423         0.2436
     32   3.14  1335.88     540.79     371.59  0.9722     0.9725  0.0278     0.0275     0.1517         0.1526
     33   3.23  1322.67     547.28     361.87  0.9843     0.9845  0.0157     0.0155     0.2001         0.2020
     34   3.19  1294.78     516.64     361.42  0.9808     0.9803  0.0192     0.0197     0.2153         0.2172
     35   3.19  1304.77     525.60     359.76  0.9808     0.9809  0.0192     0.0191     0.2240         0.2259
     36   3.22  1241.17     515.20     360.57  0.9834     0.9833  0.0166     0.0167     0.2507         0.2545
     37   3.17  1192.13     479.25     376.33  0.9803     0.9802  0.0197     0.0198     0.3330         0.3371
     38   3.19  1209.83     478.32     362.58  0.9800     0.9800  0.0200     0.0200     0.3428         0.3472
     39   3.21  1175.23     462.12     372.17  0.9850     0.9852  0.0150     0.0148     0.3512         0.3570
     40   3.22  1237.88     501.60     343.13  0.9854     0.9853  0.0146     0.0147     0.2216         0.2235
     41   3.21  1182.27     475.76     357.14  0.9845     0.9847  0.0155     0.0153     0.3361         0.3388
     42   3.22  1156.61     485.80     339.54  0.9845     0.9846  0.0155     0.0154     0.2539         0.2558
     43   3.21  1077.51     445.59     354.28  0.9852     0.9854  0.0148     0.0146     0.3385         0.3459
     44   3.22  1123.64     474.12     329.31  0.9841     0.9843  0.0159     0.0157     0.2436         0.2463
     45   3.20  1034.21     432.86     353.32  0.9845     0.9846  0.0155     0.0154     0.3498         0.3571
     46   3.21  1033.86     434.11     338.61  0.9847     0.9846  0.0153     0.0154     0.2964         0.3023
     47   3.20  1022.73     425.20     343.91  0.9841     0.9839  0.0159     0.0161     0.3459         0.3549
     48   3.21   932.36     399.65     360.81  0.9868     0.9868  0.0132     0.0132     0.4025         0.4160
     49   3.21   820.57     373.75     351.63  0.9868     0.9864  0.0132     0.0136     0.3824         0.3956
