t,IZY,IXZ_1,IZ_1Z_2,IZ_2Z_3,acc,avg_acc,err,avg_err,adv_acc,avg_adv_acc
1,3.1266894340515137,2432.7548828125,1339.8712158203125,678.740478515625,0.95660001039505,0.957099974155426,0.04339998960494995,0.042900025844573975,0.022700000554323196,0.022700000554323196
2,3.1637139320373535,2369.7431640625,1316.350341796875,686.7255859375,0.964900016784668,0.9646999835968018,0.03509998321533203,0.03530001640319824,0.019999999552965164,0.019999999552965164
3,3.2035205364227295,2337.680908203125,1283.7239990234375,684.63427734375,0.9739000201225281,0.9735999703407288,0.026099979877471924,0.02640002965927124,0.014600000344216824,0.014700000174343586
4,3.2196457386016846,2325.5166015625,1252.7791748046875,680.9857788085938,0.9775000214576721,0.9775000214576721,0.02249997854232788,0.02249997854232788,0.015799999237060547,0.015799999237060547
5,3.1956288814544678,2313.1357421875,1240.0965576171875,686.9505004882812,0.9728999733924866,0.9728999733924866,0.027100026607513428,0.027100026607513428,0.024000000208616257,0.024000000208616257
6,3.1985344886779785,2307.35400390625,1252.74658203125,711.8352661132812,0.9753000140190125,0.9751999974250793,0.02469998598098755,0.024800002574920654,0.034699998795986176,0.03480000048875809
7,3.216639518737793,2302.22216796875,1243.6455078125,720.308349609375,0.9790999889373779,0.979200005531311,0.02090001106262207,0.020799994468688965,0.04039999842643738,0.04039999842643738
8,3.2150919437408447,2285.941650390625,1204.0120849609375,685.5964965820312,0.9775999784469604,0.9776999950408936,0.02240002155303955,0.022300004959106445,0.029899999499320984,0.02979999966919422
9,3.201777696609497,2279.597900390625,1211.59716796875,712.6522216796875,0.9769999980926514,0.9769999980926514,0.023000001907348633,0.023000001907348633,0.06790000200271606,0.06780000030994415
10,3.2155632972717285,2273.8837890625,1206.872802734375,722.5452880859375,0.9793999791145325,0.9793999791145325,0.02060002088546753,0.02060002088546753,0.09279999881982803,0.09300000220537186
11,3.225755214691162,2278.376953125,1196.8741455078125,729.2257080078125,0.9825999736785889,0.9825000166893005,0.017400026321411133,0.017499983310699463,0.09830000251531601,0.09830000251531601
12,3.2185890674591064,2269.7275390625,1183.562255859375,704.5888061523438,0.98089998960495,0.98089998960495,0.01910001039505005,0.01910001039505005,0.09549999982118607,0.09539999812841415
13,3.2156009674072266,2262.254150390625,1180.377685546875,731.088134765625,0.9828000068664551,0.982699990272522,0.017199993133544922,0.017300009727478027,0.1306000053882599,0.13050000369548798
14,3.22344708442688,2253.927734375,1163.9608154296875,712.8197021484375,0.9800000190734863,0.9799000024795532,0.019999980926513672,0.020099997520446777,0.13500000536441803,0.13500000536441803
15,3.216890811920166,2252.302734375,1157.435302734375,704.83154296875,0.9818999767303467,0.9818000197410583,0.01810002326965332,0.01819998025894165,0.09369999915361404,0.094200000166893
16,3.1732289791107178,2246.577392578125,1155.5277099609375,700.3143310546875,0.9746000170707703,0.9746000170707703,0.025399982929229736,0.025399982929229736,0.14399999380111694,0.14429999887943268
17,3.193331480026245,2237.87255859375,1153.328125,726.3746337890625,0.9783999919891357,0.9782999753952026,0.021600008010864258,0.021700024604797363,0.12639999389648438,0.1264999955892563
18,3.165639638900757,2235.433349609375,1139.5875244140625,704.1063232421875,0.977400004863739,0.9772999882698059,0.022599995136260986,0.022700011730194092,0.11640000343322754,0.1160999983549118
19,3.2063541412353516,2229.0146484375,1130.675048828125,718.76318359375,0.9825000166893005,0.982699990272522,0.017499983310699463,0.017300009727478027,0.1573999971151352,0.1574999988079071
20,3.205592155456543,2217.656005859375,1128.606201171875,721.9301147460938,0.9824000000953674,0.9825999736785889,0.01759999990463257,0.017400026321411133,0.1737000048160553,0.17329999804496765
21,3.2045745849609375,2219.126953125,1120.763916015625,701.9419555664062,0.9794999957084656,0.9794999957084656,0.020500004291534424,0.020500004291534424,0.14730000495910645,0.14740000665187836
22,3.1826393604278564,2219.6171875,1107.62353515625,679.837890625,0.9771000146865845,0.9768999814987183,0.022899985313415527,0.02310001850128174,0.12860000133514404,0.12849999964237213
23,3.1625287532806396,2211.704345703125,1105.2142333984375,677.9223022460938,0.9740999937057495,0.9740999937057495,0.02590000629425049,0.02590000629425049,0.14949999749660492,0.14949999749660492
24,3.1443281173706055,2194.492431640625,1101.572509765625,708.6358032226562,0.9765999913215637,0.9765999913215637,0.02340000867843628,0.02340000867843628,0.16410000622272491,0.16429999470710754
25,3.2128376960754395,2186.0146484375,1089.197998046875,688.1987915039062,0.9833999872207642,0.9833999872207642,0.01660001277923584,0.01660001277923584,0.12129999697208405,0.12110000103712082
26,3.2074480056762695,2183.59033203125,1077.8446044921875,667.0185546875,0.983299970626831,0.9832000136375427,0.016700029373168945,0.016799986362457275,0.1469999998807907,0.1467999964952469
27,3.215925931930542,2173.21728515625,1072.07421875,691.940673828125,0.9847000241279602,0.9846000075340271,0.015299975872039795,0.0153999924659729,0.1615000069141388,0.16130000352859497
28,3.2182817459106445,2168.8701171875,1064.1265869140625,670.81201171875,0.9836000204086304,0.9836000204086304,0.01639997959136963,0.01639997959136963,0.15440000593662262,0.15449999272823334
29,3.2195708751678467,2159.20654296875,1057.6787109375,652.2189331054688,0.984499990940094,0.9846000075340271,0.015500009059906006,0.0153999924659729,0.19059999287128448,0.19040000438690186
30,3.194723606109619,2147.91064453125,1056.69580078125,693.49755859375,0.9825999736785889,0.9825000166893005,0.017400026321411133,0.017499983310699463,0.2029000073671341,0.20260000228881836
31,3.214215040206909,2142.811767578125,1048.2830810546875,670.959716796875,0.9848999977111816,0.9848999977111816,0.01510000228881836,0.01510000228881836,0.22599999606609344,0.22660000622272491
32,3.2140378952026367,2138.4970703125,1037.5072021484375,659.4249267578125,0.9850999712944031,0.9853000044822693,0.014900028705596924,0.014699995517730713,0.21240000426769257,0.21250000596046448
33,3.2168662548065186,2131.24755859375,1036.051025390625,678.69482421875,0.986299991607666,0.9861000180244446,0.013700008392333984,0.01389998197555542,0.2498999983072281,0.24979999661445618
34,3.1206600666046143,2128.83642578125,1022.1761474609375,645.0880126953125,0.972100019454956,0.9721999764442444,0.027899980545043945,0.027800023555755615,0.21480000019073486,0.21459999680519104
35,3.152402400970459,2117.365234375,1021.0101318359375,656.9539794921875,0.9771999716758728,0.9775000214576721,0.022800028324127197,0.02249997854232788,0.2678999900817871,0.2685000002384186
36,3.213575601577759,2112.619384765625,1012.0692138671875,640.7853393554688,0.984499990940094,0.984499990940094,0.015500009059906006,0.015500009059906006,0.21629999577999115,0.21660000085830688
37,3.207143783569336,2097.92431640625,1004.5291748046875,672.938720703125,0.9857000112533569,0.9857000112533569,0.014299988746643066,0.014299988746643066,0.2596000134944916,0.2599000036716461
38,3.206458568572998,2081.1591796875,990.4221801757812,679.21435546875,0.9854000210762024,0.9854999780654907,0.014599978923797607,0.014500021934509277,0.2752000093460083,0.2759999930858612
39,3.2045280933380127,2060.5390625,970.420166015625,674.9482421875,0.9857000112533569,0.9854999780654907,0.014299988746643066,0.014500021934509277,0.27649998664855957,0.27720001339912415
40,3.2020111083984375,2032.6527099609375,942.3375244140625,664.1306762695312,0.98580002784729,0.9858999848365784,0.014199972152709961,0.01410001516342163,0.27480000257492065,0.27489998936653137
41,3.2007052898406982,1995.9776611328125,904.8493041992188,644.548828125,0.9860000014305115,0.9858999848365784,0.013999998569488525,0.01410001516342163,0.2703000009059906,0.27090001106262207
42,3.1990103721618652,1945.549072265625,853.3706665039062,614.776123046875,0.9855999946594238,0.9857000112533569,0.014400005340576172,0.014299988746643066,0.26820001006126404,0.26840001344680786
43,3.1979260444641113,1877.6260986328125,785.5751953125,555.4203491210938,0.9861000180244446,0.9860000014305115,0.01389998197555542,0.013999998569488525,0.2793000042438507,0.2793999910354614
44,3.1965529918670654,1781.812255859375,697.4970703125,498.2319641113281,0.986299991607666,0.9864000082015991,0.013700008392333984,0.013599991798400879,0.3246999979019165,0.3244999945163727
45,3.19450044631958,1647.628662109375,594.4091186523438,465.86993408203125,0.986299991607666,0.9860000014305115,0.013700008392333984,0.013999998569488525,0.34049999713897705,0.34220001101493835
46,3.193560838699341,1439.127197265625,487.48883056640625,444.92279052734375,0.9865000247955322,0.986299991607666,0.013499975204467773,0.013700008392333984,0.35249999165534973,0.35499998927116394
47,3.215449094772339,1440.12158203125,556.6514892578125,375.5726318359375,0.9821000099182129,0.9821000099182129,0.01789999008178711,0.01789999008178711,0.20630000531673431,0.20730000734329224
48,3.204862117767334,1389.345947265625,516.40673828125,381.3744201660156,0.984000027179718,0.984000027179718,0.015999972820281982,0.015999972820281982,0.25040000677108765,0.25049999356269836
49,3.2017788887023926,1386.3486328125,512.107177734375,395.4891052246094,0.9848999977111816,0.9847000241279602,0.01510000228881836,0.015299975872039795,0.28949999809265137,0.29010000824928284
50,3.2118213176727295,1390.6593017578125,520.1279296875,388.09552001953125,0.984499990940094,0.9843000173568726,0.015500009059906006,0.01569998264312744,0.2467000037431717,0.24650000035762787
51,3.21040940284729,1376.1181640625,517.8232421875,405.5816650390625,0.9861999750137329,0.9861999750137329,0.01380002498626709,0.01380002498626709,0.30059999227523804,0.30230000615119934
52,3.1962358951568604,1390.077392578125,525.8392333984375,398.4296875,0.9825999736785889,0.982699990272522,0.017400026321411133,0.017300009727478027,0.2718999981880188,0.272599995136261
53,3.2016308307647705,1376.3236083984375,521.8009033203125,408.33258056640625,0.9846000075340271,0.984499990940094,0.0153999924659729,0.015500009059906006,0.3005000054836273,0.3019999861717224
54,3.1750004291534424,1393.6021728515625,532.9049072265625,436.3003234863281,0.9817000031471252,0.9815000295639038,0.018299996852874756,0.01849997043609619,0.30379998683929443,0.3059000074863434
55,3.2015976905822754,1406.3994140625,518.130126953125,409.18939208984375,0.9850000143051147,0.9850000143051147,0.014999985694885254,0.014999985694885254,0.3172000050544739,0.3192000091075897
56,3.20418381690979,1409.422119140625,528.8203125,397.85015869140625,0.9837999939918518,0.9839000105857849,0.016200006008148193,0.016099989414215088,0.31859999895095825,0.31949999928474426
57,3.2041068077087402,1396.6473388671875,531.96240234375,422.0480041503906,0.9851999878883362,0.9850999712944031,0.014800012111663818,0.014900028705596924,0.31459999084472656,0.3160000145435333
58,3.1990573406219482,1420.53271484375,541.7481689453125,412.474609375,0.9830999970436096,0.9830999970436096,0.01690000295639038,0.01690000295639038,0.298799991607666,0.29829999804496765
59,3.199946165084839,1415.5546875,543.5342407226562,416.44207763671875,0.9824000000953674,0.982699990272522,0.01759999990463257,0.017300009727478027,0.28040000796318054,0.2808000147342682
60,3.2020492553710938,1411.0240478515625,534.3170166015625,426.5706787109375,0.9848999977111816,0.9848999977111816,0.01510000228881836,0.01510000228881836,0.3467000126838684,0.34700000286102295
61,3.2060859203338623,1424.8157958984375,540.9717407226562,419.5177917480469,0.9848999977111816,0.9847000241279602,0.01510000228881836,0.015299975872039795,0.33239999413490295,0.33160001039505005
