  epoch    IZY    IXZ_1    IZ_1Z_2    IZ_2Z_3     acc    avg_acc     err    avg_err    adv_acc    avg_adv_acc
-------  -----  -------  ---------  ---------  ------  ---------  ------  ---------  ---------  -------------
      1   3.13  2432.75    1339.87     678.74  0.9566     0.9571  0.0434     0.0429     0.0227         0.0227
      2   3.16  2369.74    1316.35     686.73  0.9649     0.9647  0.0351     0.0353     0.0200         0.0200
      3   3.20  2337.68    1283.72     684.63  0.9739     0.9736  0.0261     0.0264     0.0146         0.0147
      4   3.22  2325.52    1252.78     680.99  0.9775     0.9775  0.0225     0.0225     0.0158         0.0158
      5   3.20  2313.14    1240.10     686.95  0.9729     0.9729  0.0271     0.0271     0.0240         0.0240
      6   3.20  2307.35    1252.75     711.84  0.9753     0.9752  0.0247     0.0248     0.0347         0.0348
      7   3.22  2302.22    1243.65     720.31  0.9791     0.9792  0.0209     0.0208     0.0404         0.0404
      8   3.22  2285.94    1204.01     685.60  0.9776     0.9777  0.0224     0.0223     0.0299         0.0298
      9   3.20  2279.60    1211.60     712.65  0.9770     0.9770  0.0230     0.0230     0.0679         0.0678
     10   3.22  2273.88    1206.87     722.55  0.9794     0.9794  0.0206     0.0206     0.0928         0.0930
     11   3.23  2278.38    1196.87     729.23  0.9826     0.9825  0.0174     0.0175     0.0983         0.0983
     12   3.22  2269.73    1183.56     704.59  0.9809     0.9809  0.0191     0.0191     0.0955         0.0954
     13   3.22  2262.25    1180.38     731.09  0.9828     0.9827  0.0172     0.0173     0.1306         0.1305
     14   3.22  2253.93    1163.96     712.82  0.9800     0.9799  0.0200     0.0201     0.1350         0.1350
     15   3.22  2252.30    1157.44     704.83  0.9819     0.9818  0.0181     0.0182     0.0937         0.0942
     16   3.17  2246.58    1155.53     700.31  0.9746     0.9746  0.0254     0.0254     0.1440         0.1443
     17   3.19  2237.87    1153.33     726.37  0.9784     0.9783  0.0216     0.0217     0.1264         0.1265
     18   3.17  2235.43    1139.59     704.11  0.9774     0.9773  0.0226     0.0227     0.1164         0.1161
     19   3.21  2229.01    1130.68     718.76  0.9825     0.9827  0.0175     0.0173     0.1574         0.1575
     20   3.21  2217.66    1128.61     721.93  0.9824     0.9826  0.0176     0.0174     0.1737         0.1733
     21   3.20  2219.13    1120.76     701.94  0.9795     0.9795  0.0205     0.0205     0.1473         0.1474
     22   3.18  2219.62    1107.62     679.84  0.9771     0.9769  0.0229     0.0231     0.1286         0.1285
     23   3.16  2211.70    1105.21     677.92  0.9741     0.9741  0.0259     0.0259     0.1495         0.1495
     24   3.14  2194.49    1101.57     708.64  0.9766     0.9766  0.0234     0.0234     0.1641         0.1643
     25   3.21  2186.01    1089.20     688.20  0.9834     0.9834  0.0166     0.0166     0.1213         0.1211
     26   3.21  2183.59    1077.84     667.02  0.9833     0.9832  0.0167     0.0168     0.1470         0.1468
     27   3.22  2173.22    1072.07     691.94  0.9847     0.9846  0.0153     0.0154     0.1615         0.1613
     28   3.22  2168.87    1064.13     670.81  0.9836     0.9836  0.0164     0.0164     0.1544         0.1545
     29   3.22  2159.21    1057.68     652.22  0.9845     0.9846  0.0155     0.0154     0.1906         0.1904
     30   3.19  2147.91    1056.70     693.50  0.9826     0.9825  0.0174     0.0175     0.2029         0.2026
     31   3.21  2142.81    1048.28     670.96  0.9849     0.9849  0.0151     0.0151     0.2260         0.2266
     32   3.21  2138.50    1037.51     659.42  0.9851     0.9853  0.0149     0.0147     0.2124         0.2125
     33   3.22  2131.25    1036.05     678.69  0.9863     0.9861  0.0137     0.0139     0.2499         0.2498
     34   3.12  2128.84    1022.18     645.09  0.9721     0.9722  0.0279     0.0278     0.2148         0.2146
     35   3.15  2117.37    1021.01     656.95  0.9772     0.9775  0.0228     0.0225     0.2679         0.2685
     36   3.21  2112.62    1012.07     640.79  0.9845     0.9845  0.0155     0.0155     0.2163         0.2166
     37   3.21  2097.92    1004.53     672.94  0.9857     0.9857  0.0143     0.0143     0.2596         0.2599
     38   3.21  2081.16     990.42     679.21  0.9854     0.9855  0.0146     0.0145     0.2752         0.2760
     39   3.20  2060.54     970.42     674.95  0.9857     0.9855  0.0143     0.0145     0.2765         0.2772
     40   3.20  2032.65     942.34     664.13  0.9858     0.9859  0.0142     0.0141     0.2748         0.2749
     41   3.20  1995.98     904.85     644.55  0.9860     0.9859  0.0140     0.0141     0.2703         0.2709
     42   3.20  1945.55     853.37     614.78  0.9856     0.9857  0.0144     0.0143     0.2682         0.2684
     43   3.20  1877.63     785.58     555.42  0.9861     0.9860  0.0139     0.0140     0.2793         0.2794
     44   3.20  1781.81     697.50     498.23  0.9863     0.9864  0.0137     0.0136     0.3247         0.3245
     45   3.19  1647.63     594.41     465.87  0.9863     0.9860  0.0137     0.0140     0.3405         0.3422
     46   3.19  1439.13     487.49     444.92  0.9865     0.9863  0.0135     0.0137     0.3525         0.3550
     47   3.22  1440.12     556.65     375.57  0.9821     0.9821  0.0179     0.0179     0.2063         0.2073
     48   3.20  1389.35     516.41     381.37  0.9840     0.9840  0.0160     0.0160     0.2504         0.2505
     49   3.20  1386.35     512.11     395.49  0.9849     0.9847  0.0151     0.0153     0.2895         0.2901
     50   3.21  1390.66     520.13     388.10  0.9845     0.9843  0.0155     0.0157     0.2467         0.2465
     51   3.21  1376.12     517.82     405.58  0.9862     0.9862  0.0138     0.0138     0.3006         0.3023
     52   3.20  1390.08     525.84     398.43  0.9826     0.9827  0.0174     0.0173     0.2719         0.2726
