  epoch    IZY    IXZ_1    IZ_1Z_2    IZ_2Z_3     acc    avg_acc     err    avg_err    adv_acc    avg_adv_acc
-------  -----  -------  ---------  ---------  ------  ---------  ------  ---------  ---------  -------------
      1   3.10  2494.55    1345.28     667.25  0.9530     0.9530  0.0470     0.0470     0.0224         0.0223
      2   3.18  2444.72    1303.48     667.79  0.9683     0.9682  0.0317     0.0318     0.0179         0.0178
      3   3.21  2431.08    1312.85     698.86  0.9745     0.9743  0.0255     0.0257     0.0165         0.0165
      4   3.21  2399.95    1277.24     688.15  0.9750     0.9751  0.0250     0.0249     0.0140         0.0140
      5   3.22  2400.18    1291.08     715.07  0.9774     0.9774  0.0226     0.0226     0.0188         0.0187
      6   3.20  2410.05    1283.23     726.59  0.9744     0.9745  0.0256     0.0255     0.0454         0.0455
      7   3.22  2402.59    1280.24     723.30  0.9783     0.9783  0.0217     0.0217     0.0363         0.0364
      8   3.22  2404.17    1278.80     739.49  0.9799     0.9797  0.0201     0.0203     0.0454         0.0453
      9   3.20  2401.90    1272.10     729.71  0.9747     0.9748  0.0253     0.0252     0.0569         0.0568
     10   3.22  2401.60    1275.79     746.75  0.9816     0.9818  0.0184     0.0182     0.0716         0.0716
     11   3.20  2403.55    1286.24     773.27  0.9791     0.9788  0.0209     0.0212     0.1032         0.1039
     12   3.21  2400.96    1264.14     744.37  0.9785     0.9785  0.0215     0.0215     0.0936         0.0937
     13   3.21  2404.70    1268.68     769.36  0.9785     0.9786  0.0215     0.0214     0.0834         0.0832
     14   3.23  2407.64    1259.79     762.92  0.9838     0.9837  0.0162     0.0163     0.1113         0.1113
     15   3.21  2408.02    1262.20     764.01  0.9802     0.9802  0.0198     0.0198     0.0941         0.0940
     16   3.21  2409.64    1274.07     784.33  0.9816     0.9816  0.0184     0.0184     0.1360         0.1358
     17   3.21  2411.47    1277.36     796.60  0.9810     0.9810  0.0190     0.0190     0.1545         0.1542
     18   3.21  2411.94    1271.81     777.92  0.9800     0.9799  0.0200     0.0201     0.1427         0.1424
