  epoch    IZY    IXZ_1    IZ_1Z_2    IZ_2Z_3     acc    avg_acc     err    avg_err    adv_acc    avg_adv_acc
-------  -----  -------  ---------  ---------  ------  ---------  ------  ---------  ---------  -------------
      1   3.12  2474.91    1350.09     718.96  0.9563     0.9562  0.0437     0.0438     0.0210         0.0210
      2   3.18  2451.10    1302.11     715.52  0.9684     0.9682  0.0316     0.0318     0.0141         0.0141
      3   3.18  2437.23    1309.04     741.05  0.9696     0.9697  0.0304     0.0303     0.0176         0.0176
      4   3.22  2431.24    1292.05     736.93  0.9768     0.9767  0.0232     0.0233     0.0149         0.0149
      5   3.19  2407.83    1295.75     766.84  0.9716     0.9716  0.0284     0.0284     0.0293         0.0294
      6   3.20  2409.76    1281.59     755.67  0.9756     0.9755  0.0244     0.0245     0.0250         0.0249
      7   3.20  2419.56    1292.36     787.37  0.9747     0.9747  0.0253     0.0253     0.0306         0.0307
      8   3.22  2410.08    1268.42     766.43  0.9788     0.9786  0.0212     0.0214     0.0331         0.0331
      9   3.22  2408.62    1276.74     785.14  0.9809     0.9810  0.0191     0.0190     0.0540         0.0542
     10   3.22  2403.39    1275.29     790.79  0.9805     0.9804  0.0195     0.0196     0.0668         0.0673
     11   3.19  2413.67    1282.89     817.82  0.9784     0.9784  0.0216     0.0216     0.0944         0.0939
     12   3.22  2409.92    1269.18     803.64  0.9809     0.9806  0.0191     0.0194     0.0665         0.0662
     13   3.18  2411.63    1279.53     837.79  0.9735     0.9735  0.0265     0.0265     0.0837         0.0839
     14   3.22  2414.15    1273.60     847.01  0.9817     0.9818  0.0183     0.0182     0.1062         0.1064
     15   3.19  2418.69    1279.53     845.87  0.9773     0.9773  0.0227     0.0227     0.1116         0.1120
     16   3.21  2414.11    1265.48     811.65  0.9813     0.9813  0.0187     0.0187     0.1196         0.1192
     17   3.21  2418.95    1278.66     842.67  0.9803     0.9803  0.0197     0.0197     0.1134         0.1135
     18   3.19  2436.66    1293.96     894.22  0.9769     0.9768  0.0231     0.0232     0.1587         0.1587
     19   3.23  2427.78    1278.22     833.31  0.9833     0.9834  0.0167     0.0166     0.1253         0.1253
     20   3.20  2431.69    1285.84     873.48  0.9805     0.9806  0.0195     0.0194     0.1312         0.1312
     21   3.20  2436.07    1290.92     864.35  0.9794     0.9793  0.0206     0.0207     0.1231         0.1233
     22   3.18  2431.65    1303.79     895.24  0.9804     0.9804  0.0196     0.0196     0.1165         0.1164
     23   3.20  2435.93    1306.53     901.38  0.9832     0.9832  0.0168     0.0168     0.1634         0.1633
     24   3.20  2438.57    1290.04     861.29  0.9795     0.9794  0.0205     0.0206     0.1504         0.1505
     25   3.21  2441.41    1302.56     903.80  0.9850     0.9850  0.0150     0.0150     0.1507         0.1506
     26   3.18  2444.15    1293.47     871.88  0.9771     0.9772  0.0229     0.0228     0.1420         0.1419
     27   3.21  2440.09    1305.75     900.58  0.9844     0.9844  0.0156     0.0156     0.1927         0.1931
     28   3.22  2444.43    1299.39     876.10  0.9855     0.9855  0.0145     0.0145     0.2095         0.2092
     29   3.18  2450.73    1302.89     884.27  0.9788     0.9788  0.0212     0.0212     0.1882         0.1879
     30   3.20  2442.88    1299.06     867.96  0.9837     0.9837  0.0163     0.0163     0.1915         0.1911
     31   3.15  2436.68    1289.50     853.97  0.9747     0.9747  0.0253     0.0253     0.1754         0.1752
     32   3.21  2444.12    1307.01     887.44  0.9843     0.9841  0.0157     0.0159     0.2136         0.2135
     33   3.21  2440.00    1304.47     881.23  0.9816     0.9816  0.0184     0.0184     0.1802         0.1807
     34   3.21  2440.93    1306.42     862.77  0.9808     0.9808  0.0192     0.0192     0.1895         0.1898
     35   3.19  2450.81    1327.87     938.83  0.9817     0.9817  0.0183     0.0183     0.1534         0.1537
     36   3.20  2453.75    1339.11     958.81  0.9822     0.9822  0.0178     0.0178     0.2109         0.2109
     37   3.19  2438.39    1305.93     866.93  0.9815     0.9816  0.0185     0.0184     0.1976         0.1980
     38   3.21  2454.27    1336.05     934.75  0.9851     0.9851  0.0149     0.0149     0.3093         0.3096
     39   3.21  2451.41    1329.39     903.64  0.9845     0.9845  0.0155     0.0155     0.2588         0.2591
     40   3.20  2451.93    1340.33     948.63  0.9850     0.9850  0.0150     0.0150     0.2475         0.2474
     41   3.20  2456.29    1352.97     990.83  0.9855     0.9855  0.0145     0.0145     0.2333         0.2336
     42   3.18  2453.62    1332.86     895.79  0.9798     0.9798  0.0202     0.0202     0.2169         0.2169
     43   3.22  2452.60    1340.29     925.89  0.9866     0.9866  0.0134     0.0134     0.2785         0.2783
     44   3.22  2457.69    1357.88     981.35  0.9865     0.9865  0.0135     0.0135     0.2685         0.2684
     45   3.21  2459.92    1365.58    1007.60  0.9867     0.9866  0.0133     0.0134     0.2644         0.2648
     46   3.21  2461.62    1372.53    1031.46  0.9867     0.9867  0.0133     0.0133     0.2633         0.2629
     47   3.21  2463.13    1378.50    1053.74  0.9867     0.9867  0.0133     0.0133     0.2579         0.2586
