  epoch    IZY    IXZ_1     acc    avg_acc     err    avg_err    adv_acc    avg_adv_acc
-------  -----  -------  ------  ---------  ------  ---------  ---------  -------------
      1   3.08   236.84  0.9512     0.9523  0.0488     0.0477     0.0203         0.0203
      2   3.15   183.33  0.9622     0.9635  0.0378     0.0365     0.0223         0.0217
      3   3.13   143.33  0.9582     0.9599  0.0418     0.0401     0.0289         0.0292
      4   3.20   140.75  0.9731     0.9738  0.0269     0.0262     0.0193         0.0196
      5   3.20   124.73  0.9733     0.9740  0.0267     0.0260     0.0195         0.0191
      6   3.20   110.98  0.9754     0.9753  0.0246     0.0247     0.0272         0.0269
      7   3.19   105.78  0.9724     0.9731  0.0276     0.0269     0.0281         0.0284
      8   3.23    96.34  0.9818     0.9820  0.0182     0.0180     0.0298         0.0314
      9   3.18    94.64  0.9752     0.9762  0.0248     0.0238     0.0381         0.0395
     10   3.20    94.85  0.9765     0.9769  0.0235     0.0231     0.0332         0.0354
     11   3.20    97.85  0.9763     0.9771  0.0237     0.0229     0.0238         0.0244
     12   3.22    82.91  0.9803     0.9804  0.0197     0.0196     0.0477         0.0492
     13   3.21    80.87  0.9795     0.9800  0.0205     0.0200     0.0403         0.0407
     14   3.20    80.99  0.9784     0.9783  0.0216     0.0217     0.0629         0.0654
     15   3.22    76.81  0.9810     0.9810  0.0190     0.0190     0.0521         0.0543
     16   3.22    72.71  0.9828     0.9826  0.0172     0.0174     0.0613         0.0643
     17   3.21    70.40  0.9812     0.9817  0.0188     0.0183     0.0481         0.0510
     18   3.21    73.19  0.9792     0.9793  0.0208     0.0207     0.0504         0.0520
     19   3.21    69.04  0.9807     0.9802  0.0193     0.0198     0.0479         0.0501
     20   3.18    66.16  0.9786     0.9788  0.0214     0.0212     0.0766         0.0797
     21   3.22    62.61  0.9825     0.9820  0.0175     0.0180     0.0657         0.0680
     22   3.22    70.86  0.9822     0.9822  0.0178     0.0178     0.0541         0.0565
     23   3.22    56.44  0.9835     0.9837  0.0165     0.0163     0.0681         0.0706
     24   3.18    64.33  0.9787     0.9792  0.0213     0.0208     0.0694         0.0732
     25   3.22    56.88  0.9839     0.9839  0.0161     0.0161     0.0751         0.0796
     26   3.22    56.41  0.9827     0.9826  0.0173     0.0174     0.0842         0.0890
     27   3.21    58.31  0.9825     0.9828  0.0175     0.0172     0.0787         0.0822
     28   3.19    55.40  0.9796     0.9798  0.0204     0.0202     0.0969         0.1010
