  epoch    IZY    IXZ_1     acc    avg_acc     err    avg_err    adv_acc    avg_adv_acc
-------  -----  -------  ------  ---------  ------  ---------  ---------  -------------
      1   3.10    66.67  0.9516     0.9554  0.0484     0.0446     0.0283         0.0276
      2   3.14    56.08  0.9626     0.9662  0.0374     0.0338     0.0302         0.0311
      3   3.19    47.67  0.9717     0.9724  0.0283     0.0276     0.0381         0.0401
      4   3.20    41.81  0.9760     0.9764  0.0240     0.0236     0.0375         0.0391
      5   3.17    44.46  0.9701     0.9713  0.0299     0.0287     0.0439         0.0450
      6   3.20    36.94  0.9777     0.9800  0.0223     0.0200     0.0593         0.0648
      7   3.21    34.73  0.9787     0.9797  0.0213     0.0203     0.0784         0.0836
      8   3.21    35.27  0.9775     0.9787  0.0225     0.0213     0.0967         0.1006
      9   3.16    35.65  0.9693     0.9710  0.0307     0.0290     0.0937         0.0987
     10   3.23    31.77  0.9827     0.9841  0.0173     0.0159     0.1209         0.1251
     11   3.21    30.48  0.9803     0.9813  0.0197     0.0187     0.1866         0.1969
     12   3.21    30.46  0.9804     0.9828  0.0196     0.0172     0.1704         0.1768
     13   3.21    28.64  0.9825     0.9826  0.0175     0.0174     0.1954         0.2057
     14   3.20    28.44  0.9804     0.9811  0.0196     0.0189     0.1860         0.1932
     15   3.20    26.77  0.9812     0.9824  0.0188     0.0176     0.2543         0.2660
     16   3.21    26.72  0.9819     0.9818  0.0181     0.0182     0.2040         0.2096
     17   3.17    26.05  0.9783     0.9788  0.0217     0.0212     0.2863         0.2965
     18   3.20    29.11  0.9805     0.9817  0.0195     0.0183     0.2385         0.2421
     19   3.19    27.18  0.9801     0.9806  0.0199     0.0194     0.2550         0.2624
     20   3.19    27.04  0.9800     0.9801  0.0200     0.0199     0.2501         0.2587
     21   3.19    25.95  0.9794     0.9805  0.0206     0.0195     0.2695         0.2781
     22   3.21    24.26  0.9838     0.9833  0.0162     0.0167     0.3769         0.3843
     23   3.17    24.76  0.9780     0.9792  0.0220     0.0208     0.3296         0.3392
     24   3.19    25.38  0.9816     0.9825  0.0184     0.0175     0.3000         0.3107
     25   3.20    22.69  0.9830     0.9828  0.0170     0.0172     0.3613         0.3679
     26   3.20    23.54  0.9822     0.9832  0.0178     0.0168     0.3099         0.3242
     27   3.14    25.65  0.9744     0.9754  0.0256     0.0246     0.3139         0.3226
     28   3.21    23.70  0.9855     0.9849  0.0145     0.0151     0.3521         0.3605
     29   3.20    23.58  0.9813     0.9821  0.0187     0.0179     0.2528         0.2675
     30   3.21    21.49  0.9853     0.9857  0.0147     0.0143     0.3029         0.3155
     31   3.19    22.20  0.9813     0.9814  0.0187     0.0186     0.2832         0.2975
     32   3.22    20.70  0.9848     0.9855  0.0152     0.0145     0.3908         0.3999
     33   3.16    23.68  0.9790     0.9793  0.0210     0.0207     0.2528         0.2653
     34   3.19    21.24  0.9825     0.9835  0.0175     0.0165     0.2968         0.3056
     35   3.20    22.09  0.9830     0.9832  0.0170     0.0168     0.2861         0.2931
     36   3.18    22.47  0.9811     0.9815  0.0189     0.0185     0.2944         0.2998
     37   3.17    23.13  0.9804     0.9804  0.0196     0.0196     0.3703         0.3785
     38   3.18    21.23  0.9825     0.9820  0.0175     0.0180     0.2757         0.2868
     39   3.18    21.31  0.9824     0.9834  0.0176     0.0166     0.2891         0.2956
     40   3.18    21.21  0.9817     0.9821  0.0183     0.0179     0.3113         0.3202
     41   3.17    21.33  0.9813     0.9817  0.0187     0.0183     0.2931         0.3002
     42   3.19    19.70  0.9843     0.9856  0.0157     0.0144     0.3453         0.3549
     43   3.20    18.62  0.9853     0.9858  0.0147     0.0142     0.3466         0.3532
     44   3.20    19.07  0.9850     0.9842  0.0150     0.0158     0.2592         0.2625
     45   3.18    21.15  0.9824     0.9825  0.0176     0.0175     0.2736         0.2797
     46   3.20    18.22  0.9843     0.9850  0.0157     0.0150     0.3248         0.3327
     47   3.17    23.67  0.9809     0.9815  0.0191     0.0185     0.2210         0.2268
     48   3.21    30.16  0.9852     0.9852  0.0148     0.0148     0.3278         0.3370
     49   3.20    18.02  0.9866     0.9855  0.0134     0.0145     0.3545         0.3630
     50   3.17    21.27  0.9825     0.9833  0.0175     0.0167     0.2361         0.2435
     51   3.20    19.66  0.9852     0.9858  0.0148     0.0142     0.2463         0.2500
     52   3.20    18.32  0.9860     0.9864  0.0140     0.0136     0.3055         0.3095
     53   3.19    17.81  0.9850     0.9856  0.0150     0.0144     0.3156         0.3243
     54   3.18    18.55  0.9847     0.9845  0.0153     0.0155     0.2706         0.2773
     55   3.20    19.57  0.9856     0.9858  0.0144     0.0142     0.3375         0.3462
     56   3.17    25.27  0.9831     0.9828  0.0169     0.0172     0.3074         0.3106
     57   3.19    17.78  0.9848     0.9853  0.0152     0.0147     0.3265         0.3325
     58   3.19    18.46  0.9846     0.9847  0.0154     0.0153     0.3193         0.3246
     59   3.20    17.62  0.9853     0.9856  0.0147     0.0144     0.3019         0.3044
     60   3.17    19.51  0.9830     0.9833  0.0170     0.0167     0.2913         0.2976
     61   3.18    20.10  0.9848     0.9848  0.0152     0.0152     0.2846         0.2871
     62   3.20    17.30  0.9861     0.9866  0.0139     0.0134     0.3218         0.3299
     63   3.19    22.65  0.9847     0.9848  0.0153     0.0152     0.3345         0.3391
     64   3.18    19.25  0.9830     0.9834  0.0170     0.0166     0.3106         0.3159
     65   3.19    16.57  0.9855     0.9865  0.0145     0.0135     0.3615         0.3684
     66   3.18    17.01  0.9853     0.9855  0.0147     0.0145     0.2794         0.2861
     67   3.21    17.36  0.9878     0.9875  0.0122     0.0125     0.3013         0.3081
     68   3.21    16.53  0.9880     0.9877  0.0120     0.0123     0.3189         0.3256
     69   3.21    19.17  0.9867     0.9879  0.0133     0.0121     0.3411         0.3455
     70   3.20    16.77  0.9870     0.9870  0.0130     0.0130     0.3359         0.3449
     71   3.20    16.93  0.9873     0.9876  0.0127     0.0124     0.3075         0.3104
