t,IZY,IXZ_1,acc,avg_acc,err,avg_err,adv_acc,avg_adv_acc
1,3.017115592956543,22.847166061401367,0.9423999786376953,0.9562000036239624,0.05760002136230469,0.0437999963760376,0.03959999978542328,0.040800001472234726
2,3.053201913833618,21.74639129638672,0.9508000016212463,0.9595999717712402,0.04919999837875366,0.040400028228759766,0.04349999874830246,0.044599998742341995
3,3.1162452697753906,17.194974899291992,0.965399980545044,0.9714000225067139,0.034600019454956055,0.028599977493286133,0.06970000267028809,0.0723000019788742
4,3.1280784606933594,20.853595733642578,0.96670001745224,0.9707000255584717,0.03329998254776001,0.02929997444152832,0.09749999642372131,0.09889999777078629
5,3.1165883541107178,15.77895736694336,0.967199981212616,0.9751999974250793,0.03280001878738403,0.024800002574920654,0.14569999277591705,0.1550000011920929
6,3.1640498638153076,23.960969924926758,0.9728999733924866,0.9750000238418579,0.027100026607513428,0.02499997615814209,0.1850000023841858,0.18790000677108765
7,3.158151149749756,14.083951950073242,0.9745000004768372,0.9785000085830688,0.025499999523162842,0.021499991416931152,0.30970001220703125,0.3188000023365021
8,3.127979278564453,14.349371910095215,0.9711999893188477,0.9763000011444092,0.028800010681152344,0.02369999885559082,0.2741999924182892,0.289000004529953
9,3.1848137378692627,19.20384407043457,0.9779000282287598,0.9793000221252441,0.022099971771240234,0.02069997787475586,0.3028999865055084,0.30570000410079956
10,3.1513233184814453,14.417816162109375,0.9757000207901001,0.9821000099182129,0.024299979209899902,0.01789999008178711,0.3418000042438507,0.36039999127388
11,3.178516149520874,13.117683410644531,0.9800000190734863,0.9819999933242798,0.019999980926513672,0.018000006675720215,0.382099986076355,0.3970000147819519
12,3.167714834213257,12.80702018737793,0.9783999919891357,0.9825999736785889,0.021600008010864258,0.017400026321411133,0.4586000144481659,0.47999998927116394
13,3.129801034927368,13.618149757385254,0.9724000096321106,0.978600025177002,0.027599990367889404,0.021399974822998047,0.4311999976634979,0.4530999958515167
14,3.174874782562256,13.829218864440918,0.980400025844574,0.9811000227928162,0.019599974155426025,0.018899977207183838,0.46219998598098755,0.47110000252723694
15,3.164694309234619,12.092634201049805,0.9805999994277954,0.982699990272522,0.01940000057220459,0.017300009727478027,0.44920000433921814,0.4684999883174896
16,3.1026387214660645,12.648116111755371,0.9713000059127808,0.9747999906539917,0.02869999408721924,0.0252000093460083,0.44749999046325684,0.4643000066280365
17,3.166884660720825,12.058714866638184,0.9793000221252441,0.982699990272522,0.02069997787475586,0.017300009727478027,0.48890000581741333,0.503000020980835
18,3.149550676345825,11.614885330200195,0.9753000140190125,0.9801999926567078,0.02469998598098755,0.019800007343292236,0.48649999499320984,0.515999972820282
19,3.1478021144866943,12.462907791137695,0.9758999943733215,0.9797999858856201,0.024100005626678467,0.020200014114379883,0.454800009727478,0.4708999991416931
20,3.149728298187256,11.682196617126465,0.9769999980926514,0.9807999730110168,0.023000001907348633,0.019200026988983154,0.5523999929428101,0.567300021648407
21,3.1545989513397217,13.086189270019531,0.9789000153541565,0.9812999963760376,0.021099984645843506,0.018700003623962402,0.4999000132083893,0.5095000267028809
22,3.1304163932800293,11.17936897277832,0.9742000102996826,0.9796000123023987,0.025799989700317383,0.02039998769760132,0.5605000257492065,0.5827000141143799
23,3.150073766708374,11.50910758972168,0.9763000011444092,0.9810000061988831,0.02369999885559082,0.018999993801116943,0.49480000138282776,0.5152999758720398
24,3.1661906242370605,10.775967597961426,0.9789999723434448,0.9847000241279602,0.021000027656555176,0.015299975872039795,0.5471000075340271,0.5699999928474426
25,3.163329839706421,11.152910232543945,0.9796000123023987,0.982699990272522,0.02039998769760132,0.017300009727478027,0.5374000072479248,0.5566999912261963
26,3.170849323272705,11.351685523986816,0.9805999994277954,0.9843999743461609,0.01940000057220459,0.015600025653839111,0.5146999955177307,0.5383999943733215
27,3.146524429321289,10.57675552368164,0.977400004863739,0.9811999797821045,0.022599995136260986,0.018800020217895508,0.5778999924659729,0.5947999954223633
28,3.16013765335083,10.941363334655762,0.980400025844574,0.9837999939918518,0.019599974155426025,0.016200006008148193,0.5293999910354614,0.544700026512146
29,3.1262073516845703,11.535968780517578,0.9771999716758728,0.98089998960495,0.022800028324127197,0.01910001039505005,0.506600022315979,0.5192000269889832
30,3.1304738521575928,11.474762916564941,0.9794999957084656,0.9818999767303467,0.020500004291534424,0.01810002326965332,0.4674000144004822,0.48820000886917114
31,3.1043076515197754,10.68522834777832,0.9743000268936157,0.9797000288963318,0.025699973106384277,0.020299971103668213,0.5321000218391418,0.5544000267982483
32,3.1417205333709717,10.797786712646484,0.9786999821662903,0.9829999804496765,0.021300017833709717,0.017000019550323486,0.595300018787384,0.6137999892234802
33,3.1598429679870605,10.717023849487305,0.9810000061988831,0.9847000241279602,0.018999993801116943,0.015299975872039795,0.557200014591217,0.5741000175476074
34,3.144287347793579,10.84877872467041,0.9771999716758728,0.9818000197410583,0.022800028324127197,0.01819998025894165,0.5722000002861023,0.5878000259399414
35,3.1642942428588867,13.17939567565918,0.9811000227928162,0.9825999736785889,0.018899977207183838,0.017400026321411133,0.5834000110626221,0.5924999713897705
36,3.17509388923645,11.550577163696289,0.9825999736785889,0.9843999743461609,0.017400026321411133,0.015600025653839111,0.5673999786376953,0.5781000256538391
37,3.1724050045013428,12.238497734069824,0.9825999736785889,0.9843999743461609,0.017400026321411133,0.015600025653839111,0.5673999786376953,0.5756999850273132
38,3.158569097518921,10.61810302734375,0.9805999994277954,0.9851999878883362,0.01940000057220459,0.014800012111663818,0.5605000257492065,0.5774999856948853
39,3.151402711868286,10.808948516845703,0.9811000227928162,0.9842000007629395,0.018899977207183838,0.015799999237060547,0.48910000920295715,0.5016999840736389
40,3.1608633995056152,10.659841537475586,0.9821000099182129,0.9850999712944031,0.01789999008178711,0.014900028705596924,0.5866000056266785,0.6010000109672546
41,3.143734931945801,11.11351203918457,0.9789000153541565,0.9829999804496765,0.021099984645843506,0.017000019550323486,0.49720001220703125,0.5078999996185303
42,3.1445064544677734,10.47480297088623,0.9800000190734863,0.9836000204086304,0.019999980926513672,0.01639997959136963,0.5450999736785889,0.5583000183105469
43,3.143723726272583,10.311477661132812,0.9807999730110168,0.9837999939918518,0.019200026988983154,0.016200006008148193,0.5741000175476074,0.5902000069618225
44,3.168509006500244,10.903398513793945,0.9830999970436096,0.9861000180244446,0.01690000295639038,0.01389998197555542,0.5562999844551086,0.567799985408783
45,3.165151834487915,10.47143268585205,0.9829999804496765,0.9861000180244446,0.017000019550323486,0.01389998197555542,0.6054999828338623,0.6175000071525574
46,3.1571767330169678,12.035691261291504,0.9811000227928162,0.9835000038146973,0.018899977207183838,0.016499996185302734,0.5863999724388123,0.5982999801635742
47,3.122713804244995,10.77352523803711,0.979200005531311,0.9825000166893005,0.020799994468688965,0.017499983310699463,0.5370000004768372,0.5490000247955322
48,3.164541244506836,10.368208885192871,0.9821000099182129,0.9860000014305115,0.01789999008178711,0.013999998569488525,0.5525000095367432,0.5638999938964844
49,3.1264050006866455,10.898994445800781,0.980400025844574,0.9825999736785889,0.019599974155426025,0.017400026321411133,0.5595999956130981,0.5685999989509583
50,3.144261360168457,10.150273323059082,0.9799000024795532,0.9842000007629395,0.020099997520446777,0.015799999237060547,0.5521000027656555,0.5666000247001648
51,3.1395928859710693,10.57135009765625,0.9810000061988831,0.9836999773979187,0.018999993801116943,0.0163000226020813,0.6157000064849854,0.6244000196456909
52,3.1160502433776855,10.238336563110352,0.9783999919891357,0.9825999736785889,0.021600008010864258,0.017400026321411133,0.5745999813079834,0.5867000222206116
53,3.1393721103668213,10.8878755569458,0.9801999926567078,0.9840999841690063,0.019800007343292236,0.015900015830993652,0.555400013923645,0.5698999762535095
54,3.1388394832611084,10.755035400390625,0.980400025844574,0.9825999736785889,0.019599974155426025,0.017400026321411133,0.5541999936103821,0.5627999901771545
55,3.151968240737915,9.969572067260742,0.9796000123023987,0.9851999878883362,0.02039998769760132,0.014800012111663818,0.5950000286102295,0.6123999953269958
56,3.16163969039917,9.966344833374023,0.9840999841690063,0.9861999750137329,0.015900015830993652,0.01380002498626709,0.5889999866485596,0.5990999937057495
57,3.1653919219970703,10.532588958740234,0.983299970626831,0.984000027179718,0.016700029373168945,0.015999972820281982,0.5629000067710876,0.5746999979019165
58,3.1392455101013184,10.063422203063965,0.9800000190734863,0.9840999841690063,0.019999980926513672,0.015900015830993652,0.5759999752044678,0.5892000198364258
59,3.121860980987549,11.285907745361328,0.98089998960495,0.9829999804496765,0.01910001039505005,0.017000019550323486,0.5717999935150146,0.5788999795913696
60,3.1548819541931152,10.039932250976562,0.9825999736785889,0.9868999719619751,0.017400026321411133,0.013100028038024902,0.5723999738693237,0.5842000246047974
61,3.1616547107696533,10.092226028442383,0.9829999804496765,0.9861000180244446,0.017000019550323486,0.01389998197555542,0.5885000228881836,0.5975000262260437
62,3.173656940460205,10.600591659545898,0.9843999743461609,0.9864000082015991,0.015600025653839111,0.013599991798400879,0.5627999901771545,0.5701000094413757
63,3.1452364921569824,10.463186264038086,0.9819999933242798,0.984000027179718,0.018000006675720215,0.015999972820281982,0.6166999936103821,0.6258000135421753
64,3.1260907649993896,10.288579940795898,0.9800000190734863,0.982200026512146,0.019999980926513672,0.017799973487854004,0.5730999708175659,0.5827000141143799
65,3.153465509414673,9.485042572021484,0.9811000227928162,0.9865000247955322,0.018899977207183838,0.013499975204467773,0.6304000020027161,0.641700029373169
66,3.16920804977417,10.321205139160156,0.984000027179718,0.9871000051498413,0.015999972820281982,0.012899994850158691,0.6026999950408936,0.6101999878883362
67,3.1571290493011475,10.109772682189941,0.9822999835014343,0.9846000075340271,0.017700016498565674,0.0153999924659729,0.6126999855041504,0.6220999956130981
68,3.1426663398742676,10.43583869934082,0.9824000000953674,0.9854000210762024,0.01759999990463257,0.014599978923797607,0.5911999940872192,0.6008999943733215
69,3.1510074138641357,9.842100143432617,0.9822999835014343,0.9861000180244446,0.017700016498565674,0.01389998197555542,0.6420000195503235,0.6498000025749207
70,3.1491785049438477,10.2183837890625,0.9822999835014343,0.9857000112533569,0.017700016498565674,0.014299988746643066,0.6172999739646912,0.6252999901771545
71,3.148754119873047,10.054869651794434,0.9822999835014343,0.9848999977111816,0.017700016498565674,0.01510000228881836,0.595300018787384,0.605400025844574
72,3.1369235515594482,10.54986572265625,0.9821000099182129,0.9850000143051147,0.01789999008178711,0.014999985694885254,0.526199996471405,0.5321000218391418
73,3.1417956352233887,9.530040740966797,0.9810000061988831,0.9857000112533569,0.018999993801116943,0.014299988746643066,0.5562999844551086,0.5652999877929688
74,3.154048204421997,9.532577514648438,0.982200026512146,0.9861000180244446,0.017799973487854004,0.01389998197555542,0.5595999956130981,0.5706999897956848
75,3.1505579948425293,10.687520980834961,0.9833999872207642,0.9857000112533569,0.01660001277923584,0.014299988746643066,0.603600025177002,0.6104000210762024
76,3.1633782386779785,10.01856803894043,0.984000027179718,0.9873999953269958,0.015999972820281982,0.01260000467300415,0.6040999889373779,0.6126000285148621
77,3.167971611022949,9.866522789001465,0.9836000204086304,0.9879999756813049,0.01639997959136963,0.012000024318695068,0.5953999757766724,0.602400004863739
78,3.011291742324829,9.908926010131836,0.9708999991416931,0.973800003528595,0.029100000858306885,0.02619999647140503,0.4650999903678894,0.47130000591278076
79,3.1347224712371826,10.668560981750488,0.98089998960495,0.984000027179718,0.01910001039505005,0.015999972820281982,0.5722000002861023,0.5785999894142151
80,3.1515917778015137,9.756474494934082,0.9836000204086304,0.9857000112533569,0.01639997959136963,0.014299988746643066,0.5386999845504761,0.5464000105857849
81,3.16867995262146,10.121333122253418,0.9835000038146973,0.9868000149726868,0.016499996185302734,0.013199985027313232,0.539900004863739,0.545199990272522
