  epoch    IZY    IXZ_1     acc    avg_acc     err    avg_err    adv_acc    avg_adv_acc
-------  -----  -------  ------  ---------  ------  ---------  ---------  -------------
      1   3.02    22.85  0.9424     0.9562  0.0576     0.0438     0.0396         0.0408
      2   3.05    21.75  0.9508     0.9596  0.0492     0.0404     0.0435         0.0446
      3   3.12    17.19  0.9654     0.9714  0.0346     0.0286     0.0697         0.0723
      4   3.13    20.85  0.9667     0.9707  0.0333     0.0293     0.0975         0.0989
      5   3.12    15.78  0.9672     0.9752  0.0328     0.0248     0.1457         0.1550
      6   3.16    23.96  0.9729     0.9750  0.0271     0.0250     0.1850         0.1879
      7   3.16    14.08  0.9745     0.9785  0.0255     0.0215     0.3097         0.3188
      8   3.13    14.35  0.9712     0.9763  0.0288     0.0237     0.2742         0.2890
      9   3.18    19.20  0.9779     0.9793  0.0221     0.0207     0.3029         0.3057
     10   3.15    14.42  0.9757     0.9821  0.0243     0.0179     0.3418         0.3604
     11   3.18    13.12  0.9800     0.9820  0.0200     0.0180     0.3821         0.3970
     12   3.17    12.81  0.9784     0.9826  0.0216     0.0174     0.4586         0.4800
     13   3.13    13.62  0.9724     0.9786  0.0276     0.0214     0.4312         0.4531
     14   3.17    13.83  0.9804     0.9811  0.0196     0.0189     0.4622         0.4711
     15   3.16    12.09  0.9806     0.9827  0.0194     0.0173     0.4492         0.4685
     16   3.10    12.65  0.9713     0.9748  0.0287     0.0252     0.4475         0.4643
     17   3.17    12.06  0.9793     0.9827  0.0207     0.0173     0.4889         0.5030
     18   3.15    11.61  0.9753     0.9802  0.0247     0.0198     0.4865         0.5160
     19   3.15    12.46  0.9759     0.9798  0.0241     0.0202     0.4548         0.4709
     20   3.15    11.68  0.9770     0.9808  0.0230     0.0192     0.5524         0.5673
     21   3.15    13.09  0.9789     0.9813  0.0211     0.0187     0.4999         0.5095
     22   3.13    11.18  0.9742     0.9796  0.0258     0.0204     0.5605         0.5827
     23   3.15    11.51  0.9763     0.9810  0.0237     0.0190     0.4948         0.5153
     24   3.17    10.78  0.9790     0.9847  0.0210     0.0153     0.5471         0.5700
