  epoch    IZY    IXZ_1     acc    avg_acc     err    avg_err    adv_acc    avg_adv_acc
-------  -----  -------  ------  ---------  ------  ---------  ---------  -------------
      1   2.47     8.93  0.8389     0.9262  0.1611     0.0738     0.0981         0.0978
      2   2.78    10.43  0.9186     0.9509  0.0814     0.0491     0.0453         0.0455
      3   2.85     7.89  0.9283     0.9652  0.0717     0.0348     0.0568         0.0588
      4   2.92     9.27  0.9423     0.9673  0.0577     0.0327     0.0720         0.0738
      5   2.91     7.51  0.9372     0.9710  0.0628     0.0290     0.0927         0.0977
      6   2.89     6.54  0.9306     0.9738  0.0694     0.0262     0.1767         0.1872
      7   2.91     7.10  0.9358     0.9692  0.0642     0.0308     0.1705         0.1784
      8   2.89     6.22  0.9260     0.9711  0.0740     0.0289     0.2012         0.2152
      9   2.91     5.78  0.9282     0.9764  0.0718     0.0236     0.2418         0.2594
     10   2.98     6.47  0.9470     0.9785  0.0530     0.0215     0.2645         0.2793
     11   3.02     8.20  0.9540     0.9792  0.0460     0.0208     0.2600         0.2717
     12   3.04     7.83  0.9577     0.9794  0.0423     0.0206     0.2503         0.2595
     13   2.98     6.31  0.9437     0.9801  0.0563     0.0199     0.3588         0.3723
     14   3.00     6.41  0.9493     0.9788  0.0507     0.0212     0.3456         0.3635
     15   2.99     7.44  0.9503     0.9782  0.0497     0.0218     0.3721         0.3886
     16   2.95     5.84  0.9381     0.9775  0.0619     0.0225     0.3996         0.4213
     17   2.98     5.84  0.9451     0.9813  0.0549     0.0187     0.3873         0.4084
     18   3.05     9.74  0.9612     0.9793  0.0388     0.0207     0.4094         0.4206
     19   2.91     5.70  0.9268     0.9758  0.0732     0.0242     0.4638         0.4987
     20   3.02     6.38  0.9529     0.9807  0.0471     0.0193     0.4777         0.4940
     21   2.88     5.77  0.9207     0.9766  0.0793     0.0234     0.5258         0.5635
     22   3.03     6.36  0.9524     0.9827  0.0476     0.0173     0.5291         0.5493
     23   2.92     5.47  0.9307     0.9788  0.0693     0.0212     0.4877         0.5160
     24   3.00     5.89  0.9466     0.9822  0.0534     0.0178     0.4723         0.4954
     25   3.03     7.09  0.9546     0.9810  0.0454     0.0190     0.3999         0.4191
     26   2.97     5.56  0.9393     0.9830  0.0607     0.0170     0.4364         0.4659
     27   2.91     5.68  0.9267     0.9816  0.0733     0.0184     0.5002         0.5393
     28   3.01     6.42  0.9505     0.9803  0.0495     0.0197     0.4517         0.4729
     29   2.95     5.96  0.9388     0.9801  0.0612     0.0199     0.5291         0.5630
     30   2.96     5.89  0.9387     0.9806  0.0613     0.0194     0.4772         0.5101
