  epoch    IZY    IXZ_1     acc    avg_acc     err    avg_err    adv_acc    avg_adv_acc
-------  -----  -------  ------  ---------  ------  ---------  ---------  -------------
      1  -0.62     0.50  0.1275     0.1904  0.8725     0.8096     0.1467         0.1965
      2  -0.22     1.20  0.1562     0.2951  0.8438     0.7049     0.1788         0.2667
      3  -0.07     1.07  0.1763     0.3731  0.8237     0.6269     0.2037         0.3159
      4   0.09     2.04  0.1954     0.4561  0.8046     0.5439     0.2343         0.3576
      5  -0.00     1.47  0.1817     0.4339  0.8183     0.5661     0.2400         0.3616
      6   0.16     0.45  0.2158     0.4726  0.7842     0.5274     0.2462         0.3501
      7   0.24     1.30  0.2333     0.5152  0.7667     0.4848     0.2526         0.3594
      8   0.26     1.66  0.2418     0.5661  0.7582     0.4339     0.2664         0.3795
      9   0.28     0.63  0.2424     0.5710  0.7576     0.4290     0.2652         0.3810
     10   0.32     1.36  0.2635     0.6333  0.7365     0.3667     0.2852         0.4107
     11   0.26     1.17  0.2346     0.5700  0.7654     0.4300     0.2678         0.3862
     12   0.30     0.66  0.2469     0.5393  0.7531     0.4607     0.2624         0.3681
     13   0.30     1.01  0.2528     0.5889  0.7472     0.4111     0.2760         0.3870
     14   0.35     0.44  0.2687     0.6296  0.7313     0.3704     0.2830         0.3986
     15   0.37     0.52  0.2642     0.6436  0.7358     0.3564     0.2717         0.3956
     16   0.42     0.53  0.2801     0.6948  0.7199     0.3052     0.2771         0.4108
     17   0.42     0.49  0.2890     0.7062  0.7110     0.2938     0.2914         0.4184
     18   0.46     0.44  0.3051     0.7057  0.6949     0.2943     0.2800         0.4051
     19   0.47     0.79  0.3034     0.7406  0.6966     0.2594     0.2848         0.4142
     20   0.49     0.54  0.3060     0.7215  0.6940     0.2785     0.2897         0.4343
     21   0.45     1.01  0.2846     0.6951  0.7154     0.3049     0.2912         0.4244
     22   0.50     0.59  0.3070     0.7369  0.6930     0.2631     0.2883         0.4308
     23   0.57     0.72  0.3350     0.8048  0.6650     0.1952     0.2932         0.4372
     24   0.62     1.11  0.3456     0.7980  0.6544     0.2020     0.2803         0.4053
     25   0.57     0.58  0.3315     0.8339  0.6685     0.1661     0.2938         0.4495
     26   0.61     0.56  0.3424     0.8112  0.6576     0.1888     0.2840         0.4383
     27   0.68     1.10  0.3661     0.8675  0.6339     0.1325     0.2896         0.4387
     28   0.65     0.61  0.3501     0.8550  0.6499     0.1450     0.2903         0.4607
     29   0.70     0.83  0.3724     0.8526  0.6276     0.1474     0.2997         0.4441
     30   0.70     0.67  0.3705     0.8578  0.6295     0.1422     0.2971         0.4440
     31   0.74     0.63  0.3795     0.8828  0.6205     0.1172     0.3018         0.4695
     32   0.76     0.68  0.3848     0.8991  0.6152     0.1009     0.2890         0.4679
     33   0.73     0.67  0.3716     0.8951  0.6284     0.1049     0.2913         0.4633
     34   0.74     0.63  0.3729     0.8965  0.6271     0.1035     0.2851         0.4528
     35   0.75     0.81  0.3758     0.8952  0.6242     0.1048     0.2888         0.4693
     36   0.78     0.80  0.3810     0.8961  0.6190     0.1039     0.2826         0.4713
     37   0.83     0.77  0.3978     0.9220  0.6022     0.0780     0.2916         0.4625
     38   0.80     0.91  0.3897     0.9146  0.6103     0.0854     0.2830         0.4716
     39   0.86     1.03  0.4087     0.9304  0.5913     0.0696     0.2962         0.4696
     40   0.86     0.72  0.4119     0.9323  0.5881     0.0677     0.2833         0.4799
     41   0.83     0.78  0.4001     0.9247  0.5999     0.0753     0.2801         0.4764
     42   0.94     0.77  0.4321     0.9415  0.5679     0.0585     0.2876         0.4609
     43   0.88     0.75  0.4075     0.9380  0.5925     0.0620     0.2964         0.4862
     44   0.91     0.80  0.4158     0.9429  0.5842     0.0571     0.2909         0.4708
     45   0.85     1.03  0.4105     0.9362  0.5895     0.0638     0.2898         0.4986
     46   0.96     0.87  0.4341     0.9506  0.5659     0.0494     0.2897         0.4766
     47   0.90     0.84  0.4110     0.9439  0.5890     0.0561     0.2882         0.4886
     48   0.92     1.00  0.4220     0.9443  0.5780     0.0557     0.2792         0.4902
     49   0.98     0.81  0.4388     0.9476  0.5612     0.0524     0.2916         0.4914
     50   1.04     0.91  0.4580     0.9633  0.5420     0.0367     0.3033         0.5003
     51   0.97     0.85  0.4367     0.9484  0.5633     0.0516     0.2995         0.4946
     52   1.01     1.02  0.4545     0.9571  0.5455     0.0429     0.2931         0.4928
     53   0.99     0.82  0.4466     0.9573  0.5534     0.0427     0.3079         0.5177
     54   1.04     0.93  0.4560     0.9605  0.5440     0.0395     0.3125         0.5139
     55   1.01     0.89  0.4457     0.9589  0.5543     0.0411     0.2954         0.5011
     56   1.03     0.87  0.4563     0.9617  0.5437     0.0383     0.3021         0.5018
     57   0.94     1.05  0.4313     0.9570  0.5687     0.0430     0.2973         0.5240
     58   1.04     0.89  0.4514     0.9566  0.5486     0.0434     0.3022         0.5030
     59   1.11     0.96  0.4708     0.9663  0.5292     0.0337     0.3186         0.5164
     60   1.07     0.90  0.4675     0.9645  0.5325     0.0355     0.3061         0.5188
     61   1.09     0.93  0.4713     0.9666  0.5287     0.0334     0.3034         0.5120
     62   1.05     0.90  0.4592     0.9642  0.5408     0.0358     0.3070         0.5179
     63   1.09     0.94  0.4716     0.9662  0.5284     0.0338     0.3086         0.5143
     64   1.10     0.92  0.4704     0.9657  0.5296     0.0343     0.3066         0.5283
     65   1.04     0.99  0.4531     0.9623  0.5469     0.0377     0.3042         0.5173
     66   1.09     0.90  0.4692     0.9635  0.5308     0.0365     0.3089         0.5191
     67   1.10     0.92  0.4738     0.9679  0.5262     0.0321     0.3157         0.5281
     68   1.14     1.07  0.4773     0.9716  0.5227     0.0284     0.3185         0.5306
     69   1.07     0.94  0.4661     0.9671  0.5339     0.0329     0.3148         0.5331
     70   1.11     0.95  0.4734     0.9711  0.5266     0.0289     0.3137         0.5185
     71   1.12     0.97  0.4784     0.9702  0.5216     0.0298     0.3272         0.5487
     72   1.09     0.95  0.4696     0.9701  0.5304     0.0299     0.3293         0.5538
     73   1.11     0.94  0.4741     0.9677  0.5259     0.0323     0.3240         0.5475
     74   1.09     0.95  0.4722     0.9697  0.5278     0.0303     0.3178         0.5473
     75   1.09     0.94  0.4692     0.9708  0.5308     0.0292     0.3286         0.5478
     76   1.10     0.94  0.4692     0.9668  0.5308     0.0332     0.3259         0.5477
     77   1.12     1.03  0.4717     0.9687  0.5283     0.0313     0.3229         0.5578
     78   1.15     0.96  0.4850     0.9725  0.5150     0.0275     0.3314         0.5604
     79   1.14     1.17  0.4831     0.9726  0.5169     0.0274     0.3184         0.5277
     80   1.18     1.03  0.4931     0.9717  0.5069     0.0283     0.3353         0.5488
     81   1.17     1.03  0.4883     0.9738  0.5117     0.0262     0.3273         0.5418
     82   1.20     1.00  0.4972     0.9714  0.5028     0.0286     0.3323         0.5351
     83   1.13     0.96  0.4798     0.9728  0.5202     0.0272     0.3388         0.5693
     84   1.09     1.06  0.4721     0.9659  0.5279     0.0341     0.3270         0.5555
     85   1.15     0.97  0.4850     0.9702  0.5150     0.0298     0.3160         0.5374
     86   1.18     0.98  0.4886     0.9716  0.5114     0.0284     0.3303         0.5547
     87   1.17     0.99  0.4901     0.9740  0.5099     0.0260     0.3342         0.5646
     88   1.18     1.00  0.4869     0.9735  0.5131     0.0265     0.3401         0.5654
     89   1.17     0.99  0.4856     0.9732  0.5144     0.0268     0.3409         0.5735
     90   1.15     0.98  0.4837     0.9734  0.5163     0.0266     0.3256         0.5654
     91   1.18     0.98  0.4891     0.9747  0.5109     0.0253     0.3446         0.5739
     92   1.18     1.01  0.4942     0.9747  0.5058     0.0253     0.3393         0.5621
     93   1.14     0.97  0.4848     0.9716  0.5152     0.0284     0.3337         0.5660
     94   1.15     0.99  0.4866     0.9722  0.5134     0.0278     0.3343         0.5706
     95   1.14     1.01  0.4818     0.9691  0.5182     0.0309     0.3560         0.5963
