  epoch    IZY    IXZ_1     acc    avg_acc     err    avg_err    adv_acc    avg_adv_acc
-------  -----  -------  ------  ---------  ------  ---------  ---------  -------------
      1   3.05   499.11  0.9385     0.9390  0.0615     0.0610     0.0267         0.0268
      2   3.15   439.45  0.9610     0.9608  0.0390     0.0392     0.0229         0.0230
      3   3.19   388.47  0.9724     0.9721  0.0276     0.0279     0.0158         0.0157
      4   3.20   361.03  0.9736     0.9743  0.0264     0.0257     0.0165         0.0164
      5   3.21   332.20  0.9747     0.9743  0.0253     0.0257     0.0163         0.0162
      6   3.21   322.43  0.9760     0.9765  0.0240     0.0235     0.0206         0.0203
      7   3.19   302.02  0.9726     0.9733  0.0274     0.0267     0.0345         0.0351
      8   3.19   282.37  0.9727     0.9735  0.0273     0.0265     0.0680         0.0684
      9   3.22   256.70  0.9799     0.9793  0.0201     0.0207     0.0600         0.0610
     10   3.21   260.26  0.9787     0.9783  0.0213     0.0217     0.0625         0.0631
     11   3.23   245.00  0.9820     0.9822  0.0180     0.0178     0.0986         0.0984
     12   3.21   234.18  0.9804     0.9803  0.0196     0.0197     0.1039         0.1052
     13   3.16   231.18  0.9731     0.9731  0.0269     0.0269     0.0904         0.0913
     14   3.21   209.29  0.9819     0.9818  0.0181     0.0182     0.1185         0.1200
     15   3.23   211.12  0.9848     0.9849  0.0152     0.0151     0.0970         0.0975
     16   3.22   206.63  0.9817     0.9816  0.0183     0.0184     0.0791         0.0795
     17   3.22   199.99  0.9818     0.9822  0.0182     0.0178     0.0700         0.0700
     18   3.19   193.03  0.9770     0.9769  0.0230     0.0231     0.0925         0.0934
     19   3.20   185.97  0.9819     0.9816  0.0181     0.0184     0.1667         0.1667
     20   3.14   193.49  0.9745     0.9744  0.0255     0.0256     0.1734         0.1751
     21   3.21   181.20  0.9833     0.9835  0.0167     0.0165     0.1862         0.1880
     22   3.21   171.00  0.9822     0.9823  0.0178     0.0177     0.1708         0.1713
     23   3.18   182.76  0.9787     0.9788  0.0213     0.0212     0.1505         0.1512
     24   3.21   161.28  0.9818     0.9821  0.0182     0.0179     0.1447         0.1461
     25   3.21   161.63  0.9827     0.9826  0.0173     0.0174     0.1333         0.1335
     26   3.23   151.04  0.9852     0.9847  0.0148     0.0153     0.1214         0.1221
     27   3.21   148.00  0.9828     0.9828  0.0172     0.0172     0.1226         0.1240
     28   3.20   153.97  0.9799     0.9804  0.0201     0.0196     0.1209         0.1219
     29   3.19   148.29  0.9806     0.9805  0.0194     0.0195     0.1411         0.1419
     30   3.21   148.21  0.9828     0.9830  0.0172     0.0170     0.1174         0.1184
     31   3.21   145.19  0.9826     0.9830  0.0174     0.0170     0.1243         0.1259
     32   3.22   144.19  0.9832     0.9835  0.0168     0.0165     0.1074         0.1078
     33   3.19   140.19  0.9806     0.9806  0.0194     0.0194     0.1295         0.1322
     34   3.24   131.47  0.9851     0.9852  0.0149     0.0148     0.1126         0.1141
     35   3.23   125.76  0.9851     0.9851  0.0149     0.0149     0.1255         0.1276
     36   3.21   128.89  0.9836     0.9838  0.0164     0.0162     0.1179         0.1197
     37   3.20   127.36  0.9822     0.9821  0.0178     0.0179     0.0871         0.0884
     38   3.22   126.92  0.9849     0.9843  0.0151     0.0157     0.1184         0.1213
     39   3.21   119.42  0.9846     0.9847  0.0154     0.0153     0.1158         0.1170
     40   3.22   109.86  0.9860     0.9860  0.0140     0.0140     0.1124         0.1137
     41   3.23    99.02  0.9864     0.9862  0.0136     0.0138     0.0903         0.0908
     42   3.23    88.75  0.9864     0.9866  0.0136     0.0134     0.0774         0.0788
     43   3.23    80.43  0.9868     0.9868  0.0132     0.0132     0.0629         0.0644
     44   3.23    72.45  0.9870     0.9869  0.0130     0.0131     0.0661         0.0666
     45   3.19   118.64  0.9801     0.9805  0.0199     0.0195     0.0901         0.0927
     46   3.22   107.38  0.9830     0.9832  0.0170     0.0168     0.0643         0.0655
     47   3.21   101.13  0.9857     0.9857  0.0143     0.0143     0.1056         0.1090
     48   3.22    92.86  0.9870     0.9870  0.0130     0.0130     0.0915         0.0951
     49   3.22    86.78  0.9873     0.9874  0.0127     0.0126     0.0779         0.0797
     50   3.22    78.64  0.9874     0.9870  0.0126     0.0130     0.0787         0.0803
     51   3.22    73.07  0.9874     0.9870  0.0126     0.0130     0.0772         0.0783
     52   3.22    67.69  0.9874     0.9875  0.0126     0.0125     0.0808         0.0823
     53   3.22    66.90  0.9872     0.9873  0.0128     0.0127     0.0836         0.0853
     54   3.22    58.77  0.9871     0.9875  0.0129     0.0125     0.1015         0.1022
     55   3.21    96.97  0.9827     0.9823  0.0173     0.0177     0.0612         0.0627
     56   3.21    92.74  0.9842     0.9845  0.0158     0.0155     0.0581         0.0595
     57   3.22    87.48  0.9854     0.9848  0.0146     0.0152     0.0676         0.0689
     58   3.22    89.36  0.9858     0.9856  0.0142     0.0144     0.0781         0.0794
     59   3.22    83.85  0.9877     0.9879  0.0123     0.0121     0.0932         0.0961
     60   3.21    89.83  0.9830     0.9830  0.0170     0.0170     0.0782         0.0798
     61   3.22    79.11  0.9863     0.9862  0.0137     0.0138     0.0946         0.0966
     62   3.22    72.55  0.9866     0.9869  0.0134     0.0131     0.0923         0.0937
     63   3.21    72.92  0.9860     0.9860  0.0140     0.0140     0.0828         0.0845
     64   3.21    66.05  0.9860     0.9862  0.0140     0.0138     0.0903         0.0921
     65   3.16    97.80  0.9784     0.9784  0.0216     0.0216     0.0593         0.0623
     66   3.22    77.62  0.9863     0.9861  0.0137     0.0139     0.0808         0.0824
     67   3.18    83.75  0.9820     0.9820  0.0180     0.0180     0.0953         0.0979
     68   3.21    82.77  0.9829     0.9829  0.0171     0.0171     0.0467         0.0480
     69   3.21    70.33  0.9858     0.9861  0.0142     0.0139     0.0893         0.0907
     70   3.21    66.17  0.9863     0.9863  0.0137     0.0137     0.0933         0.0946
     71   3.22    62.15  0.9867     0.9864  0.0133     0.0136     0.1001         0.1019
     72   3.21    59.17  0.9865     0.9863  0.0135     0.0137     0.1091         0.1096
     73   3.21    57.67  0.9868     0.9867  0.0132     0.0133     0.1268         0.1276
     74   3.21    54.30  0.9864     0.9868  0.0136     0.0132     0.1460         0.1468
     75   3.20   116.74  0.9820     0.9816  0.0180     0.0184     0.0276         0.0283
     76   3.21    76.36  0.9844     0.9842  0.0156     0.0158     0.0818         0.0838
     77   3.20    74.79  0.9852     0.9852  0.0148     0.0148     0.0981         0.1004
     78   3.21    71.37  0.9857     0.9857  0.0143     0.0143     0.0926         0.0948
     79   3.21    66.75  0.9852     0.9850  0.0148     0.0150     0.0920         0.0950
     80   3.20    71.65  0.9852     0.9852  0.0148     0.0148     0.0804         0.0817
     81   3.21    63.95  0.9856     0.9857  0.0144     0.0143     0.1087         0.1100
     82   3.20    59.64  0.9862     0.9860  0.0138     0.0140     0.1219         0.1241
     83   3.21    56.99  0.9859     0.9860  0.0141     0.0140     0.1295         0.1315
     84   3.21    54.58  0.9865     0.9863  0.0135     0.0137     0.1466         0.1481
     85   3.20    52.96  0.9867     0.9863  0.0133     0.0137     0.1495         0.1514
     86   3.20    51.62  0.9868     0.9866  0.0132     0.0134     0.1639         0.1654
     87   3.20    49.37  0.9866     0.9866  0.0134     0.0134     0.1847         0.1862
     88   3.20    52.84  0.9864     0.9862  0.0136     0.0138     0.1684         0.1694
     89   3.20    47.21  0.9865     0.9865  0.0135     0.0135     0.1908         0.1918
     90   3.20    46.25  0.9870     0.9868  0.0130     0.0132     0.1995         0.1992
     91   3.20    44.39  0.9870     0.9868  0.0130     0.0132     0.2123         0.2141
     92   3.19    43.67  0.9864     0.9868  0.0136     0.0132     0.2327         0.2333
     93   3.19    46.40  0.9862     0.9867  0.0138     0.0133     0.2403         0.2414
     94   3.19    41.52  0.9865     0.9866  0.0135     0.0134     0.2402         0.2412
     95   3.18    59.13  0.9839     0.9839  0.0161     0.0161     0.1039         0.1052
     96   3.19    57.01  0.9850     0.9852  0.0150     0.0148     0.1183         0.1214
     97   3.19    52.10  0.9856     0.9860  0.0144     0.0140     0.1366         0.1391
     98   3.20    51.81  0.9864     0.9863  0.0136     0.0137     0.1042         0.1053
     99   3.19    47.43  0.9872     0.9869  0.0128     0.0131     0.1384         0.1416
    100   3.19    45.04  0.9867     0.9873  0.0133     0.0127     0.1764         0.1773
    101   3.19    43.61  0.9870     0.9873  0.0130     0.0127     0.1898         0.1913
    102   3.19    42.78  0.9869     0.9873  0.0131     0.0127     0.2041         0.2046
    103   3.19    42.22  0.9870     0.9869  0.0130     0.0131     0.2148         0.2162
    104   3.19    40.57  0.9869     0.9872  0.0131     0.0128     0.2390         0.2402
    105   3.19    40.25  0.9866     0.9868  0.0134     0.0132     0.2463         0.2476
    106   3.20    56.92  0.9852     0.9849  0.0148     0.0151     0.1051         0.1066
    107   3.20    52.90  0.9857     0.9857  0.0143     0.0143     0.0978         0.1016
    108   3.20    49.46  0.9864     0.9862  0.0136     0.0138     0.1120         0.1132
    109   3.20    47.06  0.9862     0.9861  0.0138     0.0139     0.1252         0.1269
    110   3.20    45.19  0.9859     0.9862  0.0141     0.0138     0.1405         0.1425
    111   3.20    43.82  0.9866     0.9860  0.0134     0.0140     0.1534         0.1549
    112   3.20    42.87  0.9864     0.9863  0.0136     0.0137     0.1765         0.1791
    113   3.20    42.68  0.9862     0.9864  0.0138     0.0136     0.1851         0.1880
    114   3.20    42.10  0.9863     0.9865  0.0137     0.0135     0.2037         0.2046
    115   3.20    40.75  0.9863     0.9866  0.0137     0.0134     0.2303         0.2328
    116   3.19    40.33  0.9867     0.9866  0.0133     0.0134     0.2475         0.2489
