  epoch    IZY    IXZ_1     acc    avg_acc     err    avg_err    adv_acc    avg_adv_acc
-------  -----  -------  ------  ---------  ------  ---------  ---------  -------------
      1   3.10   657.79  0.9535     0.9538  0.0465     0.0462     0.0232         0.0232
      2   3.19   632.79  0.9696     0.9698  0.0304     0.0302     0.0163         0.0163
      3   3.19   603.62  0.9707     0.9706  0.0293     0.0294     0.0149         0.0151
      4   3.19   582.85  0.9730     0.9730  0.0270     0.0270     0.0135         0.0135
      5   3.19   578.02  0.9708     0.9704  0.0292     0.0296     0.0213         0.0213
      6   3.21   555.25  0.9772     0.9772  0.0228     0.0228     0.0247         0.0248
      7   3.23   542.17  0.9822     0.9822  0.0178     0.0178     0.0218         0.0218
      8   3.21   531.08  0.9784     0.9783  0.0216     0.0217     0.0731         0.0732
      9   3.22   507.07  0.9795     0.9795  0.0205     0.0205     0.0367         0.0369
     10   3.20   494.46  0.9754     0.9753  0.0246     0.0247     0.0583         0.0581
     11   3.19   484.98  0.9762     0.9761  0.0238     0.0239     0.0729         0.0729
     12   3.22   483.94  0.9820     0.9819  0.0180     0.0181     0.1187         0.1186
     13   3.20   465.53  0.9795     0.9793  0.0205     0.0207     0.0900         0.0901
     14   3.19   458.63  0.9766     0.9763  0.0234     0.0237     0.0807         0.0815
     15   3.21   440.47  0.9806     0.9807  0.0194     0.0193     0.1138         0.1139
     16   3.21   434.09  0.9820     0.9820  0.0180     0.0180     0.1191         0.1193
     17   3.22   419.55  0.9800     0.9801  0.0200     0.0199     0.1682         0.1674
     18   3.21   409.97  0.9824     0.9825  0.0176     0.0175     0.1371         0.1371
     19   3.20   400.21  0.9812     0.9810  0.0188     0.0190     0.1781         0.1782
     20   3.23   388.21  0.9837     0.9838  0.0163     0.0162     0.1234         0.1242
     21   3.20   382.68  0.9794     0.9797  0.0206     0.0203     0.1333         0.1333
     22   3.20   382.54  0.9798     0.9799  0.0202     0.0201     0.1547         0.1543
     23   3.22   379.50  0.9848     0.9844  0.0152     0.0156     0.2223         0.2223
     24   3.22   368.51  0.9840     0.9841  0.0160     0.0159     0.2102         0.2107
     25   3.20   357.76  0.9818     0.9816  0.0182     0.0184     0.1993         0.1998
     26   3.23   346.44  0.9856     0.9858  0.0144     0.0142     0.1774         0.1781
     27   3.22   342.48  0.9844     0.9845  0.0156     0.0155     0.2050         0.2061
     28   3.19   335.16  0.9806     0.9805  0.0194     0.0195     0.2095         0.2091
     29   3.21   328.35  0.9838     0.9840  0.0162     0.0160     0.2420         0.2423
     30   3.18   326.51  0.9815     0.9816  0.0185     0.0184     0.2841         0.2845
     31   3.21   317.68  0.9831     0.9831  0.0169     0.0169     0.2057         0.2054
     32   3.20   317.46  0.9834     0.9833  0.0166     0.0167     0.2471         0.2468
     33   3.22   318.22  0.9851     0.9851  0.0149     0.0149     0.2534         0.2531
     34   3.20   323.56  0.9832     0.9833  0.0168     0.0167     0.3161         0.3163
     35   3.23   305.92  0.9846     0.9845  0.0154     0.0155     0.2827         0.2826
     36   3.20   302.86  0.9834     0.9838  0.0166     0.0162     0.3374         0.3384
     37   3.22   295.24  0.9844     0.9844  0.0156     0.0156     0.2726         0.2731
     38   3.21   294.00  0.9829     0.9830  0.0171     0.0170     0.3065         0.3070
     39   3.21   304.65  0.9842     0.9843  0.0158     0.0157     0.3525         0.3517
     40   3.21   292.04  0.9821     0.9821  0.0179     0.0179     0.2158         0.2159
     41   3.20   309.82  0.9835     0.9837  0.0165     0.0163     0.3657         0.3659
     42   3.21   293.96  0.9836     0.9832  0.0164     0.0168     0.3294         0.3298
     43   3.21   293.50  0.9856     0.9857  0.0144     0.0143     0.4119         0.4129
     44   3.21   282.63  0.9854     0.9858  0.0146     0.0142     0.4173         0.4163
     45   3.21   264.93  0.9853     0.9854  0.0147     0.0146     0.4071         0.4073
     46   3.21   249.33  0.9860     0.9860  0.0140     0.0140     0.4067         0.4082
     47   3.21   230.50  0.9863     0.9863  0.0137     0.0137     0.3954         0.3950
     48   3.21   211.95  0.9863     0.9862  0.0137     0.0138     0.3923         0.3937
     49   3.22   193.24  0.9858     0.9859  0.0142     0.0141     0.3758         0.3767
     50   3.22   175.15  0.9861     0.9859  0.0139     0.0141     0.3564         0.3579
     51   3.22   157.75  0.9862     0.9860  0.0138     0.0140     0.3186         0.3192
     52   3.22   141.00  0.9864     0.9864  0.0136     0.0136     0.2647         0.2652
     53   3.22   126.89  0.9870     0.9868  0.0130     0.0132     0.2254         0.2284
     54   3.22   114.41  0.9870     0.9866  0.0130     0.0134     0.1866         0.1881
     55   3.21   102.00  0.9867     0.9866  0.0133     0.0134     0.1554         0.1575
     56   3.21    92.37  0.9864     0.9867  0.0136     0.0133     0.1338         0.1348
     57   3.21   131.25  0.9836     0.9835  0.0164     0.0165     0.1428         0.1442
     58   3.21   133.99  0.9838     0.9842  0.0162     0.0158     0.1764         0.1789
     59   3.20   132.21  0.9834     0.9835  0.0166     0.0165     0.1888         0.1907
     60   3.22   134.95  0.9868     0.9867  0.0132     0.0133     0.1589         0.1608
     61   3.20   143.02  0.9828     0.9828  0.0172     0.0172     0.1938         0.1950
     62   3.21   139.96  0.9862     0.9865  0.0138     0.0135     0.2469         0.2490
     63   3.22   141.60  0.9860     0.9859  0.0140     0.0141     0.3072         0.3093
     64   3.22   137.31  0.9863     0.9859  0.0137     0.0141     0.3014         0.3028
     65   3.22   133.55  0.9855     0.9860  0.0145     0.0140     0.2995         0.3013
     66   3.22   129.63  0.9859     0.9860  0.0141     0.0140     0.2917         0.2927
     67   3.22   125.12  0.9857     0.9856  0.0143     0.0144     0.2814         0.2827
     68   3.22   120.50  0.9858     0.9855  0.0142     0.0145     0.2717         0.2738
     69   3.22   114.64  0.9858     0.9857  0.0142     0.0143     0.2461         0.2489
     70   3.21   108.74  0.9855     0.9859  0.0145     0.0141     0.2235         0.2252
     71   3.21   102.84  0.9854     0.9856  0.0146     0.0144     0.1986         0.2010
     72   3.21    96.65  0.9855     0.9860  0.0145     0.0140     0.1680         0.1694
     73   3.21    91.39  0.9861     0.9860  0.0139     0.0140     0.1273         0.1279
     74   3.21    85.49  0.9860     0.9863  0.0140     0.0137     0.1319         0.1329
     75   3.21    81.15  0.9865     0.9866  0.0135     0.0134     0.1380         0.1399
     76   3.19    78.79  0.9857     0.9852  0.0143     0.0148     0.1472         0.1485
     77   3.19   105.62  0.9832     0.9832  0.0168     0.0168     0.1202         0.1220
     78   3.22   111.84  0.9854     0.9856  0.0146     0.0144     0.1288         0.1302
     79   3.21   110.36  0.9856     0.9856  0.0144     0.0144     0.1226         0.1242
     80   3.20   110.83  0.9850     0.9851  0.0150     0.0149     0.1878         0.1910
     81   3.21   109.91  0.9845     0.9848  0.0155     0.0152     0.1029         0.1043
     82   3.20   111.81  0.9852     0.9853  0.0148     0.0147     0.1664         0.1678
     83   3.19   113.76  0.9844     0.9842  0.0156     0.0158     0.1830         0.1851
     84   3.21   112.45  0.9858     0.9862  0.0142     0.0138     0.1696         0.1712
     85   3.21   114.79  0.9857     0.9861  0.0143     0.0139     0.1566         0.1580
     86   3.21   112.35  0.9855     0.9856  0.0145     0.0144     0.2250         0.2272
     87   3.21   110.32  0.9854     0.9857  0.0146     0.0143     0.2332         0.2345
     88   3.21   107.53  0.9858     0.9859  0.0142     0.0141     0.2297         0.2325
     89   3.21   104.31  0.9858     0.9858  0.0142     0.0142     0.2319         0.2343
     90   3.21   100.67  0.9863     0.9862  0.0137     0.0138     0.2183         0.2196
     91   3.21    97.01  0.9861     0.9865  0.0139     0.0135     0.1999         0.2022
