t,IZY,IXZ_1,acc,avg_acc,err,avg_err,adv_acc,avg_adv_acc
1,3.1113624572753906,679.9461669921875,0.9544000029563904,0.9544000029563904,0.04559999704360962,0.04559999704360962,0.026799999177455902,0.02669999934732914
2,3.185852527618408,676.5538330078125,0.9707000255584717,0.9703999757766724,0.02929997444152832,0.029600024223327637,0.01810000091791153,0.01810000091791153
3,3.1815085411071777,660.2213134765625,0.9693999886512756,0.9696999788284302,0.030600011348724365,0.030300021171569824,0.014700000174343586,0.014800000004470348
4,3.209963321685791,679.0872192382812,0.9746999740600586,0.9745000004768372,0.025300025939941406,0.025499999523162842,0.015200000256299973,0.01510000042617321
5,3.21014404296875,675.7152099609375,0.9754999876022339,0.9754999876022339,0.024500012397766113,0.024500012397766113,0.013799999840557575,0.013799999840557575
6,3.2163493633270264,686.558349609375,0.9789000153541565,0.9789999723434448,0.021099984645843506,0.021000027656555176,0.017500000074505806,0.017500000074505806
7,3.210939407348633,685.88232421875,0.9764000177383423,0.9764000177383423,0.023599982261657715,0.023599982261657715,0.03579999879002571,0.03579999879002571
8,3.182633638381958,696.6070556640625,0.9742000102996826,0.9740999937057495,0.025799989700317383,0.02590000629425049,0.03020000085234642,0.030300000682473183
9,3.207880735397339,690.1126098632812,0.9768000245094299,0.9768999814987183,0.02319997549057007,0.02310001850128174,0.029200000688433647,0.029400000348687172
10,3.2191081047058105,676.419921875,0.9793999791145325,0.9793999791145325,0.02060002088546753,0.02060002088546753,0.04820000007748604,0.048500001430511475
11,3.232656240463257,676.7462768554688,0.9818000197410583,0.9817000031471252,0.01819998025894165,0.018299996852874756,0.0502999983727932,0.05050000175833702
12,3.2209181785583496,685.4926147460938,0.9822999835014343,0.9822999835014343,0.017700016498565674,0.017700016498565674,0.07079999893903732,0.07050000131130219
13,3.2048726081848145,688.14404296875,0.9794999957084656,0.9793999791145325,0.020500004291534424,0.02060002088546753,0.06809999793767929,0.06800000369548798
14,3.1981561183929443,673.2257080078125,0.9763000011444092,0.9764000177383423,0.02369999885559082,0.023599982261657715,0.10540000349283218,0.10570000112056732
15,3.222968101501465,692.570068359375,0.984000027179718,0.9839000105857849,0.015999972820281982,0.016099989414215088,0.12870000302791595,0.12809999287128448
16,3.210963726043701,663.3280029296875,0.9814000129699707,0.9815000295639038,0.018599987030029297,0.01849997043609619,0.09290000051259995,0.09319999814033508
17,3.135692596435547,680.9089965820312,0.9733999967575073,0.9735000133514404,0.026600003242492676,0.02649998664855957,0.11500000208616257,0.11509999632835388
18,3.178277015686035,644.115478515625,0.9758999943733215,0.9757999777793884,0.024100005626678467,0.024200022220611572,0.05040000006556511,0.05000000074505806
