  epoch    IZY    IXZ_1     acc    avg_acc     err    avg_err    adv_acc    avg_adv_acc
-------  -----  -------  ------  ---------  ------  ---------  ---------  -------------
      1   3.11   679.95  0.9544     0.9544  0.0456     0.0456     0.0268         0.0267
      2   3.19   676.55  0.9707     0.9704  0.0293     0.0296     0.0181         0.0181
      3   3.18   660.22  0.9694     0.9697  0.0306     0.0303     0.0147         0.0148
      4   3.21   679.09  0.9747     0.9745  0.0253     0.0255     0.0152         0.0151
      5   3.21   675.72  0.9755     0.9755  0.0245     0.0245     0.0138         0.0138
      6   3.22   686.56  0.9789     0.9790  0.0211     0.0210     0.0175         0.0175
      7   3.21   685.88  0.9764     0.9764  0.0236     0.0236     0.0358         0.0358
      8   3.18   696.61  0.9742     0.9741  0.0258     0.0259     0.0302         0.0303
      9   3.21   690.11  0.9768     0.9769  0.0232     0.0231     0.0292         0.0294
     10   3.22   676.42  0.9794     0.9794  0.0206     0.0206     0.0482         0.0485
     11   3.23   676.75  0.9818     0.9817  0.0182     0.0183     0.0503         0.0505
     12   3.22   685.49  0.9823     0.9823  0.0177     0.0177     0.0708         0.0705
     13   3.20   688.14  0.9795     0.9794  0.0205     0.0206     0.0681         0.0680
     14   3.20   673.23  0.9763     0.9764  0.0237     0.0236     0.1054         0.1057
     15   3.22   692.57  0.9840     0.9839  0.0160     0.0161     0.1287         0.1281
     16   3.21   663.33  0.9814     0.9815  0.0186     0.0185     0.0929         0.0932
     17   3.14   680.91  0.9734     0.9735  0.0266     0.0265     0.1150         0.1151
     18   3.18   644.12  0.9759     0.9758  0.0241     0.0242     0.0504         0.0500
     19   3.21   648.50  0.9808     0.9807  0.0192     0.0193     0.1184         0.1181
     20   3.20   657.12  0.9809     0.9809  0.0191     0.0191     0.1772         0.1775
     21   3.18   655.96  0.9782     0.9783  0.0218     0.0217     0.1046         0.1050
     22   3.22   644.65  0.9844     0.9844  0.0156     0.0156     0.1505         0.1505
     23   3.22   624.64  0.9844     0.9845  0.0156     0.0155     0.1228         0.1234
     24   3.22   616.32  0.9826     0.9826  0.0174     0.0174     0.0966         0.0964
     25   3.21   627.82  0.9834     0.9833  0.0166     0.0167     0.2240         0.2241
     26   3.20   630.57  0.9821     0.9820  0.0179     0.0180     0.2171         0.2171
     27   3.15   606.72  0.9761     0.9760  0.0239     0.0240     0.1316         0.1317
     28   3.19   631.18  0.9818     0.9818  0.0182     0.0182     0.2419         0.2420
     29   3.21   624.06  0.9838     0.9839  0.0162     0.0161     0.2375         0.2372
     30   3.19   592.46  0.9792     0.9792  0.0208     0.0208     0.1436         0.1438
     31   3.21   619.52  0.9848     0.9848  0.0152     0.0152     0.2040         0.2044
     32   3.21   588.65  0.9829     0.9830  0.0171     0.0170     0.1569         0.1562
     33   3.21   592.12  0.9847     0.9846  0.0153     0.0154     0.2046         0.2056
     34   3.21   572.62  0.9842     0.9841  0.0158     0.0159     0.2020         0.2016
     35   3.21   570.63  0.9842     0.9842  0.0158     0.0158     0.2352         0.2349
     36   3.22   564.63  0.9847     0.9847  0.0153     0.0153     0.2105         0.2110
     37   3.21   559.97  0.9838     0.9838  0.0162     0.0162     0.1467         0.1466
     38   3.21   563.47  0.9845     0.9845  0.0155     0.0155     0.2109         0.2100
     39   3.20   580.89  0.9854     0.9852  0.0146     0.0148     0.2715         0.2716
     40   3.17   561.00  0.9809     0.9808  0.0191     0.0192     0.1876         0.1874
     41   3.22   548.39  0.9853     0.9853  0.0147     0.0147     0.2328         0.2329
     42   3.22   545.64  0.9866     0.9865  0.0134     0.0135     0.2804         0.2809
     43   3.19   532.67  0.9829     0.9829  0.0171     0.0171     0.2530         0.2522
     44   3.20   540.39  0.9838     0.9838  0.0162     0.0162     0.2489         0.2489
     45   3.18   530.12  0.9817     0.9817  0.0183     0.0183     0.2573         0.2576
     46   3.18   525.79  0.9819     0.9821  0.0181     0.0179     0.2884         0.2890
     47   3.20   521.11  0.9846     0.9846  0.0154     0.0154     0.2620         0.2616
     48   3.19   513.33  0.9815     0.9817  0.0185     0.0183     0.2456         0.2452
     49   3.20   518.08  0.9846     0.9846  0.0154     0.0154     0.2836         0.2837
     50   3.20   521.90  0.9856     0.9856  0.0144     0.0144     0.3237         0.3244
     51   3.20   518.36  0.9858     0.9858  0.0142     0.0142     0.3409         0.3411
     52   3.20   509.72  0.9859     0.9859  0.0141     0.0141     0.3375         0.3380
     53   3.20   496.06  0.9860     0.9859  0.0140     0.0141     0.3484         0.3481
     54   3.19   476.97  0.9860     0.9860  0.0140     0.0140     0.3685         0.3683
     55   3.19   453.90  0.9861     0.9858  0.0139     0.0142     0.3774         0.3768
     56   3.19   426.82  0.9860     0.9861  0.0140     0.0139     0.4006         0.4004
     57   3.19   399.86  0.9862     0.9862  0.0138     0.0138     0.4245         0.4245
     58   3.20   371.29  0.9861     0.9862  0.0139     0.0138     0.4410         0.4415
     59   3.20   342.01  0.9862     0.9863  0.0138     0.0137     0.4475         0.4470
     60   3.20   311.72  0.9867     0.9865  0.0133     0.0135     0.4498         0.4491
     61   3.20   287.44  0.9865     0.9864  0.0135     0.0136     0.4584         0.4573
     62   3.20   262.40  0.9864     0.9864  0.0136     0.0136     0.4646         0.4650
     63   3.20   238.87  0.9867     0.9867  0.0133     0.0133     0.4751         0.4756
     64   3.20   217.42  0.9865     0.9865  0.0135     0.0135     0.4813         0.4811
     65   3.20   196.06  0.9866     0.9868  0.0134     0.0132     0.4856         0.4862
     66   3.21   176.96  0.9867     0.9868  0.0133     0.0132     0.4849         0.4847
     67   3.21   159.62  0.9869     0.9870  0.0131     0.0130     0.4678         0.4675
     68   3.20   144.20  0.9871     0.9872  0.0129     0.0128     0.4566         0.4580
     69   3.20   128.81  0.9872     0.9871  0.0128     0.0129     0.4353         0.4379
     70   3.20   116.59  0.9867     0.9868  0.0133     0.0132     0.4052         0.4093
     71   3.20   105.42  0.9874     0.9873  0.0126     0.0127     0.3855         0.3851
     72   3.19    95.70  0.9867     0.9864  0.0133     0.0136     0.3581         0.3582
     73   3.21   165.49  0.9831     0.9830  0.0169     0.0170     0.1217         0.1221
     74   3.21   147.76  0.9837     0.9835  0.0163     0.0165     0.1407         0.1417
     75   3.21   154.01  0.9852     0.9854  0.0148     0.0146     0.1290         0.1295
     76   3.19   154.08  0.9841     0.9838  0.0159     0.0162     0.1500         0.1506
     77   3.20   146.31  0.9838     0.9837  0.0162     0.0163     0.2178         0.2186
     78   3.20   141.47  0.9852     0.9850  0.0148     0.0150     0.3495         0.3507
     79   3.20   139.35  0.9852     0.9851  0.0148     0.0149     0.3904         0.3930
     80   3.19   140.73  0.9854     0.9852  0.0146     0.0148     0.4235         0.4272
     81   3.19   141.96  0.9852     0.9851  0.0148     0.0149     0.4523         0.4548
     82   3.19   141.97  0.9854     0.9852  0.0146     0.0148     0.4787         0.4806
     83   3.18   140.32  0.9853     0.9854  0.0147     0.0146     0.4786         0.4807
     84   3.19   138.05  0.9854     0.9855  0.0146     0.0145     0.4932         0.4962
     85   3.18   135.48  0.9853     0.9856  0.0147     0.0144     0.4946         0.4963
     86   3.18   132.19  0.9853     0.9855  0.0147     0.0145     0.4890         0.4904
     87   3.19   127.87  0.9857     0.9853  0.0143     0.0147     0.4366         0.4376
     88   3.18   126.01  0.9856     0.9856  0.0144     0.0144     0.4817         0.4843
     89   3.18   122.31  0.9854     0.9855  0.0146     0.0145     0.4799         0.4820
     90   3.18   118.23  0.9857     0.9856  0.0143     0.0144     0.4796         0.4804
     91   3.18   113.93  0.9855     0.9856  0.0145     0.0144     0.4647         0.4655
     92   3.18   109.21  0.9856     0.9855  0.0144     0.0145     0.4561         0.4571
     93   3.18   104.73  0.9861     0.9860  0.0139     0.0140     0.4239         0.4266
     94   3.18   100.31  0.9858     0.9860  0.0142     0.0140     0.4017         0.4038
     95   3.18    96.48  0.9860     0.9862  0.0140     0.0138     0.3883         0.3903
     96   3.18    93.30  0.9863     0.9861  0.0137     0.0139     0.3720         0.3732
     97   3.18    89.38  0.9867     0.9859  0.0133     0.0141     0.3635         0.3662
     98   3.18    85.96  0.9861     0.9859  0.0139     0.0141     0.3610         0.3624
     99   3.19   137.50  0.9818     0.9821  0.0182     0.0179     0.1289         0.1291
    100   3.19   118.00  0.9850     0.9852  0.0150     0.0148     0.1641         0.1647
    101   3.19   111.82  0.9857     0.9857  0.0143     0.0143     0.2208         0.2215
    102   3.19   107.91  0.9858     0.9855  0.0142     0.0145     0.2751         0.2766
    103   3.18   106.48  0.9860     0.9857  0.0140     0.0143     0.3312         0.3326
    104   3.18   106.11  0.9862     0.9853  0.0138     0.0147     0.3741         0.3772
    105   3.18   106.20  0.9854     0.9857  0.0146     0.0143     0.4214         0.4245
    106   3.18   106.00  0.9862     0.9858  0.0138     0.0142     0.4375         0.4384
    107   3.17   105.26  0.9863     0.9861  0.0137     0.0139     0.4579         0.4622
    108   3.17   104.18  0.9856     0.9862  0.0144     0.0138     0.4628         0.4653
    109   3.17   102.79  0.9863     0.9861  0.0137     0.0139     0.4715         0.4733
    110   3.17   101.08  0.9865     0.9863  0.0135     0.0137     0.4609         0.4638
    111   3.17    99.31  0.9867     0.9866  0.0133     0.0134     0.4571         0.4585
    112   3.17    97.64  0.9864     0.9868  0.0136     0.0132     0.4532         0.4547
    113   3.17    95.69  0.9867     0.9868  0.0133     0.0132     0.4475         0.4490
    114   3.18    93.67  0.9871     0.9866  0.0129     0.0134     0.4445         0.4450
    115   3.17    94.74  0.9866     0.9865  0.0134     0.0135     0.4719         0.4739
    116   3.19   125.68  0.9840     0.9845  0.0160     0.0155     0.1555         0.1559
    117   3.19   115.79  0.9867     0.9866  0.0133     0.0134     0.2277         0.2285
    118   3.19   111.34  0.9861     0.9863  0.0139     0.0137     0.2677         0.2687
    119   3.19   108.83  0.9865     0.9866  0.0135     0.0134     0.3073         0.3078
    120   3.18   107.28  0.9866     0.9867  0.0134     0.0133     0.3527         0.3532
    121   3.18   106.50  0.9863     0.9864  0.0137     0.0136     0.3838         0.3852
    122   3.18   106.00  0.9866     0.9864  0.0134     0.0136     0.4013         0.4030
    123   3.18   105.57  0.9866     0.9864  0.0134     0.0136     0.4372         0.4407
    124   3.17   104.84  0.9863     0.9865  0.0137     0.0135     0.4564         0.4596
    125   3.17   103.36  0.9861     0.9862  0.0139     0.0138     0.4512         0.4533
    126   3.17   102.44  0.9863     0.9862  0.0137     0.0138     0.4721         0.4758
    127   3.17   101.11  0.9862     0.9863  0.0138     0.0137     0.4742         0.4761
    128   3.17    99.39  0.9865     0.9862  0.0135     0.0138     0.4793         0.4818
    129   3.17    97.77  0.9863     0.9862  0.0137     0.0138     0.4743         0.4765
    130   3.17    95.67  0.9862     0.9860  0.0138     0.0140     0.4517         0.4534
    131   3.16    93.50  0.9863     0.9862  0.0137     0.0138     0.4432         0.4455
    132   3.17    91.93  0.9861     0.9864  0.0139     0.0136     0.4396         0.4426
    133   3.17    89.47  0.9866     0.9862  0.0134     0.0138     0.4250         0.4276
    134   3.16    87.02  0.9863     0.9864  0.0137     0.0136     0.4176         0.4201
    135   3.17    84.90  0.9864     0.9866  0.0136     0.0134     0.4025         0.4037
    136   3.17    82.75  0.9867     0.9865  0.0133     0.0135     0.3943         0.3976
    137   3.17    80.75  0.9867     0.9865  0.0133     0.0135     0.3868         0.3878
    138   3.16    78.94  0.9868     0.9867  0.0132     0.0133     0.3960         0.3982
    139   3.16    77.85  0.9864     0.9868  0.0136     0.0132     0.3658         0.3671
    140   3.16    75.35  0.9866     0.9872  0.0134     0.0128     0.4010         0.4020
    141   3.16    73.31  0.9870     0.9868  0.0130     0.0132     0.3956         0.3978
    142   3.16    71.60  0.9872     0.9871  0.0128     0.0129     0.4072         0.4079
    143   3.16    69.94  0.9875     0.9868  0.0125     0.0132     0.4158         0.4166
    144   3.16    68.36  0.9873     0.9871  0.0127     0.0129     0.4204         0.4207
    145   3.16    66.83  0.9869     0.9871  0.0131     0.0129     0.4299         0.4296
    146   3.16    64.72  0.9871     0.9871  0.0129     0.0129     0.4478         0.4489
    147   3.16    63.05  0.9868     0.9870  0.0132     0.0130     0.4565         0.4574
    148   3.15    62.01  0.9867     0.9868  0.0133     0.0132     0.4837         0.4844
    149   3.17    81.04  0.9869     0.9872  0.0131     0.0128     0.2859         0.2866
    150   3.17    80.59  0.9867     0.9868  0.0133     0.0132     0.3092         0.3103
    151   3.17    74.98  0.9869     0.9874  0.0131     0.0126     0.3619         0.3626
    152   3.16    71.71  0.9871     0.9877  0.0129     0.0123     0.3862         0.3885
    153   3.16    69.50  0.9875     0.9876  0.0125     0.0124     0.4311         0.4323
    154   3.16    68.13  0.9875     0.9878  0.0125     0.0122     0.4304         0.4309
    155   3.16    66.94  0.9875     0.9876  0.0125     0.0124     0.4647         0.4662
    156   3.16    66.06  0.9875     0.9875  0.0125     0.0125     0.4624         0.4650
    157   3.16    65.54  0.9876     0.9875  0.0124     0.0125     0.4611         0.4614
    158   3.16    64.97  0.9876     0.9877  0.0124     0.0123     0.4794         0.4811
    159   3.16    64.45  0.9878     0.9877  0.0122     0.0123     0.4862         0.4879
    160   3.16    64.08  0.9873     0.9874  0.0127     0.0126     0.4878         0.4895
    161   3.16    63.52  0.9876     0.9875  0.0124     0.0125     0.4811         0.4826
    162   3.16    62.95  0.9878     0.9873  0.0122     0.0127     0.4790         0.4795
    163   3.15    62.64  0.9873     0.9875  0.0127     0.0125     0.4769         0.4773
    164   3.16    62.22  0.9876     0.9873  0.0124     0.0127     0.4875         0.4886
    165   3.16    62.05  0.9878     0.9875  0.0122     0.0125     0.4869         0.4886
    166   3.15    61.44  0.9873     0.9874  0.0127     0.0126     0.4955         0.4976
    167   3.15    60.88  0.9873     0.9874  0.0127     0.0126     0.4927         0.4931
    168   3.15    60.61  0.9874     0.9874  0.0126     0.0126     0.4926         0.4937
    169   3.16    60.39  0.9873     0.9877  0.0127     0.0123     0.5077         0.5083
    170   3.15    59.94  0.9876     0.9876  0.0124     0.0124     0.4836         0.4855
    171   3.15    59.19  0.9872     0.9875  0.0128     0.0125     0.5043         0.5044
    172   3.13    63.18  0.9843     0.9844  0.0157     0.0156     0.4569         0.4580
    173   3.15    60.06  0.9880     0.9878  0.0120     0.0122     0.5000         0.5008
    174   3.15    59.53  0.9878     0.9878  0.0122     0.0122     0.5021         0.5045
    175   3.15    59.25  0.9880     0.9877  0.0120     0.0123     0.5127         0.5132
    176   3.15    58.72  0.9876     0.9878  0.0124     0.0122     0.5194         0.5201
    177   3.15    57.97  0.9878     0.9877  0.0122     0.0123     0.5098         0.5108
    178   3.15    57.71  0.9873     0.9876  0.0127     0.0124     0.5313         0.5318
    179   3.15    57.32  0.9879     0.9876  0.0121     0.0124     0.5241         0.5258
    180   3.15    56.90  0.9878     0.9880  0.0122     0.0120     0.5282         0.5290
    181   3.15    56.75  0.9876     0.9877  0.0124     0.0123     0.5472         0.5480
    182   3.15    56.36  0.9881     0.9874  0.0119     0.0126     0.5328         0.5346
    183   3.14    56.06  0.9873     0.9876  0.0127     0.0124     0.5440         0.5457
    184   3.15    55.87  0.9882     0.9877  0.0118     0.0123     0.5392         0.5387
    185   3.15    56.55  0.9875     0.9878  0.0125     0.0122     0.5449         0.5480
    186   3.15    54.92  0.9874     0.9877  0.0126     0.0123     0.5682         0.5704
    187   3.15    55.04  0.9881     0.9881  0.0119     0.0119     0.5447         0.5442
    188   3.15    54.64  0.9877     0.9878  0.0123     0.0122     0.5614         0.5627
    189   3.15    54.68  0.9878     0.9876  0.0122     0.0124     0.5567         0.5577
    190   3.15    53.86  0.9873     0.9879  0.0127     0.0121     0.5635         0.5654
    191   3.14    53.57  0.9874     0.9878  0.0126     0.0122     0.5550         0.5569
    192   3.14    53.57  0.9872     0.9879  0.0128     0.0121     0.5726         0.5733
    193   3.14    53.07  0.9877     0.9876  0.0123     0.0124     0.5675         0.5676
    194   3.14    52.96  0.9882     0.9876  0.0118     0.0124     0.5675         0.5676
    195   3.15    53.02  0.9876     0.9871  0.0124     0.0129     0.5866         0.5897
    196   3.14    52.49  0.9877     0.9875  0.0123     0.0125     0.5925         0.5938
    197   3.14    52.77  0.9876     0.9878  0.0124     0.0122     0.5639         0.5654
    198   3.15    52.56  0.9876     0.9878  0.0124     0.0122     0.5729         0.5734
    199   3.14    51.84  0.9875     0.9879  0.0125     0.0121     0.5881         0.5898
    200   3.14    51.44  0.9872     0.9876  0.0128     0.0124     0.5940         0.5954
The log/output/model have been saved to: ./logs/train.py-multi_zetas{'num_epochs': 200, 'use_stoch': [False, False, True], 'betas': [1e-07, 1e-07, 1e-07]}-nyk-04-03-16:18 + .csv/.out/.cpt
