  epoch    IZY    IXZ_1     acc    avg_acc     err    avg_err    adv_acc    avg_adv_acc
-------  -----  -------  ------  ---------  ------  ---------  ---------  -------------
      1   3.12   701.34  0.9557     0.9557  0.0443     0.0443     0.0222         0.0222
      2   3.13   695.86  0.9589     0.9588  0.0411     0.0412     0.0202         0.0202
      3   3.18   702.69  0.9684     0.9682  0.0316     0.0318     0.0166         0.0165
      4   3.21   719.42  0.9751     0.9751  0.0249     0.0249     0.0147         0.0149
      5   3.21   729.14  0.9779     0.9779  0.0221     0.0221     0.0137         0.0137
      6   3.20   730.78  0.9754     0.9754  0.0246     0.0246     0.0258         0.0257
      7   3.17   735.59  0.9694     0.9694  0.0306     0.0306     0.0314         0.0314
      8   3.22   756.14  0.9789     0.9787  0.0211     0.0213     0.0618         0.0616
      9   3.20   733.71  0.9775     0.9776  0.0225     0.0224     0.0348         0.0348
     10   3.21   748.60  0.9785     0.9783  0.0215     0.0217     0.0708         0.0708
     11   3.20   742.36  0.9781     0.9782  0.0219     0.0218     0.0722         0.0720
     12   3.19   759.08  0.9770     0.9770  0.0230     0.0230     0.1142         0.1142
     13   3.21   771.99  0.9807     0.9807  0.0193     0.0193     0.1482         0.1485
     14   3.22   758.03  0.9820     0.9820  0.0180     0.0180     0.1566         0.1567
     15   3.21   795.31  0.9816     0.9816  0.0184     0.0184     0.1954         0.1955
     16   3.20   756.64  0.9784     0.9784  0.0216     0.0216     0.1571         0.1570
     17   3.19   754.36  0.9782     0.9782  0.0218     0.0218     0.1654         0.1655
     18   3.20   732.81  0.9810     0.9810  0.0190     0.0190     0.1299         0.1300
     19   3.19   768.53  0.9794     0.9793  0.0206     0.0207     0.2036         0.2037
     20   3.20   762.29  0.9788     0.9789  0.0212     0.0211     0.1736         0.1738
     21   3.21   747.18  0.9806     0.9806  0.0194     0.0194     0.1378         0.1379
     22   3.20   776.86  0.9821     0.9821  0.0179     0.0179     0.1895         0.1895
     23   3.22   789.69  0.9842     0.9842  0.0158     0.0158     0.2308         0.2306
     24   3.19   787.35  0.9798     0.9798  0.0202     0.0202     0.2334         0.2332
     25   3.18   807.52  0.9796     0.9796  0.0204     0.0204     0.2341         0.2345
     26   3.21   794.99  0.9845     0.9845  0.0155     0.0155     0.2588         0.2590
     27   3.22   751.89  0.9836     0.9836  0.0164     0.0164     0.2091         0.2091
     28   3.22   801.83  0.9851     0.9852  0.0149     0.0148     0.2727         0.2730
     29   3.22   775.59  0.9837     0.9838  0.0163     0.0162     0.2448         0.2450
     30   3.22   789.70  0.9853     0.9853  0.0147     0.0147     0.2744         0.2745
     31   3.22   810.89  0.9863     0.9863  0.0137     0.0137     0.3217         0.3215
     32   3.18   780.29  0.9797     0.9796  0.0203     0.0204     0.2844         0.2841
     33   3.19   755.72  0.9802     0.9803  0.0198     0.0197     0.2837         0.2837
     34   3.18   779.95  0.9792     0.9794  0.0208     0.0206     0.2946         0.2946
     35   3.22   788.67  0.9855     0.9856  0.0145     0.0144     0.3420         0.3421
     36   3.20   779.78  0.9829     0.9830  0.0171     0.0170     0.3420         0.3420
     37   3.18   789.95  0.9803     0.9802  0.0197     0.0198     0.3252         0.3251
     38   3.19   762.51  0.9821     0.9821  0.0179     0.0179     0.2657         0.2658
     39   3.22   786.70  0.9871     0.9871  0.0129     0.0129     0.3484         0.3483
     40   3.21   781.15  0.9851     0.9851  0.0149     0.0149     0.3566         0.3566
     41   3.19   817.55  0.9822     0.9822  0.0178     0.0178     0.3594         0.3590
     42   3.20   807.60  0.9848     0.9848  0.0152     0.0152     0.4464         0.4464
     43   3.21   784.20  0.9846     0.9847  0.0154     0.0153     0.3373         0.3374
     44   3.21   797.48  0.9857     0.9857  0.0143     0.0143     0.4011         0.4010
     45   3.21   832.50  0.9865     0.9865  0.0135     0.0135     0.4574         0.4577
     46   3.20   848.11  0.9868     0.9867  0.0132     0.0133     0.4648         0.4651
     47   3.20   861.11  0.9871     0.9871  0.0129     0.0129     0.4794         0.4792
     48   3.19   879.93  0.9869     0.9869  0.0131     0.0131     0.4771         0.4773
     49   3.19   893.73  0.9872     0.9871  0.0128     0.0129     0.4815         0.4808
     50   3.18   898.32  0.9871     0.9872  0.0129     0.0128     0.4855         0.4860
     51   3.18   891.23  0.9870     0.9870  0.0130     0.0130     0.4769         0.4767
     52   3.18   870.21  0.9870     0.9870  0.0130     0.0130     0.4790         0.4787
     53   3.17   835.73  0.9870     0.9871  0.0130     0.0129     0.4740         0.4733
     54   3.17   786.15  0.9871     0.9872  0.0129     0.0128     0.4726         0.4731
     55   3.17   727.43  0.9872     0.9872  0.0128     0.0128     0.4747         0.4747
     56   3.17   664.63  0.9870     0.9870  0.0130     0.0130     0.4750         0.4747
     57   3.17   604.25  0.9872     0.9872  0.0128     0.0128     0.4785         0.4785
     58   3.17   550.55  0.9870     0.9870  0.0130     0.0130     0.4875         0.4880
     59   3.18   503.80  0.9874     0.9874  0.0126     0.0126     0.5060         0.5056
     60   3.18   464.61  0.9874     0.9875  0.0126     0.0125     0.5138         0.5146
     61   3.18   428.76  0.9874     0.9874  0.0126     0.0126     0.5232         0.5226
     62   3.18   396.45  0.9874     0.9873  0.0126     0.0127     0.5262         0.5259
     63   3.18   365.51  0.9878     0.9876  0.0122     0.0124     0.5322         0.5329
     64   3.19   334.81  0.9875     0.9874  0.0125     0.0126     0.5255         0.5265
