  epoch    IZY    IXZ_1     acc    avg_acc     err    avg_err    adv_acc    avg_adv_acc
-------  -----  -------  ------  ---------  ------  ---------  ---------  -------------
      1   3.03   658.41  0.9362     0.9361  0.0638     0.0639     0.0382         0.0382
      2   3.17   667.31  0.9653     0.9653  0.0347     0.0347     0.0180         0.0181
      3   3.19   690.20  0.9707     0.9707  0.0293     0.0293     0.0148         0.0147
      4   3.16   702.81  0.9670     0.9674  0.0330     0.0326     0.0175         0.0175
      5   3.18   705.90  0.9705     0.9704  0.0295     0.0296     0.0240         0.0240
      6   3.19   702.02  0.9722     0.9724  0.0278     0.0276     0.0273         0.0275
      7   3.22   709.51  0.9794     0.9794  0.0206     0.0206     0.0277         0.0275
      8   3.18   708.53  0.9724     0.9725  0.0276     0.0275     0.0335         0.0335
      9   3.21   724.57  0.9795     0.9795  0.0205     0.0205     0.0539         0.0538
     10   3.21   719.47  0.9791     0.9795  0.0209     0.0205     0.0544         0.0545
     11   3.21   722.71  0.9799     0.9798  0.0201     0.0202     0.0515         0.0515
     12   3.18   735.18  0.9752     0.9751  0.0248     0.0249     0.1164         0.1165
     13   3.20   746.23  0.9799     0.9799  0.0201     0.0201     0.1193         0.1193
     14   3.20   725.80  0.9787     0.9787  0.0213     0.0213     0.0646         0.0645
     15   3.20   742.85  0.9792     0.9790  0.0208     0.0210     0.1221         0.1224
     16   3.21   763.06  0.9814     0.9813  0.0186     0.0187     0.1104         0.1109
     17   3.18   726.13  0.9771     0.9771  0.0229     0.0229     0.1010         0.1006
     18   3.21   752.86  0.9808     0.9808  0.0192     0.0192     0.1167         0.1168
     19   3.21   739.02  0.9815     0.9816  0.0185     0.0184     0.1253         0.1255
     20   3.20   732.96  0.9770     0.9770  0.0230     0.0230     0.0965         0.0962
     21   3.22   768.07  0.9826     0.9827  0.0174     0.0173     0.1570         0.1566
     22   3.22   771.52  0.9827     0.9827  0.0173     0.0173     0.1382         0.1383
     23   3.22   761.63  0.9832     0.9832  0.0168     0.0168     0.1615         0.1615
     24   3.21   775.00  0.9826     0.9826  0.0174     0.0174     0.1452         0.1449
     25   3.20   795.28  0.9835     0.9835  0.0165     0.0165     0.2479         0.2480
     26   3.21   787.39  0.9837     0.9837  0.0163     0.0163     0.2428         0.2429
     27   3.22   789.35  0.9840     0.9840  0.0160     0.0160     0.2441         0.2441
     28   3.20   774.74  0.9824     0.9824  0.0176     0.0176     0.2130         0.2132
     29   3.19   791.16  0.9821     0.9820  0.0179     0.0180     0.3183         0.3181
     30   3.21   787.14  0.9845     0.9845  0.0155     0.0155     0.2071         0.2073
     31   3.21   795.61  0.9832     0.9832  0.0168     0.0168     0.2343         0.2344
     32   3.18   823.31  0.9820     0.9820  0.0180     0.0180     0.2533         0.2531
     33   3.20   789.46  0.9823     0.9822  0.0177     0.0178     0.2616         0.2616
     34   3.20   800.31  0.9821     0.9821  0.0179     0.0179     0.2548         0.2549
     35   3.21   770.84  0.9816     0.9817  0.0184     0.0183     0.1716         0.1715
     36   3.20   833.31  0.9845     0.9845  0.0155     0.0155     0.2687         0.2689
     37   3.20   805.16  0.9831     0.9830  0.0169     0.0170     0.2576         0.2574
     38   3.21   805.49  0.9846     0.9846  0.0154     0.0154     0.3315         0.3316
     39   3.21   790.49  0.9831     0.9831  0.0169     0.0169     0.2605         0.2607
     40   3.20   828.11  0.9831     0.9830  0.0169     0.0170     0.3362         0.3367
     41   3.20   843.54  0.9833     0.9835  0.0167     0.0165     0.3803         0.3802
     42   3.21   788.64  0.9825     0.9826  0.0175     0.0174     0.2891         0.2890
     43   3.21   802.47  0.9835     0.9835  0.0165     0.0165     0.2948         0.2947
     44   3.21   822.17  0.9846     0.9846  0.0154     0.0154     0.3131         0.3129
     45   3.21   846.52  0.9855     0.9855  0.0145     0.0145     0.3540         0.3541
     46   3.21   885.48  0.9866     0.9865  0.0134     0.0135     0.3855         0.3855
     47   3.21   906.35  0.9866     0.9867  0.0134     0.0133     0.3914         0.3913
     48   3.20   929.97  0.9865     0.9866  0.0135     0.0134     0.3990         0.3990
     49   3.20   947.14  0.9868     0.9868  0.0132     0.0132     0.3972         0.3974
     50   3.20   964.23  0.9868     0.9868  0.0132     0.0132     0.3971         0.3970
     51   3.20   980.21  0.9868     0.9869  0.0132     0.0131     0.3959         0.3962
     52   3.19   995.61  0.9869     0.9869  0.0131     0.0131     0.3913         0.3916
     53   3.19  1009.74  0.9869     0.9868  0.0131     0.0132     0.3877         0.3874
     54   3.19  1022.62  0.9867     0.9867  0.0133     0.0133     0.3872         0.3871
     55   3.18  1033.03  0.9867     0.9867  0.0133     0.0133     0.3797         0.3802
     56   3.18  1041.20  0.9868     0.9869  0.0132     0.0131     0.3817         0.3816
     57   3.18  1045.75  0.9869     0.9869  0.0131     0.0131     0.3712         0.3713
     58   3.18  1046.07  0.9869     0.9869  0.0131     0.0131     0.3669         0.3667
     59   3.17  1041.28  0.9870     0.9869  0.0130     0.0131     0.3630         0.3630
     60   3.17  1029.89  0.9869     0.9869  0.0131     0.0131     0.3536         0.3538
     61   3.17  1011.80  0.9869     0.9869  0.0131     0.0131     0.3573         0.3571
     62   3.17   985.00  0.9870     0.9870  0.0130     0.0130     0.3489         0.3481
     63   3.17   950.66  0.9871     0.9871  0.0129     0.0129     0.3404         0.3410
     64   3.16   908.27  0.9875     0.9874  0.0125     0.0126     0.3376         0.3371
     65   3.16   860.14  0.9873     0.9874  0.0127     0.0126     0.3382         0.3382
     66   3.16   807.32  0.9874     0.9874  0.0126     0.0126     0.3413         0.3403
     67   3.16   752.28  0.9876     0.9875  0.0124     0.0125     0.3377         0.3371
