t,IZY,IXZ_1,IZ_1Z_2,acc,avg_acc,err,avg_err,adv_acc,avg_adv_acc
1,3.104719400405884,342.5445861816406,250.58358764648438,0.9509999752044678,0.9516000151634216,0.04900002479553223,0.04839998483657837,0.027400000020861626,0.027699999511241913
2,3.165764093399048,270.4683837890625,201.07492065429688,0.9660999774932861,0.96670001745224,0.03390002250671387,0.03329998254776001,0.020099999383091927,0.020500000566244125
3,3.1814069747924805,235.0279541015625,176.965087890625,0.9675999879837036,0.968999981880188,0.03240001201629639,0.03100001811981201,0.030899999663233757,0.03269999846816063
4,3.2013397216796875,188.93101501464844,152.58689880371094,0.9757999777793884,0.9753999710083008,0.024200022220611572,0.02460002899169922,0.03370000049471855,0.03669999912381172
5,3.1620192527770996,202.92080688476562,154.10537719726562,0.9664999842643738,0.9674999713897705,0.03350001573562622,0.03250002861022949,0.03920000046491623,0.04500000178813934
6,3.155174970626831,191.96026611328125,153.73690795898438,0.9663000106811523,0.9666000008583069,0.033699989318847656,0.033399999141693115,0.0421999990940094,0.04729999974370003
7,3.1913580894470215,179.54443359375,141.600830078125,0.9754999876022339,0.9757999777793884,0.024500012397766113,0.024200022220611572,0.055399999022483826,0.06459999829530716
8,3.202000617980957,166.18807983398438,142.76271057128906,0.9764999747276306,0.9765999913215637,0.023500025272369385,0.02340000867843628,0.04230000078678131,0.0502999983727932
9,3.209775686264038,142.86862182617188,126.60661315917969,0.9767000079154968,0.9771999716758728,0.023299992084503174,0.022800028324127197,0.0632999986410141,0.07680000364780426
10,3.1382648944854736,157.54933166503906,132.70733642578125,0.9682000279426575,0.9690999984741211,0.03179997205734253,0.030900001525878906,0.051500000059604645,0.05889999866485596
11,3.157294511795044,128.32595825195312,129.71017456054688,0.9696000218391418,0.9708999991416931,0.030399978160858154,0.029100000858306885,0.06909999996423721,0.08900000154972076
12,3.2066361904144287,119.15074157714844,121.9979248046875,0.9794999957084656,0.9793000221252441,0.020500004291534424,0.02069997787475586,0.09229999780654907,0.12639999389648438
13,3.207561492919922,132.34765625,115.38351440429688,0.9793999791145325,0.9790999889373779,0.02060002088546753,0.02090001106262207,0.0697999969124794,0.08900000154972076
14,3.202857255935669,132.09185791015625,114.70441436767578,0.9797000288963318,0.9794999957084656,0.020299971103668213,0.020500004291534424,0.05420000106096268,0.065700002014637
15,3.1605865955352783,116.88455200195312,113.38202667236328,0.9733999967575073,0.9746000170707703,0.026600003242492676,0.025399982929229736,0.09650000184774399,0.1257999986410141
16,3.207331418991089,103.00061798095703,103.21784973144531,0.9812999963760376,0.9814000129699707,0.018700003623962402,0.018599987030029297,0.09600000083446503,0.1306000053882599
17,3.214486598968506,160.63134765625,116.61729431152344,0.98089998960495,0.9811999797821045,0.01910001039505005,0.018800020217895508,0.05480000004172325,0.0640999972820282
18,3.1777639389038086,159.22642517089844,120.96668243408203,0.9732000231742859,0.973800003528595,0.02679997682571411,0.02619999647140503,0.06319999694824219,0.07779999822378159
19,3.19631290435791,115.3794937133789,98.84742736816406,0.9797999858856201,0.9805999994277954,0.020200014114379883,0.01940000057220459,0.08879999816417694,0.11010000109672546
20,3.2102925777435303,111.41223907470703,99.94085693359375,0.9818000197410583,0.9821000099182129,0.01819998025894165,0.01789999008178711,0.09839999675750732,0.12710000574588776
21,3.164189577102661,97.61396026611328,96.59535217285156,0.9764000177383423,0.9765999913215637,0.023599982261657715,0.02340000867843628,0.1251000016927719,0.16580000519752502
22,3.2027316093444824,95.34867858886719,97.87229919433594,0.980400025844574,0.98089998960495,0.019599974155426025,0.01910001039505005,0.1143999993801117,0.14509999752044678
23,3.204348087310791,114.3958740234375,98.88957214355469,0.9812999963760376,0.9811000227928162,0.018700003623962402,0.018899977207183838,0.1054999977350235,0.12520000338554382
