  epoch    IZY    IXZ_1    IZ_1Z_2     acc    avg_acc     err    avg_err    adv_acc    avg_adv_acc
-------  -----  -------  ---------  ------  ---------  ------  ---------  ---------  -------------
      1   3.10   342.54     250.58  0.9510     0.9516  0.0490     0.0484     0.0274         0.0277
      2   3.17   270.47     201.07  0.9661     0.9667  0.0339     0.0333     0.0201         0.0205
      3   3.18   235.03     176.97  0.9676     0.9690  0.0324     0.0310     0.0309         0.0327
      4   3.20   188.93     152.59  0.9758     0.9754  0.0242     0.0246     0.0337         0.0367
      5   3.16   202.92     154.11  0.9665     0.9675  0.0335     0.0325     0.0392         0.0450
      6   3.16   191.96     153.74  0.9663     0.9666  0.0337     0.0334     0.0422         0.0473
      7   3.19   179.54     141.60  0.9755     0.9758  0.0245     0.0242     0.0554         0.0646
      8   3.20   166.19     142.76  0.9765     0.9766  0.0235     0.0234     0.0423         0.0503
      9   3.21   142.87     126.61  0.9767     0.9772  0.0233     0.0228     0.0633         0.0768
     10   3.14   157.55     132.71  0.9682     0.9691  0.0318     0.0309     0.0515         0.0589
     11   3.16   128.33     129.71  0.9696     0.9709  0.0304     0.0291     0.0691         0.0890
     12   3.21   119.15     122.00  0.9795     0.9793  0.0205     0.0207     0.0923         0.1264
     13   3.21   132.35     115.38  0.9794     0.9791  0.0206     0.0209     0.0698         0.0890
     14   3.20   132.09     114.70  0.9797     0.9795  0.0203     0.0205     0.0542         0.0657
     15   3.16   116.88     113.38  0.9734     0.9746  0.0266     0.0254     0.0965         0.1258
     16   3.21   103.00     103.22  0.9813     0.9814  0.0187     0.0186     0.0960         0.1306
     17   3.21   160.63     116.62  0.9809     0.9812  0.0191     0.0188     0.0548         0.0641
     18   3.18   159.23     120.97  0.9732     0.9738  0.0268     0.0262     0.0632         0.0778
     19   3.20   115.38      98.85  0.9798     0.9806  0.0202     0.0194     0.0888         0.1101
     20   3.21   111.41      99.94  0.9818     0.9821  0.0182     0.0179     0.0984         0.1271
     21   3.16    97.61      96.60  0.9764     0.9766  0.0236     0.0234     0.1251         0.1658
     22   3.20    95.35      97.87  0.9804     0.9809  0.0196     0.0191     0.1144         0.1451
     23   3.20   114.40      98.89  0.9813     0.9811  0.0187     0.0189     0.1055         0.1252
     24   3.19   124.91     103.02  0.9773     0.9771  0.0227     0.0229     0.0913         0.1114
     25   3.21    73.72      81.67  0.9829     0.9830  0.0171     0.0170     0.1522         0.1924
     26   3.21    83.96      86.74  0.9827     0.9835  0.0173     0.0165     0.1390         0.1777
     27   3.19    84.71      85.30  0.9811     0.9812  0.0189     0.0188     0.1555         0.2002
     28   3.17   102.07      87.41  0.9790     0.9786  0.0210     0.0214     0.1221         0.1427
     29   3.21    80.11      84.68  0.9821     0.9824  0.0179     0.0176     0.1652         0.2161
     30   3.19   104.04      86.95  0.9814     0.9811  0.0186     0.0189     0.1399         0.1642
     31   3.21    76.24      77.53  0.9829     0.9832  0.0171     0.0168     0.1689         0.2092
     32   3.21    73.04      75.34  0.9832     0.9836  0.0168     0.0164     0.1954         0.2373
     33   3.19    80.16      76.89  0.9815     0.9822  0.0185     0.0178     0.1735         0.2138
     34   3.16    81.46      80.35  0.9786     0.9787  0.0214     0.0213     0.1961         0.2396
     35   3.14    92.71      88.57  0.9758     0.9763  0.0242     0.0237     0.1801         0.2164
     36   3.17    78.20      79.16  0.9791     0.9792  0.0209     0.0208     0.2202         0.2618
