  epoch    IZY    IXZ_1    IZ_1Z_2     acc    avg_acc     err    avg_err    adv_acc    avg_adv_acc
-------  -----  -------  ---------  ------  ---------  ------  ---------  ---------  -------------
      1   3.03   112.02     107.84  0.9359     0.9405  0.0641     0.0595     0.0509         0.0509
      2   3.14    90.71      91.21  0.9636     0.9642  0.0364     0.0358     0.0536         0.0580
      3   3.16    77.35      82.30  0.9682     0.9699  0.0318     0.0301     0.0577         0.0670
      4   3.20    64.69      74.32  0.9755     0.9759  0.0245     0.0241     0.0641         0.0779
      5   3.20    62.77      73.33  0.9764     0.9767  0.0236     0.0233     0.0692         0.0830
      6   3.21    55.51      68.50  0.9778     0.9784  0.0222     0.0216     0.0867         0.1056
      7   3.20    47.42      61.96  0.9783     0.9807  0.0217     0.0193     0.1153         0.1503
      8   3.17    45.97      69.86  0.9724     0.9766  0.0276     0.0234     0.1366         0.1893
      9   3.21    57.41      62.38  0.9796     0.9800  0.0204     0.0200     0.1170         0.1397
     10   3.19    48.09      58.57  0.9786     0.9793  0.0214     0.0207     0.1504         0.1821
     11   3.17    38.08      53.85  0.9751     0.9765  0.0249     0.0235     0.1942         0.2472
     12   3.16    42.05      56.08  0.9743     0.9752  0.0257     0.0248     0.2358         0.2837
     13   3.20    43.94      54.84  0.9812     0.9819  0.0188     0.0181     0.2593         0.3014
     14   3.18    42.42      53.31  0.9775     0.9774  0.0225     0.0226     0.2624         0.3046
     15   3.22    32.55      49.06  0.9835     0.9843  0.0165     0.0157     0.3306         0.4037
     16   3.14    36.43      51.30  0.9738     0.9747  0.0262     0.0253     0.3276         0.3990
     17   3.14    35.99      50.21  0.9743     0.9742  0.0257     0.0258     0.3432         0.3998
     18   3.20    31.86      45.79  0.9824     0.9837  0.0176     0.0163     0.4291         0.4994
     19   3.20    34.86      46.40  0.9802     0.9814  0.0198     0.0186     0.3941         0.4598
     20   3.17    30.95      45.40  0.9779     0.9789  0.0221     0.0211     0.4314         0.5207
     21   3.17    30.93      44.70  0.9800     0.9813  0.0200     0.0187     0.4339         0.5226
     22   3.14    33.09      46.34  0.9737     0.9739  0.0263     0.0261     0.4046         0.4921
     23   3.16    28.03      42.90  0.9763     0.9775  0.0237     0.0225     0.4437         0.5425
